"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_og_Proportion" "Transition_jh_Proportion" "Transition_oe_Proportion" "Transition_ij_Proportion" "Transition_ce_Proportion" "Transition_gh_Proportion" "Transition_oi_Proportion" "Transition_cg_Proportion" "Transition_go_Proportion" "Transition_jc_Proportion" "Transition_ch_Proportion" "Transition_gc_Proportion" "Transition_gj_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_ge_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_ei_Proportion" "Transition_hi_Proportion" "Transition_hc_Proportion" "Transition_eg_Proportion" "Transition_ie_Proportion" "Transition_jg_Proportion" "Transition_hh_Proportion" "Transition_ee_Proportion" "Transition_jo_Proportion" "Transition_cc_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_se_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jhs_Proportion" "Transition_sjg_Proportion" "Transition_gsj_Proportion" "Transition_jsc_Proportion" "Transition_jsi_Proportion" "Transition_oes_Proportion" "Transition_isg_Proportion" "Transition_gcs_Proportion" "Transition_ggi_Proportion" "Transition_ois_Proportion" "Transition_shs_Proportion" "Transition_ggg_Proportion" "Transition_jcs_Proportion" "Transition_chs_Proportion" "Transition_ssj_Proportion" "Transition_jjs_Proportion" "Transition_ggs_Proportion" "Transition_cse_Proportion" "Transition_igs_Proportion" "Transition_scs_Proportion" "Transition_sos_Proportion" "Transition_geg_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_isc_Proportion" "Transition_cis_Proportion" "Transition_sis_Proportion" "Transition_ies_Proportion" "Transition_sgg_Proportion" "Transition_ccs_Proportion" "Transition_sjs_Proportion" "Transition_shh_Proportion" "Transition_iii_Proportion" "Transition_ssh_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_csi_Proportion" "Transition_gsi_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_ses_Proportion" "Transition_ess_Proportion" "Transition_sig_Proportion" "Transition_iis_Proportion" "Transition_sii_Proportion" "Transition_sgs_Proportion" "Transition_isi_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 381.166666666667 306.083333333333 34.8333333333333 34.1666666666667 2.58333333333333 3.16666666666667 0.333333333333333 0.417348940291294 0.0578084393624396 0.0508167088463486 0.00707358774555279 0.0105239468755934 0.279848765562054 0.0300769181457676 0.14650269317095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000293427230046948 0.000293427230046948 0.000293427230046948 0.000293427230046948 0.000465549348230912 0.000484496124031008 0.000484496124031008 0.000631313131313131 0.000777923354077956 0.000777923354077956 0.00114155251141553 0.0012781469176818 0.00182858214553638 0.00191947586549348 0.00277677327688099 0.00354508635577047 0.00380564424439624 0.00477741283329628 0.00627836575578428 0.00660298727734239 0.00733847323406919 0.0202172189396655 0.0282570337725024 0.0378700812616559 0.0929209707784979 0.191003618006174 0.583643166467888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0.000645994832041344 0.000645994832041344 0.00100401606425703 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00129198966408269 0.0016025641025641 0.00293206217834965 0.00378787878787879 0.00479189485213582 0.00635198135198135 0.00746890822267078 0.00757575757575758 0.0150139490235756 0.0230590917461323 0.0594253811268048 0.0693120383632432 0.0733090939487086 0.211489684116349 0.499389314122974
2 277.5 223.416666666667 26.0833333333333 24.5 1.83333333333333 1.41666666666667 0.25 0.415218876935456 0.0775322662171574 0.040671295457835 0.00386108866032787 0.00881228336781252 0.285200327277721 0.0204226926358399 0.14828116944785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043859649122807 0.00043859649122807 0.000570776255707763 0.000636132315521628 0 0 0.00043859649122807 0.00043859649122807 0 0 0 0 0 0.00150850611376927 0 0 0.0040600363719115 0 0.00174724342663274 0.00150850611376927 0.00323159496915805 0.0010699096225412 0.00433047834715171 0.00282197223338244 0.00674842059476231 0.0124321301117053 0.0252230111335405 0.0787659172270197 0.0832405006417096 0.194653940779181 0.575696537777624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00138888888888889 0.00138888888888889 0.00409836065573771 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.0016025641025641 0.00173611111111111 0.00285087719298246 0 0.00173611111111111 0 0 0.00173611111111111 0.00445344129554656 0 0.00320512820512821 0.0218477375131819 0.051771202199607 0.16355438669242 0.100777585002727 0.186751570080128 0.44290431463739
3 238 190.416666666667 21.75 20.8333333333333 2.25 2.33333333333333 0.416666666666667 0.44573677320103 0.0784072626577755 0.0305321565124337 0.00480288949026556 0.0102620690083393 0.246342799400192 0.0179573942304879 0.165958655499476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120115820287642 0 0 0 0 0 0 0.00104166666666667 0 0.000429553264604811 0 0.000429553264604811 0.000859106529209622 0.00147121993127148 0.00131985055230669 0.000548245614035088 0.000429553264604811 0.00109092892598047 0.000771604938271605 0.00247464726631393 0.00536039765623352 0.0057076369418113 0.00197276314114802 0.00889800785634119 0.0294830224956089 0.0188728149808696 0.0841746439127403 0.100565725644039 0.155839220467076 0.577058678483386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00134408602150538 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0.00134408602150538 0 0 0.00286223723723724 0 0 0.00506944444444444 0 0 0.00173611111111111 0 0.0104166666666667 0.00308019713261649 0.0178911963186157 0.0406623715447245 0.196189520111484 0.0775977502946194 0.143895158185955 0.492534830823493
4 276.166666666667 216.416666666667 25.25 28.0833333333333 2.58333333333333 2.75 1.08333333333333 0.511130655990029 0.0782191429774718 0.0210106078968284 0.00330353626935938 0.00913521956383234 0.232097306079327 0.0229767967943712 0.122126734428782 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00144063586686537 0.0015993265993266 0 0 0 0 0 0 0 0 0.00116210650191233 0 0 0 0 0 0.00040453074433657 0 0.00288176207402692 0.00421841364464315 0 0 0.00683908142509599 0.0110760381593715 0.00274642883932501 0.00218258448107172 0.0119332872220433 0.00593255209393626 0.0169983590561173 0.0710070290572573 0.0636732179247362 0.159515062449744 0.63638958386019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00198412698412698 0 0.000905797101449275 0 0 0 0 0 0 0 0.00114155251141553 0 0.00231481481481481 0 0.000905797101449275 0 0 0 0 0 0 0 0 0.00312387630348795 0 0.00132275132275132 0 0 0 0.00682286187773735 0 0.00419254658385093 0.00566770186335404 0.03872490396463 0.14500010496862 0.0576486601442112 0.157401640863707 0.571520112271644
5 245.666666666667 188.833333333333 24.5 27 2.75 2.41666666666667 0.166666666666667 0.542883736695813 0.0533517972228512 0.0267777329007198 0.00271151240978039 0.0103562934729517 0.215394719047378 0.0171394346236049 0.1313847736269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000357653791130186 0 0.00112714839022029 0 0.000970398889169402 0.000612745098039216 0.000957854406130268 0.00253965450202558 0.0128205128205128 0.00383178551834904 0.00239490031367083 0.00573749495443174 0.0118940946287163 0.0184526932405831 0.0442329669462739 0.07989095952806 0.160669314473625 0.653509822499062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0.0277777777777778 0 0.00219298245614035 0 0.0052612863327149 0 0.00316266857620241 0.00316266857620241 0.0249209045659731 0.0843436264059053 0.0516785498090783 0.165524831144579 0.626321261159966
6 244.333333333333 190.333333333333 24.6666666666667 23.75 2.66666666666667 2.66666666666667 0.25 0.539348443819668 0.0533438203644621 0.0183511331632986 0.00427505431215504 0.00745736123469522 0.239749901398577 0.0151721468569074 0.122302138850237 0 0 0 0 0 0 0 0 0.000391236306729264 0.000391236306729264 0.000672043010752688 0.000672043010752688 0.00252525252525253 0 0.00148809523809524 0 0 0 0 0 0 0 0.000418760469011725 0.00506161761186887 0 0 0.00148809523809524 0.000391236306729264 0 0.000418760469011725 0 0.0110887096774194 0.00125628140703518 0.000418760469011725 0 0.00213036674151187 0.00294401299426425 0.00543814042095103 0.00646667464816308 0.0145880347737258 0.00889879377302354 0.017231514212179 0.0465223320436283 0.0886788528941692 0.173182694303498 0.607236455148392 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0 0 0 0.00128205128205128 0 0 0 0 0 0.00128205128205128 0.0116987179487179 0.00128205128205128 0 0 0.00216857610474632 0 0.0185668498168498 0.00763594823878512 0.0208729581424617 0.122679828380183 0.0908348290795099 0.123889469474576 0.594490409446083
7 253.916666666667 197.083333333333 24.0833333333333 27.25 2.58333333333333 2.58333333333333 0.333333333333333 0.555010697839119 0.0713845009294562 0.0186478563756685 0.00702119626591551 0.00631490317269014 0.219830553477834 0.00789242531841908 0.113897866620897 0 0 0 0 0 0 0.000499001996007984 0.00100401606425703 0 0.000452898550724638 0 0 0.00100401606425703 0 0 0 0.000499001996007984 0 0.000499001996007984 0 0 0 0 0.00237013628283626 0 0 0 0 0 0.0014147529117589 0.00101983532934132 0.00100401606425703 0.00624629386733873 0 0.00114155251141553 0.00136612021857923 0.0036295667052246 0.00334033212339917 0.0130350045922515 0.00814905160854655 0.00762695817393115 0.0152790947566933 0.0538423917302859 0.0766771034339424 0.171067340027026 0.62883251299591 0 0 0 0 0 0 0 0 0 0.00148809523809524 0.00258458646616541 0.00446428571428571 0 0 0 0 0.00277777777777778 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0.00148809523809524 0 0 0 0 0.00148809523809524 0 0 0 0 0 0.00148809523809524 0 0.00109649122807018 0 0.00277777777777778 0 0.00561906219035962 0 0.0230593454610309 0.00968470382252993 0.0119360120025407 0.106054716222516 0.107295763804229 0.128278915229839 0.586930086112402
8 224.416666666667 177.416666666667 21.1666666666667 21.0833333333333 2.41666666666667 2 0.333333333333333 0.58571110972296 0.0679103589642712 0.0176243234832306 0.00627770031428182 0.0105708890489713 0.191342802150299 0.0162816269670072 0.104281189348979 0 0 0 0 0.000544662309368192 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0 0 0.000661375661375661 0 0 0.000544662309368192 0.00386752136752137 0 0.00516541562413122 0.00364812387748168 0.0072832808895479 0.00206324002195562 0.00630977554024322 0.0133724483899875 0.0161172154754286 0.0552715082573497 0.056427043308407 0.162197513576751 0.662428354063866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0100267379679144 0.0028735632183908 0 0.00599069888528625 0 0 0 0 0 0.00354609929078014 0.0164073655519529 0.02516406324768 0.111129816813576 0.0339369855824986 0.147767420960592 0.638608034254695
9 243.583333333333 196.083333333333 18.6666666666667 24 2.75 1.91666666666667 0.166666666666667 0.58824384187166 0.076876523259058 0.0122553444711515 0.00987481945010284 0.0149319498874895 0.177234107174059 0.0173435627073504 0.10323985117913 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0 0 0 0 0.000473484848484848 0 0 0 0 0 0 0.000473484848484848 0 0 0 0 0.00297619047619048 0 0 0 0.00408730158730159 0.000473484848484848 0 0.00300235490747539 0.0245893797126191 0.00445627045098876 0.00383811708635652 0.00743196383532375 0.0066765873015873 0.00977052804888797 0.0514475824696638 0.0494819923675133 0.107309033457949 0.722925389292594 0 0 0 0 0 0 0 0.00132275132275132 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00264550264550265 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0.0470798538067614 0 0 0 0.00111111111111111 0 0.0092712118314528 0 0.0206168106770516 0.0984700246264926 0.0653342832609901 0.10552644224146 0.634873411394496
10 251 196 20.9166666666667 28 2.91666666666667 2.75 0.416666666666667 0.576034923746193 0.0749948477653319 0.0307556738578182 0.00862592178491474 0.0243351697231505 0.161426504933951 0.0194046445123491 0.104422313676291 0 0 0 0.00416666666666667 0 0 0 0 0 0.00126262626262626 0.00126262626262626 0 0 0 0 0.00208333333333333 0.000850340136054422 0 0 0 0 0 0 0.00521248005374989 0 0.000530785562632696 0 0 0 0 0 0.000385802469135802 0.00102880658436214 0.0144196744515216 0.000886524822695035 0.00710311605949861 0.016211298020653 0.00586833189619013 0.00233389841709623 0.0079459918511764 0.0104634932135943 0.0382425993178273 0.0340698444745513 0.0620965419609967 0.103150130720679 0.680425087462333 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0.000946969696969697 0 0.00109649122807018 0.00109649122807018 0 0 0.000946969696969697 0 0 0 0 0 0.000946969696969697 0.00166666666666667 0 0.00492025518341308 0.010286306042885 0.10468253968254 0.0601959422240729 0.0607659867187998 0.113671254176018 0.634532518382337
