"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eh_Proportion" "Transition_og_Proportion" "Transition_hi_Proportion" "Transition_eo_Proportion" "Transition_oo_Proportion" "Transition_oc_Proportion" "Transition_ih_Proportion" "Transition_ji_Proportion" "Transition_ic_Proportion" "Transition_ec_Proportion" "Transition_ce_Proportion" "Transition_gc_Proportion" "Transition_ee_Proportion" "Transition_eg_Proportion" "Transition_gh_Proportion" "Transition_cg_Proportion" "Transition_io_Proportion" "Transition_cc_Proportion" "Transition_jj_Proportion" "Transition_ch_Proportion" "Transition_he_Proportion" "Transition_ij_Proportion" "Transition_ie_Proportion" "Transition_ei_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_jh_Proportion" "Transition_gj_Proportion" "Transition_hh_Proportion" "Transition_oi_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_jc_Proportion" "Transition_go_Proportion" "Transition_ge_Proportion" "Transition_jo_Proportion" "Transition_gi_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ehs_Proportion" "Transition_gsh_Proportion" "Transition_gcs_Proportion" "Transition_csc_Proportion" "Transition_ocs_Proportion" "Transition_ios_Proportion" "Transition_sse_Proportion" "Transition_his_Proportion" "Transition_ses_Proportion" "Transition_cig_Proportion" "Transition_isj_Proportion" "Transition_ccc_Proportion" "Transition_gos_Proportion" "Transition_jos_Proportion" "Transition_gis_Proportion" "Transition_oci_Proportion" "Transition_scg_Proportion" "Transition_ihs_Proportion" "Transition_egs_Proportion" "Transition_jis_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_csi_Proportion" "Transition_ics_Proportion" "Transition_ecg_Proportion" "Transition_cgs_Proportion" "Transition_isc_Proportion" "Transition_cee_Proportion" "Transition_egc_Proportion" "Transition_sjo_Proportion" "Transition_iis_Proportion" "Transition_scc_Proportion" "Transition_eeg_Proportion" "Transition_ghs_Proportion" "Transition_gie_Proportion" "Transition_jsh_Proportion" "Transition_ccs_Proportion" "Transition_sjs_Proportion" "Transition_ssc_Proportion" "Transition_isi_Proportion" "Transition_iii_Proportion" "Transition_jjc_Proportion" "Transition_chs_Proportion" "Transition_csg_Proportion" "Transition_ise_Proportion" "Transition_gsi_Proportion" "Transition_ijs_Proportion" "Transition_sos_Proportion" "Transition_jcs_Proportion" "Transition_ies_Proportion" "Transition_gjs_Proportion" "Transition_gei_Proportion" "Transition_jsc_Proportion" "Transition_jsi_Proportion" "Transition_eie_Proportion" "Transition_shs_Proportion" "Transition_cis_Proportion" "Transition_scs_Proportion" "Transition_csh_Proportion" "Transition_shh_Proportion" "Transition_ggi_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_csj_Proportion" "Transition_isg_Proportion" "Transition_hgs_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_osi_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 370.416666666667 296.75 38.4166666666667 28.1666666666667 3.91666666666667 2.33333333333333 0.833333333333333 0.398687214907022 0.0563680465515683 0.0481703563032576 0.00701032292901286 0.00810036886132749 0.276954849536046 0.0361896954462716 0.168519145465494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00031328320802005 0.000412541254125413 0.000412541254125413 0.000412541254125413 0.000725824462145463 0.000737463126843658 0.000737463126843658 0.000794978776420821 0.000794978776420821 0.000794978776420821 0.00312170343057328 0.00513533088716756 0.00539315843394768 0.0100785970150938 0.0106016384947292 0.0135137975980464 0.0243755331684539 0.0300567877181691 0.0519009189008172 0.104728873572744 0.190893265925378 0.544063800839388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.00128205128205128 0.00148809523809524 0.00148809523809524 0.00189393939393939 0.00192307692307692 0.00192307692307692 0.00192307692307692 0.00256410256410256 0.0027507215007215 0.00499565793683441 0.00892025520190077 0.0113241051532191 0.0119449806949807 0.0296084768994986 0.063332575771587 0.0860761961785299 0.110848809376752 0.11814701521882 0.534360563376513
2 339.833333333333 269.916666666667 35.8333333333333 27.75 3.5 2.66666666666667 0.166666666666667 0.445035437397241 0.0342428297770857 0.0337798032524349 0.00434170706922825 0.0105148541616753 0.28747110318972 0.0241555429535466 0.160458722199068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000340136054421769 0.000340136054421769 0.000340136054421769 0.000551876379690949 0.000551876379690949 0.000680272108843537 0.000764525993883792 0.000793034605146406 0.00132275132275132 0.00308661258679778 0 0 0.000340136054421769 0.000452898550724638 0.000764525993883792 0 0 0.000680272108843537 0.000680272108843537 0.00123214848853449 0.00263189750901624 0.00222220152581444 0.00576463050969708 0.00654205022700765 0.0103738252203547 0.00529320881663792 0.0171491783197378 0.0352482906628938 0.0437926457520781 0.0888350640492231 0.1944013502251 0.574824046337117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.000946969696969697 0.00101626016260163 0.00122549019607843 0.00122549019607843 0.00189393939393939 0.00189393939393939 0 0 0 0 0.000946969696969697 0.000946969696969697 0 0.00258095662507427 0 0 0.000946969696969697 0.00101626016260163 0 0 0.00163398692810458 0.00712514310971987 0.00903765053693318 0.00641025641025641 0.0203134858100758 0.0740006873312409 0.0810915268144504 0.152419875560277 0.088652318923634 0.539940005172268
3 358.833333333333 284.75 35.9166666666667 30.9166666666667 4.08333333333333 2.41666666666667 0.75 0.482520727111948 0.0384724338434614 0.0264764969877128 0.00520057390495894 0.00727878142431363 0.273403852674241 0.0211235205457384 0.145523613507626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000304136253041363 0.000367107195301028 0 0 0.000367107195301028 0 0.00109649122807018 0 0 0.000661375661375661 0.000304136253041363 0.00106157112526539 0.000661375661375661 0 0 0 0 0 0 0.000367107195301028 0.00239180278458666 0.00407268170426065 0.00215767313842538 0.0029792422594442 0.0060279795624838 0.00379945706711874 0.0114805390957816 0.00259510448699259 0.0159112297749971 0.0194028732526741 0.0260333685344556 0.104721017231598 0.173259376905372 0.619977246433736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000764525993883792 0.000764525993883792 0.00170068027210884 0 0 0 0 0 0 0.00126262626262626 0 0.00126262626262626 0 0 0 0 0 0.00653394409208363 0.00653394409208363 0.00227967750903531 0 0.00260416666666667 0 0.00151515151515152 0.00227967750903531 0.00152905198776758 0.000757575757575758 0 0.00202020202020202 0.00328282828282828 0.00645244709533873 0.00195500218435998 0.0143137800018534 0.0394621244997666 0.0935226020205847 0.14591227448454 0.0461675174026396 0.614850320820631
4 356.916666666667 275.666666666667 38.25 35.5 4.41666666666667 2.75 0.333333333333333 0.510225906622158 0.0456948661556477 0.0240591503645496 0.0027560340400927 0.00483975119079943 0.257619147011503 0.0181676455340485 0.136637499081202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0.000420875420875421 0.000490196078431373 0.000771604938271605 0.00154320987654321 0 0 0.000490196078431373 0.000980392156862745 0 0 0 0 0 0 0.00043859649122807 0.00131171252494782 0.00117224596391263 0 0 0 0.000619578686493185 0 0 0 0.000986193293885602 0.000490196078431373 0.00154837125615263 0.00194385090218424 0.00690927462811518 0.00500809897899173 0.00940679509393501 0.00422771218421969 0.0122458314493303 0.0171628598208713 0.0356105414533081 0.104401501793076 0.173054810744542 0.618364713081318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00124378109452736 0.00141242937853107 0.00141242937853107 0.00185185185185185 0.00297619047619048 0 0 0 0 0 0.000905797101449275 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0.00328508855456104 0.00141242937853107 0.000905797101449275 0 0 0 0 0.000905797101449275 0 0 0 0.00328508855456104 0.00585428834090417 0.0100461063632953 0.00241545893719807 0.00806590752242926 0.0365623303006966 0.0916644967896719 0.155669199706227 0.0685508991672685 0.59674371502628
5 324.833333333333 249.833333333333 35.5 31.6666666666667 4.41666666666667 2.5 0.916666666666667 0.517792935016366 0.0354666950022829 0.0255350471708865 0.00452294744213586 0.00573348682658721 0.26527981154334 0.0176489191586384 0.128020157839763 0 0 0 0 0 0 0 0 0 0.000391236306729264 0.000534188034188034 0.000534188034188034 0.00106837606837607 0.00106837606837607 0.0019297452133273 0.000925424340917299 0 0.000948781732363822 0 0.00072463768115942 0 0 0.00204933954933955 0.00151515151515152 0.000414593698175788 0.000414593698175788 0 0 0 0 0 0.00113821807161174 0 0 0 0.000511247443762781 0.00151515151515152 0 0 0.00117370892018779 0.00551727064774081 0.0019533155898668 0.00455755570573128 0.00151515151515152 0.0148799796775538 0.0028285852074341 0.0105224184577804 0.00563837470304833 0.0126610635939358 0.0174941645037758 0.0281620448063334 0.079253556374652 0.18161446817082 0.616545093154994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00185185185185185 0.00210622710622711 0.00238095238095238 0.00308641975308642 0.00308641975308642 0 0 0.00119047619047619 0 0.00119047619047619 0.00304232804232804 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.00423280423280423 0 0 0 0.00343580470162749 0 0 0 0 0 0.00409718036300315 0.00727513227513228 0.00400217066883734 0 0.00105485232067511 0 0 0.00308641975308642 0.00308641975308642 0.00722769182684794 0 0.00554203180785459 0.0098358431691765 0.00652014652014652 0.00119047619047619 0.00721800214095206 0.0323415018636079 0.0817236802063554 0.133483498288523 0.0472467894772289 0.611955245662937
6 311.833333333333 245.333333333333 32.4166666666667 29.0833333333333 2.75 1.75 0.5 0.531878305261626 0.0347579963501677 0.0245305116349723 0.00280299734071009 0.00881040479327949 0.257150094920009 0.015066584552125 0.125003105147111 0 0 0 0 0 0 0 0.000502008032128514 0.00242266718007958 0 0 0 0 0.000440917107583774 0 0.000440917107583774 0 0 0.000694444444444444 0 0 0 0 0 0.000850340136054422 0 0 0 0 0 0.000440917107583774 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00182475039077019 0.00161228857033975 0.00264154630156459 0.00556874766311245 0.00393291860313052 0.00338922724854195 0.00424751038717697 0.0140150543787208 0.0158864266549303 0.02746406872406 0.0808602535681865 0.189117271117039 0.642075398232944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00126262626262626 0.00189393939393939 0.00189393939393939 0.00320512820512821 0.00528846153846154 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00148809523809524 0 0 0 0.00148809523809524 0.00303130511463845 0.00254294755877034 0.00154320987654321 0 0.00105485232067511 0 0.00955971224062937 0.00320512820512821 0.00809429767763101 0.0237418505584854 0.0735376425666189 0.151110385757249 0.0562246937076479 0.643256230036593
7 278.75 217.166666666667 29.3333333333333 27.4166666666667 2.83333333333333 1.33333333333333 0.666666666666667 0.530431204886066 0.0459794012612788 0.0279989070254409 0.00389614883206659 0.00698131292569408 0.223780841748263 0.0162445224389666 0.144687660882224 0 0 0 0 0 0 0.00134408602150538 0.00232288037166086 0 0 0 0.000730994152046784 0 0 0 0 0 0 0.000938273771226921 0 0 0 0 0 0 0 0 0 0 0 0 0.00106974753958066 0.000730994152046784 0 0 0 0.000730994152046784 0 0.00320512820512821 0 0.0017632548120353 0.000759628808409296 0.000420875420875421 0.000712250712250712 0.00568277450417438 0.00349714893723377 0.00838623036765095 0.00607502331250667 0.0215533297761721 0.0183440114677277 0.0254660305973571 0.0982834867563344 0.156470859348397 0.641511996813633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0.000992063492063492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.00362484737484737 0 0 0 0 0 0 0 0.00173611111111111 0.00308061821219716 0.00684905372405372 0.00830959164292498 0.00293004798818752 0.0266973454303309 0.0309659566085515 0.0981510161839883 0.139818540746162 0.0496647801693068 0.622357496452078
8 254.5 197.416666666667 27.4166666666667 23.75 3.33333333333333 2.16666666666667 0.416666666666667 0.544271868395889 0.0359659586700955 0.0283795154408025 0.00423959374117343 0.0063845434266057 0.231881814549677 0.0176826878514307 0.131194017924326 0 0 0 0 0.00105485232067511 0.00132275132275132 0 0 0 0 0 0 0 0 0 0.00292397660818713 0 0 0 0 0 0 0 0 0.00130208333333333 0.00132275132275132 0 0 0 0 0 0.00130208333333333 0 0 0 0.00148440558527992 0.00128472222222222 0 0 0 0.000416666666666667 0.00285593765001642 0.00758904501368779 0.00189154156869838 0.0052316577231181 0.00265508665209264 0.00922735048531983 0.0026287154594972 0.00839431947242835 0.0283512616006488 0.0215130201495114 0.113116957663586 0.176071834683372 0.608058979162822 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.00203252032520325 0.00320512820512821 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.00120772946859903 0.00120772946859903 0.000915750915750916 0 0 0 0 0.000915750915750916 0 0 0 0.000915750915750916 0.000915750915750916 0.00401114281928235 0.00120772946859903 0.00590848931745131 0.0655343261022501 0.1063029628073 0.163340075363119 0.0371659845703595 0.593796585754514
9 253.333333333333 200.5 27.25 20.4166666666667 3.25 1.58333333333333 0.333333333333333 0.516496977971549 0.0422114211803721 0.0273388858993901 0.00358540117984581 0.00669186216669014 0.259206547891783 0.0156334126902646 0.128835491020106 0 0 0 0.00105485232067511 0 0 0.0005175983436853 0 0 0 0.00177304964539007 0 0 0 0 0 0 0.00175216624491987 0.0011128364389234 0 0 0.0005175983436853 0 0 0.00105485232067511 0.0014367816091954 0 0 0 0 0.00154320987654321 0.000595238095238095 0 0.00105485232067511 0 0.00105485232067511 0.000595238095238095 0 0.0018317230273752 0 0 0.00142339544513458 0.00226737436653048 0.00295193312434692 0.00603594607217796 0.00452276906177615 0.0124079164121643 0.00889980272891665 0.0156067034682904 0.0211793190930312 0.0253241315532642 0.103214229674248 0.18666941774084 0.593602212256385 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00157232704402516 0.00260416666666667 0.00260416666666667 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0.00134408602150538 0 0.00157232704402516 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0.00475824432696803 0.00674171653773172 0.0177483974358974 0.009375 0.00694867113004666 0.039720883615176 0.0743692021511985 0.167921393493686 0.0600734015940798 0.59064938570924
10 243.583333333333 187.916666666667 27.3333333333333 23.75 2 2.41666666666667 0.166666666666667 0.551677360967002 0.0395497023732615 0.0251599363392744 0.00754634591435879 0.00863811807097794 0.228424201731062 0.015710481138528 0.123293853465536 0 0 0.000859106529209622 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0.00142365902271284 0.000859106529209622 0 0 0 0.000555555555555556 0 0.000859106529209622 0.00149188514357054 0 0 0 0 0.00141466208476518 0.00134643596390748 0 0 0 0 0.00115937244545054 0.000672043010752688 0.00276275843286153 0.000936329588014981 0 0.000859106529209622 0 0 0.00809808251374843 0.00637866386245482 0.0118359957770748 0.00828336813677004 0.0141998395122704 0.0171525019112828 0.0444571297804862 0.0801365206069566 0.172030747272059 0.616672467706912 0 0 0 0 0 0 0.00141242937853107 0.00219298245614035 0.00219298245614035 0.00231481481481481 0 0 0 0 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00284529320987654 0.0171288036475369 0.00451195987654321 0.010310354167355 0.0275626146050154 0.0461513007072026 0.161669083777744 0.095411682229141 0.619723161270736
