"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_ce_Proportion" "Transition_hh_Proportion" "Transition_je_Proportion" "Transition_oe_Proportion" "Transition_ih_Proportion" "Transition_gc_Proportion" "Transition_ij_Proportion" "Transition_ic_Proportion" "Transition_ie_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_og_Proportion" "Transition_cj_Proportion" "Transition_hj_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_eg_Proportion" "Transition_sc_Proportion" "Transition_ji_Proportion" "Transition_gh_Proportion" "Transition_ge_Proportion" "Transition_jc_Proportion" "Transition_go_Proportion" "Transition_oi_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_cc_Proportion" "Transition_ii_Proportion" "Transition_hi_Proportion" "Transition_ig_Proportion" "Transition_cg_Proportion" "Transition_jg_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ics_Proportion" "Transition_sos_Proportion" "Transition_shh_Proportion" "Transition_hhh_Proportion" "Transition_ssh_Proportion" "Transition_jsg_Proportion" "Transition_jsi_Proportion" "Transition_egs_Proportion" "Transition_eis_Proportion" "Transition_shs_Proportion" "Transition_sjs_Proportion" "Transition_isi_Proportion" "Transition_ogs_Proportion" "Transition_igs_Proportion" "Transition_gsi_Proportion" "Transition_igi_Proportion" "Transition_ese_Proportion" "Transition_scs_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_iis_Proportion" "Transition_gis_Proportion" "Transition_his_Proportion" "Transition_jis_Proportion" "Transition_ggg_Proportion" "Transition_ges_Proportion" "Transition_gge_Proportion" "Transition_sgh_Proportion" "Transition_ghs_Proportion" "Transition_sii_Proportion" "Transition_ois_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_isg_Proportion" "Transition_jgs_Proportion" "Transition_ccg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_ssg_Proportion" "Transition_ses_Proportion" "Transition_ssi_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 383 331.583333333333 20.9166666666667 23.9166666666667 3.91666666666667 2 0.666666666666667 0.618118357283628 0.0469270792222158 0.0397932354354701 0.00861662883118221 0.0170948831015179 0.159467593465861 0.0176817812281025 0.0923004414320234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000443262411347518 0.000544662309368192 0.000544662309368192 0.000757575757575758 0.000816993464052288 0.000886524822695035 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00121670532012088 0.00161697133153531 0.00176701091335238 0.00192445967093854 0.00252380039614082 0.00286201209354211 0.00297862710495579 0.0050362782757149 0.0064877696496886 0.00817744326677432 0.00840024540116741 0.0103961126332841 0.016696009696068 0.0173025923373146 0.0177040379525886 0.0288626718837463 0.0950847083718849 0.134549187128788 0.628898548737424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.0016025641025641 0.0017921146953405 0.00185185185185185 0.00203252032520325 0.00249862145023435 0.0027479091995221 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00305958132045089 0.00481154771451484 0.00568385678955394 0.00705748316318032 0.00860301213123794 0.00927337398373984 0.0134824832849186 0.0192160432590768 0.022231654022681 0.0264657392270022 0.0502040607019687 0.126775697143083 0.152632988660799 0.520941060052827
2 154.916666666667 129.333333333333 8.91666666666667 13.1666666666667 2 1.16666666666667 0.333333333333333 0.704480888400475 0.0343372611893736 0.0673866766288372 0.00871564606304855 0.0153909270333706 0.0918025944295803 0.011381355105311 0.0665046511500037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.00104166666666667 0.0014367816091954 0.00289351851851852 0 0 0 0 0 0 0 0 0.00104166666666667 0.00208333333333333 0 0 0.00104166666666667 0.00462794918330308 0.000462962962962963 0 0.00231397459165154 0.0047144608842151 0.00189974457215837 0.00543897459165154 0.0362298881128282 0.0157251340424102 0.00889940240468294 0.00999991597768367 0.038467150492192 0.0411348903204861 0.0883049354156046 0.647866982987122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.00238095238095238 0.00238095238095238 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0.0069198917025004 0 0 0.0036231884057971 0 0 0 0.00647692381767205 0.000915750915750916 0 0 0.00739267473342296 0.00431893687707641 0.0127040300447783 0.085564291497662 0.00728619206880076 0.0143125664359234 0.0782853525958718 0.0545884098584493 0.113500689598978 0.511803409139625
3 145.416666666667 133.25 5.41666666666667 5.41666666666667 0.666666666666667 0.583333333333333 0.0833333333333333 0.841866514963504 0.0265360501058981 0.0170651643909554 0.00490216250784011 0.00646971865710256 0.0654240653972965 0.00267281686814511 0.0350635071092583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0.00462962962962963 0 0 0 0.00462962962962963 0.0064026792750197 0 0.00462962962962963 0.00925925925925926 0.0064026792750197 0.00383743240886098 0.0302088784231641 0 0.0187071737223713 0.0220013332665308 0.0757987730917062 0.81179222211707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0347222222222222 0.00347222222222222 0 0 0 0 0.0465277777777778 0.0175213675213675 0.0989316239316239 0.701602564102564
4 145 130.5 5.5 7.25 0.666666666666667 1 0 0.751163271740128 0.0326253942374784 0.0136223753804731 0.0041219413996187 0.0080934406858649 0.0622648635704154 0.0067306834338929 0.0380446962187956 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0.00268817204301075 0 0 0 0.00231481481481481 0 0.00347222222222222 0.00556173526140156 0.00231481481481481 0.00268817204301075 0 0.0127314814814815 0.0139215430163706 0.00745967741935484 0.00684912854030501 0.020370839906844 0.0528354784403171 0.03713614641034 0.737887141772586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0347222222222222 0.0295634920634921 0.0113304093567251 0.0369543650793651 0.0878185045948204 0.0605289264828738 0.643843984962406
5 122.833333333333 110.333333333333 4.25 6.91666666666667 0.583333333333333 0.5 0.25 0.689584606565458 0.0736742310243532 0.0262372590276597 0.0338092095401249 0.0327087250214398 0.0905374138033194 0.00597968118573166 0.0474688738319131 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0.0833333333333333 0 0.00965909090909091 0 0.00333333333333333 0 0.00208333333333333 0.0158333333333333 0.0159722222222222 0 0.00949667616334283 0.0233445945945946 0.0934690922655319 0.653968817672378 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00694444444444444 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.00520833333333333 0.0260416666666667 0 0.0208333333333333 0.0314327485380117 0.124847709551657 0.59198343079922
6 121.166666666667 109.916666666667 4.66666666666667 5.5 0.5 0.416666666666667 0.166666666666667 0.824342000373416 0.0407204679762602 0.0164988721726164 0.00297347780424033 0.0167902108616768 0.0709731659700296 0.00925674090826648 0.0184450639334941 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.00245098039215686 0.0155558191018343 0.00490196078431373 0.0116296018657338 0.00801271565355842 0.0226449275362319 0.00556173526140156 0.0526576207271127 0.871022903416255 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0.0277777777777778 0 0.0043859649122807 0.0536283891547049 0 0.00757575757575758 0.0277777777777778 0.00757575757575758 0.0529217614743931 0.806614389509126
7 126.083333333333 114.916666666667 3.41666666666667 6.5 0.5 0.583333333333333 0.166666666666667 0.824049435726303 0.0265498749586026 0.0119271029572308 0.00112007168458781 0.029264643922536 0.0690642758614292 0.00539769234406772 0.032626902545243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0.0036231884057971 0 0 0.00252525252525253 0.0117508813160987 0.0112910529577196 0 0.00225225225225225 0 0.02305414261936 0.0536338609654893 0.805449615871611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.00555555555555556 0.0180555555555556 0.00555555555555556 0 0 0.0296130952380952 0.0791997354497355 0.771742724867725
8 132.416666666667 118 5 7.66666666666667 0.5 1 0.25 0.796962707763746 0.0415391037822831 0.0100695807059199 0.00415340254154723 0.0280535050327103 0.0868903112536402 0.00365597713311368 0.0286754117870397 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.00102880658436214 0 0.00641025641025641 0 0.00593076736867586 0 0.00518280861070459 0.00616883116883117 0 0.00899853801169591 0.00177304964539007 0.0182687223467365 0.00333333333333333 0 0.0253583986981088 0.0670225839986286 0.844921162401822 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0.00736215538847118 0 0 0 0 0 0 0.00855263157894737 0 0 0 0.00625 0.00297619047619048 0 0.022894385026738 0.00297619047619048 0 0 0.0421043417366947 0.0578733766233766 0.752003504751183
9 122.25 105 6.83333333333333 7.83333333333333 1.16666666666667 0.916666666666667 0.5 0.777408512436158 0.0280336790457242 0.0157164125378616 0.00818398835784049 0.0137818718096612 0.110151041186991 0.00507735078998661 0.0416471438357773 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0.00245098039215686 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0.00378787878787879 0.00601010101010101 0.00245098039215686 0.0104166666666667 0.00245098039215686 0.0035525321239607 0.00173611111111111 0.00831730769230769 0.00173611111111111 0.00333333333333333 0.00469907407407407 0.0159052257266543 0.0170550250014536 0 0.00553811268096982 0.045742399912568 0.087206179868995 0.687052996217912 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013973063973064 0 0.0036231884057971 0 0 0.00520833333333333 0.00520833333333333 0.00851851851851852 0 0 0 0.00851851851851852 0.0121212121212121 0 0.00854166666666667 0 0 0.00741106719367589 0.0352146464646465 0.109796476671477 0.689735345170128
10 129.75 111.25 6.75 9.08333333333333 1.58333333333333 0.583333333333333 0.5 0.789491564873221 0.0369692307393769 0.0069337406238232 0.0168551818551819 0.0191895555069238 0.0882130710634677 0.00416711205319571 0.0381805432848097 0 0 0 0 0 0.000915750915750916 0.00185185185185185 0.00555555555555556 0 0 0.000915750915750916 0 0 0 0 0 0 0.00185185185185185 0.00268817204301075 0 0 0 0 0 0 0 0 0 0.00183150183150183 0 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.00276760276760277 0.00276760276760277 0.00225225225225225 0.00705467372134039 0.087016687016687 0.00185185185185185 0.011526774026774 0.00545577481061352 0.0225090918639306 0.00408375408375408 0.0139646026742801 0.0144981505196559 0.0735742352005793 0.648985925397216 0 0 0 0 0 0 0.00181159420289855 0.0043859649122807 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0.0036231884057971 0 0.00520833333333333 0.00173611111111111 0 0.00181159420289855 0 0 0 0.00347222222222222 0.00181159420289855 0.00181159420289855 0 0.0213776061530638 0 0 0.0175092395844684 0.0126078155254357 0.00181159420289855 0.0283484631310718 0.0225075648988692 0.0847827047412288 0.610569780778591
