"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_jo_Proportion" "Transition_oo_Proportion" "Transition_hh_Proportion" "Transition_jh_Proportion" "Transition_oi_Proportion" "Transition_gc_Proportion" "Transition_ci_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_eg_Proportion" "Transition_jc_Proportion" "Transition_gj_Proportion" "Transition_jg_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_oc_Proportion" "Transition_sh_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_sj_Proportion" "Transition_ec_Proportion" "Transition_cc_Proportion" "Transition_ic_Proportion" "Transition_io_Proportion" "Transition_se_Proportion" "Transition_sg_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_ee_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_es_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_igs_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_ois_Proportion" "Transition_sjs_Proportion" "Transition_sii_Proportion" "Transition_sis_Proportion" "Transition_ssi_Proportion" "Transition_ssj_Proportion" "Transition_scs_Proportion" "Transition_csg_Proportion" "Transition_sgs_Proportion" "Transition_esc_Proportion" "Transition_scc_Proportion" "Transition_see_Proportion" "Transition_sio_Proportion" "Transition_ose_Proportion" "Transition_ios_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_ees_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 176.583333333333 146.166666666667 11.8333333333333 15.8333333333333 1.33333333333333 1.16666666666667 0.166666666666667 0.367839732277981 0.0679867000335322 0.0445835167601868 0.0137724117969986 0.0123818439802419 0.213633411092709 0.029105761285975 0.167363289439042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.00225225225225225 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00312846068660022 0.0032927312339077 0.00413448207565855 0.00735294117647059 0.0137830576371087 0.0172904307919666 0.0203895856989642 0.0247162467837412 0.0512644224277616 0.104348771685242 0.156756836835577 0.492556891332581 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.00277777777777778 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00744949494949495 0.00855608934877228 0.00925925925925926 0.031564943150309 0.0509264223441053 0.108116648284331 0.11799222508064 0.133253761759859 0.416214489156562
2 163 131.083333333333 13.1666666666667 16.75 0.916666666666667 1.08333333333333 0 0.417459951201967 0.11644067706798 0.0371162447546297 0.00526820036919113 0.00409455842136393 0.18715738609531 0.0261542160945384 0.20630876599502 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0.000936329588014981 0.00260416666666667 0.00260416666666667 0 0 0 0.00151515151515152 0.00273176570523958 0 0 0 0 0 0.00510487812713129 0.000936329588014981 0.0070809925093633 0 0.0176188021101432 0.0194457917980464 0.00149561370434608 0.0258922405621117 0.065756774260267 0.0945353806187147 0.113573288489642 0.553116781698727 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00238095238095238 0 0.00541305355648275 0 0 0 0 0 0 0.0431827789158781 0.00238095238095238 0 0.0239340639709224 0.0541061275458693 0.144836874229902 0.0849094646119208 0.103148977069725 0.367007568345525
3 128.083333333333 102.75 8.41666666666667 15 0.583333333333333 1 0.25 0.408250618606763 0.0736611213897537 0.0306862197675369 0.00628126820736045 0.0089952536595072 0.173314565487918 0.0319414223465056 0.183536197201322 0 0 0 0 0 0 0 0 0 0.000427350427350427 0.00320512820512821 0 0 0.00634920634920635 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0.00970063134697281 0.00101626016260163 0.00731271416755288 0 0.00462962962962963 0.0198865140126942 0.00793650793650794 0.0139271997835629 0.0767208310837835 0.0701576398075218 0.105830899756696 0.586961987330792 0 0 0 0 0 0 0 0.000905797101449275 0.00231481481481481 0.00322061191626409 0 0.00268817204301075 0 0.0105384135889045 0 0 0 0 0 0 0.0138888888888889 0.0166666666666667 0 0.0300925925925926 0.0266961085509473 0.166342379245605 0.119899801123504 0.0839256958822176 0.439486724251801
4 137.583333333333 112.583333333333 8.33333333333333 15.1666666666667 0.5 1 0 0.485504684778293 0.0726063994121972 0.0234283631421776 0.00336041267274552 0.00425807530843828 0.234398680375156 0.0167584863476819 0.15968489796331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0 0 0.00292397660818713 0 0 0 0 0 0.00990516414493023 0.00231481481481481 0.00102880658436214 0 0.0043859649122807 0.00437242798353909 0.00637009189640769 0.0114477501998724 0.0699659079293333 0.0784327879635369 0.12990693139483 0.511249902316876 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0112511671335201 0 0 0 0 0 0 0.00925925925925926 0.00925925925925926 0 0.00238095238095238 0.0166273700756459 0.147321000312887 0.161351620975059 0.0940551955454134 0.381827508391337
5 156.666666666667 125.75 11.3333333333333 16.9166666666667 1.08333333333333 1.5 0.0833333333333333 0.517477740819816 0.0586464477808861 0.0248704110395099 0.00396800314248364 0.00480210236798476 0.20048690598834 0.0225638436620421 0.167184545198938 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0.00416666666666667 0.00462962962962963 0 0.00320512820512821 0 0 0.00154320987654321 0.000389408099688474 0.00880124777183601 0 0 0 0 0 0.0082468033942549 0 0.0102376919147105 0 0.000850340136054422 0.0209632212989432 0 0.012101881271789 0.0650362060266258 0.0780990263358712 0.162986085189745 0.615120265776717 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120347896440129 0 0 0 0 0 0 0.00252525252525253 0 0 0.0126655827930191 0.0153112259908376 0.151587077893827 0.169018746180014 0.0835289373921454 0.469995054247558
6 179.833333333333 144.833333333333 11.75 20.3333333333333 1.33333333333333 1.5 0.0833333333333333 0.483681641073114 0.0580256439503276 0.0272200970612023 0.0019839704387778 0.00885083262173698 0.205077793396824 0.0229785984296932 0.192181423028324 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0.000423011844331641 0.002203192550715 0.0038352970054001 0 0.0106033452807646 0.0214435600331775 0.00320512820512821 0.023096457403051 0.0769603730879061 0.104250333154305 0.109355717040095 0.633646112077447 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.00485769020251779 0 0 0 0 0 0 0 0 0.0445402298850575 0 0 0.018093192333113 0.0423123335705098 0.149697535181181 0.0887548916523166 0.129026213367355 0.516307657397693
7 144.166666666667 114.666666666667 10 17.4166666666667 1 1.08333333333333 0 0.529039889048561 0.0450777897792659 0.023148545174606 0.00253350111707478 0.0116740994937002 0.189289932246236 0.0244092937123711 0.174826949428185 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0.00181159420289855 0 0 0 0 0.000496031746031746 0 0 0 0 0 0.0133928571428571 0 0.0105820105820106 0 0.00115740740740741 0.0270348408244503 0.00374071647007427 0.016611873902161 0.118112043268325 0.076285678210502 0.120704186295152 0.609306233954246 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00694444444444444 0 0.0260141093474427 0.0300985280151947 0.223638360096693 0.128424970091637 0.131526999235333 0.449669928836596
8 152.75 122.25 11.5833333333333 16.4166666666667 0.833333333333333 1.58333333333333 0.0833333333333333 0.500610055642528 0.08005560099039 0.0319808307170073 0.00668968909688162 0.00423831972339435 0.183154066709258 0.0310491156514675 0.162222321469073 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0.000712250712250712 0 0.00105485232067511 0 0 0.000712250712250712 0 0 0.00584975369458128 0 0 0 0 0 0.00582519332519333 0.000712250712250712 0.00130748880748881 0 0.00647428782833888 0.00922655797972186 0.00648202318902244 0.0199880323106996 0.0918882852434723 0.0761560371964307 0.120492246351246 0.651681708007182 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0.00170068027210884 0 0.00170068027210884 0 0 0 0 0 0 0.0138888888888889 0.00520833333333333 0 0.0126807179987005 0.036615803728899 0.195963944507178 0.129861091985152 0.0790718624756845 0.516363552093502
9 184.416666666667 147.666666666667 14.5 18.75 0.583333333333333 2.91666666666667 0 0.539007979679304 0.053932730587932 0.0235017333648762 0.00159248570242387 0.00578478180904178 0.205633284764004 0.022597403091432 0.147949601000985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00420138888888889 0 0 0.000868055555555556 0 0 0 0 0.00106837606837607 0.00456495098039216 0.00211302997076023 0.00258989376636435 0 0.000980392156862745 0.00743086978381096 0.0047953216374269 0.00405188207045792 0.0725850774941148 0.0801935294276421 0.12228768283236 0.608936216033654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.0102777777777778 0 0.00513915243516762 0.00692586623690572 0.152218171525572 0.116645996566326 0.101855102718805 0.521153619013955
10 170.333333333333 137.333333333333 12 18.25 1.16666666666667 1.41666666666667 0.166666666666667 0.558246105991279 0.0535663078836459 0.0191626170708562 0.00245200794830756 0.0066908404241614 0.186012533567184 0.0243196865633465 0.149549900551219 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0.00555815308722285 0 0 0 0 0 0.000505050505050505 0 0.00341128951203578 0 0.00818053070960048 0.00699902295051549 0.00124378109452736 0.00816041193948171 0.0925454048631765 0.0784157815939315 0.102216774108045 0.688975920848534 0 0 0 0 0 0 0.00757575757575758 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0.00425279931093885 0.00268817204301075 0 0.00954301075268817 0.0106481481481481 0.186143068572146 0.0936046898118008 0.0717990055668225 0.611057176175676
