"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oh_Proportion" "Transition_hc_Proportion" "Transition_oc_Proportion" "Transition_ic_Proportion" "Transition_jo_Proportion" "Transition_ho_Proportion" "Transition_ce_Proportion" "Transition_oo_Proportion" "Transition_ji_Proportion" "Transition_ci_Proportion" "Transition_eo_Proportion" "Transition_ch_Proportion" "Transition_ei_Proportion" "Transition_gc_Proportion" "Transition_ij_Proportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_oj_Proportion" "Transition_ee_Proportion" "Transition_jh_Proportion" "Transition_ie_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_oi_Proportion" "Transition_co_Proportion" "Transition_so_Proportion" "Transition_cg_Proportion" "Transition_ge_Proportion" "Transition_jg_Proportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_go_Proportion" "Transition_se_Proportion" "Transition_sh_Proportion" "Transition_eg_Proportion" "Transition_og_Proportion" "Transition_jj_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jis_Proportion" "Transition_hsi_Proportion" "Transition_iso_Proportion" "Transition_shc_Proportion" "Transition_gcs_Proportion" "Transition_hcs_Proportion" "Transition_ijs_Proportion" "Transition_sie_Proportion" "Transition_ies_Proportion" "Transition_gjs_Proportion" "Transition_sjo_Proportion" "Transition_see_Proportion" "Transition_osg_Proportion" "Transition_csi_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_cis_Proportion" "Transition_gsc_Proportion" "Transition_gsj_Proportion" "Transition_cgs_Proportion" "Transition_ccc_Proportion" "Transition_esg_Proportion" "Transition_sse_Proportion" "Transition_sei_Proportion" "Transition_ges_Proportion" "Transition_shi_Proportion" "Transition_ihs_Proportion" "Transition_hsh_Proportion" "Transition_hii_Proportion" "Transition_sig_Proportion" "Transition_scc_Proportion" "Transition_hsc_Proportion" "Transition_hsg_Proportion" "Transition_jgs_Proportion" "Transition_gig_Proportion" "Transition_gse_Proportion" "Transition_iie_Proportion" "Transition_igi_Proportion" "Transition_ise_Proportion" "Transition_ggi_Proportion" "Transition_igg_Proportion" "Transition_shs_Proportion" "Transition_coi_Proportion" "Transition_sjs_Proportion" "Transition_sgi_Proportion" "Transition_sos_Proportion" "Transition_iig_Proportion" "Transition_igs_Proportion" "Transition_ish_Proportion" "Transition_ses_Proportion" "Transition_jjj_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_ghi_Proportion" "Transition_ehs_Proportion" "Transition_sgh_Proportion" "Transition_gii_Proportion" "Transition_ssc_Proportion" "Transition_scs_Proportion" "Transition_isi_Proportion" "Transition_gis_Proportion" "Transition_ess_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_iii_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_ggg_Proportion" "Transition_sii_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_iis_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 397.166666666667 309.916666666667 43.1666666666667 35.0833333333333 4.83333333333333 2.58333333333333 1.58333333333333 0.365331488720056 0.0643855255159784 0.0546318079873489 0.00805194166572786 0.00900459532119156 0.282396381398407 0.0357512460861905 0.1804470133051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000292397660818713 0.000292397660818713 0.000292397660818713 0.000377073906485671 0.000384024577572965 0.000541125541125541 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000885203987786484 0.000918199447611212 0.000957854406130268 0.000968992248062015 0.0010351966873706 0.00188300452482877 0.00286835646069729 0.00324581172734048 0.00324916808451031 0.00386869389753458 0.00811399852723735 0.00872415986656234 0.0126538101599473 0.0132379208486259 0.0138813141996365 0.0251416352480695 0.0359658514185991 0.0391390108703396 0.127346912394839 0.181296814519107 0.510005583443194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000850340136054422 0.000850340136054422 0.000980392156862745 0.000980392156862745 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.002484327064159 0.00277777777777778 0.00277777777777778 0.00302196147276115 0.00302196147276115 0.00303605313092979 0.00328273244781784 0.00361019676687879 0.00376344086021505 0.00409723028996545 0.00532386867790594 0.00623756749076442 0.00629836880988955 0.00668409299203552 0.0068360032184917 0.00714870894594397 0.00944266085985422 0.00995501646085008 0.0105143506678034 0.0130190204780754 0.0176433383222423 0.0627781269503572 0.0705102999887377 0.120683075824953 0.133522740560669 0.467482004352493
2 325.333333333333 258.75 34.1666666666667 26.5 3.25 1.91666666666667 0.75 0.415294609040154 0.0636776151005405 0.0574409625646419 0.00919654925619794 0.0174579343304805 0.251165262934126 0.0253220543196872 0.160445012454172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000387596899224806 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000778816199376947 0.00333333333333333 0 0 0.000387596899224806 0 0 0.00151515151515152 0 0 0 0.00068870523415978 0.00108428805237316 0.00333299607251329 0 0 0.000666666666666667 0.00573378086003219 0.00311969062364113 0.0044773131550704 0.00143119266055046 0.0158817998637694 0.00333835410450737 0.00300654657699801 0.00577418796169507 0.00984026485224935 0.00860445498196648 0.0241376038465749 0.0395135140088373 0.0250485190982473 0.108608270426177 0.16278706361957 0.564599215565012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0.00134408602150538 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00163398692810458 0 0 0.00087719298245614 0.00111111111111111 0 0.00353151397011046 0 0 0 0 0 0 0 0 0.00154320987654321 0 0.00222222222222222 0 0.00288729589804859 0.0150034176349966 0 0.00087719298245614 0.00533011616665874 0.00087719298245614 0.00329759584145549 0.00198412698412698 0.0043859649122807 0.00175438596491228 0.00350877192982456 0.00263157894736842 0.00647507833312629 0.00134408602150538 0.00265432098765432 0.00942579795317578 0.0209741058199363 0.0598527227157244 0.0507476503088874 0.135257085856274 0.102829775223704 0.547045171058202
3 288.75 222.75 31.5833333333333 27.5 3.66666666666667 2.16666666666667 1 0.424107509607775 0.0467522723255277 0.0440713636298382 0.008124807027174 0.0154090664968688 0.22419063171236 0.0224339263776572 0.131577089489466 0 0 0 0 0 0 0 0 0 0 0 0 0.000530785562632696 0.000566893424036281 0.000566893424036281 0.000641025641025641 0.00126424349377129 0 0 0 0.000641025641025641 0 0 0 0 0 0.000566893424036281 0.00173992673992674 0.00151515151515152 0 0.000641025641025641 0.0010989010989011 0 0.00109767898666898 0.00205127180115854 0 0 0 0.00555896427877019 0.00339659563726752 0.00265549519883052 0.00517673137176379 0.00721771010557578 0.00442926803254374 0.00237973026872026 0.00744764536848249 0.0112045567096364 0.0203224742220272 0.0203841510337833 0.0262440260986974 0.0273155562814436 0.0768965137759261 0.166012269658204 0.517103262231597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0.00124378109452736 0.00124378109452736 0.00126262626262626 0.00146198830409357 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00193822553897181 0.00231481481481481 0.00245098039215686 0.00347222222222222 0 0 0 0 0 0.000694444444444444 0.00124378109452736 0 0 0 0 0 0 0.00835375816993464 0 0.00124378109452736 0 0 0 0 0 0.00173611111111111 0 0.00193822553897181 0.00124378109452736 0.00347222222222222 0.00347222222222222 0.00615079365079365 0 0.00267857142857143 0.00340021384306537 0 0.00744061788346942 0.00173611111111111 0.00208333333333333 0.00126262626262626 0.00805921052631579 0.00651844070961718 0.0078903065745171 0.00493421052631579 0.00250640735715363 0.00673008065731946 0.0172829129013282 0.0498857623857624 0.0587953833488929 0.124045292406996 0.0625407556279512 0.494563889415098
4 240.333333333333 187.833333333333 22.3333333333333 23.8333333333333 3.41666666666667 2.66666666666667 0.25 0.476359301275104 0.0580328581608172 0.0550799531188992 0.0171106447546459 0.0137796655645536 0.210085667622922 0.0272702023145328 0.142281707188525 0 0 0 0 0 0 0 0 0 0.000408496732026144 0.000718390804597701 0.000718390804597701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0.000764525993883792 0 0 0 0 0.0030273199023199 0.0025566293398783 0 0 0.000718390804597701 0.000833333333333333 0.00127486892192775 0.0289540440402509 0.0194122097277744 0.00280821917808219 0.00897873312173515 0 0.00858205714654716 0.00328446851773424 0.0119845655894741 0.0142332957695697 0.0442905637889775 0.0554477875785169 0.0684153871476889 0.112394615579609 0.608931079914251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00170068027210884 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.00185185185185185 0 0.00208333333333333 0.00460858585858586 0 0 0 0 0 0 0 0.0033459595959596 0.0041041041041041 0 0.00768245918991177 0.00208333333333333 0 0 0.00102880658436214 0 0 0 0.00102880658436214 0.00627099954432513 0.0035525321239607 0 0.0117821735877291 0.0216394378487874 0.0822016756212859 0.132772914320428 0.114427498377216 0.0858915414640347 0.479582662932566
5 199.333333333333 157.75 15.8333333333333 21.1666666666667 2 1.83333333333333 0.75 0.501838136546031 0.0602530544069058 0.0336718209064499 0.00755510581429822 0.0138303520736721 0.192826079968636 0.0232130993104825 0.166812350973524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0 0 0 0.0011037527593819 0.00107270971302428 0.00117376692695463 0.00108225108225108 0.00260601753139067 0.00293838135481533 0.00163412746194203 0.000621890547263682 0.00107270971302428 0.0122884452947148 0.0131820568743461 0.0346558914622692 0.0295253956197914 0.0817525461408871 0.135819518863644 0.678848648107036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00106837606837607 0.00106837606837607 0 0.00138888888888889 0.00583735909822866 0 0 0.00106837606837607 0 0 0 0 0 0.00277777777777778 0 0.00277777777777778 0.00120772946859903 0 0.00348383500557414 0.0157091097308489 0.0687014323855095 0.0555254232748298 0.106574475375856 0.0874412473821593 0.641203148962156
6 207 162.416666666667 20 20.1666666666667 2 2.08333333333333 0.333333333333333 0.531521790651572 0.0611129098956572 0.0421077134461242 0.00634246915688317 0.0208164722324176 0.176418568453468 0.0246746927713281 0.13700538339255 0 0 0 0 0 0 0 0.000502008032128514 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000502008032128514 0 0 0.000502008032128514 0 0 0.00633731599984627 0 0 0 0 0.000915750915750916 0.00244079767345243 0 0 0.000578703703703704 0.000980392156862745 0.000980392156862745 0 0.00199646265158313 0.00509824619502974 0.00844969703934977 0 0.00501444752113384 0.0050022803632832 0.00991626853604175 0.0178727732543142 0.0321298628640248 0.0315041012103442 0.0818917822931561 0.144561245895952 0.640571203220671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0 0 0 0 0 0 0 0 0.00784422296050203 0 0.00193798449612403 0.00148809523809524 0 0 0.0028735632183908 0.00387596899224806 0 0.0028735632183908 0.00193798449612403 0.00141242937853107 0 0 0.0171234772978959 0.0240136612571045 0.061725474331541 0.0653788595894008 0.0818380372786567 0.0582437262728738 0.572007021449321
7 166.583333333333 132.916666666667 15.4166666666667 14.5 2.33333333333333 1.16666666666667 0.25 0.490873667605072 0.0758340797173926 0.0490799319816328 0.02104399792573 0.0280547219427071 0.185956766826871 0.0218416666093413 0.127315167391253 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000582750582750583 0 0 0 0 0.00166666666666667 0 0 0.00495689655172414 0 0 0 0 0 0.00224941724941725 0 0 0 0 0.00564962814962815 0.000582750582750583 0 0.00420634920634921 0.0117134276222796 0.00104166666666667 0.00699798046780805 0.00258158508158508 0.019351813498155 0.0166357038555314 0.0497648647648648 0.0286204184564151 0.108487112850549 0.122235039028037 0.602259262052155 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00592463092463092 0 0 0.00534188034188034 0.00134408602150538 0.00213675213675214 0 0 0 0.00134408602150538 0.00134408602150538 0 0 0.00348083815825751 0.0044305057745918 0.0105195510793234 0 0.0208471864069587 0.0123035566583954 0.124956763666441 0.0485360944722109 0.144992644692202 0.0959679964423797 0.511627380397146
8 194.75 154.833333333333 18.0833333333333 17.25 1.83333333333333 2.25 0.5 0.569305224832515 0.0599457356228051 0.0338121902210459 0.00572701375411654 0.0138340547374791 0.181192925247079 0.0157628791504479 0.120419976434512 0 0 0 0.000457875457875458 0.000801282051282051 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.00126262626262626 0.00154012654012654 0.000801282051282051 0 0 0 0 0 0 0.00295193312434692 0 0 0 0 0.000915750915750916 0 0 0 0.0014367816091954 0.001998001998002 0.001998001998002 0.00245587745587746 0.00444139194139194 0.00137362637362637 0.00982350982350982 0.000915750915750916 0.0112470862470862 0.001998001998002 0.0192327688651218 0.0109106171606172 0.0260004124228262 0.0163669663669664 0.0890824833269053 0.11944034385718 0.670369124058272 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00238095238095238 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00238095238095238 0.00512820512820513 0.00256410256410256 0 0 0 0.00128205128205128 0 0.00256410256410256 0.00128205128205128 0 0.00128205128205128 0.00366300366300366 0.00238095238095238 0.00791119449656035 0.00331457160725453 0.00128205128205128 0.0126730992584651 0.0122663921444409 0.0502939468470315 0.0346973686285021 0.0857188941299415 0.0841208140257638 0.667748680261234
9 172.5 136.833333333333 15.9166666666667 15.8333333333333 2.5 1.16666666666667 0.25 0.542180542430122 0.0468622048405852 0.0202607274560124 0.00587757314186699 0.0120384160421378 0.215989910514801 0.0235827677291442 0.13320785784533 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0 0 0 0 0 0.000672043010752688 0 0 0 0 0 0 0 0.00609756097560976 0 0 0 0 0 0.000672043010752688 0 0 0 0.00134408602150538 0.000730994152046784 0.00286221395092363 0.0014367816091954 0.00548543096665672 0.00343555748800272 0.00201612903225806 0.0119800180488014 0.000672043010752688 0.00959657796457457 0.01201619545479 0.0376825247603434 0.0200815355552344 0.0881477353960763 0.135708763506189 0.656527963709049 0 0 0 0 0 0 0.00177304964539007 0.00193798449612403 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00193798449612403 0.00378787878787879 0.00193798449612403 0 0 0.00387596899224806 0.00193798449612403 0 0 0.00193798449612403 0 0.0128328850920213 0.011514857881137 0.00193798449612403 0.00490196078431373 0.01041968205722 0.0887168578449738 0.0433268170297222 0.118347070833862 0.100224414903256 0.577198922603227
10 165.333333333333 127.583333333333 12.3333333333333 20.5 2.08333333333333 1.75 1.08333333333333 0.560896330203762 0.0565320378361964 0.0252939073605531 0.00608702475927903 0.0107931601385111 0.186055188850278 0.0179695164755753 0.136372834375846 0 0.00109649122807018 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.00124968686661657 0.000466853408029879 0.00193798449612403 0.00471425751887593 0 0.000700280112044818 0.00633181747732831 0.00326797385620915 0.00701052633337175 0.0146975699297705 0.0298630227251627 0.0280250401660794 0.0967527799383829 0.105910739662398 0.69359613915622 0 0 0 0 0.00213675213675214 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000460405156537753 0.00520833333333333 0 0.000920810313075506 0.00138121546961326 0.000460405156537753 0.00647636586863106 0 0.000920810313075506 0.000920810313075506 0.000920810313075506 0.00184162062615101 0.00555555555555556 0.00555555555555556 0 0 0.022837768176166 0.0586322271987343 0.0586566904603812 0.134422334185841 0.0870999674361167 0.603276747616976
