"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ee_Proportion" "Transition_cg_Proportion" "Transition_hh_Proportion" "Transition_gj_Proportion" "Transition_cc_Proportion" "Transition_hc_Proportion" "Transition_jo_Proportion" "Transition_go_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_gc_Proportion" "Transition_ec_Proportion" "Transition_oo_Proportion" "Transition_og_Proportion" "Transition_io_Proportion" "Transition_so_Proportion" "Transition_ij_Proportion" "Transition_se_Proportion" "Transition_ch_Proportion" "Transition_ig_Proportion" "Transition_ic_Proportion" "Transition_ci_Proportion" "Transition_ii_Proportion" "Transition_oc_Proportion" "Transition_sj_Proportion" "Transition_ge_Proportion" "Transition_ei_Proportion" "Transition_sc_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_gi_Proportion" "Transition_jh_Proportion" "Transition_sh_Proportion" "Transition_jj_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ics_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_jjs_Proportion" "Transition_jgs_Proportion" "Transition_gsc_Proportion" "Transition_shh_Proportion" "Transition_hhh_Proportion" "Transition_ecs_Proportion" "Transition_jjj_Proportion" "Transition_osc_Proportion" "Transition_scc_Proportion" "Transition_sig_Proportion" "Transition_jis_Proportion" "Transition_ssc_Proportion" "Transition_sge_Proportion" "Transition_ges_Proportion" "Transition_ggi_Proportion" "Transition_gse_Proportion" "Transition_gsg_Proportion" "Transition_eso_Proportion" "Transition_ssh_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_isg_Proportion" "Transition_csh_Proportion" "Transition_sgi_Proportion" "Transition_shs_Proportion" "Transition_sjs_Proportion" "Transition_isi_Proportion" "Transition_gsi_Proportion" "Transition_sso_Proportion" "Transition_jsc_Proportion" "Transition_iii_Proportion" "Transition_isc_Proportion" "Transition_scs_Proportion" "Transition_gis_Proportion" "Transition_sii_Proportion" "Transition_sos_Proportion" "Transition_ggs_Proportion" "Transition_ses_Proportion" "Transition_ssi_Proportion" "Transition_cis_Proportion" "Transition_sis_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 390.083333333333 324.166666666667 33.75 27.8333333333333 1.66666666666667 2.25 0.416666666666667 0.410580740959626 0.0552723622651612 0.0601389446165555 0.00975673997303609 0.0165979062873486 0.236877216940592 0.0386651745483695 0.172110914409311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000325520833333333 0.000468164794007491 0.000468164794007491 0.000468164794007491 0.0006265664160401 0.0006265664160401 0.000712250712250712 0.000712250712250712 0.000712250712250712 0.00109649122807018 0.00132275132275132 0.00148809523809524 0.00157232704402516 0.00228178086543606 0.00241749001471516 0.00303209854868914 0.00319981290130544 0.00995345641421199 0.0110802678871662 0.0123158131895739 0.0156204558898122 0.0227619210170184 0.0402132244346627 0.0519657148362418 0.0911665798913395 0.171966616161154 0.551425202931543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00104166666666667 0.00163398692810458 0.0203670443032145 0.0221814338521375 0.0265150198010239 0.0874560012160771 0.0889666867542011 0.11294632695076 0.134098488731455 0.500781819973665
2 361.25 297.5 31.25 27.9166666666667 2.33333333333333 1.91666666666667 0.333333333333333 0.425913591854548 0.0650482721979994 0.046335516376063 0.00698099364548323 0.0134463763647243 0.26461115520947 0.0288385650376669 0.148825529314045 0 0 0 0 0 0 0 0 0 0 0 0.000382262996941896 0.000434027777777778 0.000434027777777778 0.000487329434697856 0.000764525993883792 0.00124378109452736 0.00130208333333333 0.00213675213675214 0.00106837606837607 0 0.00141242937853107 0.00146198830409357 0 0.0031554471759246 0 0 0.00194931773879142 0 0 0.000487329434697856 0 0.00163795135963757 0.000487329434697856 0.00329872330046745 0.00203252032520325 0.00799120304638308 0.0103859955092193 0.00720914276503089 0.00298845353541728 0.0177957339246644 0.0371470332682312 0.0506764126770647 0.0908684882878534 0.153826665389867 0.596934668530156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00185185185185185 0.00198412698412698 0.0028735632183908 0.00306637806637807 0.0036231884057971 0.00608644358644359 0 0 0 0 0.00297619047619048 0.00396825396825397 0.00485769020251779 0.0150469498295585 0.0147435178685179 0.0624868968347229 0.114935850661113 0.130642592274901 0.103937293094902 0.519499780256902
3 315.25 258.666666666667 27.3333333333333 24.1666666666667 2.91666666666667 1.5 0.666666666666667 0.515692251268925 0.0647196886141716 0.0359433881136686 0.00983524377755181 0.0113273634200928 0.231354918322669 0.0183755713805961 0.112751575102325 0 0 0 0 0 0 0 0 0.00036231884057971 0.000656167979002625 0.000656167979002625 0 0 0 0 0.00036231884057971 0 0.00168918918918919 0 0.00036231884057971 0 0 0.00135595081247255 0 0.00391806261371479 0 0.000563063063063063 0.00072463768115942 0.000656167979002625 0 0.00191511387163561 0 0.0021711682037769 0.00119047619047619 0.00137828045436741 0.00294612794612795 0.00307422046552481 0.012753830483204 0.00565161737521986 0.00562521819364846 0.0111461010528939 0.0288407154252388 0.0395098819900964 0.0788558979000198 0.154178996741466 0.639455989887958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.00177304964539007 0.00177304964539007 0.00177304964539007 0 0 0 0 0 0.00183150183150183 0.00268880056114099 0.000915750915750916 0 0 0.00183150183150183 0 0.000915750915750916 0.000915750915750916 0 0 0 0 0.00138888888888889 0.00765787436235536 0.00925445712679755 0.0121212504923982 0.0620562831534771 0.105363255823042 0.134796354461977 0.0710579472229706 0.579138229813273
4 323.833333333333 256.416666666667 34.75 26.3333333333333 2.91666666666667 2.66666666666667 0.75 0.466011785163256 0.0499448907522105 0.0394138074261873 0.0189788621765477 0.00713278000795335 0.279607247908272 0.016891040727235 0.122019585838339 0 0 0 0 0 0 0.000368731563421829 0.0015862761986793 0 0 0 0 0 0.000368731563421829 0 0.00190313178951831 0 0.000368731563421829 0 0.0013667355554378 0 0 0.000666666666666667 0 0.0042566186010652 0 0 0.00380021975591189 0.00191143137453906 0 0.000525762355415352 0 0.0013667355554378 0.000499001996007984 0.00480606526128257 0.00375075620084694 0.00980764752771295 0.0129510985415488 0.0111470671710287 0.00426705913323597 0.0084462202820154 0.025867428667937 0.0215117612418923 0.0786567376018883 0.199824114877015 0.516641935621318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000530785562632696 0.000896057347670251 0.000896057347670251 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00482681571052055 0 0 0 0 0 0.00106157112526539 0 0 0 0 0.0033999728002176 0.000530785562632696 0.00193798449612403 0.0017921146953405 0.00469702625357721 0.000896057347670251 0.00193798449612403 0 0.0064512471595134 0 0 0 0.00142684291030295 0.000530785562632696 0.00821096485667697 0.00863732870102297 0.011122702800262 0.00991857433710731 0.0573628314031987 0.0749892619886278 0.163747512622665 0.0461225653168586 0.498894883045978
5 320.166666666667 259.833333333333 31 24.4166666666667 2.08333333333333 2.25 0.5 0.428363962410593 0.0506600947222969 0.033183683936619 0.0112171246699895 0.00873898592148956 0.239565559031734 0.0208864646224826 0.124050791351461 0 0 0 0 0 0.000408496732026144 0 0 0.000757575757575758 0 0 0 0 0 0 0.00189924454630337 0 0 0 0.000465549348230912 0 0 0 0 0.000879306524869835 0.000465549348230912 0 0.00269037385451302 0 0 0.000408496732026144 0 0.00178240922213777 0.000559284116331096 0 0.00333706189410887 0.00772189752052762 0.0144738993487904 0.0084027534042242 0.0036502320611585 0.00999140284490425 0.0194804347008698 0.0182701506723409 0.0969879964006009 0.181887317845258 0.542147233791639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0.00128205128205128 0.00128205128205128 0 0 0.00102880658436214 0 0 0 0.00102880658436214 0 0 0 0.00128205128205128 0.00115740740740741 0.00309364548494983 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0.00231481481481481 0.00128205128205128 0 0 0 0 0.00595238095238095 0.00512763073246944 0.0158559753962361 0.0051022522019254 0.0417085148925664 0.110636685836752 0.145275498979928 0.0355876171022519 0.533822845117637
6 282.083333333333 228.583333333333 25 23.75 2.91666666666667 1.58333333333333 0.25 0.523190139089075 0.0527714178809355 0.0240093577365507 0.00655010951916779 0.00834211281915795 0.235226896071546 0.017043652392116 0.132866314491451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0 0.00161712668082095 0 0 0.00414619164619165 0 0.00166666666666667 0 0 0.000974316024567281 0 0.00106157112526539 0.00169456711512786 0 0.00321958612377368 0 0.00211318795430945 0 0.0125692051965937 0.0122744798700213 0.00518095528145779 0.00366698903932946 0.00832894257691077 0.0213338909880777 0.0322818205828447 0.089606547059966 0.183011342868813 0.531363724310373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0.00138888888888889 0 0.00231481481481481 0.0132352941176471 0 0 0 0.0160130718954248 0 0.00134408602150538 0.00134408602150538 0 0.00203252032520325 0 0 0.00412186379928315 0.00378787878787879 0.0131307949536404 0.00337660634670863 0.0415180205338046 0.0834924827654651 0.184638230303577 0.0691753090483574 0.471405382902944
7 212.5 174.166666666667 17.0833333333333 18.5 1.5 1.16666666666667 0.0833333333333333 0.591774323103999 0.06342362652475 0.0211357799664194 0.00448867819945683 0.0128935808301607 0.178990166134452 0.0203642299109505 0.106929615329812 0 0 0 0.000700280112044818 0.000700280112044818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000700280112044818 0 0 0 0 0.0104363659904605 0.00116844490605231 0 0.00140056022408964 0 0.00117370892018779 0 0 0 0.00531516671333098 0.00390540831717302 0.00115740740740741 0.00210084033613445 0.0201760330323929 0.00374797806446522 0.0092344637112352 0.00982216830394129 0.0310209117948119 0.0367043670134544 0.0743142762423954 0.148301634920569 0.637919423765764 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00308641975308642 0 0 0 0 0 0.00193798449612403 0 0 0.00414127207376153 0.00414127207376153 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.0111972437553833 0 0.0142021006689089 0.00811082400229687 0.0122763303607857 0.075290530305856 0.0627509280709359 0.131989006374467 0.0858240948016559 0.565837508441584
8 164.416666666667 134.583333333333 12.4166666666667 14.3333333333333 1.16666666666667 1.41666666666667 0.416666666666667 0.536460456582296 0.0503407473528446 0.0277541235183859 0.0061514283637708 0.0159482223040543 0.14919445022052 0.0231777785510036 0.107639459773791 0 0.00154320987654321 0.00200803212851406 0 0.00100401606425703 0 0 0 0 0 0 0.00432098765432099 0 0 0 0 0.00100401606425703 0 0 0.00100401606425703 0 0 0.00100401606425703 0 0.00243055555555556 0 0.000578703703703704 0.00285586791610888 0 0 0 0 0.00100401606425703 0 0.00100401606425703 0.00410267991568805 0.00713827532351629 0.0112950630618865 0.0100186314363144 0.0163822213618962 0.00505681261631893 0.0264772164538914 0.0401354206994451 0.0731067801058128 0.104103961667753 0.599088150803855 0 0 0 0 0 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00694444444444444 0 0 0 0.00238095238095238 0 0 0 0 0 0 0.00208333333333333 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0.00238095238095238 0.00238095238095238 0.00126262626262626 0.0347132034632035 0.0123737373737374 0.00208333333333333 0.0505591630591631 0.0664668578755266 0.0963009127095815 0.0876191425533531 0.53201748801594
9 162.083333333333 133.75 11.75 12.9166666666667 1.75 1.41666666666667 0.5 0.58043382974637 0.0792037161614355 0.033370308693779 0.0105269087460338 0.0106054416760935 0.159639065652466 0.0208856227027719 0.105335106621051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0040650406504065 0 0.000841750841750842 0 0 0 0 0.00168350168350168 0 0.0036231884057971 0 0 0.00145348837209302 0 0.000841750841750842 0 0 0 0.000841750841750842 0 0.0116243961352657 0.0104505181327359 0.00859564063557997 0.00929319008587301 0.0225678294573643 0.0209751201472637 0.0291431489169103 0.0299637465463688 0.0875564526590446 0.0873122520274731 0.66916723361907 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0.00185185185185185 0 0.00193798449612403 0 0.00185185185185185 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00225225225225225 0.0293780831571529 0.0171525776788935 0.0232545045045045 0.0565196494944557 0.0452439607478367 0.0881398392184806 0.0594296836544899 0.660950724055069
10 121.5 101.166666666667 7.5 10.5 1.33333333333333 0.75 0.166666666666667 0.553762685406367 0.0575816243745298 0.0282566756681515 0.0042635793819615 0.0187544991435713 0.134714173642641 0.0245767748307042 0.0947566542187401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0.000868055555555556 0 0 0 0 0 0.00208333333333333 0.00205853174603175 0.00619918699186992 0.00290057588075881 0.00810185185185185 0.00920138888888889 0.0152678144428503 0.0125649277326107 0.00884978991596639 0.0460385543106131 0.050515021387959 0.0794900954961931 0.670212724317369 0 0 0 0.00462962962962963 0.00462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0.00193798449612403 0 0.02619825708061 0.0186046511627907 0.024376109284055 0.0196162875141443 0.0435814291263448 0.064437984496124 0.101074043175331 0.605642676575759
