"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_jo_Proportion" "Transition_ij_Proportion" "Transition_ec_Proportion" "Transition_eg_Proportion" "Transition_ee_Proportion" "Transition_oo_Proportion" "Transition_og_Proportion" "Transition_ho_Proportion" "Transition_jj_Proportion" "Transition_oh_Proportion" "Transition_eo_Proportion" "Transition_oc_Proportion" "Transition_ji_Proportion" "Transition_gc_Proportion" "Transition_ie_Proportion" "Transition_se_Proportion" "Transition_ei_Proportion" "Transition_hg_Proportion" "Transition_gj_Proportion" "Transition_io_Proportion" "Transition_ci_Proportion" "Transition_cg_Proportion" "Transition_ig_Proportion" "Transition_ce_Proportion" "Transition_hh_Proportion" "Transition_ih_Proportion" "Transition_jc_Proportion" "Transition_ic_Proportion" "Transition_cj_Proportion" "Transition_eh_Proportion" "Transition_sj_Proportion" "Transition_ii_Proportion" "Transition_oi_Proportion" "Transition_ge_Proportion" "Transition_ch_Proportion" "Transition_co_Proportion" "Transition_gi_Proportion" "Transition_so_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_cc_Proportion" "Transition_sh_Proportion" "Transition_jh_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_jcs_Proportion" "Transition_osi_Proportion" "Transition_ihi_Proportion" "Transition_iee_Proportion" "Transition_jjs_Proportion" "Transition_ocs_Proportion" "Transition_jgs_Proportion" "Transition_sij_Proportion" "Transition_ise_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_iso_Proportion" "Transition_ssc_Proportion" "Transition_sos_Proportion" "Transition_sci_Proportion" "Transition_sec_Proportion" "Transition_esh_Proportion" "Transition_ics_Proportion" "Transition_egg_Proportion" "Transition_gic_Proportion" "Transition_isc_Proportion" "Transition_geg_Proportion" "Transition_ogs_Proportion" "Transition_gse_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gee_Proportion" "Transition_gih_Proportion" "Transition_sge_Proportion" "Transition_ghi_Proportion" "Transition_ghg_Proportion" "Transition_hoc_Proportion" "Transition_eis_Proportion" "Transition_hig_Proportion" "Transition_sic_Proportion" "Transition_hgs_Proportion" "Transition_jsg_Proportion" "Transition_sih_Proportion" "Transition_iig_Proportion" "Transition_igi_Proportion" "Transition_ccs_Proportion" "Transition_csi_Proportion" "Transition_soc_Proportion" "Transition_eoi_Proportion" "Transition_cos_Proportion" "Transition_iie_Proportion" "Transition_ese_Proportion" "Transition_esg_Proportion" "Transition_gsh_Proportion" "Transition_ses_Proportion" "Transition_sei_Proportion" "Transition_sse_Proportion" "Transition_sie_Proportion" "Transition_csg_Proportion" "Transition_jgc_Proportion" "Transition_ies_Proportion" "Transition_sjs_Proportion" "Transition_eii_Proportion" "Transition_cis_Proportion" "Transition_ssj_Proportion" "Transition_esi_Proportion" "Transition_ges_Proportion" "Transition_gig_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_ggi_Proportion" "Transition_his_Proportion" "Transition_ios_Proportion" "Transition_osc_Proportion" "Transition_jsi_Proportion" "Transition_iii_Proportion" "Transition_isj_Proportion" "Transition_igs_Proportion" "Transition_cgs_Proportion" "Transition_ssi_Proportion" "Transition_sig_Proportion" "Transition_iis_Proportion" "Transition_isi_Proportion" "Transition_sii_Proportion" "Transition_gsi_Proportion" "Transition_ihs_Proportion" "Transition_shs_Proportion" "Transition_ish_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_jso_Proportion" "Transition_soi_Proportion" "Transition_ggg_Proportion" "Transition_ggs_Proportion" "Transition_sco_Proportion" "Transition_gge_Proportion" "Transition_ghs_Proportion" "Transition_gis_Proportion" "Transition_scc_Proportion" "Transition_scs_Proportion" "Transition_gsg_Proportion" "Transition_csc_Proportion" "Transition_ess_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 337.416666666667 269 31.5833333333333 30.4166666666667 3.16666666666667 2.58333333333333 0.666666666666667 0.350714946107218 0.0689078211979006 0.0985431572802081 0.0137576131818138 0.00837439590860195 0.204813761207652 0.0487124797215597 0.206175825395046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000354609929078014 0.000354609929078014 0.000354609929078014 0.000354609929078014 0.000354609929078014 0.000359195402298851 0.000359195402298851 0.000367107195301028 0.000367107195301028 0.000718390804597701 0.000868055555555556 0.000941464389171911 0.000957854406130268 0.00117370892018779 0.00130065979147076 0.00144935827755211 0.00156233939767705 0.00156692487089788 0.00157727541371158 0.00347222222222222 0.00511301399937188 0.00547009484279683 0.00600198412698413 0.00835177233950447 0.0122847932596487 0.0143344311389875 0.0187262432932535 0.0404266725093038 0.062183743778391 0.066391375764676 0.121250701179065 0.127491217059063 0.493160047819189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00100401606425703 0.00100401606425703 0.00146198830409357 0.00181307755293017 0.00198412698412698 0.00213675213675214 0.00238095238095238 0.00292397660818713 0.00338496844520941 0.00384294068504595 0.00392799267244416 0.00536909542933639 0.00571716508098726 0.00605333957187975 0.0065018315018315 0.0095451910080891 0.0379568089059969 0.0454186617301957 0.105487600359408 0.115383274044846 0.120899888425208 0.172921730981592 0.338835297619007
2 339 265.75 34.75 30.5833333333333 4 2.83333333333333 1.08333333333333 0.437669393356691 0.074873100804072 0.0485345927947766 0.00459344000537591 0.0159806967407864 0.201242781019466 0.0376039587645454 0.179502036514286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000200320512820513 0.000532325824905506 0.000683060109289617 0.00130503626519563 0 0 0 0 0 0 0 0.00159463157471126 0.00328912366811083 0 0 0 0 0.0010097920902834 0.000905797101449275 0 0 0.00088338062211013 0.00416666666666667 0 0.00456730769230769 0.00441524080823212 0.00158885721073889 0.0147365710440021 0.0209966592181398 0.0117832654386814 0.0042412775061505 0.0313465179223519 0.0220696867795858 0.0603947469518209 0.143531431227106 0.103238658638625 0.562519645126715 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000393081761006289 0.000393081761006289 0.000801282051282051 0.000801282051282051 0.00102880658436214 0.00102880658436214 0.00166666666666667 0.00183008863564419 0.00219298245614035 0.00258606421714664 0.00322178904050249 0.00379554655870445 0.00541477149664284 0 0 0 0 0.00183008863564419 0 0 0.00219298245614035 0.00580785325764913 0 0 0 0.000801282051282051 0.000393081761006289 0.010809748427673 0.00142188834536843 0.000393081761006289 0.0207142857142857 0.00119436381228834 0.00630304284451953 0.023222256035707 0.0030885550120351 0.0351408926091462 0.0394696618975724 0.133224375285032 0.101983163524082 0.12283396566596 0.464021181038854
3 343.5 272.333333333333 31.9166666666667 32 2.58333333333333 3 1.58333333333333 0.454218505623919 0.0576099148527571 0.0372544522072159 0.00604072074398054 0.00527956048749788 0.195477201837314 0.0245483852165078 0.136237925697475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000202265372168285 0.000578703703703704 0 0.000308641975308642 0 0.00383967883967884 0 0 0 0 0.000510907347476927 0 0 0.00116208986140454 0.0045827032435875 0.000377073906485671 0.000582750582750583 0.000202265372168285 0 0.00205689372356039 0 0.000994357857102955 0 0 0.00271461407222218 0 0.000308641975308642 0.0051826767518991 0.000578703703703704 0.00136776653766945 0.0104614244938821 0.00832765221739716 0.00185472523106074 0.0129818296875161 0.0260311344903102 0.0736708176220349 0.127182201976477 0.0777272376185179 0.552878908503271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00104166666666667 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00177304964539007 0 0 0 0.00325235109717868 0 0.00663365125947664 0 0.00104166666666667 0.0028735632183908 0.00321024277141298 0.00232330643189044 0 0.00730384577367336 0 0.0019281914893617 0.00216857610474632 0.00480175470775251 0.00399359979101358 0 0 0.000378787878787879 0.00270209431067832 0 0 0 0.00232330643189044 0 0 0.0014367816091954 0 0.000378787878787879 0.00563770037128438 0.00752749180848961 0.0064458552880233 0.0050531914893617 0.0121376756350161 0.049893246458727 0.14692683961301 0.106589186401641 0.0707352537116844 0.446647787678602
4 344.833333333333 266.083333333333 34.75 35.25 3.41666666666667 3.75 1.58333333333333 0.528160472262679 0.0494592603070165 0.037128688182874 0.00581649028415047 0.00982379214840553 0.193991650470856 0.0226839113630701 0.152935734980948 0 0 0 0 0 0 0 0 0 0 0 0.000162443144899285 0.000162443144899285 0.00037037037037037 0.000740740740740741 0.000747384155455904 0.00112107623318386 0.00149476831091181 0 0 0 0 0 0.00215028668752497 0 0 0 0.00557400379506641 0 0 0 0.0015785486037503 0.00549382857389379 0.000162443144899285 0.000162443144899285 0 0.000162443144899285 0.00223883075901013 0.00135291933537548 0 0 0.00037037037037037 0.00112107623318386 0 0.00305894080547976 0.00594629323682899 0.00171445639187575 0.00330192029047758 0.00927231747562968 0.00937978076414776 0.00251544422138819 0.00924952163236436 0.0208287012274151 0.0576803347334358 0.146435060539276 0.104566505807177 0.60088430298117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00031328320802005 0.00031328320802005 0.00031328320802005 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000825082508250825 0.00105485232067511 0.00152905198776758 0.00222651429797736 0.00229357798165138 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.00152905198776758 0 0 0 0 0.00152905198776758 0 0.00105485232067511 0 0.00298070091205851 0 0.00458715596330275 0.00229357798165138 0.00184233519578763 0.00158960850213462 0 0 0 0.00229357798165138 0.00215561840380768 0 0 0.00031328320802005 0.00476247959347911 0 0 0 0.000764525993883792 0 0.00393647161381715 0.00460156313440668 0.00031328320802005 0.00152905198776758 0.00165016501650165 0.00343194369792225 0.010347837898009 0.00113836571627088 0.0103467280240736 0.0371897962281148 0.13534896942972 0.125236696738028 0.087240719858301 0.533478398757839
5 326.416666666667 244.75 31 36.8333333333333 5.08333333333333 5.58333333333333 3.16666666666667 0.499434688949436 0.05393971879777 0.0395487113307806 0.0126228888421024 0.010400980818746 0.20307483915481 0.0242551730226676 0.156722999083687 0 0 0 0 0 0 9.73520249221184e-05 9.73520249221184e-05 0.000492296732663035 0.00154320987654321 0.0166666666666667 0 9.73520249221184e-05 0.000394944707740916 0 0.000841750841750842 9.73520249221184e-05 9.73520249221184e-05 9.73520249221184e-05 0.000278706800445931 0 0.000278706800445931 0 0.0072074175842969 0 0 0.000420875420875421 0 0.000194704049844237 0 0 0.000786163522012579 0.00736471846015722 9.73520249221184e-05 0 0 9.73520249221184e-05 0.00489021838320904 9.73520249221184e-05 9.73520249221184e-05 0.000473410850290168 0.000394944707740916 0.0013732337295082 0.00348136446082734 0.00179668770047315 0.0101406590108278 0.00232937339855579 0.00443464562209059 0.0134126323670375 0.00745157743975959 0.00239643317914346 0.0106389066393456 0.0313261267689872 0.0563155194530092 0.153094050654292 0.102204397260889 0.556402136661349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000151791135397693 0.000151791135397693 0.000151791135397693 0.000151791135397693 0.000151791135397693 0.000151791135397693 0.000151791135397693 0.000801282051282051 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.00124378109452736 0.00124378109452736 0 0 0 0 0 0 0 0 0.000151791135397693 0.000151791135397693 0.000825082508250825 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.00112866477904621 0.0033003300330033 0.00165016501650165 0 0 0 0 0.00412541254125413 0 0.00377580449301761 0 0.00444909586587074 0.000976873643648518 0.00425340321968304 0.00180195615189934 0.00651795946864893 0.0012804559144439 0 0 0 0.000303582270795386 0.00325374067461391 0 0.000151791135397693 0.00347165864127396 0.00264657613302314 0 0 0 0.00405928570999176 0.00124378109452736 0.000303582270795386 0.00460032342032017 0 0.00826771535849237 0.00325374067461391 0.00208173796572595 0.00812662310018998 0.00247524752475248 0.0135759706261896 0.0698929248195712 0.121992632169165 0.21230099752876 0.0740858209347205 0.421871769819893
6 332.916666666667 258 29.9166666666667 32.6666666666667 5.08333333333333 4.16666666666667 3.08333333333333 0.493808081581209 0.0485018974267839 0.0519258406719001 0.0054728168019696 0.0109366626745819 0.198713799706936 0.0340599166765804 0.156580984460039 0 0 0 0 0.000119388729703916 0.0005175983436853 0 0.000119388729703916 0 0 0 0 0 0.000427350427350427 0.000427350427350427 0 0.000838114448429635 0 0 0 0 0.000119388729703916 0 0.00178266761361317 0 0.000427350427350427 0.0005175983436853 0 0.000119388729703916 0 0 0.00184174045205564 0.00893676224434914 0.000427350427350427 0.000875764532797048 0 0 0.00596150005331518 0 0 0.0010351966873706 0 0.000546739157054343 0 0.00136179219273775 0.00743511848532404 0.00203500203500203 0.0125892086971361 0.0146908548957882 0.013417516391853 0.000410764021079207 0.014625521015673 0.0290647217101164 0.0742570630513926 0.145369519139815 0.0898635502272706 0.569838729632239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.000184774575018477 0.00117370892018779 0.00117370892018779 0.00126262626262626 0.00126262626262626 0.00144740083764474 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0.000184774575018477 0 0 0 0 0 0 0.000730994152046784 0 0 0 0 0.000369549150036955 0 0.00144740083764474 0.00126262626262626 0.00144740083764474 0 0 0 0 0.00126262626262626 0 0.00191275902658016 0 0.00681454655969023 0.000184774575018477 0.00821783438536589 0.002710027100271 0.00925088174250428 0.00471869155311272 0 0 0.000184774575018477 0 0.00203252032520325 0 0 0.0016629711751663 0.00454966870242865 0 0.000184774575018477 0 0.002710027100271 0 0 0.00732128732770581 0 0.0135582950623601 0.00384947031288495 0.00535382847257949 0.01676880537851 0.000730994152046784 0.022047192737865 0.04151486688802 0.157011489389004 0.143973970101834 0.0834945540756135 0.435662870140621
7 356.25 277.166666666667 35.4166666666667 34.0833333333333 5.5 3.25 0.833333333333333 0.515148144858091 0.0518708330197149 0.0372068663395309 0.00719643108198566 0.007519180450506 0.190269520920816 0.0267575455003287 0.164031477829028 0 0 0.000321750321750322 0.000555555555555556 0 0 0.00023084025854109 0 0 0.000868055555555556 0 0.000555555555555556 0 0.00401871904641988 0 0.000555555555555556 0.00111111111111111 0 0.00023084025854109 0 0 0.00126780626780627 0.00117370892018779 0.000877305877305877 0 0 0.000555555555555556 0 0.000712250712250712 0 0 0.00361478636126523 0.00615535860312881 0 0 0 0 0.00103367573496707 0.00165148639438806 0.000321750321750322 0 0.0014040014040014 0.00119037089166223 0 0.00237595240365324 0.00454322454322454 0 0.0049516189863 0.00937098226623028 0.018569148447253 0.00572993514642731 0.0283756402568658 0.0409538429981017 0.0523706135153933 0.143010378296005 0.0972456959172313 0.564096926960459 0 0 0 0 0 0 0 0 0 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.000423011844331641 0.00119047619047619 0.00119047619047619 0.00166666666666667 0 0 0 0 0 0 0 0 0.000423011844331641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0.00119047619047619 0 0 0 0.0120804767626661 0.00119047619047619 0.00219449225473322 0.00238095238095238 0.00466833316126421 0.00119047619047619 0 0 0 0.00100401606425703 0.00200803212851406 0 0 0 0.00238095238095238 0 0 0 0.000603864734299517 0.00100401606425703 0.000423011844331641 0.00219449225473322 0.00100401606425703 0.00279684719043987 0.00340222172333225 0.0029848171152519 0.00908017818510478 0.00805330160647362 0.0554417172907466 0.0776506127586964 0.107578903241707 0.143822547480058 0.084222408271809 0.455579757190859
8 345.166666666667 263.583333333333 35.9166666666667 36.6666666666667 4.83333333333333 3.41666666666667 0.75 0.503619250432139 0.0507777398665618 0.0368714688110039 0.00737617902057027 0.00862028387632992 0.206701135403497 0.0277777873588125 0.158256155231086 0 0 0.000305250305250305 0 0 0 0 0 0 0.000482179423321711 0 0 0 0 0 0 0.00125222000222 0 0 0 0.000305250305250305 0.000305250305250305 0.000262881177707676 0.000946969696969697 0 0.000305250305250305 0 0 0 0 0 0.00141178266178266 0.00595031595856533 0 0.000305250305250305 0 0 0.00466049555867653 0.000525762355415352 0.000262881177707676 0 0.000771604938271605 0.00105031090627969 0 0.000502008032128514 0.00349693952602182 0.000946969696969697 0.00533667953346668 0.00734890763595025 0.0100408295171828 0.00714221896900218 0.0204440311701343 0.019866419063155 0.0669524395760498 0.145018624654566 0.113228777819899 0.580571499422304 0 0 0 0 0 0 0 0.000925925925925926 0.000925925925925926 0 0 0 0 0.000524109014675052 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00181159420289855 0 0 0 0 0 0 0 0.000925925925925926 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.000524109014675052 0 0 0 0.00130208333333333 0 0 0 0.00676192577880761 0 0.00130208333333333 0.00130208333333333 0.00583599985288168 0.00520833333333333 0 0.00155634811065092 0 0.00260416666666667 0.000524109014675052 0 0 0.000508130081300813 0.00181021341463415 0 0 0 0.00390625 0 0 0.00130208333333333 0 0.0016025641025641 0.0010482180293501 0.00429248745121099 0.00208045712532597 0.0111763058601084 0.0204152179545751 0.0374809721934931 0.141173493089542 0.149555346398616 0.111067679559607 0.47132771780109
9 355 272.583333333333 36.8333333333333 36.5 5.41666666666667 2.83333333333333 0.833333333333333 0.517498928636021 0.0490359977485368 0.0378688024886495 0.00654040841512903 0.0078020912771475 0.200270108770741 0.0278628833560204 0.153120779307755 0 0 0 0 0 0 0 0 0 0.0011833422773624 0 0 0.000672043010752688 0.000764525993883792 0 0 0.000869520740627078 0 0.000242954324586978 0 0 0 0 0.00149608715666718 0 0 0 0 0.000764525993883792 0 0 0.00178526432451479 0.00712568167769561 0 0 0.000764525993883792 0.000271444082519001 0.00590197892206858 0 0.0006265664160401 0 0.000914997335339666 0.00360275689223058 0 0.00403282460889433 0.00295691267338498 0.00278218481984778 0.0011694545810781 0.00855235493548758 0.0103664790393395 0.00773190082793263 0.0111132610640232 0.0289957082579625 0.0553343503549545 0.123785935558953 0.100024189199006 0.61616822893708 0 0 0 0 0.000636132315521628 0.00166666666666667 0.00445884568516672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0.000636132315521628 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0 0.00141242937853107 0 0 0 0.000694444444444444 0.0043859649122807 0 0 0 0.00288742690058479 0 0.00502475217024318 0.00197932280256735 0.0041723052587077 0.0020485616940527 0 0.00694444444444444 0 0.00141242937853107 0.000566893424036281 0 0 0.000566893424036281 0.00339175218109843 0 0 0 0.00564971751412429 0.00166666666666667 0.00387512602621345 0 0 0.00113378684807256 0.00113378684807256 0.00461693583285732 0.00577426317057206 0.0115918352175839 0.00409835053614321 0.0485871662095184 0.118475599287443 0.11555922921052 0.0793446072452431 0.549263370031966
10 330.916666666667 261.166666666667 32.0833333333333 30.9166666666667 3.75 2.33333333333333 0.666666666666667 0.540681168925649 0.0574413269064069 0.0310726416777568 0.00638401742819989 0.00642516601258345 0.190023853406465 0.0259264730034825 0.142045352639457 0 0.000377073906485671 0 0 0 0.000793650793650794 0 0 0 0.00115740740740741 0 0 0 0 0 0.000793650793650794 0.000280583613916947 0 0 0.000280583613916947 0 0.000754147812971342 0.00031328320802005 0.000793650793650794 0 0 0 0 0 0 0 0.00845895406347449 0.00586883876357561 0 0.000280583613916947 0 0 0.0072890559732665 0.00200138026224983 0 0.00031328320802005 0 0.000377073906485671 0 0.00126359872918071 0.00158730158730159 0.00142450142450142 0.000280583613916947 0.00796946810919869 0.0112227877647371 0.00186108181464219 0.0130005652628796 0.013834832689037 0.0657081585607277 0.121596631706653 0.112539713302777 0.617577573699787 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0.00873015873015873 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0.0016025641025641 0 0.0016025641025641 0.000896057347670251 0.00480769230769231 0 0.00320512820512821 0.00410118555279846 0.00320512820512821 0.0016025641025641 0 0 0 0 0.0016025641025641 0 0 0 0.0016025641025641 0 0 0 0.00589330024813896 0 0.00219298245614035 0.00554515543453597 0 0 0 0.0103410470558179 0.00391924119800226 0 0.0175507687569091 0.0283638930362791 0.131817722639312 0.113069699505605 0.115384763592722 0.524108683860569
