"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_ee_Proportion" "Transition_ie_Proportion" "Transition_co_Proportion" "Transition_eh_Proportion" "Transition_ih_Proportion" "Transition_ji_Proportion" "Transition_ce_Proportion" "Transition_oh_Proportion" "Transition_ei_Proportion" "Transition_hg_Proportion" "Transition_hi_Proportion" "Transition_ic_Proportion" "Transition_ch_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_so_Proportion" "Transition_oo_Proportion" "Transition_ij_Proportion" "Transition_og_Proportion" "Transition_jj_Proportion" "Transition_cg_Proportion" "Transition_io_Proportion" "Transition_oi_Proportion" "Transition_eg_Proportion" "Transition_gc_Proportion" "Transition_oc_Proportion" "Transition_ho_Proportion" "Transition_jg_Proportion" "Transition_ge_Proportion" "Transition_jc_Proportion" "Transition_gh_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_ii_Proportion" "Transition_sh_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_scc_Proportion" "Transition_csc_Proportion" "Transition_eos_Proportion" "Transition_csi_Proportion" "Transition_gsi_Proportion" "Transition_ogs_Proportion" "Transition_cgs_Proportion" "Transition_see_Proportion" "Transition_ses_Proportion" "Transition_coi_Proportion" "Transition_ois_Proportion" "Transition_hgs_Proportion" "Transition_igs_Proportion" "Transition_gcs_Proportion" "Transition_csg_Proportion" "Transition_gih_Proportion" "Transition_jii_Proportion" "Transition_osh_Proportion" "Transition_ohs_Proportion" "Transition_gei_Proportion" "Transition_sse_Proportion" "Transition_sso_Proportion" "Transition_sos_Proportion" "Transition_cis_Proportion" "Transition_jgs_Proportion" "Transition_cig_Proportion" "Transition_iii_Proportion" "Transition_ccs_Proportion" "Transition_ise_Proportion" "Transition_ish_Proportion" "Transition_hsg_Proportion" "Transition_gsj_Proportion" "Transition_sii_Proportion" "Transition_ges_Proportion" "Transition_isi_Proportion" "Transition_oog_Proportion" "Transition_isj_Proportion" "Transition_igi_Proportion" "Transition_sjj_Proportion" "Transition_osg_Proportion" "Transition_isg_Proportion" "Transition_ssi_Proportion" "Transition_gii_Proportion" "Transition_ggg_Proportion" "Transition_shs_Proportion" "Transition_ghs_Proportion" "Transition_iis_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_ssg_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 438.833333333333 345.583333333333 48.0833333333333 37 4.66666666666667 2.83333333333333 0.666666666666667 0.330455000288361 0.0347959492709471 0.0687520889603938 0.0225466232643918 0.015767854970453 0.323995530626992 0.0301636008120667 0.173523351806395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000350140056022409 0.000350140056022409 0.000350140056022409 0.000350140056022409 0.000350140056022409 0.000375375375375375 0.000431778929188256 0.000608272506082725 0.000656167979002625 0.000700280112044818 0.000757575757575758 0.0011037527593819 0.00113295113295113 0.00118935468676401 0.00148309118897354 0.00200299706257199 0.00214547530724001 0.00225015543271859 0.00225917450658383 0.00297567086411637 0.00485505949321507 0.00556288303281481 0.00753757497403017 0.00880682582179069 0.0112873150266313 0.0150471275908353 0.0275400200068069 0.0278535828902342 0.0429766458891452 0.133000539325318 0.213945149414751 0.479764502653744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00126262626262626 0.0014367816091954 0.0014367816091954 0.00213675213675214 0.00213675213675214 0.00273569023569024 0.00275764895330113 0.00297850297850298 0.00332019911761291 0.00503618140424737 0.00517785614768373 0.00526766288572885 0.00538903528033963 0.00972989162727014 0.00974326599326599 0.0201889923850635 0.0341511196130761 0.037060258106812 0.0907442851058359 0.138604294395149 0.210755041716767 0.397465092639932
2 363.5 277.916666666667 42.3333333333333 35.25 4.58333333333333 2.75 0.666666666666667 0.358276764340258 0.0429107280284605 0.0588125132011037 0.021686053277893 0.0187369238751487 0.293363644203262 0.0318683647437815 0.174345008330093 0 0 0 0 0 0 0 0 0.000368731563421829 0.000368731563421829 0.000484496124031008 0.000508130081300813 0.000582750582750583 0.000582750582750583 0.000677506775067751 0.00106724670678159 0.00165769683543795 0.0034860445016695 0 0 0.000368731563421829 0.00043630017452007 0.000484496124031008 0 0.000853227687452837 0.00043630017452007 0 0 0 0.00043630017452007 0.000805031737941899 0 0.000473484848484848 0.0021281639960295 0.000909785023004918 0.00274036634456091 0.000582750582750583 0.00407692550190045 0.00138073043034095 0.0069153600086502 0.00376413221134357 0.00966922821851051 0.00910547319684544 0.0113609513184598 0.0192603842768808 0.0232051067586888 0.0437935760244319 0.117846812277221 0.214412536139982 0.514769759888872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00117370892018779 0.00122549019607843 0.00146198830409357 0.00154320987654321 0.00170068027210884 0 0 0 0 0.00117370892018779 0.00170068027210884 0 0 0 0 0 0.00122549019607843 0 0 0.00146198830409357 0 0 0.00239919911626622 0.00190733359050191 0.00367647058823529 0.00292617046818727 0.00165016501650165 0 0.0037512529764381 0.00395664027454772 0.00417890710082457 0.0109486747914675 0.015941777232042 0.0251524769758099 0.0312882003925279 0.0844991230207164 0.119047664038762 0.239663223916491 0.430623774467694
3 213.416666666667 156.5 26.4166666666667 24.0833333333333 3.08333333333333 2.41666666666667 0.916666666666667 0.395854137709807 0.038708124946367 0.0630465090756489 0.0237579297153832 0.0165308103365885 0.259204576472109 0.0341748048791304 0.168723106864966 0 0 0 0 0.000559284116331096 0.000578703703703704 0.00106837606837607 0.00252525252525253 0 0 0 0 0 0 0.00252525252525253 0.000578703703703704 0 0.000273224043715847 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.00308453664158362 0 0 0.00213675213675214 0 0.00392305541214937 0.00257134548246229 0.0011379878200348 0.00601078179705295 0.012596451433576 0.0128012126492432 0.0156118120446316 0.00917118506110801 0.0107870236249004 0.0143147793583766 0.0207685422380648 0.0369278828786571 0.116904280259256 0.184886459980442 0.537320784907359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.00119047619047619 0.00260416666666667 0.00260416666666667 0 0 0 0 0 0.00119047619047619 0 0 0.00238095238095238 0 0 0 0 0 0.00119047619047619 0.00193798449612403 0 0 0 0 0 0 0.00260416666666667 0.00119047619047619 0 0.00520833333333333 0 0 0 0.00260416666666667 0.0045421511627907 0.00292755991285403 0.0116421568627451 0.00193798449612403 0.00582107843137255 0 0.0163729380641145 0.0209982474902106 0.0152036614991233 0.0149863140283012 0.02215914673151 0.0908020892253627 0.108669612045854 0.203864134304904 0.454754339007713
4 79.25 56.5 9.91666666666667 9.83333333333333 1.08333333333333 1.41666666666667 0.416666666666667 0.502129140494296 0.0337649676805894 0.051996647767614 0.0177968437394683 0.0248908682318884 0.139797487570462 0.0340683508508778 0.112222360331471 0 0 0 0.000825082508250825 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0.000825082508250825 0.00120772946859903 0 0 0 0.00120772946859903 0.000825082508250825 0 0 0.000825082508250825 0 0.00124378109452736 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0.00466548196026611 0.00120772946859903 0.013658562929105 0.0115299756221822 0.00914980450024237 0.016211771158982 0.0573527614342389 0.046514585379929 0.0708862306369803 0.0780243339065601 0.514721015708393 0 0 0 0 0 0 0 0 0 0.00213675213675214 0.00213675213675214 0.00268817204301075 0.00297619047619048 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.0053763440860215 0 0 0 0 0 0 0 0.00213675213675214 0 0.00268817204301075 0 0.00268817204301075 0 0.00566436251920123 0.0162163105711493 0.023692955263164 0.0273586707410237 0.0192068762989067 0.0945634457256848 0.0769829869687555 0.0860939924507287 0.455062063174018
5 121.416666666667 96 10.8333333333333 10.0833333333333 2.25 1.83333333333333 0.416666666666667 0.470633827378697 0.0533261116090568 0.044804029159993 0.0727026964360146 0.0375014182902284 0.120899982345646 0.0199809079026571 0.180151026877707 0.000502008032128514 0.00100401606425703 0.00138888888888889 0 0 0 0 0.000502008032128514 0 0 0 0.00138888888888889 0 0 0 0 0.00546302858492795 0.00150602409638554 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0.0014367816091954 0.00177562100252863 0.00277777777777778 0 0 0.000502008032128514 0.00365075300633512 0.0018908969210174 0.00398959239966835 0.0291137142889815 0.00697843153654792 0.00806373209570741 0.00703324417409061 0.0317058703278487 0.0562074185551506 0.103950562826756 0.561676983683743 0 0 0 0 0 0 0 0.00117370892018779 0.00234741784037559 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0.00234741784037559 0 0.00148809523809524 0 0.00260416666666667 0 0 0 0 0.00173611111111111 0.00260416666666667 0 0 0 0 0 0 0 0.00260416666666667 0.00260416666666667 0 0 0 0 0 0 0.00148809523809524 0 0 0 0.00580929487179487 0 0.00260416666666667 0.00266180415828303 0.056446158008658 0.00607638888888889 0.00791904202995752 0.0529279748029748 0.0433264652014652 0.149053203740704 0.484337613188846
6 73.3333333333333 53.5833333333333 7.58333333333333 9.66666666666667 0.833333333333333 1.16666666666667 0.333333333333333 0.402413201144817 0.0280299631085396 0.0506967745159348 0.0204311132079116 0.017766441475887 0.133491204134414 0.0225166367781209 0.157987998967708 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0.00490196078431373 0 0 0 0.00166666666666667 0 0 0 0.00333333333333333 0 0.0356637806637807 0.00166666666666667 0.00794858523119393 0.0125589225589226 0.00592231842231842 0.00666666666666667 0.0143837350486967 0.0164262187088274 0.0746091502037794 0.0896755368814192 0.554980498567455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0028735632183908 0 0 0 0 0.00231481481481481 0.00789036544850498 0.0220797720797721 0.0250559625559626 0.0128205128205128 0.0306513409961686 0.0829857959469026 0.0704465748321001 0.492881297286871
7 55.5833333333333 39 6.08333333333333 8.25 0.833333333333333 1 0.333333333333333 0.549214375991147 0.0191161522321717 0.0297789513832348 0.0332600952019918 0.0199218364901893 0.159032158278179 0.0190966640844337 0.0872464330053194 0 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0 0 0 0 0.000656167979002625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326135852451642 0 0 0 0.00106837606837607 0 0.00106837606837607 0.00208333333333333 0.0270524675369526 0.00723696688263617 0.00432871071404536 0.025407027815855 0.0153126616068234 0.00764629955794999 0.036755053423231 0.0935727834265702 0.607227582416662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.0431286549707602 0.00887635756056809 0.0283564814814815 0.0634990253411306 0.0150036549707602 0.0400828460038986 0.109649993038151 0.522421505151768
8 68.9166666666667 49.9166666666667 7.75 8.16666666666667 0.666666666666667 1.75 0.583333333333333 0.586081231633609 0.013648674712593 0.0218553114890895 0.0110526453291107 0.011393379307878 0.1678545353594 0.0146605852580174 0.0901203035769695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00213675213675214 0 0.00130208333333333 0.00248414376321353 0.000968992248062015 0.000968992248062015 0 0.0092178493341284 0.0041508104298802 0 0.0174326194638695 0.0176916276977476 0.0075109011627907 0.00743813074845052 0.0186353189768887 0.0569355055474242 0.121090706073302 0.648702233502761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0.00416666666666667 0.00308641975308642 0.00597826086956522 0.00181159420289855 0.00181159420289855 0 0 0.00597826086956522 0.00181159420289855 0.0140398550724638 0 0.0417082146248813 0.00918338907469342 0.0116940728353772 0.034224937032908 0.0367632334117841 0.118631365279916 0.623965614364165
9 72.4545454545455 54.2727272727273 7.09090909090909 7.72727272727273 1.36363636363636 1.63636363636364 0.363636363636364 0.643410722808411 0.0424412905561402 0.033744677011397 0.0186999800189282 0.0213726844511685 0.147237015053637 0.0102853017557424 0.0828083283445758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00273224043715847 0 0 0.00136612021857923 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0.00126262626262626 0 0 0.00146198830409357 0.00736359496605398 0.0040655280904009 0.00429009682676637 0.0127591706539075 0.0259569477429483 0.00560580365554927 0.00560580365554927 0.0164124089648734 0.0725295412021528 0.0729666466126825 0.678574542418542 0 0 0 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0.00245098039215686 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0.0117102396514161 0.00542717086834734 0 0.00245098039215686 0 0.00939542483660131 0.00347222222222222 0.0275462962962963 0.00297619047619048 0.00490196078431373 0.0316293183940243 0.0937986305633364 0.0901065981948335 0.612068160597572
10 59.0909090909091 43.5454545454545 5.27272727272727 6.72727272727273 1.45454545454545 1.36363636363636 0.727272727272727 0.636121311066235 0.0193034960184558 0.0233900560943804 0.0250959160282319 0.0182789816620827 0.198613238898998 0.0189683143459963 0.0602286858856202 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0.00887784090909091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00505514705882353 0 0.0119047619047619 0.0072625281066717 0.0138519128915934 0.0247416067728568 0.0111615715063991 0.0159473220134985 0.0253921836230406 0.0958002710244856 0.605050179234103 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00130208333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.0142857142857143 0 0 0.00833333333333333 0 0.00595238095238095 0.0277777777777778 0.015527950310559 0 0.04296875 0.0268973214285714 0.0228422619047619 0.130148486024845 0.512780904934438
