"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oe_Proportion" "Transition_go_Proportion" "Transition_he_Proportion" "Transition_je_Proportion" "Transition_ij_Proportion" "Transition_jh_Proportion" "Transition_ee_Proportion" "Transition_jo_Proportion" "Transition_hc_Proportion" "Transition_ge_Proportion" "Transition_ec_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_jc_Proportion" "Transition_oi_Proportion" "Transition_gc_Proportion" "Transition_ch_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_oc_Proportion" "Transition_oo_Proportion" "Transition_eh_Proportion" "Transition_ei_Proportion" "Transition_ji_Proportion" "Transition_sj_Proportion" "Transition_ih_Proportion" "Transition_eo_Proportion" "Transition_gj_Proportion" "Transition_ci_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_og_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_ic_Proportion" "Transition_hi_Proportion" "Transition_sc_Proportion" "Transition_hh_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_egg_Proportion" "Transition_ihc_Proportion" "Transition_gse_Proportion" "Transition_isj_Proportion" "Transition_sgo_Proportion" "Transition_eig_Proportion" "Transition_sei_Proportion" "Transition_csg_Proportion" "Transition_jsi_Proportion" "Transition_hes_Proportion" "Transition_esi_Proportion" "Transition_jso_Proportion" "Transition_sjs_Proportion" "Transition_isc_Proportion" "Transition_sih_Proportion" "Transition_eii_Proportion" "Transition_ogs_Proportion" "Transition_ics_Proportion" "Transition_eeh_Proportion" "Transition_ges_Proportion" "Transition_ehs_Proportion" "Transition_chs_Proportion" "Transition_jis_Proportion" "Transition_sos_Proportion" "Transition_jsh_Proportion" "Transition_jsc_Proportion" "Transition_hso_Proportion" "Transition_ccs_Proportion" "Transition_jgs_Proportion" "Transition_gih_Proportion" "Transition_jcs_Proportion" "Transition_gie_Proportion" "Transition_gei_Proportion" "Transition_iie_Proportion" "Transition_ecs_Proportion" "Transition_ghi_Proportion" "Transition_ggh_Proportion" "Transition_hig_Proportion" "Transition_ies_Proportion" "Transition_iig_Proportion" "Transition_gsi_Proportion" "Transition_egs_Proportion" "Transition_shi_Proportion" "Transition_ish_Proportion" "Transition_cch_Proportion" "Transition_iis_Proportion" "Transition_csh_Proportion" "Transition_eis_Proportion" "Transition_ihs_Proportion" "Transition_ses_Proportion" "Transition_osi_Proportion" "Transition_cgg_Proportion" "Transition_csi_Proportion" "Transition_igi_Proportion" "Transition_hhh_Proportion" "Transition_iii_Proportion" "Transition_sig_Proportion" "Transition_isg_Proportion" "Transition_scc_Proportion" "Transition_ccc_Proportion" "Transition_ssc_Proportion" "Transition_shs_Proportion" "Transition_sic_Proportion" "Transition_eic_Proportion" "Transition_jsg_Proportion" "Transition_soo_Proportion" "Transition_igg_Proportion" "Transition_ssi_Proportion" "Transition_gsh_Proportion" "Transition_gjs_Proportion" "Transition_ogi_Proportion" "Transition_cso_Proportion" "Transition_jjj_Proportion" "Transition_ssj_Proportion" "Transition_sjj_Proportion" "Transition_scs_Proportion" "Transition_cis_Proportion" "Transition_isi_Proportion" "Transition_sso_Proportion" "Transition_ggi_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_sii_Proportion" "Transition_esg_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_ggg_Proportion" "Transition_ess_Proportion" "Transition_gig_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_gis_Proportion" "Transition_igs_Proportion" "Transition_sgs_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 471.916666666667 380.833333333333 46.6666666666667 35.8333333333333 4.16666666666667 3.75 0.666666666666667 0.375104624341394 0.0407500052560312 0.0486929234242495 0.0147109810880358 0.0063668816255345 0.293315057836296 0.036242767931513 0.184816758496946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043630017452007 0.00043630017452007 0.00043630017452007 0.00043630017452007 0.000582750582750583 0.000586854460093897 0.000586854460093897 0.000617283950617284 0.000617283950617284 0.000683060109289617 0.000893383436486885 0.000900900900900901 0.00101905075727065 0.00117370892018779 0.00121724814347765 0.00140678838322817 0.00151660280970626 0.00162415937063824 0.00191351777077432 0.00199364284332207 0.00253896085311396 0.0036390655692425 0.00369186438766763 0.00489432803290793 0.00652432385704756 0.0124723677876035 0.017507960408985 0.0190250845895641 0.0207718415654193 0.0223590679092324 0.0226399340776059 0.0368604522232463 0.112774835442061 0.203303010862574 0.491918610886193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00148809523809524 0.00157232704402516 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00170068027210884 0.00173611111111111 0.00193460368581142 0.00205761316872428 0.00224988312295465 0.00284040078726069 0.00284040078726069 0.00327868970731679 0.0036231884057971 0.00374574701907261 0.00387258818193545 0.0042326704864622 0.00445488631858141 0.0044997662459093 0.00454446186968215 0.00454446186968215 0.00487201648501895 0.00619510277284733 0.00750229699228358 0.0115569102875591 0.0119003197525092 0.0139276085561671 0.0210963548643161 0.035322645496929 0.0434626276400024 0.0678557439941713 0.0945303496537895 0.200715877402578 0.400489744929085
2 465.916666666667 371.5 45.0833333333333 39.75 6.08333333333333 2.66666666666667 0.833333333333333 0.387814623066751 0.0529177129801034 0.0369268755846829 0.0115130203453351 0.0083109203687591 0.326756088168644 0.0236093011201319 0.152151458365593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000410509031198686 0.000418760469011725 0.00043630017452007 0.000470809792843691 0.00097626255978237 0 0 0.000389408099688474 0.000389408099688474 0 0.00043630017452007 0.000541125541125541 0 0.000793650793650794 0 0 0.000418760469011725 0 0 0.000541125541125541 0 0.000808168568700199 0.00430267982465539 0.000578703703703704 0 0.00262827792557426 0.00272320889414981 0.00306529172700232 0.00182222262219182 0.00343283271789878 0.0105933716466531 0.0151828780860835 0.00793381727705928 0.0160324113954205 0.0148732525812978 0.0260708119873075 0.0216324081389176 0.0976803112352801 0.228864803540383 0.535552127381555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00109649122807018 0.00109649122807018 0.00170068027210884 0.00170068027210884 0.00203252032520325 0 0 0 0 0 0.00102880658436214 0.00170068027210884 0 0 0.0016025641025641 0.00269905533063428 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00170068027210884 0 0 0 0 0 0 0.00363508442776735 0 0.00216450216450216 0 0.00108225108225108 0 0.00108225108225108 0 0 0.00624378296072776 0.00494743351886209 0 0.00443016712857983 0 0.00151515151515152 0.00151515151515152 0.00216450216450216 0.00102880658436214 0.0162088030222462 0.00432900432900433 0.00326099339257234 0.0032075488946834 0.0134637683945308 0.0277154456075134 0.0513519536945288 0.034962679710945 0.111539047917972 0.199641585551327 0.480736011371138
3 407.75 315.833333333333 40.1666666666667 39.9166666666667 5.16666666666667 4.75 1.91666666666667 0.440624400057566 0.0415369028895437 0.0392076269780403 0.0127889146359653 0.00962945294569505 0.30159750403158 0.0201522834322719 0.134462915029337 0 0 0 0 0 0 0 0 0.000329380764163373 0.000377073906485671 0.000410509031198686 0.000656167979002625 0.000754147812971342 0.000766634387324043 0.00108836085833052 0 0 0 0 0.000770297871747147 0 0.000329380764163373 0 0.000377073906485671 0.000563063063063063 0.00117503502508248 0.000356125356125356 0 0 0.000329380764163373 0 0.000329380764163373 0.000356125356125356 0 0 0.000377073906485671 0.000656167979002625 0.00296461115637924 0.00115740740740741 0.000908084467867077 0.00128515837435275 0.00511768617921595 0.0067002940164688 0.00372402633010342 0.00604350584715891 0.006808661267876 0.0177843965305559 0.0128621603126415 0.0143685450076471 0.00921909908885345 0.0127067863151786 0.0273700836226773 0.0733489018171407 0.190919411390742 0.59670980137165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000694444444444444 0.000694444444444444 0.000750750750750751 0.000750750750750751 0.000750750750750751 0.00100401606425703 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.0015015015015015 0.00188492063492063 0.00257936507936508 0 0 0 0 0.00283408408408408 0 0.000750750750750751 0 0 0 0 0 0.000694444444444444 0.00134408602150538 0.00141212641212641 0 0.0015015015015015 0 0 0 0 0 0 0 0.000661375661375661 0.00135582010582011 0.00185185185185185 0 0 0 0 0 0 0 0.000980392156862745 0.000661375661375661 0.00138888888888889 0 0.0029466966966967 0.00136612021857923 0.00213963963963964 0.00274470899470899 0 0.0025462962962963 0.00884404251427647 0.0015015015015015 0.005229182297906 0.0015015015015015 0.00134408602150538 0.00134408602150538 0.00407776043021945 0.00194122694122694 0.00833270373397376 0.00878101109878603 0.00251322751322751 0.00307539682539683 0.0119846144726311 0.0211900205469686 0.0216805811461588 0.0455700541352448 0.0896704484978494 0.181270445934109 0.536274517418453
4 260.833333333333 197.333333333333 28.25 28.1666666666667 3.08333333333333 3.08333333333333 0.916666666666667 0.41629187585511 0.0601581876356483 0.0533102491750739 0.0177284690057154 0.0168476972690337 0.234043339600712 0.0327239509438526 0.168896230514854 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0.000578703703703704 0 0 0.000476190476190476 0 0 0.00181159420289855 0 0 0 0 0.000570776255707763 0 0 0 0.000476190476190476 0.000476190476190476 0 0 0 0.00198412698412698 0 0 0.00181159420289855 0.00180052162607813 0 0.000570776255707763 0.00249715430823385 0.000476190476190476 0.00853305758697305 0.00228778467908903 0 0.00933853321534206 0.0125239353892889 0.00532943108971939 0.0138812404122707 0.0168076967529598 0.0299659578029287 0.0319742530409904 0.131967405233275 0.137812698860253 0.585222913984542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.00134408602150538 0.00134408602150538 0.00146198830409357 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0.00154320987654321 0.00104166666666667 0 0 0 0 0 0 0.00141242937853107 0.00460693536673929 0.00416666666666667 0 0.0151407746592957 0 0 0 0 0 0.00295563925507428 0.00416666666666667 0.0035453216374269 0 0.0134992069833027 0.0228281949126913 0.0612491420985171 0.0537186518253975 0.115774266090156 0.155137290718304 0.525969861507001
5 234.833333333333 180.5 25.9166666666667 22.3333333333333 3.08333333333333 2.33333333333333 0.666666666666667 0.494089924683106 0.0407090815432721 0.048501741443955 0.0143009368395074 0.0139882075774065 0.21656447215704 0.0266147785248042 0.145230857230909 0 0 0 0 0 0.00087719298245614 0.00130208333333333 0.000841750841750842 0 0.00130208333333333 0 0 0 0.000841750841750842 0.000841750841750842 0 0.00087719298245614 0 0 0 0.00163398692810458 0 0.00130208333333333 0 0 0.00199576121511833 0 0 0 0 0 0 0 0.000559284116331096 0.00132624696578185 0.00087719298245614 0 0 0 0.0041824725221282 0.00320086833244728 0 0.00391293147309689 0.00087719298245614 0.00163398692810458 0.00839777125690045 0.0129796961251284 0.00560978916683615 0.0100258945955501 0.0161563255491807 0.00528275379419285 0.0355528225254749 0.106140708958715 0.158560787627908 0.612907637463924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0.00146198830409357 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0.00498035914702581 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0 0 0 0 0 0 0 0 0 0.00493421052631579 0 0.00320512820512821 0.00347222222222222 0 0 0.00308641975308642 0.0036231884057971 0 0.00285087719298246 0.00320512820512821 0 0.0050990675990676 0.0166703264529352 0.0228541361455168 0.00927177958070407 0.0730441308768921 0.108366999909715 0.129010378729105 0.585882177262803
6 255.583333333333 194.666666666667 27.5 24.8333333333333 4.33333333333333 3.66666666666667 0.583333333333333 0.456671336723469 0.0558080954317574 0.0388174860026072 0.0169710179624718 0.0130946938846487 0.237264596628954 0.0257874835781164 0.155585289787975 0 0 0 0 0.000496031746031746 0.000992063492063492 0.00128205128205128 0 0 0 0 0 0.000544662309368192 0.000957854406130268 0.000574712643678161 0 0 0.000712250712250712 0 0 0.00192684665419228 0 0 0.00150251671549846 0.000544662309368192 0.0016154066990781 0.000544662309368192 0 0.000712250712250712 0 0 0 0.000957854406130268 0 0 0 0 0.00260331143951834 0.000957854406130268 0 0.00204717902486665 0.00572128090671277 0.00308043069317186 0.000544662309368192 0.00234623764035529 0.0107108015437875 0.0153631506619531 0.00518633117160765 0.00666944054367989 0.0114797447605009 0.0193397288489599 0.0246099277448044 0.107568114833362 0.162546095952024 0.605861881121737 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00134408602150538 0.00134408602150538 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0 0.00268817204301075 0 0 0 0 0.00268817204301075 0 0.00219298245614035 0.00134408602150538 0 0 0 0 0.00134408602150538 0 0.00324675324675325 0 0.00454921422663358 0 0 0 0 0 0 0 0 0 0.00242633710375646 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0.00480728948470884 0 0.0077834126341589 0 0 0.00333450333450334 0.00134408602150538 0.00219298245614035 0.00219298245614035 0 0 0.00454921422663358 0 0.00525872040358432 0.00119047619047619 0.00734156076898012 0.0221728221050976 0.0316459974247248 0.0437492469591366 0.11019501134043 0.177128383348413 0.544836838590966
7 257 190.083333333333 32.6666666666667 24.25 5.75 3.33333333333333 0.916666666666667 0.494227354376255 0.0369557308109882 0.0366731217240216 0.012224421439462 0.0141345396098915 0.250659493934734 0.0219415652256074 0.13318377287904 0 0 0 0.00125893437296946 0 0 0 0.000527426160337553 0 0 0.000771604938271605 0 0 0.000527426160337553 0 0 0 0.000771604938271605 0 0.000816993464052288 0 0 0 0 0 0.00272516835016835 0 0 0 0 0 0 0 0.000487329434697856 0 0 0 0.00271326302359377 0 0.000706214689265537 0.00108256752993595 0.00320599758890898 0.00706705082469639 0.00340187000726216 0.00239893834218048 0.0116988739643081 0.00933858554826297 0.0105092531800806 0.0161276943003352 0.00767757495216967 0.0128613072706215 0.0176584652589119 0.0980718207985916 0.18909384963925 0.598500185262519 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0.00366680503666805 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0.00214556857567255 0 0 0.00114155251141553 0 0 0.00489538880808879 0 0 0 0 0 0 0 0.00213675213675214 0 0 0 0 0 0 0.00252525252525253 0 0.00857537163464828 0.00389517252684206 0 0.00967941603346709 0 0 0 0.00136612021857923 0.00163398692810458 0.00943948955997149 0.00503672503825759 0.00463409407478839 0.00510237671999473 0.0100943965414051 0.0110240311438942 0.022257525828455 0.0328268459880855 0.0867492974525302 0.166162591698417 0.593687619505387
8 203.583333333333 151.583333333333 24.3333333333333 19.6666666666667 4.33333333333333 3.16666666666667 0.5 0.524532776406231 0.0335235506638175 0.0386245832216585 0.010321935239652 0.00932173342527022 0.222600103238775 0.0244756887942021 0.136599629010394 0 0 0.000636132315521628 0.00117370892018779 0 0 0 0 0 0 0 0 0 0.000537634408602151 0 0 0 0 0 0 0 0 0 0 0 0.00471751633111617 0 0 0 0 0 0 0 0.000537634408602151 0 0 0 0.00115740740740741 0 0.00146198830409357 0.00238289760348584 0.000636132315521628 0.00866121061025882 0.00193893129770992 0.00160512456358364 0.00718297801200288 0.0104634262691157 0.00254452926208651 0.0142987994138774 0.00865829686473106 0.00705706479786668 0.0366758859116674 0.0896999516174296 0.173693548608004 0.624279200757128 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00258537758537759 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.00126262626262626 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0.00126262626262626 0.00126262626262626 0.00377073906485671 0.00154320987654321 0 0.00865805463982763 0 0 0 0.00126262626262626 0.00132275132275132 0.00213675213675214 0.00126262626262626 0 0.00258537758537759 0.0105707654727263 0.021230040837884 0.0106480302558734 0.0604940182404971 0.0958730390171981 0.139294443423137 0.624837344424475
9 218.75 159.75 24.3333333333333 25.6666666666667 4.5 3.58333333333333 0.916666666666667 0.592057281622322 0.032837738468919 0.021004165169967 0.0107509141316317 0.00994224973420053 0.236787800080876 0.0152191578728658 0.081400692919218 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000591016548463357 0 0 0 0 0 0 0 0.000541125541125541 0 0.00213991769547325 0 0 0 0 0 0 0.000801282051282051 0.00128205128205128 0 0 0 0.00111111111111111 0 0 0.00111111111111111 0.000801282051282051 0.00475592541104589 0.00266082192327652 0.00170212765957447 0.00346008911415888 0.00829059829059829 0.00661448633972877 0.00857562164831721 0.00537248227655205 0.00791271398959201 0.0147333335406872 0.0691806074052906 0.142579389673704 0.714500854053523 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0.00626318565400844 0.00119047619047619 0 0 0 0.00304232804232804 0.00994201559934319 0 0.00243945868945869 0 0.00798969630062558 0.00574712643678161 0.00914986235534031 0.0227166850802818 0.0716948677201329 0.130807658098518 0.716391206517617
10 189.416666666667 136.166666666667 23.8333333333333 22.8333333333333 3.41666666666667 2 1.16666666666667 0.619863978619657 0.0247670322657709 0.0148026258349941 0.00746213869409906 0.00826652983646115 0.239563862255671 0.0127331517640685 0.072540680729278 0.000603864734299517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163567493112948 0 0 0 0 0.00122549019607843 0.000992063492063492 0 0 0 0 0 0.00068870523415978 0 0 0.000603864734299517 0 0 0.000544662309368192 0 0 0 0.00284340439972851 0.00446243694906797 0.00250927528858018 0.00377620718211054 0.00505641830333762 0.00834832588466402 0.00564362081423005 0.0121525648298773 0.0213018782392184 0.000505050505050505 0.0101819224116364 0.0540019312767211 0.167226296404479 0.6956963418799 0 0 0 0 0 0 0 0.00411734431291817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0.00438843518257768 0 0 0 0 0.00314465408805031 0 0 0 0 0 0 0 0.00124378109452736 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0.00157232704402516 0.00124378109452736 0 0.00157232704402516 0.00170068027210884 0.00157232704402516 0.00680551635592892 0 0 0 0.00124378109452736 0.00453563357876026 0.00848047065775375 0.00583686975312591 0.00124378109452736 0 0.0218399446583679 0.00923376954273684 0 0.0185991047135928 0.0538449266752905 0.123720882010855 0.71577980188395
