"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ce_Proportion" "Transition_hc_Proportion" "Transition_eg_Proportion" "Transition_hi_Proportion" "Transition_co_Proportion" "Transition_cg_Proportion" "Transition_gc_Proportion" "Transition_oo_Proportion" "Transition_ho_Proportion" "Transition_io_Proportion" "Transition_ei_Proportion" "Transition_ec_Proportion" "Transition_jc_Proportion" "Transition_ij_Proportion" "Transition_oh_Proportion" "Transition_ih_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_og_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_cc_Proportion" "Transition_ji_Proportion" "Transition_oc_Proportion" "Transition_jj_Proportion" "Transition_so_Proportion" "Transition_ch_Proportion" "Transition_hg_Proportion" "Transition_sh_Proportion" "Transition_gj_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_jg_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_eii_Proportion" "Transition_sei_Proportion" "Transition_jch_Proportion" "Transition_cos_Proportion" "Transition_osc_Proportion" "Transition_sse_Proportion" "Transition_sji_Proportion" "Transition_jis_Proportion" "Transition_ssj_Proportion" "Transition_jcs_Proportion" "Transition_coc_Proportion" "Transition_cgs_Proportion" "Transition_sgc_Proportion" "Transition_gcs_Proportion" "Transition_gos_Proportion" "Transition_gjs_Proportion" "Transition_jso_Proportion" "Transition_esi_Proportion" "Transition_hos_Proportion" "Transition_ish_Proportion" "Transition_ese_Proportion" "Transition_jgs_Proportion" "Transition_hso_Proportion" "Transition_csc_Proportion" "Transition_jsi_Proportion" "Transition_ssh_Proportion" "Transition_sos_Proportion" "Transition_ech_Proportion" "Transition_chs_Proportion" "Transition_igi_Proportion" "Transition_iig_Proportion" "Transition_isi_Proportion" "Transition_ois_Proportion" "Transition_jsg_Proportion" "Transition_esc_Proportion" "Transition_jsj_Proportion" "Transition_ihs_Proportion" "Transition_jhs_Proportion" "Transition_ohg_Proportion" "Transition_csg_Proportion" "Transition_jse_Proportion" "Transition_csh_Proportion" "Transition_shs_Proportion" "Transition_osh_Proportion" "Transition_shh_Proportion" "Transition_iii_Proportion" "Transition_ggi_Proportion" "Transition_hgs_Proportion" "Transition_cis_Proportion" "Transition_ccc_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_igs_Proportion" "Transition_ess_Proportion" "Transition_gse_Proportion" "Transition_sgi_Proportion" "Transition_sig_Proportion" "Transition_gii_Proportion" "Transition_gig_Proportion" "Transition_igg_Proportion" "Transition_gis_Proportion" "Transition_ses_Proportion" "Transition_osg_Proportion" "Transition_sjj_Proportion" "Transition_ssg_Proportion" "Transition_ocs_Proportion" "Transition_hsi_Proportion" "Transition_csi_Proportion" "Transition_iis_Proportion" "Transition_chg_Proportion" "Transition_isj_Proportion" "Transition_osi_Proportion" "Transition_gsi_Proportion" "Transition_sjs_Proportion" "Transition_sgg_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_scs_Proportion" "Transition_ssi_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_sii_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 466.583333333333 377.583333333333 45.5 34.5 4.75 3.58333333333333 0.666666666666667 0.343878923824114 0.0565534244521755 0.0598725426889564 0.0101554760593582 0.0121059390503496 0.266323590149789 0.0421892464347916 0.208920857340465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000377073906485671 0.000481695568400771 0.000527426160337553 0.000527426160337553 0.000764525993883792 0.000764525993883792 0.000771604938271605 0.000793650793650794 0.00124410124410124 0.00232922796213935 0.00235672606661967 0.00367329217134889 0.0038765184416098 0.0042379989457429 0.0053942132953477 0.0073298116278596 0.0100367583686857 0.0140284617205895 0.0142962518230772 0.0150541972682718 0.03075863973965 0.0328109886369357 0.0408132617594533 0.142480897530126 0.169056678238547 0.495214045644643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00119047619047619 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00212680577849117 0.00213675213675214 0.00228041560952036 0.00348083815825751 0.00348083815825751 0.00390980178214221 0.00403225806451613 0.00488332117852762 0.00488615929602999 0.00567382061439786 0.00568652514795065 0.00623735355829396 0.00632794397146502 0.00665445665445665 0.00703001967354072 0.0107773051321438 0.0127510594235054 0.0243955516356353 0.0699180053589006 0.0790626647928137 0.140307730806025 0.167084277397069 0.407210080771359
2 363.416666666667 286.666666666667 36.75 31.6666666666667 4.33333333333333 3.08333333333333 0.916666666666667 0.414580773401071 0.0489147805310282 0.0514929864007997 0.00781058542055525 0.0173818783804014 0.23220400437502 0.0381128776918088 0.189502113799317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000377073906485671 0.000496031746031746 0.000548245614035088 0.000750750750750751 0.000750750750750751 0.00196966629550899 0 0 0 0.00223214285714286 0 0.000925319520520759 0.00136913739854916 0 0.00277777777777778 0.00389705086232068 0.00157232704402516 0.00260225486414407 0.00441308075410739 0.00344229233171945 0.000992063492063492 0.00547808542892813 0.0095719345383488 0.0181964056830693 0.0130219667067517 0.0103783293932119 0.0273739483419656 0.0411340103503895 0.0284277856724553 0.112475673140572 0.160228496877683 0.544597397900691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000825082508250825 0.00112612612612613 0.00112612612612613 0.00119047619047619 0.00119047619047619 0.00138888888888889 0.00198412698412698 0.00198412698412698 0.00317460317460317 0.00317460317460317 0.00231660231660232 0.00633445945945946 0 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00119047619047619 0.00177304964539007 0.00225225225225225 0.00520833333333333 0 0 0.00361787530104362 0 0 0 0.00289817833134665 0 0 0 0.00402530189764232 0 0.00474400142716974 0.00112612612612613 0.00307733476050308 0.00138888888888889 0.0034044475876159 0.0104523866910638 0.00597651053201927 0.00876187737889866 0.00370549120549121 0.00705317779785865 0.0157593307593308 0.0259778822983839 0.0492203288861705 0.0894741445999374 0.116926405023548 0.15834712695999 0.443619913115024
3 423.5 327.5 46.8333333333333 37 5.91666666666667 4.5 1.75 0.378315738978959 0.0447013226355206 0.0524240684434442 0.0140061837718797 0.00833800923861473 0.307605550357638 0.0263502047628179 0.168258921811126 0 0 0 0 0 0 0 0 0 0 0 0 0.000412541254125413 0.000502008032128514 0.000551876379690949 0.0006265664160401 0.000666666666666667 0.00159555866410212 0 0 0 0.000408496732026144 0.000502008032128514 0 0 0 0.0006265664160401 0 0 0.000551876379690949 0.00129323308270677 0 0.000551876379690949 0.00176068902150739 0.000960373111717093 0.00558954843621304 0.00207359147869743 0.00103910767016551 0.00351824043907242 0.00295622312794384 0.015449623190628 0.0145168909660339 0.0159095444483899 0.00731025726085931 0.0152127794845433 0.0210104213291272 0.0376914239879628 0.110444565273957 0.201444721318346 0.534822725019799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000375375375375375 0.000750750750750751 0.000957854406130268 0.000957854406130268 0.00130208333333333 0.00130208333333333 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00154320987654321 0.00154320987654321 0.00154320987654321 0 0.00138888888888889 0 0 0 0.00187687687687688 0 0 0 0 0 0.00112612612612613 0.00350415070242656 0 0.000375375375375375 0.000750750750750751 0.000750750750750751 0.0015015015015015 0.00187687687687688 0.00117370892018779 0 0 0.00138888888888889 0.00710073437530132 0 0 0.00117370892018779 0.000750750750750751 0 0 0.000957854406130268 0.00229983504631392 0 0.0113349164740667 0.00176426426426426 0.00569646083877305 0 0.000750750750750751 0.00539732909208383 0.00764958134433608 0.00229983504631392 0.00133322978150564 0.00422429471725246 0.019458829861138 0.015564145703296 0.0670755417827403 0.0423927655272793 0.111263304534255 0.202966963508949 0.458388709714311
4 222.75 176.333333333333 23.4166666666667 19.4166666666667 1.33333333333333 1.75 0.5 0.299604191431717 0.0845210040657657 0.086290433249447 0.0177599953882394 0.0164142812699785 0.210500016992189 0.0409769336082378 0.243933143994425 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.0028735632183908 0.000946969696969697 0 0 0 0 0.000801282051282051 0 0 0 0 0.00150156216332687 0.000700280112044818 0.00121654501216545 0 0 0.00162620603797074 0.0028735632183908 0.000608272506082725 0.00334362139917695 0.000925925925925926 0 0 0.00603550175266976 0 0.000925925925925926 0.0043345205974613 0.000925925925925926 0.00668940415672442 0.0173743896470031 0.00362490149724192 0.00298353909465021 0.00601742097078675 0.0291376024811446 0.0427930924371992 0.0493400043740081 0.164965411101044 0.151726387541288 0.494679374570838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00203252032520325 0.00203252032520325 0.00260416666666667 0.00297619047619048 0.00463668699186992 0.00520833333333333 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0.00203252032520325 0 0.005501443001443 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0.00441297208538588 0.0014367816091954 0.00260416666666667 0 0 0.00260416666666667 0.00260416666666667 0 0.024840840521034 0.0279929404127785 0.103378244523868 0.0855781298091584 0.201931979399515 0.103993320871372 0.395897426230792
5 107.25 85.1666666666667 7.58333333333333 11.4166666666667 1.75 0.833333333333333 0.5 0.495019328626255 0.0533847297803389 0.0563241755071997 0.0198416469372027 0.014083249988179 0.171280011421363 0.0230426693247217 0.16702418841474 0 0 0 0 0 0 0 0.000905797101449275 0.00170068027210884 0.00225225225225225 0 0.000905797101449275 0 0 0 0 0 0 0 0 0 0.00512581547064306 0 0 0 0 0 0.00151515151515152 0 0 0.00406846567765169 0.00151515151515152 0.00490196078431373 0 0 0.00715421303656598 0.0057053882635278 0.00151515151515152 0.00146198830409357 0.0158933165742786 0.0242478945648333 0 0 0.00868252808277288 0.010784578048526 0.0415413272862221 0.0432629685767744 0.0917905352272613 0.110762330475137 0.614306708354685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00378787878787879 0.00378787878787879 0.00833333333333333 0 0 0 0.00520833333333333 0 0.00308641975308642 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0135416666666667 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.0036231884057971 0 0 0 0.00308641975308642 0 0 0 0 0.00617283950617284 0 0 0 0 0 0.0119179414922169 0 0.0404692220549917 0.00666144200626959 0.0432973263433034 0.0732645383651295 0.0969819419854271 0.148008263807272 0.49455068660581
6 184.25 144.583333333333 17.1666666666667 18.4166666666667 1.5 2.33333333333333 0.25 0.450082438439148 0.0469381586103387 0.0537678081590551 0.0124605249014096 0.0108299126806113 0.190715328889821 0.0387194179433304 0.196486410376287 0 0 0 0.000771604938271605 0.00115740740740741 0.00115740740740741 0.0014367816091954 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0.00115740740740741 0 0.00200135685210312 0 0.00173611111111111 0.00295243416651463 0 0 0.00124378109452736 0.00190145502645503 0.00268056270372277 0 0.00550965411040038 0.00249368686868687 0.0039546102046102 0.016428672906895 0.00124378109452736 0.00579844006568144 0.0130494500935926 0.0219644209472908 0.0545857903206214 0.0414513715021622 0.108854808530258 0.123419888369127 0.581313004150912 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0.00297619047619048 0.00297619047619048 0.00694444444444444 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00297619047619048 0 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00378787878787879 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.0142971549621166 0.00688608776844071 0 0 0 0 0 0 0.0299456107268514 0.0194039193028071 0.0732794194676369 0.119676578028746 0.0886970716016692 0.128054796133812 0.479625884374442
7 358.833333333333 292.166666666667 38.5 23.6666666666667 3 1.16666666666667 0.333333333333333 0.354582948570805 0.0524262873841613 0.0507550717319639 0.0191353802329412 0.00900478554447302 0.282767932255433 0.0272697201896505 0.204057874090572 0 0 0.000595238095238095 0 0 0.00104166666666667 0 0 0 0 0 0 0.000896057347670251 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0 0 0.00345289878907281 0 0 0.000341530054644809 0 0 0 0.00181159420289855 0.00297915378642649 0.00133270122208175 0.00729907434553009 0.00438144426542744 0.0043406071346938 0.020488376956378 0.00491439852883114 0.00878802654536859 0.00765967733280262 0.0240525157003361 0.0181655012399556 0.0389708719449452 0.153245288286003 0.175086865077177 0.519561274382613 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0.00402131782945736 0 0 0 0 0 0 0 0 0.00213675213675214 0.00193798449612403 0.00208333333333333 0.0028735632183908 0 0.00213675213675214 0.0029796511627907 0.003125 0 0.00213675213675214 0.00231481481481481 0.0387787945972294 0.0169419104268968 0.0720308955682429 0.0372368458244656 0.142233126210459 0.168983159427614 0.492754880702319
8 220.416666666667 179.666666666667 22.75 14.8333333333333 1.91666666666667 0.916666666666667 0.333333333333333 0.316916236506566 0.0656522066100341 0.0704398142799922 0.0287567259269879 0.0188343641746908 0.202117329070193 0.0514193374550183 0.245863985976518 0 0 0 0.000757575757575758 0 0.00132275132275132 0 0 0 0 0 0 0.000737463126843658 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0.00313852813852814 0 0 0.00372724419334589 0 0.000757575757575758 0.00677803949862773 0 0 0.000757575757575758 0.00119047619047619 0.000757575757575758 0 0.00391100527097404 0.00119047619047619 0.00814967975516198 0.0255117293844585 0.000757575757575758 0.0106991245590933 0.00917332939391763 0.0339901097861178 0.0409396784862754 0.0430598166000367 0.154389467024791 0.141803859157936 0.502332676465643 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00726010101010101 0 0 0 0 0 0 0 0.00378787878787879 0 0.00378787878787879 0.00992063492063492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00974025974025974 0 0.00252525252525253 0.00617283950617284 0 0 0 0 0.0261837268577465 0.0361344243084439 0.0697318844248669 0.0914385342565167 0.13218916398741 0.124492264343271 0.460817255308999
9 103.583333333333 82 9.41666666666667 10.25 0.666666666666667 1.08333333333333 0.166666666666667 0.543326532284501 0.0497641820974414 0.0478125362582812 0.00950359701759928 0.00992310015142364 0.177776372114209 0.0252105086510428 0.136683171425502 0 0 0 0 0 0 0.0026668373442567 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0.00126262626262626 0.00126262626262626 0 0.00189393939393939 0 0.00789471368739661 0.0147973638827297 0 0.00126262626262626 0.0151782967198276 0.01631882119687 0.0437310143742087 0.0337162982717664 0.0988704645485021 0.0991128178189126 0.652561857004014 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0 0.00297619047619048 0 0 0 0.00297619047619048 0.0387332375478927 0.0364946106156383 0.0673679193899782 0.114608990147783 0.0987131682174786 0.624343431497759
10 152.083333333333 119.833333333333 12.5833333333333 16 1.58333333333333 1.75 0.333333333333333 0.512595756435036 0.0461973003462707 0.0345709585011598 0.0153957155295559 0.0104863152029323 0.188817759689336 0.0293791812294117 0.162557013066298 0.00173611111111111 0.00173611111111111 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0.000661375661375661 0 0.00152905198776758 0.00612207602339181 0.00208333333333333 0.0125161614353344 0.0166145150686793 0.00124378109452736 0.00705533427937293 0.00331276751271355 0.00664382592387602 0.0523568696593142 0.0273268482946923 0.115976582490484 0.0987481055375685 0.641836512370352 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0219463004789092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00132275132275132 0.00757575757575758 0 0.00479497354497354 0 0 0.00185185185185185 0 0.0269296979823296 0.0140873015873016 0.0428897369686843 0.109796608066059 0.082912141464773 0.089815647209812 0.580411805755055
