"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cc_Proportion" "Transition_eo_Proportion" "Transition_oo_Proportion" "Transition_hc_Proportion" "Transition_ho_Proportion" "Transition_je_Proportion" "Transition_cj_Proportion" "Transition_oi_Proportion" "Transition_oe_Proportion" "Transition_he_Proportion" "Transition_eg_Proportion" "Transition_ge_Proportion" "Transition_ec_Proportion" "Transition_ic_Proportion" "Transition_ji_Proportion" "Transition_ee_Proportion" "Transition_gh_Proportion" "Transition_jj_Proportion" "Transition_hh_Proportion" "Transition_ch_Proportion" "Transition_og_Proportion" "Transition_jg_Proportion" "Transition_hj_Proportion" "Transition_gj_Proportion" "Transition_ei_Proportion" "Transition_oh_Proportion" "Transition_ie_Proportion" "Transition_hi_Proportion" "Transition_ih_Proportion" "Transition_cg_Proportion" "Transition_ij_Proportion" "Transition_hg_Proportion" "Transition_se_Proportion" "Transition_jh_Proportion" "Transition_sj_Proportion" "Transition_ci_Proportion" "Transition_gi_Proportion" "Transition_jo_Proportion" "Transition_io_Proportion" "Transition_sh_Proportion" "Transition_co_Proportion" "Transition_ii_Proportion" "Transition_sc_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jsg_Proportion" "Transition_hig_Proportion" "Transition_ccs_Proportion" "Transition_ieo_Proportion" "Transition_jsc_Proportion" "Transition_oos_Proportion" "Transition_hgg_Proportion" "Transition_jsj_Proportion" "Transition_ios_Proportion" "Transition_ogs_Proportion" "Transition_ecs_Proportion" "Transition_sjs_Proportion" "Transition_sso_Proportion" "Transition_ose_Proportion" "Transition_gsh_Proportion" "Transition_ihe_Proportion" "Transition_gei_Proportion" "Transition_ogg_Proportion" "Transition_isj_Proportion" "Transition_jis_Proportion" "Transition_esi_Proportion" "Transition_oes_Proportion" "Transition_hes_Proportion" "Transition_jjs_Proportion" "Transition_ssc_Proportion" "Transition_sos_Proportion" "Transition_sic_Proportion" "Transition_hhh_Proportion" "Transition_ssh_Proportion" "Transition_ics_Proportion" "Transition_esc_Proportion" "Transition_csj_Proportion" "Transition_osj_Proportion" "Transition_jhs_Proportion" "Transition_jgs_Proportion" "Transition_sih_Proportion" "Transition_sie_Proportion" "Transition_hih_Proportion" "Transition_esh_Proportion" "Transition_hhi_Proportion" "Transition_hii_Proportion" "Transition_ish_Proportion" "Transition_iee_Proportion" "Transition_his_Proportion" "Transition_iie_Proportion" "Transition_eii_Proportion" "Transition_gie_Proportion" "Transition_shs_Proportion" "Transition_ghs_Proportion" "Transition_ses_Proportion" "Transition_iih_Proportion" "Transition_eis_Proportion" "Transition_shh_Proportion" "Transition_iei_Proportion" "Transition_ihi_Proportion" "Transition_iij_Proportion" "Transition_cgs_Proportion" "Transition_osg_Proportion" "Transition_ohs_Proportion" "Transition_hgs_Proportion" "Transition_ise_Proportion" "Transition_iig_Proportion" "Transition_gig_Proportion" "Transition_iii_Proportion" "Transition_igi_Proportion" "Transition_sgi_Proportion" "Transition_igs_Proportion" "Transition_gii_Proportion" "Transition_iis_Proportion" "Transition_isg_Proportion" "Transition_ssi_Proportion" "Transition_ggi_Proportion" "Transition_gsi_Proportion" "Transition_isi_Proportion" "Transition_sig_Proportion" "Transition_ssg_Proportion" "Transition_gis_Proportion" "Transition_sgg_Proportion" "Transition_scs_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_jcs_Proportion" "Transition_ess_Proportion" "Transition_cso_Proportion" "Transition_gsg_Proportion" "Transition_igg_Proportion" "Transition_ggg_Proportion" "Transition_sis_Proportion" "Transition_sgs_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 380.25 305.833333333333 37 30.5 4.08333333333333 1.91666666666667 0.916666666666667 0.373940144529727 0.0444533338075119 0.0488071863941625 0.0086608678539432 0.00673856255138229 0.251719064148898 0.0438337291856832 0.221847111528692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000511247443762781 0.000661375661375661 0.00072463768115942 0.00104178724389397 0.00124378109452736 0.00139236981342244 0.00185745438549695 0.00201000968679367 0.00202994461653994 0.00228202268079569 0.00353955376332928 0.00767236250093801 0.00823397820845587 0.01088012276034 0.0109922657594431 0.0220873227297234 0.0274827510766719 0.0380512121881696 0.146370973925688 0.172365508250972 0.538569318528501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.0010752688172043 0.0010752688172043 0.0010752688172043 0.0010752688172043 0.00181159420289855 0.00189393939393939 0.00189393939393939 0.00267438654535429 0.00306288693385468 0.00347222222222222 0.00413466461853559 0.0043010752688172 0.00483870967741936 0.00756685966363386 0.00817914164688358 0.00951100870455709 0.0141218570394772 0.0177672751696521 0.0541904727061035 0.0572027227732365 0.160324566389378 0.160502264133511 0.476098800613361
2 417.333333333333 330.833333333333 37.3333333333333 40.6666666666667 3.83333333333333 2.41666666666667 2.25 0.383860223472448 0.043053596119949 0.0484889252174783 0.00560585887178017 0.00603510779398506 0.2847890331334 0.038026964675592 0.190140290715368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000202265372168285 0.000202265372168285 0.000202265372168285 0.00101132686084142 0.00102479135984291 0.00344448961372296 0.000481695568400771 0 0.00189131257092422 0 0.00223089738071325 0.00109832271983854 0.000631818636773096 0 0.00245220698628766 0.00450386368636767 0.0117104364087755 0.00786210855757446 0.00945066334444726 0.0098421708517527 0.0165309057902245 0.0400031305718585 0.0243029355725268 0.139085305866601 0.176065497516422 0.5457693240196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000718390804597701 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00168738305265972 0.00295338441890166 0 0.000359195402298851 0.0021551724137931 0.00223499361430396 0 0.00151660280970626 0.00251436781609195 0.00592238602920762 0.00260416666666667 0.000359195402298851 0.00107758620689655 0.000359195402298851 0.00322061191626409 0 0.00779818424121273 0.000718390804597701 0.00375159642401022 0.0107894233249545 0.011086329412813 0.00635576309067688 0.00901752441152885 0.0163252154261555 0.0519321223331612 0.0800612539410253 0.189430969340428 0.150838416056172 0.428105857398198
3 447.833333333333 362.083333333333 41.1666666666667 35.9166666666667 3.66666666666667 3.5 1.5 0.388192236785209 0.0374583830294859 0.0472326200933648 0.0131840807197554 0.0069332298770314 0.322941510408739 0.0264066595542678 0.157651279532146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000282485875706215 0.000431778929188256 0.000431778929188256 0.000452898550724638 0.000460405156537753 0.000460405156537753 0.000564971751412429 0.000666666666666667 0.000847457627118644 0.000847457627118644 0.000847457627118644 0.000892184085726009 0.00132396301491426 0 0.000282485875706215 0.000548245614035088 0.00129113664627906 0.000431778929188256 0.00629281848979369 0.00133333333333333 0 0.00102537690795018 0 0.0172096360051082 0.00285868926242912 0.000460405156537753 0 0.00781920493097438 0.00685583497262308 0.0191408665614969 0.0133085751486779 0.0146532982760942 0.0116043179583728 0.0124091083416635 0.0129826322161269 0.0312502864909146 0.0993676750008897 0.194426768482701 0.535090156774027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.000508130081300813 0.00101626016260163 0.00101626016260163 0.00120772946859903 0.00120772946859903 0.00136612021857923 0.00154320987654321 0 0.000508130081300813 0.0021916317648025 0.00222398963120066 0.0116561961074156 0 0.00101626016260163 0.0037483798751031 0.00455777285045578 0.00986290083585948 0.00271486643437863 0.00101626016260163 0.00404964276915496 0.00254065040650406 0.00846370206126304 0.00101626016260163 0.00540222507488233 0.00287427116695409 0.00592389306903501 0.00136612021857923 0 0.00592305165475897 0 0.00119047619047619 0 0.00771078514980954 0.0021916317648025 0.00387513344830418 0.0051001204456489 0.00948351776187216 0.00697323178765384 0.0139892010312063 0.0148186225134012 0.0582979777387579 0.0194650363816212 0.194817184644546 0.0812104994439975 0.487316726387511
4 317.5 253.166666666667 33.25 26.4166666666667 2.75 1.41666666666667 0.5 0.353955854888106 0.0426478204932009 0.0741167206397733 0.0145402297134396 0.0126381844632711 0.291596554114378 0.0322481810263486 0.178256454661482 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00051440329218107 0.00131830375188329 0 0 0 0 0 0 0.00491522366522367 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0.0019325912183055 0.000946182221369326 0 0 0 0.00072463768115942 0 0 0.0028615136284265 0.00130208333333333 0 0.000863557858376511 0.00672719673633759 0.00798294962464263 0.00326035740788494 0.00240755521052009 0.0150296561806702 0.0195955643782398 0.0210478401765867 0.0470621564010949 0.126296965427973 0.200056777081002 0.53420751502782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00124378109452736 0.00173611111111111 0.00173611111111111 0.00238095238095238 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0.00248756218905473 0 0 0 0.00122549019607843 0 0 0 0 0.00122549019607843 0 0.00122549019607843 0.0028735632183908 0 0 0 0.0137899633605372 0 0.00122549019607843 0 0 0.00122549019607843 0.00567138045849439 0.00246927129060579 0.0196641875140861 0.0295671937929401 0.068353291737007 0.052072571494629 0.183477080403079 0.143791910428594 0.45142646686105
5 195.583333333333 156.25 17.0833333333333 18.25 2 1.5 0.5 0.375075458430192 0.0610314353588807 0.0636449911982575 0.0111702405408783 0.0149334498457566 0.207619976087844 0.0418974075770391 0.224627040961153 0 0 0 0 0 0 0 0 0 0 0.000559284116331096 0.000559284116331096 0.00189393939393939 0.000896057347670251 0 0 0 0 0.00347222222222222 0 0 0.00136612021857923 0 0 0 0 0 0 0 0.000621890547263682 0 0 0 0.00136612021857923 0 0 0.00167785234899329 0.00231481481481481 0 0.00624582433960325 0 0.00279642058165548 0 0 0 0 0.00374707259953162 0.00568048869516865 0.00899600855905585 0.00958746574875962 0.0121296282982186 0.0330542292249785 0.0512691734621224 0.0395667725735547 0.133766065295193 0.132252419459763 0.546180845817671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0.0036231884057971 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0.00115740740740741 0.00115740740740741 0 0 0.00231481481481481 0.00115740740740741 0.0036231884057971 0 0.00115740740740741 0.00115740740740741 0.00115740740740741 0 0 0.00115740740740741 0 0.00520833333333333 0 0.00115740740740741 0 0.00231481481481481 0.00593800322061192 0.00231481481481481 0.00231481481481481 0.0193164826317 0.0363612836438923 0.072419903849528 0.0978219442202493 0.123036160239089 0.127824493221509 0.475589901276158
6 278.416666666667 224.666666666667 26.1666666666667 22.8333333333333 2.25 1.83333333333333 0.666666666666667 0.404904975812102 0.0483305305662177 0.0543380788014083 0.0130398630807057 0.0117350328096668 0.226665243065612 0.0357479519002951 0.205238323963992 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0 0 0 0.00181159420289855 0.0027893098079917 0 0 0.000936329588014981 0 0 0.0043859649122807 0.00704553938036581 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0 0.00309959349593496 0 0.00116807475678443 0 0 0.00128968253968254 0 0.00274792379091353 0.00606659781529373 0 0.00500137023842149 0.0020469158127386 0.011988852958408 0.00719090264176071 0.00649489656152221 0.00446428571428571 0.00998120057729538 0.0320217448011059 0.0389637212260588 0.0336703645601015 0.119552112200838 0.145772349379658 0.548621753699013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00185185185185185 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00416666666666667 0.00490196078431373 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0.00146198830409357 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0.00846949891067538 0 0.00238095238095238 0 0.0161558969485799 0 0.00530492898913951 0 0.00146198830409357 0.00225225225225225 0 0.0043859649122807 0.0124356308179838 0.0391103670515435 0.0741641439151444 0.0835970046269827 0.111228393894708 0.131324663204713 0.478793955947924
7 419.833333333333 343.5 39.4166666666667 29.5 4.33333333333333 2.58333333333333 0.5 0.346921920622022 0.0476400966964997 0.0473927814498405 0.0177767592488804 0.00858645188889933 0.344111453078036 0.0293397411745465 0.158230795841276 0 0 0 0 0 0 0.00068870523415978 0.00137741046831956 0 0.000354609929078014 0 0.000899202320522118 0 0 0.000868055555555556 0 0 0.00072463768115942 0 0 0.000764525993883792 0.000764525993883792 0 0 0.000476190476190476 0 0 0 0.000709219858156028 0 0 0 0 0 0.00072463768115942 0 0.00295845997973658 0 0 0.000423011844331641 0 0.00141843971631206 0.000354609929078014 0.00104331516323779 0 0.00231764203683417 0.00430928306269799 0.013870241094527 0.00595222214679482 0.00977875476519458 0.0137778557470585 0.0230380038374966 0.015372725336924 0.0358791678365383 0.107404601882931 0.235195979142083 0.518553965286156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.00106837606837607 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000896057347670251 0.00106837606837607 0 0 0 0 0 0 0 0 0 0 0.00196443341604632 0.000896057347670251 0.0017921146953405 0 0 0 0.000896057347670251 0.00268817204301075 0 0.00196443341604632 0.0017921146953405 0.00268817204301075 0.00268817204301075 0.000896057347670251 0.00268817204301075 0.00106837606837607 0 0 0.0017921146953405 0 0.00666144200626959 0 0.0078299746848134 0.0017921146953405 0 0.00193798449612403 0.0126434260080172 0.00283404184379428 0.00811181962157206 0.0287706348232664 0.051956171431275 0.0348010356653681 0.209526170644767 0.119092167403765 0.484405763248051
8 267.25 215.166666666667 25.0833333333333 23.75 1.83333333333333 1.25 0.166666666666667 0.324688300208933 0.0525315814907988 0.0765510788556398 0.0112544077006842 0.0118102379790738 0.276174098175105 0.0348676093984811 0.212122686191285 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0.00228034251675354 0 0 0 0 0 0 0 0 0.000420875420875421 0 0 0 0 0 0 0 0 0 0.00228034251675354 0.00205761316872428 0 0 0.000420875420875421 0 0 0 0.00574712643678161 0.0037300245219911 0.000420875420875421 0 0.000420875420875421 0.00462936448927828 0.0191067720249836 0.0118467094419282 0.000965537730243613 0.00896834821431959 0.0132761157243235 0.016668629137025 0.0531402617562758 0.123998867356853 0.201000102591515 0.526847291043359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.00108225108225108 0.0102546199320393 0 0 0 0 0.0043859649122807 0.0123153806977336 0.00119047619047619 0.00663780663780664 0.004064039408867 0.0930941966690752 0.0367283065303656 0.220360181140047 0.147050666620829 0.442002776844896
9 174.166666666667 137.416666666667 13.75 18.8333333333333 1.91666666666667 2.08333333333333 0.166666666666667 0.457391609442769 0.0452744156904632 0.0449059848696008 0.0146782613089326 0.00701131516761059 0.213424296813125 0.0354489478800668 0.181865168827432 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00352926858950955 0 0 0 0 0 0 0 0 0 0 0.00380940614446915 0 0 0.00117370892018779 0.00295042259327974 0 0 0.00173611111111111 0 0 0.00117370892018779 0.00198412698412698 0.00247579225352113 0 0.00662134270931255 0.00580429899886328 0.00355645402815214 0.00589240302763498 0.014360756907167 0.0131381253160283 0.0501084530886751 0.0379456567304965 0.083460234748517 0.135560044401252 0.62354597560732 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.00628121098626716 0 0 0 0 0.0120702599150875 0 0.00187265917602996 0 0 0 0 0.00510299625468165 0.0238158835631905 0.0157389611669623 0.0846848963625279 0.0951040253597665 0.146080628861033 0.0853257033586679 0.508862513192498
10 234 183.5 19.0833333333333 26.0833333333333 2.33333333333333 2.33333333333333 0.666666666666667 0.441271325770935 0.0508580708870583 0.0543060684466908 0.0137872100142952 0.0113158251912815 0.224479613414233 0.0310997088772883 0.172882177398219 0 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0.000936329588014981 0 0 0 0.00109649122807018 0 0 0.000574712643678161 0.00245098039215686 0 0 0 0 0 0.00210970464135021 0 0 0 0 0.00199118190869009 0.00109649122807018 0.00232720178372352 0 0 0 0.000377073906485671 0.000574712643678161 0 0.000377073906485671 0.00931643972240395 0.00105485232067511 0.0016304347826087 0.00128287100793495 0.00617409288984668 0.00917963137157198 0.0072379874987948 0.00114942528735632 0.015640747275786 0.0156100512600059 0.0546972157580747 0.0403743794222454 0.0872294833885027 0.152762108069024 0.581842528973316 0 0 0 0 0 0 0 0 0.000764525993883792 0.00117370892018779 0.00208333333333333 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0.00225225225225225 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00284785932721713 0 0 0 0 0 0 0.000764525993883792 0 0.00342596117244005 0 0.00117370892018779 0 0 0 0 0.00231481481481481 0 0.00193823491407159 0 0 0.00450487348423128 0.0125305047492992 0 0.0203289545719123 0.0155541235299602 0.0785493205387571 0.125882485132255 0.138553954541057 0.0897623322962655 0.487173442092907
