"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ec_Proportion" "Transition_oo_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_ih_Proportion" "Transition_ee_Proportion" "Transition_hj_Proportion" "Transition_ei_Proportion" "Transition_jh_Proportion" "Transition_ce_Proportion" "Transition_io_Proportion" "Transition_ch_Proportion" "Transition_hh_Proportion" "Transition_ic_Proportion" "Transition_ge_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_og_Proportion" "Transition_ie_Proportion" "Transition_gh_Proportion" "Transition_so_Proportion" "Transition_gc_Proportion" "Transition_gj_Proportion" "Transition_oj_Proportion" "Transition_ij_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_oi_Proportion" "Transition_go_Proportion" "Transition_oc_Proportion" "Transition_cc_Proportion" "Transition_hi_Proportion" "Transition_ig_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_ci_Proportion" "Transition_sc_Proportion" "Transition_cj_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_sh_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_si_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_iso_Proportion" "Transition_ecs_Proportion" "Transition_oos_Proportion" "Transition_jcs_Proportion" "Transition_ois_Proportion" "Transition_igi_Proportion" "Transition_ces_Proportion" "Transition_osi_Proportion" "Transition_sie_Proportion" "Transition_esi_Proportion" "Transition_iee_Proportion" "Transition_eee_Proportion" "Transition_sih_Proportion" "Transition_ihh_Proportion" "Transition_sos_Proportion" "Transition_ghs_Proportion" "Transition_hsi_Proportion" "Transition_eis_Proportion" "Transition_gsc_Proportion" "Transition_gig_Proportion" "Transition_shh_Proportion" "Transition_sch_Proportion" "Transition_csg_Proportion" "Transition_his_Proportion" "Transition_chs_Proportion" "Transition_jsc_Proportion" "Transition_sjj_Proportion" "Transition_ics_Proportion" "Transition_sic_Proportion" "Transition_csc_Proportion" "Transition_ges_Proportion" "Transition_gcs_Proportion" "Transition_sig_Proportion" "Transition_iig_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_jsi_Proportion" "Transition_esc_Proportion" "Transition_isi_Proportion" "Transition_ggg_Proportion" "Transition_ogs_Proportion" "Transition_gsj_Proportion" "Transition_hsc_Proportion" "Transition_ssj_Proportion" "Transition_sgi_Proportion" "Transition_isg_Proportion" "Transition_iis_Proportion" "Transition_sgj_Proportion" "Transition_iii_Proportion" "Transition_sjs_Proportion" "Transition_gii_Proportion" "Transition_cgs_Proportion" "Transition_cis_Proportion" "Transition_scs_Proportion" "Transition_igg_Proportion" "Transition_igs_Proportion" "Transition_gis_Proportion" "Transition_gos_Proportion" "Transition_ocs_Proportion" "Transition_ssh_Proportion" "Transition_ccs_Proportion" "Transition_csi_Proportion" "Transition_ggs_Proportion" "Transition_ses_Proportion" "Transition_ssg_Proportion" "Transition_gsi_Proportion" "Transition_cjs_Proportion" "Transition_shs_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_sgg_Proportion" "Transition_sis_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 357.75 290.5 32.5833333333333 29.5833333333333 2.16666666666667 2.41666666666667 0.5 0.354479701441833 0.0713324975834344 0.0786993158497491 0.00434487600687451 0.0218678580343737 0.252494653040495 0.0401055822950336 0.176675515748207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000337381916329285 0.000337381916329285 0.000337381916329285 0.000530785562632696 0.000530785562632696 0.000534188034188034 0.0006265664160401 0.0006265664160401 0.000674763832658569 0.000674763832658569 0.000743885981369935 0.000957854406130268 0.000963948332369385 0.00120554939529127 0.00130208333333333 0.00183211581133137 0.00190628187573536 0.00279681722833541 0.00307828671114936 0.00429961120750594 0.00578197247299804 0.00668086482231219 0.00760090591656977 0.0207549140278749 0.033216142988423 0.044396611172535 0.0502444153907681 0.108522410571795 0.161128055690457 0.537376707257877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00132275132275132 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00175603118564284 0.00225225225225225 0.00232421300382465 0.00256509267431598 0.00297619047619048 0.00308747855917667 0.00313327449249779 0.00313327449249779 0.00327118270079435 0.00403444825614637 0.00478633421594587 0.00534287045209375 0.00559539570461901 0.00849642985565316 0.0389835996632113 0.0735348090313293 0.0914203173205398 0.104088874387109 0.158496336965324 0.46848386799544
2 382.5 310 30.1666666666667 36.5833333333333 2.33333333333333 2.41666666666667 1 0.398215992507014 0.0600506708314884 0.0421717172701186 0.00205378647303218 0.0133710705452808 0.293007278796331 0.0300942004464495 0.161035283130286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000290360046457607 0.000290360046457607 0.000290360046457607 0.000580720092915215 0.000825082508250825 0.000925925925925926 0 0 0 0 0.000290360046457607 0 0 0.000925925925925926 0.000290360046457607 0.00116144018583043 0.00264665022808745 0 0.000290360046457607 0.000570002104623156 0 0.00753863446646679 0.00299946536880335 0.000290360046457607 0.00197893038374296 0.000857253470493889 0.0147945899132071 0.00504703506698188 0.00751879288296779 0.00420875420875421 0.0275834235113395 0.0289919491961392 0.046843450803961 0.11619355690854 0.1814212176043 0.54435467891754 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0.000555555555555556 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.00116382806163828 0.00121654501216545 0.00171938361719384 0.00231481481481481 0.00238037307380373 0.00292308732089754 0.00388888888888889 0 0 0 0 0.000608272506082725 0.00116382806163828 0 0 0 0.00333333333333333 0.00416666666666667 0.000608272506082725 0 0.00116382806163828 0.00227493917274939 0 0 0.00293592862935929 0.00816098945660989 0.0122433881273119 0.00203252032520325 0.00111111111111111 0.00177210056772101 0.00171938361719384 0.00128205128205128 0.0323051554617503 0.0633945539660334 0.109157975706849 0.100140693472442 0.204421740613755 0.426852145429573
3 478.833333333333 391.333333333333 37.0833333333333 43 3.33333333333333 3.66666666666667 0.416666666666667 0.409159032838009 0.0343667567553919 0.0244035395733068 0.00567742725705648 0.0108137566910024 0.381309249777533 0.0200949640222974 0.114175273085402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000946969696969697 0 0 0 0 0 0 0 0 0.000393081761006289 0 0 0.000473484848484848 0.000700280112044818 0.000473484848484848 0 0.000786163522012579 0.00163362114913122 0 0 0.00106033930857875 0 0.00208604700131366 0.00423502266111318 0 0.00524899744914429 0.00439132496716766 0.0128745043046581 0 0.00443176065136834 0.0061090116933458 0.00799740569123394 0.0157699762414867 0.0154180631804702 0.0701192931369472 0.277347556262175 0.567030126664378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0.000905797101449275 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00181159420289855 0.000750750750750751 0.000905797101449275 0 0 0 0 0 0.000905797101449275 0.000750750750750751 0 0 0 0.000905797101449275 0 0 0 0.000905797101449275 0 0.000599520383693046 0 0 0 0 0 0.000905797101449275 0 0.00183300183300183 0.00271739130434783 0 0 0.000905797101449275 0.00120772946859903 0.00799215793937408 0.00720802324063194 0.00150531748514232 0.000599520383693046 0.00150531748514232 0.00839967080376288 0.016837011757054 0.0381304676338707 0.0631475869944775 0.0366194369710994 0.305423183688117 0.492092001706202
4 383.833333333333 303.833333333333 35.9166666666667 35.5 4.41666666666667 3.25 0.916666666666667 0.355879807581981 0.0453627971046242 0.03900169697226 0.00244878737304709 0.0142672938601351 0.351634184588273 0.0279493394922767 0.163456093027403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000387596899224806 0.000387596899224806 0 0 0 0.000384024577572965 0.00111111111111111 0.000582750582750583 0 0 0 0.000661375661375661 0 0 0 0 0 0 0.00271531929127055 0.000697307785593015 0 0 0.00665078960714578 0 0.00031328320802005 0.000661375661375661 0.00130830521496836 0.00486155373429824 0.00155740945214629 0.0114048496041526 0 0.0106911115352553 0.00511878669947599 0.0153007450753837 0.0262649044165481 0.01766231028404 0.0846948202387202 0.264885214728693 0.541697457731653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000683060109289617 0.000957854406130268 0.00198412698412698 0 0 0 0 0.000957854406130268 0 0.000957854406130268 0 0 0 0 0 0 0 0.000645994832041344 0 0 0 0.000645994832041344 0 0 0.000683060109289617 0.000957854406130268 0.00534381931841097 0.000957854406130268 0 0 0 0 0 0.00383141762452107 0 0.00419569057240645 0 0 0.000683060109289617 0.000957854406130268 0 0.00692167577413479 0.00462962962962963 0.00351955805043215 0.00191570881226054 0.00164091451541989 0.00263012181616833 0.0122339731612137 0.0420774729493337 0.0979077051130942 0.0372556629307659 0.297240311498433 0.467583914820916
5 218 175.75 16.25 22 2.16666666666667 1.5 0.333333333333333 0.446140168675554 0.0561651043589498 0.0505901241369505 0.0021782226738491 0.0175247105322281 0.226486675882635 0.0396477957554942 0.161267197984339 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0 0.000718390804597701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0.000328083989501312 0 0.000757575757575758 0 0.00238176366362273 0 0.00203252032520325 0.000718390804597701 0.00284921098772648 0 0.00609434893435696 0.0049421605759245 0.00166337285902503 0.00650723357702401 0.00374670619235837 0.024330856361434 0.0339801619343178 0.0540980684012489 0.117277208054046 0.219196292392092 0.516345134060144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00219298245614035 0.00219298245614035 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0.00154320987654321 0 0 0.0043859649122807 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0.00763888888888889 0.00570987654320988 0 0.00138888888888889 0 0 0.00501543209876543 0.000694444444444444 0.00834876543209877 0.0101851851851852 0.0679584957764782 0.136150097465887 0.110387833008447 0.113270792722547 0.432780214424951
6 317.833333333333 248.5 24.3333333333333 37.5833333333333 3.08333333333333 3.41666666666667 0.916666666666667 0.400694341629139 0.0568788532772982 0.0382611158383537 0.00308449238739623 0.0153064120355258 0.286537045910987 0.0290999047411736 0.170137834180127 0 0 0 0 0 0 0 0 0 0.000240847784200385 0.000378787878787879 0.000378787878787879 0.00129570010487549 0.000730994152046784 0 0 0 0 0 0 0.000378787878787879 0.000737463126843658 0 0 0 0 0 0 0 0 0 0.000378787878787879 0.00117041198501873 0.00188618995042324 0 0 0.00266212470710833 0 0.00344215520142649 0 0.00247721828033319 0.00497105890364317 0.00433740138760526 0.00657646613367685 0.00335664293289888 0.00526793679133263 0.00849041630752129 0.0195055062207863 0.0196982796087672 0.0413769455509605 0.128180109341423 0.158296561764057 0.5837844182499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0.000460405156537753 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.00183150183150183 0 0 0 0 0 0 0.000400641025641026 0.000400641025641026 0 0 0 0 0.000801282051282051 0.0016025641025641 0 0 0 0 0.000400641025641026 0.000801282051282051 0.000801282051282051 0 0.00206296925910186 0 0 0 0 0.00183150183150183 0.000801282051282051 0.000400641025641026 0.000861046182178779 0 0 0.000460405156537753 0 0 0.00280448717948718 0 0.000801282051282051 0.00200320512820513 0 0 0.0012616872078198 0.00206296925910186 0.00372529749256269 0.0060515873015873 0.00131639194139194 0.00120192307692308 0.00297872017485277 0.00859396414413401 0.0248829881678145 0.0349361724174274 0.156220352319727 0.0897085299103933 0.177918290059796 0.465550421651233
7 469.916666666667 389.083333333333 35.5 39.25 3.41666666666667 2.16666666666667 0.5 0.400325869276491 0.0375989324778882 0.0244519608112915 0.00498590167446106 0.00834615850462051 0.376168638317082 0.018314141561572 0.129808397376594 0 0 0 0 0 0 0 0 0.000636132315521628 0 0 0.000915750915750916 0 0 0 0 0.00087719298245614 0 0 0.00111111111111111 0 0 0 0 0.000473484848484848 0 0.000303030303030303 0 0 0 0 0 0.00109537539574853 0 0 0 0.00322227845871475 0 0.00087719298245614 0.00168541024245722 0.00180211383275013 0.00248763141620284 0.00501503231704122 0.00680481946045575 0.000915750915750916 0.0040284358309843 0.00380354844640559 0.013693162104187 0.00869036474027049 0.00907809184328473 0.0935024334818855 0.236808824103974 0.602172831951076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0 0 0 0 0 0.00102880658436214 0 0 0 0 0 0 0 0.00138888888888889 0 0.00122549019607843 0 0 0 0 0 0 0.00102880658436214 0 0.00269374548424591 0 0 0.00177304964539007 0.000636132315521628 0 0.00205761316872428 0.00961538461538462 0.00269374548424591 0.00127226463104326 0 0.0096735502711723 0.00945348649249358 0.0135118888899988 0.107092970430071 0.0195985025781283 0.278770505314702 0.531939234327523
8 353.666666666667 285.833333333333 32 30.6666666666667 2.83333333333333 2.08333333333333 0.25 0.383953114327323 0.0527241570866969 0.0324286042639507 0.00176915850846549 0.0108130223830776 0.323110182607623 0.0232179244079862 0.171983836414877 0 0 0 0 0 0 0 0.000764525993883792 0.000641025641025641 0 0 0 0 0 0 0 0.000641025641025641 0 0 0 0 0 0 0 0 0 0.00132408575031526 0 0 0 0 0 0 0 0.000764525993883792 0 0.00213064621246303 0 0.00070323488045007 0.00192767484451441 0.00200941636920895 0.00119160353535354 0.00410290167494585 0.0144026000697987 0.000683060109289617 0.00889271759771071 0.0121202581769225 0.0174459221363594 0.0159785639984483 0.00742701371752789 0.108363615943915 0.249572008005139 0.548913573707819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00189393939393939 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0 0 0.00252525252525253 0 0 0 0 0 0.00340909090909091 0 0 0.000896057347670251 0 0.00189393939393939 0.000764525993883792 0 0.0053030303030303 0 0.000764525993883792 0.0157828282828283 0.0176767676767677 0 0.00455240478176258 0.00151515151515152 0.00757575757575758 0.0251893939393939 0.0301727250017372 0.101937905891818 0.00737210817855979 0.271752380452123 0.493838496930335
9 187.416666666667 151.333333333333 14.3333333333333 18.3333333333333 1.5 1.5 0.416666666666667 0.43239262428775 0.0697631888940367 0.0539948911194272 0.00317136063783216 0.00905554102148616 0.223467502984073 0.0319755309285823 0.176179360126812 0 0 0 0 0.000737463126843658 0.00147492625368732 0.00193798449612403 0 0 0 0 0.000574712643678161 0.000737463126843658 0 0 0 0 0 0.000737463126843658 0.000992063492063492 0.000737463126843658 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0.0102344877344877 0 0 0.0014367816091954 0.000574712643678161 0.000737463126843658 0.00438825677763731 0.00147492625368732 0.000718390804597701 0.0066893861233196 0.0129564857508382 0.0244566006972242 0.0410654245437105 0.0547561513622981 0.0603429679851854 0.121493333642119 0.649078424885583 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00260416666666667 0 0 0 0 0 0 0 0 0.00134408602150538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0.00134408602150538 0 0 0.00138888888888889 0.0100036549707602 0.00138888888888889 0 0.00138888888888889 0.00520833333333333 0.00553904923599321 0.0538571474782213 0.0532459561532496 0.111698764807317 0.133259507861765 0.51580362951596
10 279 219.416666666667 24.8333333333333 28.1666666666667 2.66666666666667 1.83333333333333 2.08333333333333 0.399869820705226 0.0634378076273046 0.0372676821788755 0.00504544726027247 0.0100182260551432 0.284648496033693 0.0268952754010162 0.172817244738469 0 0 0 0.00101626016260163 0 0 0 0 0 0.000380517503805175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000164690382081686 0 0 0 0 0.00115283267457181 0.0025214924708671 0 0 0 0 0.00164690382081686 0.00185801100435247 0.00331636721134998 0.00794083535624259 0.0065866999420433 0.0117126799492398 0.000778816199376947 0.00778823209610738 0.00503453928111462 0.0172066927465826 0.0249709366460017 0.0607761384716749 0.10599140235574 0.188711802399721 0.549602398483957 0 0 0 0 0.000275027502750275 0.000275027502750275 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0 0.00055005500550055 0 0 0 0 0 0 0 0 0 0 0 0 0.000275027502750275 0.00055005500550055 0 0 0 0 0.0011001100110011 0.0022002200220022 0 0 0 0 0.000275027502750275 0.00554180418041804 0.0011001100110011 0 0.000275027502750275 0.00491898148148148 0.00055005500550055 0 0 0 0.00055005500550055 0.000275027502750275 0.002391397676353 0 0 0.000275027502750275 0 0 0.00357535753575358 0 0.002391397676353 0.000825082508250825 0 0 0.000825082508250825 0.00137513751375138 0.00820822935952132 0.00101626016260163 0.00719196919691969 0.0011001100110011 0.0033003300330033 0.0110102332288367 0.0220027705460961 0.0352114220969594 0.109172366102678 0.157170021089309 0.153740370864139 0.459489563480463
