"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_he_Proportion" "Transition_ec_Proportion" "Transition_og_Proportion" "Transition_co_Proportion" "Transition_jo_Proportion" "Transition_io_Proportion" "Transition_gh_Proportion" "Transition_jg_Proportion" "Transition_gc_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_ie_Proportion" "Transition_jh_Proportion" "Transition_oo_Proportion" "Transition_hi_Proportion" "Transition_oi_Proportion" "Transition_jj_Proportion" "Transition_ij_Proportion" "Transition_go_Proportion" "Transition_ch_Proportion" "Transition_oh_Proportion" "Transition_jc_Proportion" "Transition_hc_Proportion" "Transition_hg_Proportion" "Transition_gi_Proportion" "Transition_eg_Proportion" "Transition_ce_Proportion" "Transition_se_Proportion" "Transition_ee_Proportion" "Transition_ic_Proportion" "Transition_ih_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_cg_Proportion" "Transition_ji_Proportion" "Transition_oc_Proportion" "Transition_sj_Proportion" "Transition_cc_Proportion" "Transition_es_Proportion" "Transition_ci_Proportion" "Transition_gg_Proportion" "Transition_hh_Proportion" "Transition_ii_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgs_Proportion" "Transition_gso_Proportion" "Transition_ooo_Proportion" "Transition_sso_Proportion" "Transition_soi_Proportion" "Transition_ish_Proportion" "Transition_gos_Proportion" "Transition_gcc_Proportion" "Transition_ecs_Proportion" "Transition_gec_Proportion" "Transition_jsj_Proportion" "Transition_gse_Proportion" "Transition_jsi_Proportion" "Transition_cgs_Proportion" "Transition_ogs_Proportion" "Transition_ise_Proportion" "Transition_ees_Proportion" "Transition_ese_Proportion" "Transition_ces_Proportion" "Transition_ccs_Proportion" "Transition_jos_Proportion" "Transition_ssh_Proportion" "Transition_jgg_Proportion" "Transition_ses_Proportion" "Transition_ghs_Proportion" "Transition_ois_Proportion" "Transition_jhs_Proportion" "Transition_gcs_Proportion" "Transition_osi_Proportion" "Transition_iig_Proportion" "Transition_his_Proportion" "Transition_jsh_Proportion" "Transition_gii_Proportion" "Transition_jso_Proportion" "Transition_soo_Proportion" "Transition_ios_Proportion" "Transition_see_Proportion" "Transition_ggi_Proportion" "Transition_isc_Proportion" "Transition_ihs_Proportion" "Transition_jsc_Proportion" "Transition_igg_Proportion" "Transition_gig_Proportion" "Transition_sig_Proportion" "Transition_csj_Proportion" "Transition_jsg_Proportion" "Transition_sgi_Proportion" "Transition_isg_Proportion" "Transition_sie_Proportion" "Transition_esc_Proportion" "Transition_iee_Proportion" "Transition_igi_Proportion" "Transition_shg_Proportion" "Transition_osg_Proportion" "Transition_csg_Proportion" "Transition_iii_Proportion" "Transition_gsj_Proportion" "Transition_hcs_Proportion" "Transition_igs_Proportion" "Transition_ggg_Proportion" "Transition_jjj_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_ggs_Proportion" "Transition_sci_Proportion" "Transition_cis_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_gis_Proportion" "Transition_gsi_Proportion" "Transition_hsg_Proportion" "Transition_csc_Proportion" "Transition_scs_Proportion" "Transition_jcs_Proportion" "Transition_ocs_Proportion" "Transition_sgg_Proportion" "Transition_hso_Proportion" "Transition_sos_Proportion" "Transition_shs_Proportion" "Transition_gsg_Proportion" "Transition_hsc_Proportion" "Transition_cii_Proportion" "Transition_egg_Proportion" "Transition_seg_Proportion" "Transition_sce_Proportion" "Transition_cse_Proportion" "Transition_scc_Proportion" "Transition_ics_Proportion" "Transition_csh_Proportion" "Transition_osh_Proportion" "Transition_isi_Proportion" "Transition_sjs_Proportion" "Transition_ssg_Proportion" "Transition_csi_Proportion" "Transition_ssc_Proportion" "Transition_iis_Proportion" "Transition_jis_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_shh_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 462.75 369.666666666667 45.25 39.4166666666667 4.91666666666667 2.75 0.75 0.346086255005038 0.0522546528240647 0.101410104005073 0.0149354590392852 0.0061251080774129 0.277289858248515 0.0429337090682316 0.15896485373238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000351617440225035 0.000351617440225035 0.000368731563421829 0.000393081761006289 0.000393081761006289 0.000448028673835126 0.000586854460093897 0.00070323488045007 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000938224752266498 0.00106097233413914 0.00112798000121944 0.00117370892018779 0.00119047619047619 0.00137301798210648 0.00156679068119408 0.00170068027210884 0.00208356602473516 0.00209470055763003 0.00233973853851707 0.00234741784037559 0.00368027475300286 0.00471074905702028 0.00533449411464646 0.00613038966925339 0.00779129267241722 0.00843245756044268 0.0261556838001832 0.0261814250108715 0.050983445622051 0.103075129019843 0.199064379469279 0.531615056495497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.00087719298245614 0.000936329588014981 0.000936329588014981 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00157232704402516 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00267094017094017 0.00273504273504274 0.00284785932721713 0.0031517094017094 0.0036231884057971 0.00391623539559319 0.00402330743618202 0.00429327965549136 0.00490196078431373 0.0137998126837753 0.0322833781042894 0.0515000774911068 0.0715539931521416 0.0894746321370219 0.186288339366045 0.480687399043649
2 557.833333333333 440.333333333333 53.9166666666667 51.0833333333333 6.41666666666667 4.08333333333333 2 0.341190651836664 0.0545706195009242 0.0677605230358547 0.00964277811377199 0.00618632550688969 0.328211085962182 0.0381878449305854 0.154250171113128 0 0 0 0 0 0 0 0 0 0 0 0.000225225225225225 0.000348675034867503 0.000490196078431373 0.000631313131313131 0.00101711560044893 0.00126262626262626 0 0 0 0 0 0.000465549348230912 0.000771604938271605 0.00179593569265448 0 0 0 0.000225225225225225 0.000585164510603107 0 0.000199362041467305 0.00235909162293005 0.000348675034867503 0 0.00126262626262626 0.00321550732417225 0.000225225225225225 0.00285281821686556 0.000631313131313131 0.00659557185193976 0 0.00122203543256175 0.00159683323060516 0.00590902919115077 0.00536332386253845 0.0138654227728967 0.00621777263316118 0.0446724873852708 0.0194115549521693 0.0442560242173056 0.0853432518458904 0.237661996510131 0.508971446207014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000359195402298851 0.000359195402298851 0.000462962962962963 0.000462962962962963 0.000462962962962963 0.000896057347670251 0.00106837606837607 0.00106837606837607 0.00106837606837607 0.00107758620689655 0.00112612612612613 0.00112612612612613 0.00153133903133903 0.00153133903133903 0.00163398692810458 0.00163398692810458 0.0027601130542307 0.00375159642401022 0 0 0.000359195402298851 0.00142757147067492 0.00154054916985951 0.00199318233040343 0 0 0.00112612612612613 0 0.00163398692810458 0.00439222593004573 0 0 0.000859106529209622 0.00779964196677211 0 0 0 0 0 0 0.000462962962962963 0.00106837606837607 0 0 0.000822158365261813 0.00166666666666667 0.00182198327359618 0.000462962962962963 0 0 0 0.00388371676404131 0.000359195402298851 0.0100934022068616 0 0.012966737642194 0.0176409264423683 0.0654884781688905 0.0661975663903362 0.0915232057772257 0.21532402566512 0.466705384284781
3 567.833333333333 439.5 62.6666666666667 52 6.66666666666667 4.66666666666667 2.33333333333333 0.386279598474332 0.0310850043183663 0.0279829772464782 0.00483353214636888 0.00326288186474002 0.426246748305094 0.0154657143016579 0.104843543342964 0 0 0 0 0 0 0 0 0 0.000534188034188034 0.000631313131313131 0 0 0 0 0 0.00105829704886309 0 0.000192012288786482 0 0 0 0.000385802469135802 0 0.00153698520308071 0 0 0.000534188034188034 0 0.000534188034188034 0.000385802469135802 0 0.00373179674086026 0.000385802469135802 0 0 0.00150985378258106 0 0.000478927203065134 0.0016444283685663 0.0150246296408684 0 0.00106677982379071 0.000192455735180908 0.00643461713417934 0.000778687394911657 0.0288811615992878 0.00370384412634516 0.00871040351470039 0.00315614468252507 0.0128619343212333 0.0627318851178582 0.319092014133531 0.5238218574985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000342935528120713 0.000342935528120713 0.000342935528120713 0.000778816199376947 0.00163398692810458 0 0.00453965616002653 0 0 0 0 0 0 0.00150034293552812 0 0 0.00115740740740741 0.00296503019114649 0.00447294082947809 0 0.00198412698412698 0.00198412698412698 0.0060041935722227 0 0.0027601130542307 0.00234025234025234 0.00198412698412698 0.00104199641236678 0.0011349415555023 0 0 0 0 0 0.00952355298126232 0 0 0 0.0146960573366757 0 0 0 0 0 0 0 0 0 0 0 0 0.010822781697949 0 0 0.000957854406130268 0 0.00500521394429321 0.00112612612612613 0.025061734249385 0 0.00375259518778037 0.00262795952451125 0.0101439608685434 0.0161543842640243 0.056893766600616 0.280002137809445 0.525921009880872
4 521.916666666667 389.25 65.6666666666667 53.3333333333333 7.25 4.5 1.91666666666667 0.347879565246553 0.0376440707043011 0.0390730695465705 0.00576676831509651 0.00545313853613165 0.38288380794834 0.0248615658891546 0.156438013813852 0 0 0 0 0 0 0 0.000262054507337526 0.000578703703703704 0.000425170068027211 0.000425170068027211 0 0.00068870523415978 0 0 0 0.000868055555555556 0 0 0 0 0 0 0.000222222222222222 0.000573839662447257 0 0 0.000222222222222222 0 0 0.000351617440225035 0.000425170068027211 0.00215641713788188 0 0.000711538911097085 0 0.00271882126442471 0.000351617440225035 0.00301311755549052 0.000508591065292096 0.00673814478935976 0 0.000888888888888889 0.000285388127853881 0.00816334677562456 0.004145895598162 0.0197683020392922 0.00386488803440372 0.020180529251006 0.0150652245607734 0.0221946197226322 0.0962374504972767 0.285662424103339 0.502301863485021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.00173611111111111 0 0 0 0.00177304964539007 0.000868055555555556 0 0.00118072553819118 0 0 0 0 0 0 0.000443262411347518 0.000443262411347518 0 0 0 0.00226971967029423 0 0 0 0.00223557785886628 0 0 0.00132978723404255 0.000886524822695035 0.000443262411347518 0.000443262411347518 0 0 0.00538194444444444 0 0 0.00786539658981031 0 0.00185185185185185 0.000771604938271605 0.00291308463393403 0 0 0 0 0 0 0.000868055555555556 0 0 0 0 0.000771604938271605 0.0059766305250076 0.000443262411347518 0 0 0 0.00582124247482656 0.00345528455284553 0.0138904240377005 0 0.0082434755430536 0.00907813386923895 0.0353919613253214 0.0330202933171181 0.10458876228624 0.275137420601523 0.469608909466546
5 316.833333333333 249.916666666667 25 33.6666666666667 2.83333333333333 4 1.41666666666667 0.396454745829353 0.0816175203270804 0.069129606683882 0.00713949577377658 0.00900221641324165 0.223734354032522 0.047035480733568 0.165886580206576 0 0 0 0 0 0 0 0.000964023057046313 0 0 0 0 0 0 0 0.000850340136054422 0 0 0 0 0 0 0 0 0.00216114634719286 0 0 0.00225225225225225 0 0 0.00115740740740741 0.00162194507432603 0.000847763347763348 0 0 0 0.000502008032128514 0 0.00364562233126607 0.000850340136054422 0.00518809356018658 0 0.00212975547277873 0 0.0053822836069764 0.0116526001351016 0.00726026454121559 0.00461081308257388 0.0742951850535215 0.0176125395381156 0.0351532701328896 0.0896660821409442 0.149310294686192 0.582885969928013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000373692077727952 0.00757575757575758 0 0 0 0.000373692077727952 0.00151515151515152 0 0 0 0.00103506773910361 0 0 0 0 0 0 0 0.000373692077727952 0 0 0.00188884359287947 0.000747384155455904 0 0 0 0.00298953662182362 0 0 0.00140875981683157 0 0.00244382755593518 0.00178245189455952 0 0.00927643784786642 0.0118806045145331 0 0 0.00319121171139108 0 0 0 0.00526134718959831 0 0 0 0 0 0 0 0 0 0 0.000373692077727952 0.00128205128205128 0.00112107623318386 0 0 0.00268817204301075 0 0.00461710957996347 0.000661375661375661 0.00459997152822265 0 0.0104908886158886 0.0132008881038845 0.146664712181532 0.0398173491553136 0.110088425766889 0.121443117510823 0.490833712296064
6 445.583333333333 339.5 41.9166666666667 49.6666666666667 6.58333333333333 5.25 2.66666666666667 0.402995680249358 0.0445537639534918 0.0521244102648226 0.00776256872197564 0.00568241284440707 0.307603957653533 0.0331003690425349 0.146176837269876 0 0 0 0 0 0.000496031746031746 0.00200331910858227 0.00130208333333333 0 0 0.000150693188667872 0 0.000448028673835126 0.000727802037845706 0.000201775625504439 0 0 0 0 0.000559284116331096 0 0 0.00130208333333333 0 0.00385363959180855 0 0 0.00130208333333333 0.00130208333333333 0 0 0.000363901018922853 0.000942205825879451 0 0.000448028673835126 0.000288350634371396 0.00104941037620693 0.00150385895883777 0.00501596509013791 0.00116554361682754 0.00821660862286275 0.000201775625504439 0.00439932700233742 0.000201775625504439 0.00974191904287643 0.00499790567391798 0.0189815463038577 0.00480110393494747 0.0273570634028113 0.0165484542688049 0.0264623865366364 0.0892914951972941 0.210249684636734 0.554122782508951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000265392781316348 0.000351617440225035 0.000351617440225035 0.000351617440225035 0.000816993464052288 0.000816993464052288 0.00124378109452736 0.00308641975308642 0.00070323488045007 0 0 0 0.000351617440225035 0.000641025641025641 0.000351617440225035 0 0 0.00070323488045007 0.00333306518918634 0 0 0 0 0 0 0 0.0015856378833078 0 0.00308641975308642 0.000265392781316348 0.00204749540192578 0 0 0 0.00185103066462415 0 0.00225225225225225 0.00481323660191676 0.00286926247379364 0.00334372508443298 0.00222666352433344 0 0.00343803719331145 0.00254459989636539 0 0 0.00916603575028507 0 0 0 0.00433636816568365 0 0 0 0 0 0.00308641975308642 0.00343803719331145 0 0 0 0.00660636611580851 0 0.00588451990527652 0 0 0.000882403002857731 0 0.00520284319902692 0.00887333208925883 0.0121937647691563 0.000351617440225035 0.00278699097107057 0.017850740212035 0.0494103228080033 0.0287470161635807 0.0806356169923709 0.199812458321669 0.517043165287355
7 527.583333333333 403.333333333333 53.9166666666667 55.4166666666667 7.75 5.5 1.66666666666667 0.373922083177357 0.0460418860483696 0.0284546095204912 0.00469061731653637 0.0047781460992687 0.394772083630831 0.0220610855313209 0.125279488675825 0 0 0 0 0 0 0.000216450216450216 0.000213675213675214 0.00150101538740191 0.000380517503805175 0 0 0.00161698262665682 0 0 0.000216450216450216 0.000499001996007984 0 0 0 0 0.000264550264550265 0 0.000321750321750322 0.00285859498188265 0 0.000499001996007984 0.00135522772509074 0 0.000998003992015968 0.000380517503805175 0 0.00267972767972768 0 0.000612745098039216 0.00114155251141553 0.0012370426621062 0.000264550264550265 0.00252631882423939 0.000380517503805175 0.00726626313252902 0 0.0021010192243069 0.000321750321750322 0.0123765232739001 0.00159274757504768 0.0179068015227511 0.00492926790153174 0.0144620725161385 0.00866797701297451 0.0142405813375615 0.0720148195164268 0.284019524963934 0.539936457211714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00040453074433657 0.00040453074433657 0.000440917107583774 0.000440917107583774 0.000809061488673139 0.00243971631205674 0.00396825396825397 0.00124997859625691 0 0 0.000809061488673139 0 0 0 0 0.000809061488673139 0 0 0 0 0.00040453074433657 0.000809061488673139 0 0 0.00161812297734628 0.00161871015967874 0 0 0 0 0 0 0 0.00040453074433657 0 0 0.00302422903717402 0.00124997859625691 0 0 0 0.00279709039410617 0 0 0.00124997859625691 0.00124997859625691 0.00169089570384069 0.000845447851920344 0 0 0.00229276895943563 0 0 0.0044873989156144 0 0 0.000809061488673139 0.0064742534563825 0 0 0 0 0 0 0.000666666666666667 0.00177304964539007 0 0 0.00040453074433657 0 0.00346316987844038 0 0.000666666666666667 0.000440917107583774 0 0.00286810157360319 0.000773262307758398 0.0194169427225852 0 0.00443396298591506 0.0138853308176037 0.0300728490335991 0.0204139445531187 0.0593362111669903 0.282184098101191 0.516398229271835
8 461.333333333333 347.916666666667 48.8333333333333 51.8333333333333 6.25 4.75 1.75 0.365807561506521 0.0449801706081067 0.0355240984047041 0.00594943768517812 0.00610354179457113 0.359288840185899 0.0238863941761704 0.158459955638849 0 0 0 0.000694444444444444 0.000694444444444444 0 0 0.000712250712250712 0 0 0 0 0.000418760469011725 0 0 0.000209380234505863 0.000209380234505863 0 0 0.00037202380952381 0 0 0 0.000833333333333333 0.00122247673971589 0 0 0 0 0.000348675034867503 0 0 0.000319284802043423 0 0.000953427853553482 0 0.00182057057057057 0.00037202380952381 0.00234016551320009 0.000319284802043423 0.00764950498957483 0.000319284802043423 0.00125628140703518 0.00121997364811652 0.00602981253015966 0.00265350877192982 0.0164916957230872 0.00304055499818576 0.0199465565897946 0.00978506417473566 0.019117808992102 0.0868629034354311 0.251327767732402 0.562459355397864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000809061488673139 0.00177304964539007 0.00200755435383267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0.000574712643678161 0 0 0 0 0 0 0 0 0 0 0 0.00390549687443794 0 0 0 0.00119849286515953 0 0 0.0017636684303351 0.0027336860670194 0.0013837741323513 0.00264961667936651 0 0 0.00177304964539007 0 0 0.00522824819718926 0 0 0 0.00495389029871789 0 0 0 0 0 0 0 0 0 0 0 0 0.00450596135780472 0.000440917107583774 0 0.000440917107583774 0.000440917107583774 0.00471933345496564 0.00203378474769707 0.0130451817967942 0.000757575757575758 0.00301776106045587 0.00627635930277163 0.0395025690480538 0.0318297474660465 0.0904313489020584 0.292041222956188 0.479187388861618
9 272.75 212.166666666667 19.9166666666667 32.8333333333333 3 3.5 1.33333333333333 0.440489084254152 0.0660604737097801 0.0757588206616103 0.0112207324387789 0.0051024091137939 0.198595510446666 0.0308237120221857 0.171949257353033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0.000285388127853881 0 0 0 0 0 0.000672043010752688 0.000645994832041344 0 0.00185282753775904 0 0.00757575757575758 0.00946969696969697 0.00757575757575758 0 0 0 0.000320512820512821 0 0.000645994832041344 0 0.000931382959895225 0 0.0173308426733084 0 0.00395591851071303 0 0.00112179487179487 0.000285388127853881 0.0156589053086615 0.0160828981114104 0.00915141657454804 0.00575063777915004 0.0493330591962592 0.0112411861270844 0.024132571880821 0.0829580520078701 0.132837757078417 0.599538220677998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0104166666666667 0.0104166666666667 0.0104166666666667 0 0 0.000559284116331096 0 0.0036231884057971 0 0.000559284116331096 0 0 0 0 0 0 0.000591016548463357 0 0 0 0.0104166666666667 0.000559284116331096 0 0 0 0 0 0 0 0 0 0.00170958478112555 0 0 0 0 0 0 0 0 0 0 0 0.00233233376172117 0 0 0 0.00115030066479445 0 0 0 0 0.00174131721325781 0.00326797385620915 0 0 0 0 0 0.00230060132958891 0 0 0.000559284116331096 0.00118203309692671 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.000591016548463357 0 0.00118203309692671 0 0 0 0 0.0142756570713392 0.0041824725221282 0.00410538340711124 0 0.00752114773580341 0.0138579952091598 0.08771949869428 0.0388787067909858 0.0891381703525946 0.142389113391836 0.520316797317032
10 404.5 303.416666666667 34 54.75 6 4.41666666666667 1.91666666666667 0.428583576739511 0.041877229668394 0.0446786390478844 0.00650475911975898 0.00827793739727073 0.291266513580274 0.0307030022904983 0.148108342156408 0 0 0.000850340136054422 0 0.000850340136054422 0 0 0 0.00170068027210884 0 0 0 0.000211505922165821 0 0.000621890547263682 0.000263713080168776 0 0 0.000621890547263682 0 0 0 0 0 0.000968181507783344 0 0 0.000211505922165821 0.000211505922165821 0 0 0 0.000704468427614567 0.000969927769434313 0.000544662309368192 0 0.000342935528120713 0.00119327566417513 0.00425922165438868 0 0.00575705761471115 0 0.000554441450286534 0.000423011844331641 0.0102127099172566 0.00238655132835027 0.0114827437740775 0.0052400303814058 0.0343833147761672 0.0153106708999357 0.0181255533494915 0.0828933764544757 0.206640621189551 0.592063871673663 0 0 0 0 0 0 0 0 0 0 0 0.000423011844331641 0.000423011844331641 0.000508130081300813 0.00219298245614035 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0.000423011844331641 0 0 0 0 0.000801282051282051 0.000336021505376344 0.000801282051282051 0 0 0 0.00240446698766719 0 0 0 0 0 0.000508130081300813 0.000423011844331641 0 0 0 0 0.00118204519403963 0 0 0 0.0019083485494015 0 0 0.00122429389561369 0.00342785162180332 0.0011373035566584 0.00240633908965332 0 0.00219298245614035 0 0 0 0.00468156703679115 0 0 0.000423011844331641 0.00526992818356051 0 0 0 0 0 0 0.0029942645074224 0 0 0 0.000423011844331641 0 0.000336021505376344 0.000801282051282051 0.000801282051282051 0 0 0.00972936008597255 0.00765101846754417 0.0107983138080147 0 0.00337502765017998 0.0191049866941232 0.0633998403596929 0.0205011612795626 0.0814162377897776 0.22079104512021 0.520393167853277
