"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_gj_Proportion" "Transition_ee_Proportion" "Transition_oe_Proportion" "Transition_ie_Proportion" "Transition_co_Proportion" "Transition_io_Proportion" "Transition_ge_Proportion" "Transition_jc_Proportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_gh_Proportion" "Transition_ih_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_eh_Proportion" "Transition_cj_Proportion" "Transition_oo_Proportion" "Transition_eo_Proportion" "Transition_jo_Proportion" "Transition_ij_Proportion" "Transition_cc_Proportion" "Transition_ic_Proportion" "Transition_ei_Proportion" "Transition_eg_Proportion" "Transition_se_Proportion" "Transition_jh_Proportion" "Transition_ho_Proportion" "Transition_sj_Proportion" "Transition_hh_Proportion" "Transition_jg_Proportion" "Transition_cg_Proportion" "Transition_go_Proportion" "Transition_gc_Proportion" "Transition_ch_Proportion" "Transition_gi_Proportion" "Transition_oc_Proportion" "Transition_oi_Proportion" "Transition_jj_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_so_Proportion" "Transition_hi_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ois_Proportion" "Transition_oso_Proportion" "Transition_scg_Proportion" "Transition_ghg_Proportion" "Transition_seg_Proportion" "Transition_gie_Proportion" "Transition_ieg_Proportion" "Transition_ihs_Proportion" "Transition_ies_Proportion" "Transition_soe_Proportion" "Transition_oes_Proportion" "Transition_sso_Proportion" "Transition_hsi_Proportion" "Transition_gcs_Proportion" "Transition_jgg_Proportion" "Transition_goc_Proportion" "Transition_csh_Proportion" "Transition_ocs_Proportion" "Transition_ssj_Proportion" "Transition_osc_Proportion" "Transition_igg_Proportion" "Transition_iso_Proportion" "Transition_jcs_Proportion" "Transition_soo_Proportion" "Transition_csg_Proportion" "Transition_ios_Proportion" "Transition_sei_Proportion" "Transition_scs_Proportion" "Transition_jsc_Proportion" "Transition_isj_Proportion" "Transition_hsh_Proportion" "Transition_esg_Proportion" "Transition_jis_Proportion" "Transition_jos_Proportion" "Transition_sic_Proportion" "Transition_ihh_Proportion" "Transition_hhs_Proportion" "Transition_sih_Proportion" "Transition_gsh_Proportion" "Transition_jsh_Proportion" "Transition_jsi_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_sig_Proportion" "Transition_sjs_Proportion" "Transition_ses_Proportion" "Transition_hsg_Proportion" "Transition_isg_Proportion" "Transition_ehi_Proportion" "Transition_esi_Proportion" "Transition_ics_Proportion" "Transition_isi_Proportion" "Transition_gis_Proportion" "Transition_iis_Proportion" "Transition_eis_Proportion" "Transition_eii_Proportion" "Transition_csi_Proportion" "Transition_jhs_Proportion" "Transition_isc_Proportion" "Transition_scc_Proportion" "Transition_gsi_Proportion" "Transition_hgs_Proportion" "Transition_ssc_Proportion" "Transition_ssh_Proportion" "Transition_ggg_Proportion" "Transition_shh_Proportion" "Transition_sis_Proportion" "Transition_osh_Proportion" "Transition_sos_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_gsc_Proportion" "Transition_his_Proportion" "Transition_ssg_Proportion" "Transition_shs_Proportion" "Transition_osi_Proportion" "Transition_ess_Proportion" "Transition_gsg_Proportion" "Transition_ggs_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 451.75 370.5 39.5 35.6666666666667 3.41666666666667 2.16666666666667 0.5 0.351603403858941 0.0577535349306303 0.0759693003179369 0.0218714331924141 0.00463578932470885 0.289070947915536 0.0389416448041457 0.160153945655688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000468164794007491 0.000468164794007491 0.0005175983436853 0.000566893424036281 0.000566893424036281 0.000595238095238095 0.000595238095238095 0.000706214689265537 0.000706214689265537 0.00072463768115942 0.000841750841750842 0.000841750841750842 0.0011128364389234 0.00113378684807256 0.00140864426578712 0.00168067226890756 0.00202176376168445 0.0020851818988465 0.00276749032131986 0.00638203984738984 0.00676612516396135 0.0138665223764443 0.0162557202862068 0.0222604598173544 0.0346222916735 0.0420548093318141 0.104385994246618 0.193621017333313 0.539975884406416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00128205128205128 0.0014367816091954 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00146198830409357 0.00154320987654321 0.00154320987654321 0.00193798449612403 0.00307076853729998 0.00331384015594542 0.00400054380875077 0.00434616190430144 0.00454840805717999 0.00641452449690526 0.00697886215127595 0.0173932675612442 0.0313520935415891 0.0653996127393638 0.0753311891645643 0.115816688262454 0.192676321851995 0.452388149031921
2 515 410.833333333333 52.1666666666667 44.0833333333333 4.5 2.5 0.916666666666667 0.351329490509252 0.054991291730308 0.0458554657075906 0.0131225179434482 0.00846847358252937 0.345842125960547 0.0296265792254763 0.150764055340849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000248756218905473 0.000248756218905473 0.000248756218905473 0.000375375375375375 0.000375375375375375 0.000445632798573975 0.000445632798573975 0.000497512437810945 0.000859106529209622 0.000868149755832881 0.000872983225924402 0.00090956340956341 0.00114155251141553 0.00220992857979159 0.00089126559714795 0.00120772946859903 0.000802725802725803 0 0 0 0.0014245781402267 0.000534188034188034 0.00122857705166748 0 0 0.00120772946859903 0 0.000782944253093507 0 0.00278119710724727 0.00512869242858062 0.00339992872863145 0.00181680564886617 0.00624625001571128 0.00406772756588181 0.00871675866277375 0.0200076922359821 0.0134336077891355 0.0292673383374916 0.0293820438221496 0.0920331616298887 0.239848574870037 0.526043401887212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.000473484848484848 0.00120772946859903 0.00120772946859903 0.00136612021857923 0.00138888888888889 0.00138888888888889 0.00148809523809524 0.00189393939393939 0.00260416666666667 0.00269582470669427 0 0 0.00148809523809524 0.00278657476403378 0.00148809523809524 0 0.000473484848484848 0.00183960506706408 0.00189393939393939 0 0.000473484848484848 0 0 0 0.00663212427876971 0.000957854406130268 0.000946969696969697 0 0.00662971001459032 0.0278004302478106 0.011630938431767 0.0497037947801077 0.0628070746041081 0.0822201467299641 0.207317589665398 0.514827795716327
3 547.833333333333 424.75 58.9166666666667 52.5833333333333 6.08333333333333 4 1.5 0.402614202741844 0.0339258063350479 0.019370728675143 0.00865168476263093 0.00376836168528946 0.396431070423953 0.0142716839814399 0.120966461394651 0 0 0 0 0 0 0 0 0 0.000267094017094017 0.000267094017094017 0.000267094017094017 0.000329380764163373 0.000329380764163373 0 0 0 0 0.000329380764163373 0 0 0.000267094017094017 0.000267094017094017 0 0.000631313131313131 0 0 0.00122386325921009 0.000267094017094017 0.000373692077727952 0 0 0 0 0.00348038536545154 0 0 0.00104590682948892 0 0.000267094017094017 0.000377073906485671 0.000267094017094017 0.00389563342971382 0.00555708351095009 0.0017203439975594 0.000414593698175788 0.000640786094821969 0.00930992653074256 0.00804544301215026 0.0152480957761479 0.00810405268396593 0.00928356721892312 0.00875183280766233 0.00750420864588104 0.0758816064907156 0.277412824827332 0.557972872276339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000666666666666667 0.000737463126843658 0.000737463126843658 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000786163522012579 0.000992063492063492 0.0014367816091954 0.00152362664885624 0.00163398692810458 0.00163398692810458 0.00166666666666667 0.00242015045011715 0.0030381167216149 0 0 0.000786163522012579 0.00454878388156064 0.00477864101615489 0.00545444425891913 0 0 0.000786163522012579 0 0 0 0.00692023393650887 0.000786163522012579 0 0 0.00280825958702065 0 0.00323105720275532 0 0 0.00290566037735849 0.000786163522012579 0.0021902933155229 0 0.000786163522012579 0.0049975004751163 0 0 0.00233333333333333 0.00172952661890715 0.00309595369288139 0.00463253983064813 0.0111951495800675 0.00716848892626857 0.010076146219922 0.011742207409764 0.0119286210404834 0.0726346732196566 0.285898432515724 0.514595282454211
4 426.583333333333 327.666666666667 46.6666666666667 42.0833333333333 4.66666666666667 4.16666666666667 1.33333333333333 0.339682057616217 0.0434014447053844 0.042089007262692 0.0121883495360686 0.00658613477381983 0.348579714342764 0.0334816424945964 0.173991649268458 0 0 0 0 0 0 0.000249500998003992 0.000725691474194468 0.00154320987654321 0 0 0 0 0.000476190476190476 0 0 0 0 0.00196872515427054 0 0 0.000398724082934609 0 0 0.00070239954872863 0 0 0.00120188195038494 0 0 0.000730994152046784 0 0.000720310790847683 0 0.000470809792843691 0 0 0 0.000730994152046784 0 0.000730994152046784 0 0.00171555038072004 0.000249500998003992 0.00119112058369137 0.00123235031887697 0.00310044434758394 0.00840856729554205 0.00365893481057477 0.0121950513023063 0.0173214284124108 0.00734698485070177 0.0156415003889499 0.0307159425374689 0.110372534594757 0.244044800361339 0.53215486221599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.0014367816091954 0.00173611111111111 0 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0.00104166666666667 0 0 0.00120772946859903 0 0.00124378109452736 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0.000925925925925926 0 0.00141902257286873 0 0 0 0.000493096646942801 0 0 0 0.00398550724637681 0 0 0.00124378109452736 0.000986193293885602 0.000493096646942801 0.00213365539452496 0.010657605013217 0.0148733820781408 0.010661729119351 0.0642214297569494 0.021501859001859 0.0974769066948239 0.28408983377532 0.473997342722683
5 290.5 239.083333333333 23 24.3333333333333 2 1.75 0.333333333333333 0.391777230337599 0.0696664790125098 0.088292170898582 0.0139415391506876 0.008788443789516 0.206225513831812 0.040647208728027 0.180661414251267 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.000672043010752688 0 0 0 0 0 0 0 0 0.000764525993883792 0 0.000764525993883792 0 0.00152905198776758 0 0 0.00264190821256039 0 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0.000656167979002625 0 0 0.00561953261589402 0.00512554542621162 0 0.00570744483601703 0.000764525993883792 0.00770252554622958 0.0328681593691229 0.0200126492533293 0.0684433593880343 0.0451294904366979 0.101742771812744 0.131721966215266 0.566445502755364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00181159420289855 0 0 0 0 0 0.00177304964539007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00354609929078014 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00181159420289855 0.00189393939393939 0.00177304964539007 0 0.00366698903932946 0.0315202130555152 0.0235728088972439 0.0712610709475559 0.13235064396096 0.117690477175742 0.146691606616714 0.450567195611293
6 392.166666666667 317.083333333333 36.25 33.5833333333333 2.25 2.58333333333333 0.416666666666667 0.390642380768209 0.0727411242836956 0.048300149619903 0.0106264976786195 0.00807292627532746 0.257925179668904 0.0333814289763655 0.178310312728976 0 0 0 0 0.00112612612612613 0.00193768197724116 0 0.000551876379690949 0 0 0 0 0 0 0 0 0.000551876379690949 0 0 0 0 0 0 0 0 0 0 0.00303841577426483 0 0 0 0.000850340136054422 0 0 0 0 0.000850340136054422 0.00043630017452007 0 0 0.00191799659827018 0 0.000551876379690949 0 0.00499332731000838 0.00324123570551083 0 0.00945810219686158 0.00255102040816327 0.0134117051992816 0.0232171274413686 0.00866097262672555 0.0541405339739462 0.0256152395327786 0.0964144215004071 0.183417872928035 0.56306561111531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00238095238095238 0.00423280423280423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0.00238095238095238 0 0 0 0 0.00141242937853107 0 0 0 0.00238095238095238 0 0 0 0.00185185185185185 0 0.00401533494753834 0 0 0 0.00141242937853107 0 0 0 0.0029265873015873 0 0.00225225225225225 0.00705766298986638 0.00119047619047619 0 0.00185185185185185 0.00542328042328042 0.0320608724578879 0.0097538216182284 0.0436018388901587 0.102668286542411 0.0879896824593306 0.167381888678867 0.509684651424242
7 527.666666666667 430.083333333333 50 41 4.5 1.66666666666667 0.416666666666667 0.381971715310539 0.0477522689898297 0.0278566133370525 0.00894343203085223 0.00665488490249482 0.370911947897447 0.0202285284958017 0.135680609035983 0 0 0 0.000457875457875458 0 0 0 0 0 0 0 0 0 0.000425170068027211 0 0 0 0 0.000499001996007984 0.000425170068027211 0 0 0 0 0 0.000973415682062299 0 0.000367107195301028 0 0 0 0 0 0 0.000945071010860485 0 0.0005175983436853 0 0.0005175983436853 0.0005175983436853 0.0005175983436853 0.000367107195301028 0.00206838172496404 0.00137362637362637 0.00314783847392543 0.00192316056857526 0.00149799050054805 0.00560856718960679 0.0039531029057435 0.0179038294455936 0.00935794096410635 0.00812747389445491 0.0117827030649288 0.015245785695232 0.086068387803206 0.264755621607312 0.560655277739973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0.00111111111111111 0 0 0 0 0.00240500240500241 0 0 0 0 0.00124378109452736 0.00111111111111111 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0.0014367816091954 0.00111111111111111 0 0 0 0 0.00234487734487734 0.00641025641025641 0 0.00265432098765432 0.00281836219336219 0.0014367816091954 0 0.00925174362674363 0.00669402903139113 0.0124214571011322 0.0309834276189998 0.0265129146977122 0.0960861205997686 0.257955948656359 0.530263735243708
8 375.5 294.333333333333 40 33.1666666666667 3.75 3.25 1 0.363893588914318 0.0531595744013192 0.0424865885297352 0.0140825694078407 0.0064266695787985 0.308242385844659 0.0372975693380334 0.174411053985296 0 0 0 0 0 0 0.000468164794007491 0 0 0 0 0.000380517503805175 0 0.000825082508250825 0 0 0.000757575757575758 0 0.000380517503805175 0 0 0 0 0 0 0.000666666666666667 0 0.00266391863066904 0.00141242937853107 0.000757575757575758 0 0 0 0 0 0 0 0.00129324730225832 0 0.000666666666666667 0 0 0.00171160733094586 0.000380517503805175 0.00113809326138093 0.00261802939058707 0.00305652995880187 0.00486869554680515 0.00161010408299342 0.0110288918203608 0.0215399030169498 0.0155393038547023 0.0242605868668595 0.0165862267176821 0.104594094409247 0.237150160944649 0.543644892824418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00250435540069686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0.00555555555555556 0.00266091334052499 0 0 0 0 0 0 0 0.00294834307992203 0 0 0.000833333333333333 0.000809061488673139 0 0.00294834307992203 0.00493153986671628 0.0181267964194793 0.0178698616198616 0.0292982827001889 0.0535205339874788 0.114147082075734 0.239435624810156 0.497366722448106
9 221.25 180.333333333333 18.9166666666667 19.0833333333333 1.16666666666667 1.58333333333333 0.166666666666667 0.415093789071664 0.079905378037879 0.0752302252732791 0.0102197683036128 0.00674742522077027 0.183817784974469 0.0431168361030856 0.185868793015241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0 0 0.00148809523809524 0 0.000661375661375661 0 0.00104166666666667 0 0 0.00104166666666667 0.00204568273092369 0 0 0 0 0 0 0.00101626016260163 0.00189393939393939 0.00629577291851388 0.000661375661375661 0.00104166666666667 0.00997085815484543 0.000661375661375661 0.00336843405367502 0.0214974245734263 0.0109052386560284 0.0779475896290584 0.0618228787453587 0.1121374478219 0.103175975296782 0.580309015478123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.00268817204301075 0.00268817204301075 0.00566436251920123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00839253712237583 0 0 0 0.00595238095238095 0.00595238095238095 0 0 0.00297619047619048 0 0 0.00297619047619048 0 0 0 0 0.0164359068402714 0.0123708661898649 0.117434546269591 0.155836130123368 0.0811876331657171 0.0844606814784798 0.490643571570189
10 370.25 297.5 35.4166666666667 31.5833333333333 2.58333333333333 2.5 0.666666666666667 0.463534871014544 0.0488029690944014 0.0403776138175321 0.0119492936352154 0.00469056604314113 0.238991950109921 0.0288054509955593 0.162847285289685 0 0 0.000737463126843658 0.000551876379690949 0 0 0 0 0 0 0 0.000566893424036281 0 0.00106292517006803 0 0 0.000737463126843658 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.000582750582750583 0 0 0 0.000809061488673139 0 0.000582750582750583 0.000496031746031746 0 0.000809061488673139 0 0 0.00186616256041658 0 0.000809061488673139 0.00181450264231721 0.0053104837968381 0.00362842522352983 0.0015258632691708 0.00446945360214166 0.00226925392488306 0.00884323972884521 0.0177001018314972 0.00466824996325963 0.0426097788118785 0.0228272645752109 0.0818430571793207 0.184661402341013 0.606954795682017 0 0 0 0 0 0 0 0 0.00136612021857923 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00193798449612403 0 0 0 0 0 0 0 0 0 0.00163398692810458 0.00193798449612403 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00486111111111111 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0.00138888888888889 0 0.00138888888888889 0.00163398692810458 0 0 0 0.00136612021857923 0.00136612021857923 0 0 0 0 0 0.00896730060986038 0 0.00136612021857923 0.00138888888888889 0.00641951532659284 0.0177939986704693 0.00387504082518048 0.0341160100755577 0.0885269783193514 0.0855328420239143 0.157342438696422 0.566475948461903
