"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ij_Proportion" "Transition_gj_Proportion" "Transition_io_Proportion" "Transition_ce_Proportion" "Transition_hi_Proportion" "Transition_jj_Proportion" "Transition_oe_Proportion" "Transition_je_Proportion" "Transition_hh_Proportion" "Transition_eo_Proportion" "Transition_oi_Proportion" "Transition_hg_Proportion" "Transition_ge_Proportion" "Transition_ih_Proportion" "Transition_ho_Proportion" "Transition_eg_Proportion" "Transition_gc_Proportion" "Transition_ec_Proportion" "Transition_og_Proportion" "Transition_gh_Proportion" "Transition_jo_Proportion" "Transition_ic_Proportion" "Transition_go_Proportion" "Transition_cg_Proportion" "Transition_cc_Proportion" "Transition_ii_Proportion" "Transition_jh_Proportion" "Transition_se_Proportion" "Transition_gi_Proportion" "Transition_oo_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_ji_Proportion" "Transition_so_Proportion" "Transition_co_Proportion" "Transition_si_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_jc_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_sci_Proportion" "Transition_sjj_Proportion" "Transition_jjj_Proportion" "Transition_ogi_Proportion" "Transition_gse_Proportion" "Transition_iii_Proportion" "Transition_sig_Proportion" "Transition_isi_Proportion" "Transition_his_Proportion" "Transition_jsi_Proportion" "Transition_sjs_Proportion" "Transition_jsj_Proportion" "Transition_jgs_Proportion" "Transition_iis_Proportion" "Transition_igg_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_ois_Proportion" "Transition_gsh_Proportion" "Transition_jis_Proportion" "Transition_oge_Proportion" "Transition_cso_Proportion" "Transition_cis_Proportion" "Transition_ihs_Proportion" "Transition_sos_Proportion" "Transition_csi_Proportion" "Transition_jos_Proportion" "Transition_ess_Proportion" "Transition_iig_Proportion" "Transition_hsg_Proportion" "Transition_ssi_Proportion" "Transition_sgi_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ggg_Proportion" "Transition_ggs_Proportion" "Transition_cgs_Proportion" "Transition_sii_Proportion" "Transition_ssj_Proportion" "Transition_gis_Proportion" "Transition_jii_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_igs_Proportion" "Transition_jhs_Proportion" "Transition_ggi_Proportion" "Transition_gsg_Proportion" "Transition_ses_Proportion" "Transition_oos_Proportion" "Transition_scs_Proportion" "Transition_shs_Proportion" "Transition_isg_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_sso_Proportion" "Transition_gsi_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 235.75 200.166666666667 15.9166666666667 17.6666666666667 1.41666666666667 0.583333333333333 0 0.320093978369284 0.0536387253913187 0.115164615525607 0.0219423604673336 0.014123536871989 0.209012094325216 0.0678812884829198 0.198143400566332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000527426160337553 0.000527426160337553 0.000527426160337553 0.000541125541125541 0.000541125541125541 0.00105485232067511 0.00106855170146309 0.00136612021857923 0.00350322362150542 0.00351731601731602 0.00369198312236287 0.00438243191407748 0.00520833333333333 0.00539883738420779 0.00573575949367089 0.0101350934196972 0.038951706840684 0.0437241083522159 0.0894281766801122 0.105645384132949 0.137192324717892 0.537331267165995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.00138888888888889 0.0014367816091954 0.0014367816091954 0.0137992831541219 0.0593720604088404 0.0730699201439638 0.105964739491726 0.145924643634055 0.165627677887072 0.425034778728496
2 277.333333333333 231.166666666667 22.6666666666667 21 1.5 1 0 0.364872009272064 0.0362377326489335 0.0973248652429379 0.015345922163137 0.0125062802777683 0.214313978440346 0.0567424694026602 0.202656742552153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000452898550724638 0.000992063492063492 0.00144496204278813 0 0 0.00144496204278813 0 0.000412541254125413 0 0 0 0.00514826715590814 0.000452898550724638 0.00135869565217391 0.00181159420289855 0.00148809523809524 0.0570005175983437 0.00219298245614035 0.0121946272556511 0.0490190227173355 0.00970484206047104 0.0488341692377467 0.134771043622689 0.169963998591022 0.501311818278311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00268817204301075 0 0 0 0 0 0.00399025537634409 0 0.00130208333333333 0.0235243055555556 0.0302297255233773 0.0220391335814723 0.143648354451375 0.172918783414938 0.104554806310448 0.406582745794761
3 346 280.083333333333 32.6666666666667 27.9166666666667 2.58333333333333 1.91666666666667 0.833333333333333 0.35000655797441 0.03262085358531 0.0617523199426573 0.0267786342326678 0.0132841496616246 0.309489502984522 0.0275170723516918 0.178550909267117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000412541254125413 0.000412541254125413 0.000595238095238095 0.000595238095238095 0.000744047619047619 0.000744047619047619 0.000771604938271605 0.00112479196637612 0.00271315976873741 0 0 0.0054990720854749 0 0 0.00207909374576041 0.000412541254125413 0.00125686143743908 0.00117582654823587 0.000431778929188256 0 0.00589665890981581 0.000750750750750751 0.0107705867896755 0.017170696760026 0 0.00548738728630803 0.00245151844892778 0.0161494163445797 0.0103913773698398 0.0150121529704274 0.0300703690643335 0.233378464911244 0.115232485141776 0.518269750641864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00104166666666667 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00154320987654321 0.00193798449612403 0.00197799625468165 0.00213675213675214 0.00213675213675214 0.00347222222222222 0.010128374711708 0.0157373490706824 0.000936329588014981 0 0.000936329588014981 0.00148809523809524 0 0 0 0.00148809523809524 0.00197799625468165 0.00515641505810045 0.00213675213675214 0 0.00411474839143379 0.0143521594684385 0.0134621574470513 0.0358596875127396 0.266158969829546 0.119320783857057 0.0466753044136874 0.438550593927828
4 157.583333333333 127.333333333333 14 13.6666666666667 1.08333333333333 1.25 0.25 0.409340953945514 0.0538084406270526 0.0991506388746352 0.029162533678994 0.0246269766550052 0.147838694122308 0.0447092571702877 0.191362504926204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000410509031198686 0 0 0 0.000410509031198686 0 0 0 0 0.000410509031198686 0 0 0.000410509031198686 0 0 0 0 0 0 0.00165429012572605 0 0.0047830521968453 0 0.0043859649122807 0.0152393745525458 0 0.0189449917898194 0.00416666666666667 0.0185148949237987 0.02705801638783 0.0169227842891227 0.0412440060048541 0.0797798071870071 0.142920102169612 0.539410679335764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00100401606425703 0.00100401606425703 0.0509259259259259 0 0 0.00100401606425703 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0.00277777777777778 0.00374414323962517 0.00100401606425703 0 0 0.0241566041199357 0.0383854630711624 0.0389645538676445 0.10530255544661 0.166530111527492 0.0660077648013085 0.387073908790121
5 89.0833333333333 73.0833333333333 7.58333333333333 6.08333333333333 1.08333333333333 1.16666666666667 0.0833333333333333 0.389318329065593 0.0616884999661946 0.0827267431153251 0.0442355567553834 0.0184308488104039 0.137856367770436 0.045517929577126 0.220225724939538 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0.00157232704402516 0.00320512820512821 0.00520833333333333 0 0 0.0293501048218029 0 0 0 0 0 0 0.000511247443762781 0 0.000511247443762781 0 0 0.00157232704402516 0 0.00157232704402516 0.0277777777777778 0.000511247443762781 0.00314465408805031 0 0.011519530913775 0.00571958077709612 0.0036559015318131 0.00412856426283906 0 0.00102249488752556 0.000511247443762781 0.0251331074559154 0.021356408128701 0.0194293212398854 0.0354944156772366 0.0944528374187884 0.11803087266567 0.416370002196843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00574712643678161 0 0 0.00234741784037559 0 0 0.00117370892018779 0 0 0 0.0028735632183908 0 0 0.00117370892018779 0 0 0 0.0040472721385786 0.0040472721385786 0 0 0 0.00117370892018779 0.00117370892018779 0 0 0 0.00117370892018779 0.00352112676056338 0.00117370892018779 0 0 0.0080945442771572 0.0204163197576262 0.0317460317460317 0.0615783375466474 0.184696986072047 0.0672609930137856 0.333912793738559
6 156.5 126.166666666667 14.4166666666667 12.8333333333333 1.33333333333333 1.5 0.25 0.421477264403586 0.059768346190519 0.0553453090883356 0.0447293080843388 0.0197955349151288 0.157821587358869 0.0460455176224921 0.195017132336731 0 0 0 0 0 0 0 0 0.000410509031198686 0.000410509031198686 0.000410509031198686 0.00320512820512821 0 0 0 0 0 0 0 0.000493096646942801 0 0 0 0 0 0 0 0 0.00262219252116272 0 0 0.00603109617352496 0 0.00123152709359606 0 0 0 0.0138388992301968 0.000493096646942801 0.0101681000904749 0.00475732529290027 0 0.00462962962962963 0.00131411470934017 0.0192689992440852 0.0159675086862229 0.0113475595253937 0.0623918425786722 0.142695040511333 0.143283536205005 0.555029779915852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.000957854406130268 0.000957854406130268 0.00112612612612613 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00416298261125847 0.0115115115115115 0 0 0 0 0 0.00208398053225639 0.000957854406130268 0.00191570881226054 0 0.00112612612612613 0.00191570881226054 0 0 0.000957854406130268 0.000957854406130268 0.0052891087373846 0.00512083701738874 0.00320512820512821 0 0 0.0255550643481678 0.0214240102171137 0.0298617583100342 0.189997832239212 0.155010514493273 0.133260353950009 0.310019454847041
7 269.166666666667 217.916666666667 25.3333333333333 21.5833333333333 2.83333333333333 1.33333333333333 0.166666666666667 0.350146714801141 0.0511535344921221 0.0591598887652437 0.0224232347977378 0.0157764294302307 0.279903147111762 0.0345198035926303 0.186917247009132 0 0 0 0 0 0 0 0.00213675213675214 0 0 0.000936329588014981 0 0 0 0 0 0 0 0.000868055555555556 0 0 0 0 0 0.0015625 0.000771604938271605 0 0 0.00155981223942389 0 0.000694444444444444 0.00333913458913459 0 0.00519901041240038 0 0.00238095238095238 0 0.00293586726716431 0.0015015015015015 0.00984516594923243 0.016898059927844 0 0.00343383155883156 0.000809061488673139 0.0326706641374128 0.0187368718273796 0.0126097640792661 0.0442939776795075 0.206847067669961 0.144024384278906 0.48594518634937 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0 0 0 0 0.00297619047619048 0 0 0.00437721631205674 0 0 0 0 0.00181159420289855 0.00181159420289855 0 0.00860946939847649 0 0 0 0.00308641975308642 0 0.012616303613644 0.00652613606514316 0.00177304964539007 0 0 0.0112213403880071 0 0 0.00177304964539007 0.00308641975308642 0.009375 0.00865575396825397 0 0 0 0.0549763007054674 0.0257693763898474 0.0306073867687343 0.206825023616189 0.166286673922833 0.0748364614587055 0.358832573047035
8 97.8333333333333 80.5833333333333 8.91666666666667 6.41666666666667 1.16666666666667 0.583333333333333 0.166666666666667 0.478147891353864 0.0462179577959053 0.0698884033553825 0.0195550597989279 0.0141670357617948 0.150452221488024 0.0694477042784178 0.152123726167683 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00367996201329535 0 0.00154320987654321 0.00451770451770452 0 0 0.0056602733686067 0 0 0.00734508547008547 0.00154320987654321 0.00655864197530864 0 0.00177304964539007 0.018752173916181 0.0158840388007055 0.0409963878713879 0.10784683860925 0.14908175289381 0.53450902918988 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0.0043859649122807 0.0209630647130647 0.0522435897435897 0.101884518989782 0.130574432877064 0.100343406593407 0.468344338410128
9 79.4166666666667 63.25 8.58333333333333 6.25 1 0.333333333333333 0 0.430316373505492 0.0602495581728829 0.0739125649227567 0.0440208307344851 0.0130323389168924 0.169089931121754 0.0299263917926667 0.179452010833071 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000850340136054422 0 0.00321583178726036 0 0.00490196078431373 0 0.00596397649969078 0.00303030303030303 0 0 0 0.000850340136054422 0 0.00804730983302412 0.0439227163929545 0.00908897649969079 0.0346046920451682 0.13017407720664 0.234115725414745 0.436385265385616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0.018859649122807 0.0043859649122807 0.0254385964912281 0.110568086883876 0.187517404622668 0.062781954887218 0.336062378167641
10 120.75 98 11.75 8.58333333333333 1.25 1 0.166666666666667 0.448520555724366 0.0482586880419154 0.0692943625794191 0.0281745328626252 0.0126652876491631 0.162358511268073 0.0362877435395439 0.194440318334894 0 0 0 0 0.000599520383693046 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.006551901336074 0 0 0 0 0 0.00595238095238095 0 0.00219298245614035 0 0 0 0.0138477102483537 0.0152116402116402 0.00389366272824919 0.00509270349563529 0 0.00471823498139288 0.00548855905998763 0.0683162104408762 0.0264687446085185 0.0334745327315018 0.0243672413253682 0.128782544002258 0.142845486117315 0.509670692395363 0 0 0 0 0 0 0 0 0.00163398692810458 0.0119047619047619 0.0119047619047619 0.0277777777777778 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0.00326797385620915 0 0 0.0119047619047619 0 0 0.00996732026143791 0.00396825396825397 0 0 0.142371898254251 0.00757575757575758 0.0379435107376284 0.185215601392072 0.107853040205981 0.046487989135048 0.374151175621764
