"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_oe_Proportion" "Transition_cj_Proportion" "Transition_ho_Proportion" "Transition_eg_Proportion" "Transition_jo_Proportion" "Transition_oi_Proportion" "Transition_io_Proportion" "Transition_ge_Proportion" "Transition_co_Proportion" "Transition_gc_Proportion" "Transition_jc_Proportion" "Transition_og_Proportion" "Transition_ch_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_je_Proportion" "Transition_jj_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_ij_Proportion" "Transition_gh_Proportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_ei_Proportion" "Transition_sh_Proportion" "Transition_oc_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_hh_Proportion" "Transition_gi_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_gg_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gos_Proportion" "Transition_oee_Proportion" "Transition_sos_Proportion" "Transition_cis_Proportion" "Transition_jos_Proportion" "Transition_ihs_Proportion" "Transition_hos_Proportion" "Transition_cos_Proportion" "Transition_egs_Proportion" "Transition_csg_Proportion" "Transition_sch_Proportion" "Transition_chs_Proportion" "Transition_cgs_Proportion" "Transition_gee_Proportion" "Transition_csj_Proportion" "Transition_jcs_Proportion" "Transition_osg_Proportion" "Transition_gsh_Proportion" "Transition_isg_Proportion" "Transition_sjj_Proportion" "Transition_iis_Proportion" "Transition_ssi_Proportion" "Transition_ogs_Proportion" "Transition_sje_Proportion" "Transition_jsc_Proportion" "Transition_sii_Proportion" "Transition_jis_Proportion" "Transition_shs_Proportion" "Transition_isi_Proportion" "Transition_sgs_Proportion" "Transition_sjs_Proportion" "Transition_sis_Proportion" "Transition_jgg_Proportion" "Transition_sjg_Proportion" "Transition_ggg_Proportion" "Transition_ssj_Proportion" "Transition_ses_Proportion" "Transition_sij_Proportion" "Transition_ihh_Proportion" "Transition_ghh_Proportion" "Transition_igh_Proportion" "Transition_sgi_Proportion" "Transition_iei_Proportion" "Transition_gii_Proportion" "Transition_ssg_Proportion" "Transition_isc_Proportion" "Transition_scs_Proportion" "Transition_gis_Proportion" "Transition_ggs_Proportion" "Transition_gsg_Proportion" "Transition_sgg_Proportion" "Transition_hhs_Proportion" "Transition_iii_Proportion" "Transition_igs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_css_Proportion" "Transition_sss_Proportion"
1 260.5 217.666666666667 22.5833333333333 17.6666666666667 1.33333333333333 0.916666666666667 0.333333333333333 0.353703255008969 0.0630644030476613 0.0797251754782038 0.00853853262715927 0.017655266079073 0.217721921507098 0.0429139462469776 0.216677500004858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000591016548463357 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000809061488673139 0.00112612612612613 0.001232042189489 0.00128205128205128 0.00176715176715177 0.00257621325582491 0.00262795813825603 0.00273213841175006 0.00294918486407848 0.00320512820512821 0.00343285753855971 0.00366109116109116 0.00645931491676173 0.00975432637404468 0.0128654102398209 0.0369181438695235 0.0576636100372484 0.0674588855436365 0.131677051104645 0.148112715207481 0.495383462141896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.00146198830409357 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00347222222222222 0.00347222222222222 0.00392909356725146 0.0172208193041526 0.0183835933158689 0.0500205442800902 0.10990246710061 0.125248531353408 0.13738711552179 0.14157243327135 0.345787515001911
2 190.083333333333 157 17.6666666666667 12.8333333333333 1.58333333333333 0.833333333333333 0.166666666666667 0.334369596717551 0.0514650186864526 0.071473271894979 0.0176741194304007 0.0199578003338344 0.161333441057855 0.0601311614039573 0.28359559047497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000980392156862745 0.000980392156862745 0.00293831742665253 0.00925925925925926 0 0.00161812297734628 0 0 0 0 0 0 0.000905797101449275 0.00171485859012241 0 0 0 0 0.00173611111111111 0.00203252032520325 0.0025440489032722 0.000809061488673139 0.000868055555555556 0.000868055555555556 0.00522369866172631 0.00555555555555556 0 0.0100702983255733 0.0195647264443659 0.0326649211500555 0.0195485195527315 0.0556723783562462 0.147645032954856 0.134576495302411 0.457964121829294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00225225225225225 0.00320512820512821 0.0166666666666667 0.00219298245614035 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.0104166666666667 0.0341097676623992 0.0239769845033003 0.0602261529893109 0.119236754105175 0.130387562953352 0.124486219880957 0.382930580956897
3 339.166666666667 272.833333333333 29.3333333333333 31.0833333333333 3.58333333333333 1.91666666666667 0.416666666666667 0.342682339051352 0.0544346265038015 0.0648359268145268 0.0250161077353371 0.015651887869029 0.268283793553099 0.0359292470735309 0.193166071399324 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.00111677115987461 0.000757575757575758 0.000841750841750842 0.001416463485429 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00152661281971627 0.000574712643678161 0 0 0 0.00186781609195402 0.00357323232323232 0.00404693486590038 0.00120094624404969 0.00614681295715779 0.0026174097294787 0.00595132358063393 0.00995461269237687 0.000841750841750842 0.00787568311867972 0.0337262026284551 0.0263722791413647 0.0313960844376584 0.0431863474588213 0.135957758899588 0.176266597887039 0.499989707599223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000718390804597701 0.000718390804597701 0.00112612612612613 0.00112612612612613 0.00225225225225225 0.00231481481481481 0.00231481481481481 0.00277777777777778 0.00297064305684995 0 0.00357212621647265 0.000718390804597701 0.0139056499604167 0 0.00375159642401022 0 0 0.000915750915750916 0.00112612612612613 0 0 0 0 0 0 0 0.00112612612612613 0.00369352869352869 0 0 0.00184451693072383 0.00204187704187704 0.00276026784647474 0.00347865865107244 0 0.00225225225225225 0.000718390804597701 0.00604156638639397 0.0336680885029274 0.0303769856183148 0.0595291720632244 0.229540899432536 0.160579091070727 0.0709154074906882 0.351124194063204
4 158.166666666667 130.166666666667 14.9166666666667 11.4166666666667 1.08333333333333 0.5 0.0833333333333333 0.396385999311819 0.0555710449787842 0.0968965555784449 0.022929214736561 0.019727324592601 0.15178755308274 0.0564384464774325 0.200263861241617 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0.00420286783923148 0 0 0 0.00068870523415978 0 0 0 0.00520833333333333 0 0.00589703856749311 0 0 0 0 0 0 0 0.0127912867274569 0 0 0 0 0 0.00362966272057181 0.0139595873575009 0 0 0 0.00205482545273901 0.00246175487954985 0 0.0194532108789464 0.0199267586761641 0.0529942526836489 0.0281523926194169 0.0620005375752558 0.154967953351689 0.115146823701923 0.495775303166759 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00198412698412698 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0.00462962962962963 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0198412698412698 0.0338373381851643 0.0333994708994709 0.0641534391534391 0.129949860928122 0.17896485559529 0.12274531024531 0.402227502770981
5 63.1666666666667 51.8333333333333 5.25 5.25 0.333333333333333 0.5 0 0.4993527333619 0.0390513953014004 0.0407445057867035 0.0098189199051268 0.0217414856118556 0.152333028230192 0.0480227216811379 0.188935210121684 0 0 0 0 0 0 0 0 0.00320512820512821 0.00555555555555556 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0.00277777777777778 0 0.0133807817998994 0.00653846153846154 0.0350231481481481 0.0385234699940582 0.0387137590078767 0.155411905632494 0.118084807349513 0.485135632341515 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0110479797979798 0.013986013986014 0.0318181818181818 0.0797979797979798 0.0272435897435897 0.226709401709402 0.081764763014763 0.4378885003885
6 76.75 64.4166666666667 4.91666666666667 6.41666666666667 0.416666666666667 0.5 0.0833333333333333 0.447196787943487 0.0292548884711194 0.0466084023138886 0.0565284311301542 0.0123025837492063 0.130444665034613 0.0441598064429628 0.233504434914569 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0.00238095238095238 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0.00151515151515152 0 0 0.00925925925925926 0 0 0.00151515151515152 0 0.00308641975308642 0.0496550472040668 0 0.00308641975308642 0.0505731922398589 0.028182384064737 0.0284108592932122 0.0324074074074074 0.154060445727112 0.0652677569344236 0.474920540606815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0.00694444444444444 0.0162037037037037 0.041005291005291 0.0390873015873016 0.0822420634920635 0.116236772486772 0.0886904761904762 0.401256613756614
7 275.75 227.25 23.25 21.1666666666667 2.5 1.25 0.333333333333333 0.365798510024979 0.0638037869656003 0.0622572848776473 0.0328428441294517 0.0143251973630288 0.238847264998406 0.0289570242319321 0.193168087408955 0 0 0 0.000771604938271605 0.000980392156862745 0.00189773106439773 0.00213675213675214 0 0 0.000833333333333333 0 0.00243827160493827 0 0.000936329588014981 0.00354049625468165 0 0 0.000936329588014981 0 0.00148809523809524 0.000771604938271605 0 0 0 0 0.000563063063063063 0 0 0 0.000771604938271605 0 0 0.00187265917602996 0 0 0.00243632958801498 0.0022716049382716 0 0.00472657093367878 0 0.0068725998407371 0.00812934871145655 0.00261422136422136 0.00443924426740025 0.0337211990350485 0.0217525967762804 0.0206895004759898 0.0372810928979138 0.130302883722649 0.164847139821349 0.53997739960799 0 0 0 0 0 0.00117370892018779 0.00198412698412698 0.00245098039215686 0.00260416666666667 0.00260416666666667 0.0028735632183908 0.0028735632183908 0.0036231884057971 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00260416666666667 0.00638204225352113 0 0 0 0.00495158450704225 0.0407273776098859 0.0219044149957215 0.0420055620409177 0.184880454329719 0.137459662951694 0.0792223077348735 0.453044904311038
8 108.5 90.3333333333333 8.5 8.66666666666667 0.5 0.5 0 0.355458430539289 0.045918578288574 0.0983555582064944 0.0484645674001281 0.0365186837689567 0.156663848964984 0.0488007847279983 0.209819548103576 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0.00120772946859903 0.00716011042097999 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00598203502415459 0 0 0 0 0.00250981280193237 0.0151515151515152 0.00347222222222222 0.0147792022792023 0.0166662795738883 0.0496381323487302 0.0209621937543133 0.0663234900666966 0.107298320137994 0.104572875292984 0.496529890449727 0 0 0 0.0036231884057971 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0242460840286927 0.0828554083029786 0.0473659380308997 0.128271472181319 0.106774725700557 0.152830521756353 0.359335691896434
9 48.1666666666667 41.75 3.41666666666667 2.66666666666667 0.166666666666667 0.166666666666667 0 0.59647083701988 0.0503215654442274 0.0382913756239861 0.0235378522693852 0.025906093217512 0.10577759897784 0.0302952650063774 0.129399412440792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0.00833333333333333 0 0.0391483516483516 0.0036231884057971 0.0189102564102564 0.108333333333333 0.0417363433667782 0.0948540992019253 0.0784002229654403 0.511422776096689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.00833333333333333 0.0104166666666667 0.0104166666666667 0.08125 0.0520833333333333 0.0819444444444444 0.526388888888889
10 75.8333333333333 64.6666666666667 5.33333333333333 5 0.666666666666667 0.166666666666667 0 0.490471178728112 0.0347171291031451 0.0541485299086729 0.0471155581408567 0.0266498876493784 0.143832306656134 0.0460698283690469 0.156995581444653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0 0.0139802631578947 0 0.0036231884057971 0.012719298245614 0.125260147918817 0.0286994367639529 0.0167556652479514 0.031325822396493 0.130031188681506 0.0716836366561018 0.559487971092491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.204166666666667 0.0296474358974359 0.0251602564102564 0.0810744810744811 0.193452380952381 0.0735576923076923 0.279052197802198
