"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ee_Proportion" "Transition_je_Proportion" "Transition_gh_Proportion" "Transition_co_Proportion" "Transition_ge_Proportion" "Transition_ij_Proportion" "Transition_oc_Proportion" "Transition_jg_Proportion" "Transition_jj_Proportion" "Transition_gj_Proportion" "Transition_cj_Proportion" "Transition_og_Proportion" "Transition_ih_Proportion" "Transition_ec_Proportion" "Transition_ch_Proportion" "Transition_hi_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_oo_Proportion" "Transition_jo_Proportion" "Transition_hh_Proportion" "Transition_oi_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_ie_Proportion" "Transition_oh_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_ii_Proportion" "Transition_es_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ssc_Proportion" "Transition_jos_Proportion" "Transition_jee_Proportion" "Transition_sje_Proportion" "Transition_cos_Proportion" "Transition_csh_Proportion" "Transition_jsg_Proportion" "Transition_csg_Proportion" "Transition_jgs_Proportion" "Transition_oos_Proportion" "Transition_csi_Proportion" "Transition_esi_Proportion" "Transition_cis_Proportion" "Transition_osh_Proportion" "Transition_hsi_Proportion" "Transition_shs_Proportion" "Transition_gsc_Proportion" "Transition_iii_Proportion" "Transition_sgi_Proportion" "Transition_gig_Proportion" "Transition_isj_Proportion" "Transition_jgg_Proportion" "Transition_gii_Proportion" "Transition_isi_Proportion" "Transition_igg_Proportion" "Transition_isg_Proportion" "Transition_ssj_Proportion" "Transition_gsi_Proportion" "Transition_ogs_Proportion" "Transition_sig_Proportion" "Transition_csc_Proportion" "Transition_chs_Proportion" "Transition_ccs_Proportion" "Transition_jsi_Proportion" "Transition_sii_Proportion" "Transition_jhs_Proportion" "Transition_scs_Proportion" "Transition_ohg_Proportion" "Transition_hgg_Proportion" "Transition_ggi_Proportion" "Transition_gis_Proportion" "Transition_ggs_Proportion" "Transition_ggg_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_iis_Proportion" "Transition_ish_Proportion" "Transition_joi_Proportion" "Transition_shh_Proportion" "Transition_ois_Proportion" "Transition_ssh_Proportion" "Transition_gsh_Proportion" "Transition_ssi_Proportion" "Transition_gsg_Proportion" "Transition_isc_Proportion" "Transition_scc_Proportion" "Transition_ies_Proportion" "Transition_jcs_Proportion" "Transition_sgg_Proportion" "Transition_sos_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_igs_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 300.666666666667 234.166666666667 33.25 26.5 4.16666666666667 2.16666666666667 0.416666666666667 0.426504347242912 0.0552154342805248 0.0647624454863741 0.0146109767071589 0.00443975091155236 0.231882781868239 0.0388458808032257 0.163738382700013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000262881177707676 0.000262881177707676 0.000262881177707676 0.000262881177707676 0.000570776255707763 0.000595238095238095 0.000595238095238095 0.000595238095238095 0.000641025641025641 0.000641025641025641 0.000677506775067751 0.000833657433415439 0.000858119272945771 0.000949564134495641 0.0010515247108307 0.00116601435094586 0.00149978832944133 0.00222496230645547 0.0043859649122807 0.00569509174683867 0.0121525817084733 0.0175065704119496 0.030530883882954 0.0359591395106942 0.0380715365048158 0.124095090628869 0.129514837726553 0.588137099118669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.0014367816091954 0.0016025641025641 0.00208333333333333 0.00222445464982778 0.00294665012406948 0.00399849689397231 0.00783733770173523 0.0119684177611007 0.0166666666666667 0.0427657114847595 0.0531724965748735 0.0718584752102671 0.100772336429402 0.110157050666642 0.559696844955688
2 305.333333333333 235.25 32.0833333333333 29.9166666666667 4.25 2.75 1.08333333333333 0.480613347337694 0.0504240221245631 0.0453061043560953 0.0137284895463053 0.00490123912970699 0.212712482493597 0.0269041212123941 0.165410193799645 0 0 0 0 0 0 0 0 0 0 0.000245098039215686 0.000245098039215686 0.000274122807017544 0.000478927203065134 0.000490196078431373 0.000490196078431373 0.00072402524228082 0.00072402524228082 0.00112612612612613 0 0 0 0 0.00068870523415978 0 0.00068870523415978 0.000764318885448916 0 0.000527426160337553 0.00112612612612613 0 0.00068870523415978 0.0054687188770928 0.0010094169246646 0 0.000245098039215686 0.00602354230375196 0 0.00315437795749035 0.0122027925365561 0.0107465442718286 0.0176138876733085 0.029068863773959 0.0279560145905578 0.0996768009447289 0.156867817021019 0.62068432335537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.000599520383693046 0.00114155251141553 0.00119904076738609 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.0024513722355449 0.00300629061967817 0.00308641975308642 0.00308641975308642 0 0 0 0 0 0.000599520383693046 0 0.000599520383693046 0.00539629105472083 0 0 0 0 0.00298952081873571 0 0.00239808153477218 0 0.00919225094232914 0.00174107289510857 0.0122171364886782 0 0.0255824069302653 0.0522331004133238 0.0535517128691734 0.168502642953537 0.0928415163291806 0.54777912103672
3 370.916666666667 270.583333333333 40.3333333333333 45.5 6.16666666666667 6.5 1.83333333333333 0.452434219479032 0.0341410712784465 0.115233593723096 0.0232919842485227 0.00983801922830692 0.255671084485581 0.019211678868659 0.090178348688356 0 0 0 0 0.000215889464594128 0.000215889464594128 0.000215889464594128 0.000237416904083571 0.000771604938271605 0.000987494402865733 0 0.000771604938271605 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0.000218722659667542 0 0 0 0.00114036181763791 0.0009249851833037 0.00705097311038006 0.00268691771951445 0.00364183307731695 0.000218722659667542 0.000650501588855797 0.00209696875054606 0.00478600080535167 0.0169800939976159 0.0155411952607212 0.0110558926690302 0.0121816115281971 0.0213076838470703 0.0468588827018368 0.179082931946772 0.58484247078178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000412541254125413 0.000412541254125413 0.000412541254125413 0.000465549348230912 0.000537634408602151 0.000825082508250825 0.000931098696461825 0.000950175662727563 0.00141572501095848 0.00151515151515152 0.00175618120471265 0.00213675213675214 0.00254929339087755 0 0 0 0 0.000578703703703704 0 0.000412541254125413 0 0 0 0.000578703703703704 0.00304681306119439 0.00123762376237624 0 0 0 0 0 0 0 0 0 0.000991244957829116 0.00338448707533696 0 0 0 0 0.00476093184346968 0 0.0033787953392441 0.000578703703703704 0.0108051887386079 0.00175618120471265 0.0306812176771854 0.00134363995058724 0.00626729811920256 0.0227164776881874 0.039735667697675 0.162569369483699 0.031731652341391 0.57579115771563
4 220.666666666667 159.583333333333 25 29 2.58333333333333 3.91666666666667 0.5 0.465612047374421 0.0292071006954442 0.0326521663570437 0.0128984836326702 0.0101527916666815 0.227491927761387 0.0179911108832744 0.120661038295745 0 0 0 0 0 0 0 0.00043859649122807 0 0.00030750307503075 0 0 0 0 0 0 0.00030750307503075 0 0 0 0 0 0 0 0 0 0.000508130081300813 0 0 0.00030750307503075 0.00030750307503075 0 0.00158803893003469 0 0.00311169183120403 0 0.00157195986853486 0.000662113004108764 0.00331215970961887 0.0104504915132968 0.00474046926386184 0.0187436484108891 0.012988669157378 0.0291396945807197 0.0720949006320618 0.159813427868261 0.596272663024045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.00072463768115942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00072463768115942 0 0 0 0 0.000744047619047619 0.000744047619047619 0.00259589947089947 0.00396825396825397 0.00239461122613297 0 0.0085978835978836 0 0.00498005205666496 0.0161127297654296 0.0531724697047278 0.161964336732044 0.0471836574352353 0.611290716808774
5 106.416666666667 76.3333333333333 11.1666666666667 15.1666666666667 1.25 2.08333333333333 0.416666666666667 0.496203107516224 0.0563689760871382 0.0498984753728218 0.0186222081104957 0.00645294918714711 0.241348055029152 0.0243788266649259 0.106727402032095 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0.000481695568400771 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0.000481695568400771 0.000481695568400771 0.00136612021857923 0 0.00757575757575758 0 0.00319444444444444 0.00153654788907588 0.00184781578698001 0 0.00313818565400844 0.01547777844295 0.00902084428095989 0.0158173152374738 0.036862581716802 0.0659824597685289 0.0507578850640474 0.15811422418164 0.624724767379541 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0.00219298245614035 0.00335038986354776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0.00378787878787879 0.00115740740740741 0.0166666666666667 0 0 0.0061026936026936 0 0.00219298245614035 0.0166024277866383 0 0.0144284321915901 0.0736106364395838 0.146603250550619 0.140128730918205 0.0347657337788917 0.518392730563783
6 182.25 132.583333333333 19 24.5833333333333 2.16666666666667 3.41666666666667 0.5 0.567826629158244 0.0565092050762339 0.0312867973521495 0.0260820756959757 0.0209302928888314 0.176781104167759 0.0154693335412154 0.105114562119591 0 0 0 0 0 0 0 0.00129198966408269 0 0 0 0 0 0 0 0 0 0 0.000393081761006289 0 0 0.000645994832041344 0.00103907659304763 0 0 0 0 0 0.000645994832041344 0 0 0.00193116035006191 0 0.000998003992015968 0.00179195469091115 0.000907498728034128 0.000393081761006289 0.000393081761006289 0.00641506175453735 0.0137595600700162 0.0040819483470098 0.00533751548328009 0.013828484970776 0.0282968836068817 0.0603973139507504 0.111825317249329 0.578960328935497 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.00128205128205128 0.00146198830409357 0.00146198830409357 0 0 0 0 0 0 0.000841750841750842 0 0 0 0.000841750841750842 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0.00274403958614485 0 0.00231232844014799 0.00169209097780526 0.0191056198222552 0 0.0058562712698051 0.0222993491348202 0.0492495626997783 0.133801698638192 0.0514309330651657 0.533904131393489
7 232.083333333333 165 25.5 31.4166666666667 4.25 4.75 1 0.485003782320817 0.0213656654074548 0.0281003539056571 0.0184182176159969 0.00603470305785636 0.178494796756436 0.0106849785564293 0.085230835712686 0 0 0 0 0 0 0 0.00108780821232683 0 0.000398724082934609 0 0 0 0 0 0 0.000402576489533011 0 0 0 0 0 0.000378787878787879 0 0 0 0.000398724082934609 0 0.000402576489533011 0 0 0.000290360046457607 0.00185074428495481 0.000398724082934609 0.00190608242265059 0.000694444444444444 0.000801300572467621 0 0.00229319318278128 0.0158722474058893 0.00508864958061252 0.00940913348784108 0.0168964931491138 0.0117600171034304 0.0541368910929055 0.107352859443298 0.601512995797502 0 0 0 0 0 0 0.000645994832041344 0.000915750915750916 0.00156174574779226 0 0 0 0 0 0 0 0.000915750915750916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000850340136054422 0 0 0 0.000645994832041344 0 0.000771604938271605 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0.000915750915750916 0 0 0 0 0 0 0.00258397932816537 0.00185185185185185 0.0183704346314063 0 0.0138118780275643 0.0164909526538603 0.0243681915954683 0.114009639793099 0.047807566155486 0.584964054211127
8 149.416666666667 111.583333333333 13.4166666666667 19.25 2.5 1.91666666666667 0.75 0.630369692449369 0.0301234957796902 0.0257211469739852 0.0251361602269269 0.00881452724301938 0.191016800860137 0.010508953658815 0.0783092228080578 0 0 0 0 0 0 0 0.0020319232275754 0 0.000750750750750751 0 0 0 0 0 0 0 0.000651041666666667 0 0 0 0 0 0 0 0 0 0 0 0.00110962711132697 0 0.000718390804597701 0 0 0.00255964040625132 0 0.00186186186186186 0 0.000718390804597701 0.0472824901151759 0.00646195058280719 0.010597050855203 0.0114567623946798 0.0207312493105925 0.0494465606061519 0.105238527849848 0.65505044831858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.00231481481481481 0.00212369597615499 0.00629036264282166 0.00185185185185185 0.0914351851851852 0 0.0139732621529796 0.0142571548821549 0.0415669326241135 0.100723490647082 0.0375935060552038 0.599727908150802
9 91.3333333333333 67.8333333333333 7.91666666666667 12.25 1.08333333333333 1.66666666666667 0.583333333333333 0.477524583060439 0.116399706813364 0.0612887704305676 0.0269162554887539 0.0155185874025544 0.158357926698948 0.0207714149584007 0.123222755146973 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0.00101626016260163 0 0.000833333333333333 0 0 0.0166666666666667 0 0.00549156880457693 0.00166666666666667 0.000833333333333333 0 0.0019017094017094 0.0170282590834958 0.0213870733478577 0.0116050779286073 0.0192015536671204 0.0329376816392598 0.057372593681331 0.0759432725455436 0.567781616404563 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0 0.0277777777777778 0 0 0 0 0.0277777777777778 0 0 0.014021164021164 0 0 0.0119047619047619 0 0.0103327228327228 0.0351870351870352 0.0721958596958597 0.0872752247752248 0.0518624893624894 0.490190827690828
10 147.166666666667 112.666666666667 13.8333333333333 16.0833333333333 2 2 0.583333333333333 0.659684007262668 0.0334891705308455 0.0388850965889943 0.0491223569620829 0.0214726373109584 0.112981431424756 0.0110075247087213 0.0733577752109732 0 0 0 0.000468164794007491 0 0 0 0.000750750750750751 0.000915750915750916 0 0 0 0 0 0 0 0.000468164794007491 0 0 0 0.000651041666666667 0 0 0 0 0 0 0 0 0.000764525993883792 0 0 0.00376948632762586 0.000915750915750916 0.0026344832053087 0.000651041666666667 0 0 0.00371523428605978 0.0123851311461336 0.00824224494497451 0.0041015667036422 0.0179933982824254 0.0150933968674941 0.0526596141794071 0.0636450944246054 0.643508491468172 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00138888888888889 0 0.00138888888888889 0 0.00185185185185185 0 0 0 0 0 0.00505698005698006 0 0.00505698005698006 0.00138888888888889 0 0 0.0197599568746829 0 0.00253044140030441 0.0379155424104054 0.0282454972095383 0.0720252999790671 0.0446649716341497 0.523880555644254
