"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ce_Proportion" "Transition_eg_Proportion" "Transition_hc_Proportion" "Transition_cc_Proportion" "Transition_ch_Proportion" "Transition_he_Proportion" "Transition_ij_Proportion" "Transition_ih_Proportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_eo_Proportion" "Transition_co_Proportion" "Transition_gj_Proportion" "Transition_cj_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_ge_Proportion" "Transition_ho_Proportion" "Transition_og_Proportion" "Transition_hg_Proportion" "Transition_ic_Proportion" "Transition_jo_Proportion" "Transition_ci_Proportion" "Transition_gh_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_io_Proportion" "Transition_ig_Proportion" "Transition_oh_Proportion" "Transition_ec_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_oo_Proportion" "Transition_so_Proportion" "Transition_sh_Proportion" "Transition_se_Proportion" "Transition_oc_Proportion" "Transition_oi_Proportion" "Transition_gc_Proportion" "Transition_hh_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gsc_Proportion" "Transition_scc_Proportion" "Transition_jsh_Proportion" "Transition_gse_Proportion" "Transition_sgi_Proportion" "Transition_ssj_Proportion" "Transition_jhs_Proportion" "Transition_jis_Proportion" "Transition_chs_Proportion" "Transition_csc_Proportion" "Transition_iii_Proportion" "Transition_his_Proportion" "Transition_oso_Proportion" "Transition_cis_Proportion" "Transition_eoo_Proportion" "Transition_seo_Proportion" "Transition_ics_Proportion" "Transition_csh_Proportion" "Transition_jcs_Proportion" "Transition_jjs_Proportion" "Transition_iig_Proportion" "Transition_gig_Proportion" "Transition_isi_Proportion" "Transition_hsi_Proportion" "Transition_osj_Proportion" "Transition_sse_Proportion" "Transition_jsi_Proportion" "Transition_ges_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_hos_Proportion" "Transition_ogs_Proportion" "Transition_hgs_Proportion" "Transition_sci_Proportion" "Transition_gsh_Proportion" "Transition_cic_Proportion" "Transition_sis_Proportion" "Transition_ghs_Proportion" "Transition_jos_Proportion" "Transition_jsg_Proportion" "Transition_csg_Proportion" "Transition_sig_Proportion" "Transition_igs_Proportion" "Transition_ess_Proportion" "Transition_ioc_Proportion" "Transition_gsg_Proportion" "Transition_oos_Proportion" "Transition_ssc_Proportion" "Transition_ois_Proportion" "Transition_ses_Proportion" "Transition_ecg_Proportion" "Transition_ocs_Proportion" "Transition_osi_Proportion" "Transition_cgs_Proportion" "Transition_csi_Proportion" "Transition_ise_Proportion" "Transition_hhh_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_hsc_Proportion" "Transition_gsj_Proportion" "Transition_shs_Proportion" "Transition_ggs_Proportion" "Transition_gis_Proportion" "Transition_sos_Proportion" "Transition_gsi_Proportion" "Transition_sgc_Proportion" "Transition_gcs_Proportion" "Transition_iis_Proportion" "Transition_osg_Proportion" "Transition_scs_Proportion" "Transition_ssi_Proportion" "Transition_ggg_Proportion" "Transition_isg_Proportion" "Transition_ssg_Proportion" "Transition_sii_Proportion" "Transition_sgs_Proportion" "Transition_sgg_Proportion" "Transition_jgs_Proportion" "Transition_sjs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 291.083333333333 215.666666666667 35.8333333333333 30.6666666666667 5.41666666666667 2.58333333333333 0.916666666666667 0.359885554503827 0.0996685004952917 0.0659877095923756 0.0117267097368704 0.00553887993017602 0.211435897452667 0.0465293787587117 0.199227369530081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000378787878787879 0.000429553264604811 0.000429553264604811 0.000525762355415352 0.000527426160337553 0.000527426160337553 0.000527426160337553 0.000527426160337553 0.000527426160337553 0.000595238095238095 0.000874819624819625 0.000906214039125432 0.000956979424942364 0.000956979424942364 0.000992063492063492 0.000992063492063492 0.0020452520078164 0.00302094178676457 0.00308641975308642 0.00313819093592883 0.00336069095868577 0.00450368884904268 0.00531406903646651 0.0059353381159874 0.00684121701058137 0.0124901201170938 0.0243642625251428 0.0414272312340687 0.103258752421125 0.11798309537359 0.127810769591566 0.524744815124759 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.00101626016260163 0.0010752688172043 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00115740740740741 0.00115740740740741 0.00115740740740741 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00161290322580645 0.00161988549085323 0.00170068027210884 0.00170068027210884 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00272760349139157 0.00279359441104103 0.00288505224897774 0.0032258064516129 0.00360750360750361 0.00370443220561238 0.00395664027454772 0.00427083500591425 0.00493714978040285 0.00757575757575758 0.00793650793650794 0.0138483648875267 0.0154993796433802 0.0571765641717612 0.121610084463671 0.125223650723681 0.145046964241686 0.437706275622878
2 305.583333333333 232.083333333333 34.4166666666667 31.25 3.5 3.08333333333333 1.25 0.405353041962145 0.0986655108401705 0.0367469209966146 0.00717932466792745 0.00617858823283916 0.226429100480204 0.0396046572570758 0.179842855563024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.000332005312084993 0.000431778929188256 0.000431778929188256 0.000544662309368192 0.000925925925925926 0.00114634702657637 0.00122676828453002 0.000332005312084993 0 0 0 0 0 0 0 0.000300842358604091 0.00165854721371827 0.00200990488495289 0.000431778929188256 0 0.000601684717208183 0 0.00152110354792464 0.00179399361617856 0.00233865592554675 0.00370081515882169 0.00999754284314599 0.00112155579439302 0.0011035026039888 0.0075351585613249 0.00445993049059133 0.0170517455021044 0.00616341224072508 0.0243057469564841 0.0175257428440985 0.105788445567786 0.104252075680845 0.132588179576678 0.54807752059814 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000786163522012579 0.00122549019607843 0.00122549019607843 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00227425876010782 0.00297619047619048 0.00297619047619048 0.00757575757575758 0 0 0 0.01940990089575 0 0.0040201818432291 0 0 0 0 0 0 0 0 0.000786163522012579 0.00122549019607843 0.00136612021857923 0.00245098039215686 0.00259161041465767 0 0 0.00196953781512605 0.0106383063657654 0 0 0 0 0 0.00434231069476971 0 0.000476190476190476 0 0.000952380952380952 0 0.00391641562285291 0.000786163522012579 0.00867539298428929 0.0102298192004074 0.000744047619047619 0.000476190476190476 0.00699424581153216 0.0209755791369345 0.0290489666843127 0.105520677779359 0.0738994813705063 0.190104066379482 0.47302973491108
3 471.75 348.833333333333 57.1666666666667 53.4166666666667 5.58333333333333 5.16666666666667 1.58333333333333 0.449407847600737 0.0222918133872452 0.0221616549597351 0.00842059095752004 0.00216086077798974 0.361090253674444 0.0215690497756236 0.112897928866705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000183958793230316 0 0.000332005312084993 0 0.000443262411347518 0 0 0 0 0 0.000266240681576145 0.000332005312084993 0.00170648464163823 0 0 0 0.00053248136315229 0 0.00146897204632868 0 0.000695906331007846 0 0 0 0 0.000648315125862557 0.000550654788515849 0 0.00101221614478541 0.000954371349786494 0 0.00828478865274794 0.00291884085680825 0.0173629418710555 0.0050172954634852 0.0117532140297298 0.0108871757711187 0.0181226286162568 0.0793911605536892 0.250966870411643 0.586168209472064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000595238095238095 0.000595238095238095 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000957854406130268 0.00106837606837607 0.00119047619047619 0 0 0 0.000957854406130268 0 0 0 0 0 0.00338680907978685 0 0 0 0 0 0 0 0 0.0177150601382195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00464690327801465 0 0 0.000559284116331096 0 0 0 0 0 0.00111614343410883 0.00152905198776758 0.00135976408912189 0.00255024027959808 0.000595238095238095 0.0150290308629648 0.00195500218435998 0 0 0.0048791555248101 0.00909991295908354 0.0126323536318174 0.19977437899573 0.0791371888964512 0.032526345155188 0.603084996054284
4 289.583333333333 205.416666666667 37.8333333333333 36.5833333333333 5.08333333333333 3.83333333333333 0.833333333333333 0.500503542128285 0.0375561542746005 0.0285699557458735 0.00602167037739615 0.00984659445700522 0.230135984557475 0.0259269903823379 0.161439108077027 0 0 0 0 0 0 0 0 0 0 0 0 0.00025879917184265 0.000351617440225035 0.000946969696969697 0 0 0 0 0 0 0 0.000351617440225035 0 0.000484496124031008 0 0 0 0 0 0 0 0 0.000333333333333333 0.000351617440225035 0 0 0 0 0 0 0.000484496124031008 0.00127226463104326 0.00105531586236284 0 0 0.00783455674760023 0.00326435963368807 0.0172049345082888 0.00848367962764771 0.032768288960135 0.0192792636510807 0.0377157973477828 0.0902771328397605 0.172336924417132 0.604944535002595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0 0 0 0 0 0 0 0 0 0.00261012230287362 0 0 0 0 0 0 0.00162766018470716 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000737463126843658 0.000612745098039216 0 0.000936329588014981 0.000737463126843658 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00542522612010564 0.0208333333333333 0.00219298245614035 0 0.00944229665102902 0.0148147833156108 0.017093535373124 0.163061858071605 0.088726635509762 0.0727314477093822 0.57493728205375
5 127.666666666667 93.9166666666667 15.0833333333333 15.6666666666667 1.16666666666667 1.75 0.0833333333333333 0.367960298879449 0.14498143796816 0.0779203156647513 0.0100603576356437 0.0161328865412356 0.178142075699407 0.0340310692205421 0.170771558390812 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00128205128205128 0 0 0 0 0 0 0 0 0.00128205128205128 0 0.00043859649122807 0 0 0.00674603174603175 0 0 0 0 0 0.00128205128205128 0.00117370892018779 0.00087719298245614 0.00245576020223908 0.00117370892018779 0 0 0 0.00128205128205128 0 0 0.00128205128205128 0.00128205128205128 0.00599415204678363 0.00161230541141586 0 0.0161793372319688 0.0113808827624617 0.0138524285848 0.0154282359789685 0.0523224837856046 0.143125241735514 0.126430987543457 0.0899912738088496 0.50195165523535 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00138888888888889 0.00225225225225225 0.00225225225225225 0.0028735632183908 0.00512581547064306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0 0 0.0028735632183908 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0.00138888888888889 0 0 0.0416666666666667 0.0164284974629802 0.0222651408835751 0.0670730781722161 0.0819218720381511 0.134694274556193 0.232358986838488 0.373891524802461
6 217.833333333333 164.666666666667 24 23.8333333333333 3.16666666666667 2 0.166666666666667 0.440000316453255 0.0688114330091282 0.0476392222518896 0.018523336058038 0.00763819145778726 0.199335500277983 0.0377628949418832 0.180289105550036 0 0 0 0.000502008032128514 0.000563063063063063 0.000841750841750842 0.000841750841750842 0.000925019876460155 0.00104166666666667 0.00104166666666667 0 0 0 0 0 0.000502008032128514 0 0 0 0 0 0 0 0 0 0 0 0.000563063063063063 0 0 0.00104166666666667 0 0.000502008032128514 0.000841750841750842 0.00108225108225108 0 0.000502008032128514 0 0 0 0.00175353925353925 0.00250900250900251 0.00273415088927137 0.00687496388427014 0.00187579354246021 0.00196815344971421 0.00168777453041412 0.00912240163184295 0.00195021229285189 0.0182384878450868 0.0188667578414255 0.0508359929382089 0.0687915834747196 0.0979150223002154 0.0988511370630201 0.605233344815353 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00128205128205128 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0.00258613829871887 0 0 0.00128205128205128 0 0 0.00128205128205128 0.00428681857082771 0 0.00117370892018779 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0.00231481481481481 0.00128205128205128 0 0 0 0 0 0 0.00282485875706215 0 0 0 0 0 0 0 0 0.00117370892018779 0.00128205128205128 0 0 0.00117370892018779 0.00128205128205128 0 0 0 0 0.0312259101173004 0.00875565269749285 0.0629106203314612 0.0983462038124961 0.133486540629196 0.146635010123179 0.488404346899014
7 392.75 288.583333333333 47.3333333333333 46.25 4.5 4.91666666666667 1.16666666666667 0.485451899597957 0.0218771542160665 0.0289099278964159 0.00983139920126776 0.0051162904661823 0.301968862723483 0.0182100468555196 0.128634419043108 0 0 0.000373692077727952 0 0.000408496732026144 0 0 0 0 0 0 0 0 0 0 0.000373692077727952 0 0 0.000631313131313131 0 0 0.000596044924238757 0 0 0.000952635014049971 0 0 0.00159446525085292 0 0.00022583559168925 0.00121025606763515 0.000373692077727952 0 0.000541492157345816 0 0.000228937728937729 0 0 0 0 0.00357744107744108 0.00126829157970654 0.000720214539933796 0.00771797646797647 0.00106304072111247 0 0.00475103090741857 0.0071956105209625 0.0116461747853597 0.0204242339217602 0.0119299416561605 0.0178295303639663 0.0142847425385719 0.0667528538569263 0.198471168016603 0.624857196214827 0 0 0 0 0 0 0 0.000868055555555556 0.00109649122807018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.0104166666666667 0 0.00255102040816327 0 0 0 0 0.000440917107583774 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0.00341907596371882 0.000850340136054422 0.000850340136054422 0 0 0 0 0 0 0.00334978898966994 0 0.00255102040816327 0.00298963044249357 0.00290887188208617 0.00517588255558793 0.000465549348230912 0 0 0.0359404800612569 0.00424247678587264 0.0277431892734334 0.175949217895224 0.0364448930175872 0.0314282051515385 0.648581775875877
8 238.083333333333 169.333333333333 29.9166666666667 30.1666666666667 4.08333333333333 4 0.583333333333333 0.55295963748279 0.0298949134439045 0.0279817634308915 0.00881212005167005 0.00239971793962554 0.232057792771917 0.0170632934540536 0.128830761425148 0 0.000530785562632696 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000385802469135802 0 0 0 0 0 0.000530785562632696 0 0 0.000591016548463357 0 0 0.00114899877613728 0 0 0 0 0 0.000385802469135802 0.00222541236145265 0.000530785562632696 0 0 0 0.000916588031768499 0.000717807781220796 0 0.0026669071264783 0.00193879557514834 0.000530785562632696 0.00150760458023186 0.00104638995465644 0.01009633972289 0.00896793552974795 0.0153974579278276 0.0128568479427376 0.0144724888607061 0.0504961692876743 0.0561850577806114 0.169537480934671 0.646335954088774 0 0 0 0 0 0 0.00119047619047619 0.00157232704402516 0 0 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000737463126843658 0 0.00141242937853107 0 0 0.000737463126843658 0.00189393939393939 0.00189393939393939 0 0 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0.00119047619047619 0.00260290556900726 0 0 0.00119047619047619 0.00157232704402516 0 0.00119047619047619 0 0 0 0 0 0 0.000737463126843658 0 0 0.000980392156862745 0 0.00428102764186618 0.000980392156862745 0 0 0.031599656489037 0.00282485875706215 0.00970083908203512 0.18201543720163 0.0477510168209585 0.115549989544476 0.583569369426244
9 108.833333333333 81.25 10.3333333333333 14.4166666666667 1.08333333333333 1.5 0.25 0.444306202883492 0.120149371102366 0.0773664781079922 0.0165280115913873 0.00811072291591307 0.136919649904694 0.0593931797626991 0.137226383731456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00330410471470327 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0.000793650793650794 0.00756003256003256 0 0.00213675213675214 0 0.00384615384615385 0.00106837606837607 0.0144612535767702 0.0308653330313757 0.0457472371199105 0.142515437314389 0.0631451880767635 0.0682559145424242 0.531723451790838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0.00138888888888889 0 0 0 0.0189666270548623 0.0219622697563874 0.0847999603881957 0.0526302238066944 0.049794513765102 0.28842642107348 0.375919984155278
10 194.333333333333 148.166666666667 20.5833333333333 19.6666666666667 2.66666666666667 2.16666666666667 1.08333333333333 0.497420133782063 0.0734967984873404 0.0587799719886912 0.0427696538628301 0.00906027793027421 0.163329749296829 0.0211934859732831 0.133949928678689 0.000706214689265537 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0 0 0 0.00138112569868712 0 0.000448028673835126 0 0.000530785562632696 0 0 0 0 0 0 0 0 0.000841750841750842 0.000448028673835126 0.00809247727993924 0.001636503658067 0.000841750841750842 0.00138888888888889 0 0 0 0.00315386664736929 0 0.00228494623655914 0.00614260518420476 0.00193798449612403 0.00215869992639612 0.00141242937853107 0.00790263462153453 0.00557224719922829 0.0207609126934031 0.0172632557896963 0.0376747389367248 0.0547539221008407 0.0764979439467228 0.103906059243854 0.641420447948407 0 0 0 0 0.00277777777777778 0.00462962962962963 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0.00855409539702406 0 0.000859106529209622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00598739495798319 0.0158730158730159 0 0 0 0 0 0 0 0.00193798449612403 0 0.00473507552145768 0 0.00537441061296252 0.00193798449612403 0 0 0.0288720886719849 0.0154942724830087 0.0586464451933824 0.0909561660120465 0.0640972960523729 0.113223128743626 0.559211535408883
