"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ij_Proportion" "Transition_ce_Proportion" "Transition_gh_Proportion" "Transition_hi_Proportion" "Transition_oj_Proportion" "Transition_ec_Proportion" "Transition_oc_Proportion" "Transition_ci_Proportion" "Transition_he_Proportion" "Transition_jj_Proportion" "Transition_eg_Proportion" "Transition_hh_Proportion" "Transition_go_Proportion" "Transition_og_Proportion" "Transition_oi_Proportion" "Transition_eh_Proportion" "Transition_cg_Proportion" "Transition_ei_Proportion" "Transition_ge_Proportion" "Transition_ch_Proportion" "Transition_gc_Proportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_jg_Proportion" "Transition_hg_Proportion" "Transition_se_Proportion" "Transition_hc_Proportion" "Transition_ee_Proportion" "Transition_so_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_ie_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_ii_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_es_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_gg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_csh_Proportion" "Transition_ish_Proportion" "Transition_gcs_Proportion" "Transition_hhi_Proportion" "Transition_osg_Proportion" "Transition_esi_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_esc_Proportion" "Transition_ghi_Proportion" "Transition_scg_Proportion" "Transition_ggh_Proportion" "Transition_hsi_Proportion" "Transition_sie_Proportion" "Transition_scc_Proportion" "Transition_gig_Proportion" "Transition_ese_Proportion" "Transition_sih_Proportion" "Transition_gse_Proportion" "Transition_geg_Proportion" "Transition_egs_Proportion" "Transition_ihg_Proportion" "Transition_his_Proportion" "Transition_sso_Proportion" "Transition_isi_Proportion" "Transition_ses_Proportion" "Transition_sse_Proportion" "Transition_hgg_Proportion" "Transition_ois_Proportion" "Transition_gsc_Proportion" "Transition_cis_Proportion" "Transition_isc_Proportion" "Transition_iig_Proportion" "Transition_gih_Proportion" "Transition_ihs_Proportion" "Transition_gge_Proportion" "Transition_cgi_Proportion" "Transition_cgg_Proportion" "Transition_ihe_Proportion" "Transition_iih_Proportion" "Transition_hgi_Proportion" "Transition_ees_Proportion" "Transition_hsg_Proportion" "Transition_iei_Proportion" "Transition_ieg_Proportion" "Transition_gee_Proportion" "Transition_sge_Proportion" "Transition_eii_Proportion" "Transition_csc_Proportion" "Transition_sgi_Proportion" "Transition_iii_Proportion" "Transition_shh_Proportion" "Transition_sjs_Proportion" "Transition_gos_Proportion" "Transition_hgs_Proportion" "Transition_shg_Proportion" "Transition_cgs_Proportion" "Transition_gsj_Proportion" "Transition_ssc_Proportion" "Transition_eis_Proportion" "Transition_iee_Proportion" "Transition_eee_Proportion" "Transition_gii_Proportion" "Transition_hso_Proportion" "Transition_ehs_Proportion" "Transition_ise_Proportion" "Transition_ies_Proportion" "Transition_ggi_Proportion" "Transition_see_Proportion" "Transition_iso_Proportion" "Transition_isg_Proportion" "Transition_ssh_Proportion" "Transition_iie_Proportion" "Transition_gie_Proportion" "Transition_igs_Proportion" "Transition_igi_Proportion" "Transition_scs_Proportion" "Transition_igg_Proportion" "Transition_shs_Proportion" "Transition_gis_Proportion" "Transition_iis_Proportion" "Transition_osi_Proportion" "Transition_sig_Proportion" "Transition_sii_Proportion" "Transition_ssi_Proportion" "Transition_sos_Proportion" "Transition_gsi_Proportion" "Transition_csg_Proportion" "Transition_sis_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_ggs_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 382.25 299.583333333333 34.3333333333333 37.1666666666667 5.41666666666667 3.33333333333333 2.41666666666667 0.306838675783635 0.0221752261310863 0.0757539839068627 0.0180235674972264 0.0192114951020827 0.337607829242181 0.0390213609097248 0.181367861427201 0 0 0 0 0 0 0 0 0 0 0.000367107195301028 0.000431778929188256 0.000431778929188256 0.000440917107583774 0.000465549348230912 0.000470809792843691 0.000476190476190476 0.00083265654353194 0.000843297671491504 0.000911726900427465 0.00106837606837607 0.00107332188456656 0.0011375923589836 0.00114823348694316 0.00141793030061186 0.00177459075764161 0.00183070561867223 0.00204231413262858 0.00271222409176824 0.00287367375117397 0.00292744394905381 0.00295976655032361 0.00333735458242967 0.00496304981929675 0.00556313199500974 0.00643820118311952 0.0104322894084066 0.0131161668582242 0.0141994198614946 0.0171269931338325 0.0175700521357554 0.0201088808696123 0.026437201301166 0.0436751305472852 0.110151452494996 0.19830067461559 0.479942015349062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000706214689265537 0.000896057347670251 0.000896057347670251 0.000896057347670251 0.000905797101449275 0.000905797101449275 0.000905797101449275 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00120772946859903 0.00120772946859903 0.00126262626262626 0.00126262626262626 0.00126262626262626 0.00126262626262626 0.00154320987654321 0.00178846577151662 0.00180185444911953 0.00181732580037665 0.0019688409518918 0.0019688409518918 0.00222222222222222 0.00244232580037665 0.00244232580037665 0.00245098039215686 0.00245098039215686 0.00265432098765432 0.00275093934514224 0.00284722222222222 0.003145481913479 0.0033383831480469 0.00352151830646454 0.00355343691148776 0.0043615720699054 0.00543546246432911 0.00770381762930851 0.00853103168308674 0.00954408212560386 0.0111870084288835 0.0119663705961606 0.0126074206851512 0.0211858320285155 0.0266965003972121 0.0289331683789737 0.0365830036333053 0.0802891068909785 0.122208362950491 0.187031098273651 0.354513725713514
2 219.75 156.166666666667 25.25 29.3333333333333 4.25 3.33333333333333 1.33333333333333 0.306864871428023 0.0395292807315532 0.0780149275789034 0.0102474720653832 0.0407581762337168 0.243789750045731 0.0412446085590929 0.156217580024262 0 0 0 0 0.000330687830687831 0.000330687830687831 0.000330687830687831 0.000619038465059226 0.00112612612612613 0.00225225225225225 0 0 0.000363901018922853 0 0.000576701268742791 0 0.00337837837837838 0 0.000778546712802768 0.000330687830687831 0 0.00329699447346506 0.000288350634371396 0.0118954934915143 0.00226857385785175 0 0.000330687830687831 0 0.000363901018922853 0.000576701268742791 0.00105848986853354 0.00273722808324884 0 0.00558067241216483 0.00885645713881915 0.0103566359684052 0.00653703749673514 0.019012011610789 0.0189276207042824 0.0131189126996789 0.0181794222638649 0.0190512564156435 0.0266719252936266 0.0530366293894771 0.0918877566076158 0.127277635741191 0.464938576851999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.000645994832041344 0.000645994832041344 0.000859106529209622 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00161676116229624 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0 0 0 0.00362218530823182 0.00642942266100425 0 0.000612745098039216 0.000859106529209622 0 0.00208333333333333 0.00208333333333333 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.00334207326341389 0.00208333333333333 0 0 0.00603024530642465 0.00100401606425703 0 0.00208333333333333 0 0.00150510136125097 0.000645994832041344 0 0.000612745098039216 0.00423493040627104 0.00362218530823182 0.000859106529209622 0.000612745098039216 0 0.00147185162724884 0.00362218530823182 0.00825747523641747 0.00602978926013332 0.00890347006845881 0.0109802612511903 0.00811428513961611 0.034909244822427 0.0390809454525836 0.0201038048483956 0.0348359554825752 0.115807369669289 0.0966393685197074 0.130867885700214 0.334824187436783
3 250.583333333333 181.333333333333 32.0833333333333 25.4166666666667 5.08333333333333 4 2.66666666666667 0.400675679104274 0.0127993289949374 0.0293158915201007 0.0270971361665902 0.0321900751094286 0.310458564281706 0.0252810144740393 0.162182310348923 0 0 0.000180766449746927 0.00106736534497972 0 0 0 0.00106736534497972 0 0.000180766449746927 0.000955960248196539 0 0 0.000499001996007984 0 0 0.000361532899493854 0.00074912979871866 0.000955960248196539 0 0 0.00106736534497972 0.000180766449746927 0.00193798449612403 0.00303179608461437 0.00231549713970636 0 0.00195396424021251 0.000751542705454689 0.000180766449746927 0.000361532899493854 0 0.00270601897499945 0.00785181959264662 0.00629647639672276 0.0104739264818692 0.00943529050158359 0.00273436609591385 0.0450115617277455 0.0174427453996567 0.0195010752640356 0.0293947906437658 0.0112025544493165 0.0177399426381615 0.158450936557639 0.188519154571217 0.45544027611458 0 0 0 0 0 0 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.00031210986267166 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.00103050066726936 0.00154320987654321 0.0020127901347805 0.0020127901347805 0.00371347040688935 0.00416666666666667 0 0 0.00122549019607843 0 0 0 0.00031210986267166 0.000718390804597701 0 0 0 0 0.000718390804597701 0 0 0 0 0 0 0 0.00031210986267166 0.000718390804597701 0.00411975134881539 0 0 0 0 0 0.00031210986267166 0 0 0.000624219725343321 0 0.00170068027210884 0.00784703801945181 0 0 0.00031210986267166 0.00031210986267166 0.000718390804597701 0.00344957174397591 0 0.00103050066726936 0 0 0 0.00376168160664757 0 0 0 0 0.00197877652933833 0.00326122958546715 0 0.000718390804597701 0.00165472039261268 0.000624219725343321 0.00154320987654321 0.0112024386841733 0 0.0109025860095951 0.0232064445305437 0.00597732240829232 0.00395755305867665 0.0252674458650824 0.00328649153061715 0.00981908899998647 0.026289528173439 0.00717215749645963 0.0176643244006745 0.0087237029643318 0.034815326888951 0.129630637943953 0.147833685770234 0.390627186633156
4 104.083333333333 78.3333333333333 11.8333333333333 9.33333333333333 2.25 1.66666666666667 0.666666666666667 0.422025016837886 0.0160472106507744 0.0523978798935532 0.0313066856803867 0.0393891659801716 0.253904279426201 0.0352576973700596 0.149672064160967 0 0 0 0.00181159420289855 0 0 0 0.000617283950617284 0 0 0.00920974450386215 0 0 0 0 0 0.00340703657349465 0 0.00757575757575758 0 0 0 0.00163398692810458 0.00354609929078014 0 0 0 0 0 0.00177304964539007 0.00163398692810458 0 0 0.00163398692810458 0.00242887815351583 0.00123456790123457 0 0.0041215491171593 0.015182176905055 0.0523322828850212 0.0199595035564817 0.00493589743589744 0.0135329919807164 0.0248754244718287 0.0917834514488833 0.172346654442178 0.564424095174915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00565134099616858 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0.00864197530864197 0 0 0 0.00157232704402516 0 0 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0 0.00520833333333333 0 0.00829475308641975 0.0166131118764767 0.00895061728395062 0.0871031746031746 0.00882594417077176 0.0488005914370857 0.0649029265191703 0.170829808434856 0.54029954035037
5 47.9166666666667 36.5 4.5 4.91666666666667 1.16666666666667 0.666666666666667 0.166666666666667 0.542951795891966 0.0267488368749837 0.085022399115478 0.046909255119055 0.0325473361198331 0.145135077559472 0.0420280355724362 0.0786572637467756 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0 0 0 0 0.00499560825647782 0.0187472551602986 0.0137163561076605 0 0.00619755911517925 0.0104246122552759 0.0338490742666944 0.0898518529525394 0.148477590296812 0.668140618598284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0.0331349206349206 0.0104166666666667 0.0248015873015873 0.0121031746031746 0.0595238095238095 0.0771825396825397 0.19265873015873 0.49890873015873
6 64.25 49.0833333333333 6 6.91666666666667 1.41666666666667 0.583333333333333 0.25 0.494005753848514 0.0311779281932654 0.062613608604151 0.0370963690640449 0.0292670384651954 0.169435123077299 0.0482514525136407 0.128152726233889 0.00297619047619048 0.0166666666666667 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.00132275132275132 0 0 0 0 0 0 0.005906238464378 0 0.00163398692810458 0 0 0.00163398692810458 0.00326797385620915 0.0205026455026455 0.00892234671646436 0.0316146070831433 0.0029567382508559 0.00490196078431373 0.0145113600995954 0.0291137566137566 0.0760201470769186 0.122146421876244 0.650299980457299 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0.00320512820512821 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00308641975308642 0.0113811728395062 0.0401234567901235 0.0410137701804368 0.00841346153846154 0.0675154320987654 0.0563716761633428 0.140016619183286 0.598958333333333
7 103 77.1666666666667 11.6666666666667 9.75 2 1.75 0.666666666666667 0.593555142726004 0.0254604859377497 0.0184430618739666 0.0212178635622259 0.0163871269782075 0.208740194672966 0.0167652334317909 0.099430890817089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0.00457451499118166 0 0 0 0.00579801813198398 0 0 0 0.00114155251141553 0.00189393939393939 0.00112612612612613 0 0.00157911745695987 0.00225225225225225 0 0.00245610975467969 0.00490196078431373 0.0122472654590737 0.0393819253796308 0.0188454390677611 0.0159912236110866 0.0115604809496525 0.00585720943666475 0.055382092422359 0.147891555587863 0.66403279692997 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0.00928381962864721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0.00893550893550894 0 0 0 0 0 0 0 0.00252525252525253 0.00198412698412698 0 0 0 0 0 0 0 0.0028735632183908 0 0.00641025641025641 0 0 0.0185676392572944 0.00893550893550894 0.0028735632183908 0.0112034756431308 0.0166666666666667 0.064987489248573 0.00252525252525253 0.00715702947845805 0.0372555723027808 0.192426863639918 0.594120464769069
8 40 30.3333333333333 3.41666666666667 4.58333333333333 0.916666666666667 0.333333333333333 0.416666666666667 0.597962846335626 0.0322982233801152 0.0397199286197663 0.0293886180641474 0.0326683303302856 0.176352403255017 0.012484249902436 0.0791254001126064 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0.00320512820512821 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00416666666666667 0.0043859649122807 0.0128824476650564 0.0277792651604197 0.011914805624483 0.00631136044880785 0.00333333333333333 0.0344429449692608 0.0719262136420456 0.117088319948317 0.682925779786432 0 0 0 0.00555555555555556 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0.0416666666666667 0.00833333333333333 0.0344907407407407 0 0.0659722222222222 0.0923165478312537 0.142796310443369 0.581031427722604
9 43 33.6666666666667 3.58333333333333 4.41666666666667 0.833333333333333 0.5 0 0.650216261648553 0.0112666794300566 0.0239888635502671 0.0244620678008836 0.0243039091723302 0.173978550331346 0.00912359728149202 0.0826600707850708 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.0178571428571429 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.00737179487179487 0.00833333333333333 0.018671679197995 0.0294871794871795 0.00320512820512821 0.00416666666666667 0.0346153846153846 0.0356588586851745 0.100818633121265 0.723445151339888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0.00694444444444444 0 0.0166666666666667 0.0119047619047619 0.0148809523809524 0.0259259259259259 0.00396825396825397 0.066468253968254 0.0271164021164021 0.0701719576719577 0.749007936507937
10 56 44.0833333333333 4.25 5.08333333333333 1.08333333333333 1.08333333333333 0.416666666666667 0.672809255652865 0.0162938164008363 0.0293308416391621 0.0189896837686784 0.0086711581136349 0.174555587187609 0.0129690647894622 0.0663805924477528 0 0 0 0 0 0 0.00378787878787879 0 0 0 0.00378787878787879 0.00520833333333333 0 0 0 0 0.00989057239057239 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0 0.00166666666666667 0 0.00752314814814815 0 0 0 0.00231481481481481 0 0.00687429854096521 0.0122342995169082 0.0135130718954248 0.018398310591293 0.0100308641975309 0.00398148148148148 0.0297844162917692 0.0489918266904571 0.0808336212454224 0.729273754714693 0.00462962962962963 0.00833333333333333 0.0277777777777778 0 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0.0115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0.00462962962962963 0 0 0 0 0 0 0 0 0 0.00595238095238095 0 0.0178571428571429 0 0.00378787878787879 0.0232683982683983 0.0128968253968254 0.00378787878787879 0.00841750841750842 0.0329545454545455 0.0229377104377104 0.0766594516594516 0.70966810966811
