"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_cj_Proportion" "Transition_oe_Proportion" "Transition_jo_Proportion" "Transition_jh_Proportion" "Transition_eo_Proportion" "Transition_ec_Proportion" "Transition_ce_Proportion" "Transition_ji_Proportion" "Transition_oi_Proportion" "Transition_oc_Proportion" "Transition_hh_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_eh_Proportion" "Transition_gj_Proportion" "Transition_oh_Proportion" "Transition_jc_Proportion" "Transition_ch_Proportion" "Transition_gh_Proportion" "Transition_ei_Proportion" "Transition_io_Proportion" "Transition_hc_Proportion" "Transition_og_Proportion" "Transition_ge_Proportion" "Transition_oj_Proportion" "Transition_go_Proportion" "Transition_hj_Proportion" "Transition_oo_Proportion" "Transition_ij_Proportion" "Transition_ic_Proportion" "Transition_gc_Proportion" "Transition_jj_Proportion" "Transition_ih_Proportion" "Transition_hg_Proportion" "Transition_jg_Proportion" "Transition_ie_Proportion" "Transition_sh_Proportion" "Transition_so_Proportion" "Transition_hi_Proportion" "Transition_ee_Proportion" "Transition_sc_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_se_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jos_Proportion" "Transition_csj_Proportion" "Transition_eso_Proportion" "Transition_ccs_Proportion" "Transition_oie_Proportion" "Transition_ees_Proportion" "Transition_ose_Proportion" "Transition_esi_Proportion" "Transition_isc_Proportion" "Transition_cjs_Proportion" "Transition_ohs_Proportion" "Transition_gjs_Proportion" "Transition_csc_Proportion" "Transition_gei_Proportion" "Transition_csg_Proportion" "Transition_ecs_Proportion" "Transition_oes_Proportion" "Transition_csi_Proportion" "Transition_osi_Proportion" "Transition_ces_Proportion" "Transition_hce_Proportion" "Transition_ihs_Proportion" "Transition_hsi_Proportion" "Transition_egs_Proportion" "Transition_isj_Proportion" "Transition_jsc_Proportion" "Transition_shh_Proportion" "Transition_sie_Proportion" "Transition_gsh_Proportion" "Transition_hsg_Proportion" "Transition_eos_Proportion" "Transition_geo_Proportion" "Transition_jso_Proportion" "Transition_gec_Proportion" "Transition_egg_Proportion" "Transition_egi_Proportion" "Transition_cei_Proportion" "Transition_ece_Proportion" "Transition_jis_Proportion" "Transition_gig_Proportion" "Transition_igg_Proportion" "Transition_ggi_Proportion" "Transition_ogg_Proportion" "Transition_ieg_Proportion" "Transition_gie_Proportion" "Transition_ghs_Proportion" "Transition_chs_Proportion" "Transition_hso_Proportion" "Transition_ssc_Proportion" "Transition_scc_Proportion" "Transition_cgs_Proportion" "Transition_sch_Proportion" "Transition_gge_Proportion" "Transition_chg_Proportion" "Transition_igi_Proportion" "Transition_ogs_Proportion" "Transition_hii_Proportion" "Transition_his_Proportion" "Transition_sgh_Proportion" "Transition_eig_Proportion" "Transition_hgs_Proportion" "Transition_esg_Proportion" "Transition_jcs_Proportion" "Transition_ehs_Proportion" "Transition_osg_Proportion" "Transition_ese_Proportion" "Transition_ges_Proportion" "Transition_ghg_Proportion" "Transition_sei_Proportion" "Transition_sig_Proportion" "Transition_ses_Proportion" "Transition_eis_Proportion" "Transition_gii_Proportion" "Transition_iii_Proportion" "Transition_ssi_Proportion" "Transition_ssh_Proportion" "Transition_gih_Proportion" "Transition_iie_Proportion" "Transition_hcs_Proportion" "Transition_ies_Proportion" "Transition_igs_Proportion" "Transition_scs_Proportion" "Transition_sgi_Proportion" "Transition_ics_Proportion" "Transition_isi_Proportion" "Transition_gcs_Proportion" "Transition_hsc_Proportion" "Transition_ise_Proportion" "Transition_oos_Proportion" "Transition_sjj_Proportion" "Transition_hgg_Proportion" "Transition_sos_Proportion" "Transition_ssj_Proportion" "Transition_gse_Proportion" "Transition_eee_Proportion" "Transition_shs_Proportion" "Transition_cis_Proportion" "Transition_jgs_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_iig_Proportion" "Transition_sii_Proportion" "Transition_iis_Proportion" "Transition_ggs_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_sis_Proportion" "Transition_gsi_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_ssg_Proportion" "Transition_ess_Proportion" "Transition_ggg_Proportion" "Transition_oss_Proportion" "Transition_sgs_Proportion" "Transition_jss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 515.5 411.916666666667 50.0833333333333 43.5833333333333 4.25 4.33333333333333 1.33333333333333 0.33292372910801 0.0411533285030151 0.0447498748887011 0.0109091931214739 0.01491234603072 0.331469649519121 0.0339394906335323 0.189942388195427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000262054507337526 0.000262054507337526 0.000262054507337526 0.000262054507337526 0.000373692077727952 0.000373692077727952 0.000431778929188256 0.000431778929188256 0.000431778929188256 0.000431778929188256 0.000473484848484848 0.000524109014675052 0.000524109014675052 0.000524109014675052 0.00068870523415978 0.000693833436525782 0.00118488760494719 0.00135461202679792 0.00143777268726311 0.00181944580223982 0.00193973444567319 0.00216036694439494 0.00221099111058514 0.00261426039729534 0.00308752598171113 0.00333316764282601 0.00390101075842892 0.00482312343260358 0.00584739715475788 0.00864755256230533 0.00886034350449834 0.0133911383498984 0.0170304964706937 0.0215436040118626 0.036481698884561 0.124487126563392 0.228096672704967 0.498796002493543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.000825082508250825 0.000825082508250825 0.000850340136054422 0.000850340136054422 0.00102880658436214 0.00111111111111111 0.00111111111111111 0.00128205128205128 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00163707909044486 0.00170068027210884 0.00171938361719384 0.00189032378813401 0.00198412698412698 0.00221646035463366 0.00221646035463366 0.00231481481481481 0.00255102040816327 0.00331192630237225 0.00361147181510683 0.00386968355284778 0.00440011808645401 0.00450015550502163 0.00480945793074764 0.00515544716570542 0.00537052864200503 0.00563700053480666 0.00653769748115301 0.00660192399000625 0.0108099623152063 0.0127386391750054 0.0192758294862515 0.0207540613017776 0.072947839229486 0.118892320637271 0.247885173973936 0.407662371902526
2 476.25 367.833333333333 50.5 42.5 7.08333333333333 6.16666666666667 2.16666666666667 0.352614438297906 0.0382088346864413 0.0325886616401759 0.00789784352788762 0.0141364062921589 0.371319542548006 0.0217217753842582 0.161512497623165 0 0 0 0 0 0 0 0 0 0.000254065040650407 0.000254065040650407 0.000254065040650407 0.000254065040650407 0.000340136054421769 0.000408496732026144 0.000468164794007491 0.000508130081300813 0.000649925397668361 0.000649925397668361 0.00120291804635762 0.00193693561171709 0 0 0.000563854383896999 0.000649925397668361 0 0 0 0 0 0.000563854383896999 0 0 0 0.000960831009913259 0 0.00133481116846637 0.00088126159554731 0.000508130081300813 0.000651041666666667 0.000910233019653031 0.00179636750662019 0 0.00303026330274989 0.00393361975899064 0.00805010512616446 0.000866646374458874 0.00663497756052702 0.00751032812800609 0.0114842580075182 0.00826670049878314 0.00842174604349306 0.012447651449899 0.018507470530064 0.00985580451807892 0.0160813223969745 0.0966668409962207 0.236231973650353 0.536009089166319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000511247443762781 0.000511247443762781 0.000511247443762781 0.000511247443762781 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000641025641025641 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000718390804597701 0.000771604938271605 0.00124378109452736 0.00124378109452736 0.00138888888888889 0.00141263057929725 0.0014367816091954 0.0014367816091954 0.00210727969348659 0.00248756218905473 0.00263266998341625 0.00319091827712517 0.00357332907620264 0.00475469850087353 0 0 0 0 0.00119047619047619 0.00338933097553787 0.000641025641025641 0.00128205128205128 0 0.0070055238390728 0 0.00115227308478842 0.00124378109452736 0 0 0 0 0.00119047619047619 0.00247341934288785 0 0.000771604938271605 0 0 0 0.00190013633265167 0 0.00432496113535004 0.00207780725022104 0.00755691251165793 0.00436814349179486 0.00362569242767627 0.00633649075927142 0.00410772178013557 0.00589675475758225 0.00400088417329797 0.00315271517143741 0.00475942561894382 0.00232371794871795 0.0129817060325625 0.00832193604476941 0.0179872235394949 0.0146151534353231 0.0254884161827318 0.0927355457752737 0.219686597300737 0.496170925409426
3 329 265.333333333333 28.0833333333333 28.4166666666667 3.83333333333333 2.41666666666667 0.916666666666667 0.32286475359778 0.0295642848276475 0.0633019561225058 0.020497961484751 0.0223605365939738 0.321031564295219 0.0403726439227892 0.180006299155333 0 0 0 0 0 0 0 0.0006265664160401 0.000661375661375661 0 0 0 0 0.00391150226133725 0 0 0 0.00157241763412362 0.00308641975308642 0.000833333333333333 0.000319284802043423 0 0.000621890547263682 0.00141554134091448 0 0 0 0 0 0 0 0.0006265664160401 0 0 0 0.000319284802043423 0.00114436731029425 0 0.00166666666666667 0 0 0.000718390804597701 0 0.00419905126801679 0 0.013490785327177 0.00204106280193237 0.000319284802043423 0.00744484941399316 0.0113142544572882 0.0168567886234021 0.015097410567899 0.00999204407509583 0.012568001745428 0.0335996329732226 0.0344143420824 0.107251400053875 0.200630911927439 0.513256572131627 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00177304964539007 0.00185185185185185 0.00185185185185185 0.00245098039215686 0.00833333333333333 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0 0 0.00141242937853107 0 0 0.000645994832041344 0.00163398692810458 0.000645994832041344 0.00231266149870801 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0 0 0 0 0 0.0100654277508097 0.00177304964539007 0.00163398692810458 0.00449884913161749 0.00163398692810458 0.00554795561635507 0.00205842421057242 0.00490196078431373 0.0163882232204554 0 0.0236912433153474 0.0136753988710407 0.0402492502366348 0.0345339880627511 0.0625419712802092 0.118977249948238 0.218321155861334 0.404268957156593
4 301.916666666667 229.25 28.8333333333333 33.4166666666667 4.83333333333333 3.83333333333333 1.75 0.324608029851563 0.0317951456522743 0.0640492044618777 0.0259712491255421 0.0283562808895964 0.305405905646185 0.0303746908995314 0.189439493473429 0 0 0 0.000348675034867503 0.000801282051282051 0.00238095238095238 0.00368303571428571 0 0.00087719298245614 0 0.000431778929188256 0.000801282051282051 0.000801282051282051 0.00497779422649889 0 0.000215889464594128 0 0 0.000215889464594128 0 0.00272962741581988 0 0 0.000215889464594128 0.00318223443223443 0 0 0 0 0 0.000215889464594128 0 0 0.000564564499461631 0.000564564499461631 0 0.00134501846351739 0.00315861184478827 0.00328552449604666 0.00238095238095238 0 0.00169461939551775 0.000215889464594128 0.00723550366539007 0.00185023719819437 0.00922757459967481 0.00165075836820084 0.0113144744930912 0.00781412176750887 0.0121616465736197 0.00728201529121791 0.0284323772546669 0.0166643058518044 0.0158598663627914 0.0197811198930781 0.0240257842924708 0.123069009984076 0.18224795835883 0.49629480587252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00043630017452007 0.00043630017452007 0.00043630017452007 0.000666666666666667 0.000666666666666667 0.00087260034904014 0.00110296684118674 0.0016440296431191 0.00177304964539007 0.00203252032520325 0.00203252032520325 0.00231481481481481 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00416666666666667 0 0 0 0.00043630017452007 0 0 0 0 0 0 0 0 0.00177304964539007 0 0 0 0.00043630017452007 0 0 0 0 0 0 0.0027770657096471 0 0 0 0 0 0 0 0.00087260034904014 0.000666666666666667 0 0.00224789437741862 0.00305410122164049 0.00218150087260035 0.00043630017452007 0.000666666666666667 0.00043630017452007 0 0.00130890052356021 0.00648976452253201 0.000666666666666667 0.00087260034904014 0 0.00335086121860536 0 0 0 0 0 0.00043630017452007 0.00231481481481481 0 0 0 0.00120772946859903 0.00043630017452007 0 0 0 0 0.00489012823431216 0.00432822419505779 0.0102017224372107 0.00287260034904014 0.0083908137456023 0.00603488033562959 0.00372076788830716 0.00696317857928932 0.00341588342900397 0.00581968171832868 0.00928108177390413 0.00709602496977745 0.0318144519770955 0.00876261864230168 0.011029327086179 0.0155867930834102 0.0352072567854166 0.132408190144711 0.254241856318935 0.369617765052294
5 115.333333333333 92.6666666666667 8 11.5833333333333 1.33333333333333 1.25 0.5 0.516491011730822 0.0387911444433184 0.0430519587598392 0.0238406245525811 0.0204221443813835 0.17928157946874 0.0304942022299359 0.147627334433381 0 0 0.00833333333333333 0 0 0.00260416666666667 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0.00138888888888889 0.00115740740740741 0 0 0.00260416666666667 0 0 0.00555555555555556 0.00138888888888889 0.0115365391047862 0.00185185185185185 0.00582010582010582 0 0.0153091361065499 0.0168924208642697 0.0292677477510908 0 0.00704022988505747 0.023241627213476 0.0366569103126672 0.0812876654276664 0.0864738063412693 0.645443718580469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0.00520833333333333 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0 0.00962488129154796 0.00641975308641975 0 0 0 0.0147050094966762 0 0.0401255341880342 0 0.0402421652421652 0.042707443019943 0.0617432336182336 0.112799738841405 0.104099596391263 0.541199548907882
6 148.916666666667 116.583333333333 12.9166666666667 16.5 1.16666666666667 1.33333333333333 0.416666666666667 0.454230778269792 0.0446635154555681 0.0494643935218269 0.0262575680268927 0.0476699718810163 0.226618330969695 0.032279713266762 0.118815728608447 0 0.0028735632183908 0 0 0 0.0028735632183908 0 0 0 0.00072463768115942 0 0 0.000595238095238095 0 0.0028735632183908 0 0 0 0 0 0.000968992248062015 0 0 0 0 0 0.00072463768115942 0 0 0 0 0 0 0 0 0.00208333333333333 0 0.00308641975308642 0 0 0.0028735632183908 0.0113856589147287 0 0 0.00215946843853821 0.0198525729444863 0.000968992248062015 0 0 0.00731327227366998 0.0390556037042387 0.021776292475365 0.00178571428571429 0.00400659458630473 0.00774545762832869 0.0360153669858193 0.0692236920714615 0.119569761398407 0.639464040379274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0.00208333333333333 0.00208333333333333 0 0 0.00138888888888889 0 0 0 0 0 0 0 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0.00138888888888889 0 0 0.00555555555555556 0 0.00146198830409357 0 0 0.00794010889292196 0 0.032477145929959 0.00652853397862472 0.0721366424190558 0.00634538582227927 0.0837291399229782 0.0798948020106335 0.122794158030812 0.465119344478381
7 274.75 213.833333333333 24.4166666666667 29.4166666666667 3.33333333333333 2.33333333333333 1.41666666666667 0.431212035095752 0.0269379661473477 0.0518289845140158 0.0356884844006215 0.022722141326201 0.2592416816683 0.026314752446751 0.146053954401012 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00037037037037037 0 0.00122549019607843 0 0 0 0 0 0 0 0 0.00111111111111111 0.00122549019607843 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0.00245098039215686 0.00122549019607843 0.000816993464052288 0.0015958605664488 0 0.00391187150314939 0 0.00431337394639412 0 0.0150465163459104 0.000555555555555556 0.00111111111111111 0.00364236882492461 0.00365034604198691 0.00999617963571966 0.0266489167728697 0.00625872212079109 0.0143010544785393 0.0200687718424942 0.0344136374543453 0.0981859822059609 0.182238711253296 0.563592610754447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0.00252525252525253 0 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0 0 0.00252525252525253 0 0 0 0.000771604938271605 0.000771604938271605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00416666666666667 0.00598502950653488 0 0 0.000771604938271605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000771604938271605 0.000771604938271605 0.00540123456790123 0.000771604938271605 0.00385802469135802 0.00317719680464778 0.00154320987654321 0.00694444444444444 0.00154320987654321 0.00154320987654321 0.023320438069124 0.000771604938271605 0.0356787219162898 0.00964506172839506 0.0204639062191844 0.0345285821283117 0.076478353388973 0.11347354286486 0.215293640452177 0.416613214912523
8 183.333333333333 138.833333333333 13.25 25.4166666666667 2.33333333333333 2.83333333333333 0.666666666666667 0.433007412546985 0.028591031031038 0.0561932719419525 0.0324825673892377 0.025585021455036 0.251384412662385 0.0388118347844721 0.133944448188894 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0.00117972090021779 0 0.000418760469011725 0 0 0 0 0 0 0.00203252032520325 0 0 0 0.00203252032520325 0 0 0 0 0 0 0.000329380764163373 0 0 0.00203252032520325 0.00203252032520325 0 0.000329380764163373 0 0 0.00203252032520325 0.00117972090021779 0 0.00488426430967035 0.00203252032520325 0.01528531017222 0 0.00396038245859614 0.00420038351791116 0.00904445073558741 0.00649458833239446 0.0222742322123115 0.00233380340437365 0.0131382826646494 0.0478704217467195 0.0517342466485327 0.0797035871878681 0.160222320393142 0.561189120141827 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0.00242433930093777 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0 0 0 0.0036231884057971 0 0 0 0 0 0.0036231884057971 0 0 0.000868055555555556 0.000612745098039216 0 0 0 0 0.0090153452685422 0 0 0 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.000612745098039216 0 0 0 0.0036231884057971 0.000612745098039216 0.00752832836032964 0.000612745098039216 0.000868055555555556 0 0.000868055555555556 0 0.00303708439897698 0.00122549019607843 0.00546142369991475 0.00626021241830065 0.016316089640365 0.000868055555555556 0.0438214948631615 0.00393178104575163 0.0142274460289166 0.0139383229137065 0.174517855244358 0.0811950421405345 0.209579894900654 0.377433177229373
9 74.5833333333333 58.8333333333333 6.5 7.08333333333333 1.08333333333333 0.833333333333333 0.25 0.470305097209675 0.0453390760275723 0.0353930051551823 0.0207696606158977 0.020729605039473 0.195045326385 0.0266196089940031 0.185798620573196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0 0 0 0.0028735632183908 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00323503794948364 0 0 0.00735294117647059 0.00522875816993464 0 0.00303567590801633 0.00245098039215686 0.013884125170579 0 0 0.00177304964539007 0.00473484848484848 0.00980429292929293 0.0231463373998337 0.00245098039215686 0.0309704305698888 0.0270406729118163 0.0319444253484635 0.0752949189995044 0.110563407980675 0.555097906294275 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00980392156862745 0 0 0 0.00490196078431373 0.00490196078431373 0 0 0 0 0 0.00490196078431373 0 0 0.00490196078431373 0 0 0.0177224736048265 0 0.0251035196687371 0.0202991452991453 0.0226139601139601 0.035024154589372 0.0582994903647078 0.0858010335312125 0.131061287391211 0.471292548977971
10 112.416666666667 87.4166666666667 12.1666666666667 10.9166666666667 0.666666666666667 0.833333333333333 0.416666666666667 0.524022524797969 0.0223300990267428 0.0314389486041376 0.0357323603473285 0.0153113296985649 0.22910239056975 0.0232932948027046 0.118769052152803 0.00185185185185185 0 0 0 0 0 0 0 0.000980392156862745 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000980392156862745 0 0 0 0.00157232704402516 0.00381944444444444 0 0.00378983634797588 0.00435010482180294 0.0137499629562712 0.00193798449612403 0.00185185185185185 0 0.00789002445842069 0.0065359477124183 0.0264037930149389 0.000980392156862745 0.0113897596156757 0.030534919609532 0.0340259196165424 0.0928164840928652 0.16889382825189 0.582220604446905 0 0 0 0 0.00245098039215686 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00347222222222222 0.00347222222222222 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0.00245098039215686 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00396825396825397 0 0 0.00245098039215686 0 0 0.00320512820512821 0 0 0 0 0.0218167249417249 0 0.0460063833225598 0.00245098039215686 0.0163398692810458 0.0277396214896215 0.0664888284373579 0.0761114226187756 0.157954416226475 0.456821534946535
