"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oj_Proportion" "Transition_io_Proportion" "Transition_oi_Proportion" "Transition_oe_Proportion" "Transition_gc_Proportion" "Transition_ej_Proportion" "Transition_je_Proportion" "Transition_cj_Proportion" "Transition_go_Proportion" "Transition_ce_Proportion" "Transition_co_Proportion" "Transition_cg_Proportion" "Transition_ij_Proportion" "Transition_ji_Proportion" "Transition_gj_Proportion" "Transition_he_Proportion" "Transition_jc_Proportion" "Transition_ch_Proportion" "Transition_hc_Proportion" "Transition_ih_Proportion" "Transition_eg_Proportion" "Transition_gh_Proportion" "Transition_ic_Proportion" "Transition_eh_Proportion" "Transition_jo_Proportion" "Transition_hh_Proportion" "Transition_oc_Proportion" "Transition_hi_Proportion" "Transition_jh_Proportion" "Transition_og_Proportion" "Transition_jj_Proportion" "Transition_cc_Proportion" "Transition_ci_Proportion" "Transition_hg_Proportion" "Transition_oo_Proportion" "Transition_se_Proportion" "Transition_ee_Proportion" "Transition_jg_Proportion" "Transition_ge_Proportion" "Transition_sj_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_so_Proportion" "Transition_ig_Proportion" "Transition_ie_Proportion" "Transition_sc_Proportion" "Transition_ei_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jgg_Proportion" "Transition_osg_Proportion" "Transition_gsh_Proportion" "Transition_jsh_Proportion" "Transition_ios_Proportion" "Transition_goo_Proportion" "Transition_sgo_Proportion" "Transition_cse_Proportion" "Transition_ccs_Proportion" "Transition_jsc_Proportion" "Transition_jjs_Proportion" "Transition_oeg_Proportion" "Transition_chs_Proportion" "Transition_cgs_Proportion" "Transition_jos_Proportion" "Transition_oos_Proportion" "Transition_gsc_Proportion" "Transition_osi_Proportion" "Transition_sos_Proportion" "Transition_sgc_Proportion" "Transition_sgh_Proportion" "Transition_jsi_Proportion" "Transition_hsc_Proportion" "Transition_shh_Proportion" "Transition_csg_Proportion" "Transition_jcs_Proportion" "Transition_jci_Proportion" "Transition_ghs_Proportion" "Transition_csi_Proportion" "Transition_esj_Proportion" "Transition_ces_Proportion" "Transition_chi_Proportion" "Transition_gos_Proportion" "Transition_scg_Proportion" "Transition_jis_Proportion" "Transition_igi_Proportion" "Transition_eeg_Proportion" "Transition_ssh_Proportion" "Transition_jsg_Proportion" "Transition_iig_Proportion" "Transition_csj_Proportion" "Transition_sjj_Proportion" "Transition_hgs_Proportion" "Transition_isj_Proportion" "Transition_gjs_Proportion" "Transition_gge_Proportion" "Transition_ics_Proportion" "Transition_gsj_Proportion" "Transition_hes_Proportion" "Transition_esh_Proportion" "Transition_hie_Proportion" "Transition_hsh_Proportion" "Transition_eeh_Proportion" "Transition_ihe_Proportion" "Transition_hse_Proportion" "Transition_shi_Proportion" "Transition_hsg_Proportion" "Transition_gie_Proportion" "Transition_egi_Proportion" "Transition_cig_Proportion" "Transition_gii_Proportion" "Transition_ihs_Proportion" "Transition_sge_Proportion" "Transition_iih_Proportion" "Transition_ssc_Proportion" "Transition_hsi_Proportion" "Transition_ies_Proportion" "Transition_ieg_Proportion" "Transition_sei_Proportion" "Transition_egs_Proportion" "Transition_ssj_Proportion" "Transition_oci_Proportion" "Transition_sie_Proportion" "Transition_sci_Proportion" "Transition_ees_Proportion" "Transition_sjs_Proportion" "Transition_ses_Proportion" "Transition_sse_Proportion" "Transition_eee_Proportion" "Transition_ggs_Proportion" "Transition_isc_Proportion" "Transition_sig_Proportion" "Transition_eig_Proportion" "Transition_eie_Proportion" "Transition_eei_Proportion" "Transition_seh_Proportion" "Transition_ish_Proportion" "Transition_ise_Proportion" "Transition_gei_Proportion" "Transition_ehs_Proportion" "Transition_ese_Proportion" "Transition_iee_Proportion" "Transition_gse_Proportion" "Transition_iei_Proportion" "Transition_see_Proportion" "Transition_esi_Proportion" "Transition_isi_Proportion" "Transition_csc_Proportion" "Transition_his_Proportion" "Transition_sgi_Proportion" "Transition_igg_Proportion" "Transition_gig_Proportion" "Transition_scc_Proportion" "Transition_cis_Proportion" "Transition_hso_Proportion" "Transition_ogs_Proportion" "Transition_soo_Proportion" "Transition_ges_Proportion" "Transition_iie_Proportion" "Transition_gee_Proportion" "Transition_jgs_Proportion" "Transition_ggi_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_sis_Proportion" "Transition_eii_Proportion" "Transition_sii_Proportion" "Transition_iii_Proportion" "Transition_scs_Proportion" "Transition_sso_Proportion" "Transition_ssi_Proportion" "Transition_isg_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_eis_Proportion" "Transition_gsi_Proportion" "Transition_shs_Proportion" "Transition_ssg_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_hss_Proportion" "Transition_oss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 483.583333333333 387 48.4166666666667 39.5 4.66666666666667 2.75 1.25 0.341330990319191 0.0450863466941862 0.0834481008191479 0.0128696399903176 0.01078048146893 0.303147491661257 0.0384763307592585 0.164860618287711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000393081761006289 0.000414593698175788 0.000414593698175788 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000487329434697856 0.000570776255707763 0.000570776255707763 0.000744047619047619 0.000974658869395711 0.000975492880613363 0.00098933746682637 0.00112265263539871 0.00124378109452736 0.00165837479270315 0.00168900575974486 0.00181455735023513 0.00218581361560814 0.00295953527187192 0.00344606744494899 0.00357127657697214 0.00364489498404771 0.00414593698175788 0.00450027334591123 0.00456053067993367 0.00458134280724819 0.00503401552841851 0.0110844758296506 0.0111795516938581 0.0133156220095977 0.0171815531153329 0.0204709151534568 0.0209913920446601 0.0534469637408838 0.114076514458584 0.184901316237979 0.499196960603221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.000801282051282051 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.000809061488673139 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00141242937853107 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00161812297734628 0.00161812297734628 0.00213675213675214 0.00215314751017852 0.00215314751017852 0.00222149086720421 0.00233614951356887 0.00242718446601942 0.00242718446601942 0.00242718446601942 0.00250196232339089 0.00278086763070078 0.00282485875706215 0.00296220899885165 0.0030393457117595 0.00313746188130425 0.00323624595469256 0.00349723353168389 0.0036103797560931 0.00374793217535153 0.00429073614557485 0.00599377527322007 0.0062449184561672 0.00866482627404957 0.013904829750983 0.0274829655345454 0.0422993811117479 0.103652038401085 0.113966831341588 0.158359977511017 0.433320178211493
2 608 481.583333333333 56.8333333333333 54.4166666666667 6.75 5.25 3.16666666666667 0.337311692183978 0.0492059801493278 0.0719795810752733 0.00894430027161453 0.00907752474008392 0.33921748630968 0.0330039952946515 0.151259439975391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000229568411386593 0.000305250305250305 0.000353107344632768 0.000398724082934609 0.000481695568400771 0.00179903143679928 0.00183150183150183 0 0.000229568411386593 0.000305250305250305 0 0 0.000834802913033539 0.00145098912433273 0 0 0 0.00105056730634543 0.0022754438611339 0.000939571026276229 0.000697459961712658 0.00359820996613449 0.00518925518925519 0.000457875457875458 0.00175581993763812 0.00164229709684255 0.00355743197422508 0.00223679751748073 0 0.00266049223872286 0.00305250305250305 0.00282837921718622 0.00206107024288843 0.0062787977420038 0.00797572773899229 0.0213178299575662 0.0109078132406258 0.0218489727686307 0.00658841119622557 0.0171314533385933 0.013261770986345 0.037095189856904 0.0859008282977406 0.198589624072419 0.530880917022824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0.000400641025641026 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000764525993883792 0.000801282051282051 0.000885137149672033 0.000885137149672033 0.000885137149672033 0.000915750915750916 0.000915750915750916 0.000968992248062015 0.000968992248062015 0.000968992248062015 0.000968992248062015 0.00100401606425703 0.00115740740740741 0.00145348837209302 0.00148809523809524 0.00193798449612403 0.00216223284747381 0.00224713916574382 0.00273163528977482 0.00290697674418605 0.00981841817518548 0 0 0 0 0 0 0 0 0.000400641025641026 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.000484496124031008 0.00145348837209302 0.00193798449612403 0.00242248062015504 0.00245708748615725 0 0.000400641025641026 0.000400641025641026 0.000400641025641026 0.000801282051282051 0.000915750915750916 0.00271558419494199 0 0 0 0.000484496124031008 0.000484496124031008 0.00145348837209302 0 0.000400641025641026 0.000915750915750916 0.0012490221179148 0.00305605247465713 0.000885137149672033 0.0043758371633345 0.0052456022659511 0.000757575757575758 0 0.00264231892138869 0.00393904043293311 0.0121921568255844 0.00297619047619048 0.00193798449612403 0.0016025641025641 0.00144235053016128 0.00898756174088077 0.00532357103036372 0.0125491869315118 0.00494269941944361 0.0120903332945308 0.0171546975984554 0.0086492739388727 0.0198585783811108 0.0627673006816025 0.0898869380118417 0.194463693088449 0.458074430338251
3 638.416666666667 492.666666666667 58.4166666666667 66.1666666666667 11.0833333333333 7.16666666666667 2.91666666666667 0.370172723445408 0.0257203182552294 0.0381543588213382 0.00491401876509944 0.00819313736374678 0.399591062905588 0.0196175506633576 0.133636829780232 0 0 0 0 0 0 0 0 0 0 0.000398724082934609 0.000647480301840082 0.000707366058243251 0.00169926676694507 0.000719151006507328 0 0.000718012106229437 0.00030750307503075 0 0.000652101409235946 0.00130239342700643 0.000631138947136078 0 0 0 0 0 0 0 0 0.000308641975308642 0.000615006150061501 0.000548245614035088 0.000707366058243251 0.000398724082934609 0 0.000549150309767819 0.00030750307503075 0.00120034702327103 0.00132465000886054 0.00599941141498679 0.000855748689065838 0.000673751585684884 0.00632788383719048 0.00106165088800209 0.000707366058243251 0.000889128957079044 0.00271772972921421 0.0111759105980524 0.0313977508995639 0.0133240990464213 0.0358253597447591 0.00228269682965503 0.00951549632087164 0.0125118423783011 0.0167529837031825 0.0759820841170904 0.237368692813138 0.520887640910876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000505050505050505 0.000555555555555556 0.000555555555555556 0.000661375661375661 0.000661375661375661 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000764525993883792 0.000925925925925926 0.00106060606060606 0 0.000764525993883792 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0 0.00199574741630816 0 0 0 0 0 0 0 0 0.000778816199376947 0 0 0 0 0 0 0 0 0 0.0174552184833315 0 0.00111111111111111 0 0 0 0 0 0 0.000555555555555556 0 0 0 0 0.000661375661375661 0 0 0.00298941798941799 0 0 0.000555555555555556 0.000555555555555556 0 0 0.000555555555555556 0 0 0.000886524822695035 0 0.000661375661375661 0.00106060606060606 0 0.00288416075650118 0.00292356185973207 0.00154334219326074 0.00635154053251123 0.000661375661375661 0.00940159413066552 0.00414702206758282 0.000764525993883792 0.000886524822695035 0.0063541913126205 0.00364711532808603 0.0227688871201459 0.0057639816051031 0 0.00608064400120475 0.000555555555555556 0.0122699701715556 0.00792736331514643 0.0190721796095949 0.00255871193088558 0.0234524206509178 0.00948480001656536 0.00234935184341552 0.0193949127616114 0.0186960989422407 0.0764776445914352 0.284405330488297 0.410051146659171
4 583.666666666667 450.166666666667 55.5 62.1666666666667 7.25 5.91666666666667 2.66666666666667 0.347934998784334 0.0312198259331667 0.0497357848996567 0.00673092197432523 0.00767571708986725 0.373887318600448 0.0232611129189174 0.159554319799284 0 0 0 0 0 0 0 0.000248015873015873 0.000316856780735108 0.000350140056022409 0 0.000826330532212885 0.0015449105412492 0.000612745098039216 0 0 0 0.000316856780735108 0 0 0.000460405156537753 0.000476190476190476 0.000612745098039216 0 0 0 0 0.000316856780735108 0 0 0.000496031746031746 0 0.00184997058184004 0 0 0.00184162062615101 0.000920810313075506 0.000380517503805175 0.000248015873015873 0.00334052493599165 0.00336752166226598 0.000715637132045801 0 0.00742164989668638 0.000460405156537753 0.00194951542876776 0 0.00411111218518936 0.00324271184864863 0.0126544430511084 0.0100254818498081 0.0191079174799799 0.00511930494179049 0.0140900879088436 0.0107512552566699 0.0212693003530826 0.0963773900529928 0.239329675867021 0.534847045175138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000559284116331096 0.000764525993883792 0.000850340136054422 0.000850340136054422 0.00104166666666667 0.00151515151515152 0.000998003992015968 0 0 0 0 0 0 0 0.00222222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0 0 0.00278150633855332 0.00210970464135021 0.00105485232067511 0 0.00748830210136196 0 0 0 0 0 0 0 0.00105485232067511 0 0 0 0.00105485232067511 0.00105485232067511 0 0.00105485232067511 0 0.00253867265469062 0 0.000850340136054422 0 0 0.000499001996007984 0 0 0 0 0 0 0 0 0 0.000499001996007984 0.00377224026742085 0.00189660316242595 0.00500715604923297 0 0.00328397197266259 0.00126352798989178 0.00104166666666667 0 0.00363598113263722 0.00375192645005103 0.00811878975996412 0.00367205280783288 0 0.000645994832041344 0 0.00638012641127705 0.00523744087078147 0.00819906328835346 0.00170428094438042 0.0138470184859816 0.0143831618169036 0.00790136462590301 0.0175447283089621 0.0291692366571596 0.0982103612440154 0.30689088214342 0.421490393224902
5 435.25 350.833333333333 41.25 36.5 3.33333333333333 2.66666666666667 0.666666666666667 0.33745364304226 0.0524628874492442 0.086264790679592 0.00979634140094537 0.0101755107266212 0.276755654121045 0.0411467436618855 0.185944428918406 0 0 0 0 0 0 0.00037202380952381 0.00037202380952381 0.00111111111111111 0 0.000445632798573975 0 0.00037202380952381 0.00037202380952381 0 0 0.00179477385359738 0 0 0 0.000445632798573975 0.000457875457875458 0 0 0.000445632798573975 0.000445632798573975 0 0.000817656608097784 0 0.000534188034188034 0.00120772946859903 0 0.000457875457875458 0.000502008032128514 0 0.00112612612612613 0 0.00238399573107219 0 0.00464195057945058 0.0021087927876721 0.00133689839572193 0 0.00037202380952381 0 0.00482808435036365 0 0.00557378662339736 0.0017334075238487 0.00736186723373963 0.00690529783160857 0.0106287383420485 0.0101255836736309 0.0286470729233675 0.0420838589524038 0.0465208399535489 0.117385413114517 0.18839059353314 0.507691824058955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00148809523809524 0.00148809523809524 0.00205090190264393 0 0 0 0 0 0 0 0 0.00117370892018779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0 0 0 0.00247975708502024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0 0 0 0.00117370892018779 0 0 0 0 0 0.00087719298245614 0 0 0.00353899714073917 0 0.00353899714073917 0 0.00175438596491228 0 0.00148809523809524 0 0.00380528786755621 0.00297619047619048 0 0.0027762730227519 0 0.00411967418546366 0.00087719298245614 0.00350877192982456 0.00694444444444444 0.0078783076285847 0.0196105397579876 0.00845149403188336 0.0936099401228236 0.0787453835470708 0.139241878235182 0.189174723671266 0.411227078479759
6 545.75 423.916666666667 52.8333333333333 56.1666666666667 6.08333333333333 5.08333333333333 1.66666666666667 0.36271373533364 0.0470027042028442 0.0645982562677946 0.00831034823203902 0.00611191001458374 0.328618155249965 0.0305549555874177 0.152089935111716 0 0 0 0 0.000301932367149758 0.000476190476190476 0 0.000717008363555621 0 0 0 0.000301932367149758 0 0.00156540557693247 0.000187687687687688 0 0.00121597183368024 0 0 0 0 0.000541125541125541 0.000548245614035088 0 0.000187687687687688 0.000353107344632768 0 0 0.000498632961319528 0 0 0.00225808964614935 0.00167617814641737 0.000301932367149758 0.000310945273631841 0 0 0.000541125541125541 0.000187687687687688 0.00294644815878489 0.00244554896497835 0.00145861264213715 0.000972320935007502 0.00292505506312774 0 0.00302853307973936 0.000187687687687688 0.00258032762594806 0.00529935872380994 0.0125718001488855 0.00970706760506803 0.0245586059939435 0.00792457761495196 0.0158230223528229 0.026320970916074 0.0332913628450991 0.0954702457148064 0.225126975260765 0.515190592183055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00031328320802005 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000677506775067751 0.000868055555555556 0.00157232704402516 0.00224983381909291 0.0027076515505688 0 0 0.00246838439169541 0 0.00157232704402516 0.00031328320802005 0 0 0 0 0 0 0.00031328320802005 0 0 0 0.00031328320802005 0 0 0.000868055555555556 0.000841750841750842 0 0.00031328320802005 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00031328320802005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00572727546411757 0.000595238095238095 0.00093984962406015 0 0 0 0 0 0 0.00031328320802005 0 0 0 0 0 0 0 0.00345793729607036 0.000896057347670251 0 0.00031328320802005 0.00093984962406015 0.00272736109379605 0.0024891009779663 0 0 0 0 0 0 0 0 0.0006265664160401 0.00152262376371035 0.00244038259958071 0.00388239514356694 0.00031328320802005 0.00560376132892906 0.00156641604010025 0.001573564122738 0 0.00325582872752684 0.00093984962406015 0.00992391205576329 0.0006265664160401 0 0.00219298245614035 0 0.00794013217827766 0.00595829195630586 0.00725081588568431 0.000595238095238095 0.0141764655568452 0.0146258988570739 0.00807338083533942 0.0453451802333637 0.0546622681314248 0.101449219973473 0.240244323902611 0.427791253120416
7 607.75 475.833333333333 55.75 61.4166666666667 7.58333333333333 5 2.16666666666667 0.371912235652079 0.0315924751256841 0.0365254544799999 0.00885595128409043 0.00417471119161834 0.392773935337466 0.0223008541768322 0.13186438275223 0 0 0 0.000306372549019608 0 0 0.000318066157760814 0 0.000318066157760814 0 0 0.000772200772200772 0.000440917107583774 0.00161648872928483 0 0 0.000747289656603382 0.000389408099688474 0 0 0.000306372549019608 0.000375375375375375 0 0 0.000306372549019608 0.000306372549019608 0.00101862326127032 0.000396825396825397 0.000478927203065134 0.00130265063313067 0 0.000179985601151908 0.0010678024771162 0.000966149123164486 0 0 0 0.00115316781983449 0 0.000375375375375375 0.0024571953937223 0.000320512820512821 0.000830325207272248 0.00505080077809804 0.000786163522012579 0.000881834215167548 0.000389408099688474 0.0018074276256184 0.0031406710570935 0.0185047199953054 0.00711013063633041 0.0174037194130544 0.00482780244402567 0.0152155025197229 0.00905932089577473 0.0233041940932287 0.0832519470213854 0.265340650847875 0.527174864270841 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0.000868055555555556 0.000915750915750916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00835435799347417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00187148502811977 0 0 0.00159071025212758 0.000328083989501312 0.000656167979002625 0 0 0 0.00122549019607843 0 0 0 0 0 0.000328083989501312 0.00293017052874047 0 0.00681852869352869 0 0.00341771466629151 0 0.00122549019607843 0 0.000651041666666667 0.00240417877404179 0.00680837149828885 0.00277906438165818 0.000868055555555556 0.00285565751891308 0 0.0069210722447915 0.00278684979718444 0.00778251611207539 0.000645994832041344 0.0102459829769656 0.0129393806146815 0.0108221100940376 0.0164127991475871 0.0375790622461588 0.0872347171703225 0.31030410619951 0.448777907519103
8 514.25 403.583333333333 54.9166666666667 44.6666666666667 5.91666666666667 3.83333333333333 1.33333333333333 0.342738522109654 0.0388259518966108 0.0580601274882471 0.0106441901835833 0.00772286278134559 0.313198876942186 0.0309122009787924 0.19789726761958 0 0 0.000731120731120731 0 0 0 0 0 0.00117376259508239 0 0 0.00124672516804496 0.000462962962962963 0.00117376259508239 0 0 0.00190488332620312 0 0 0 0 0 0.000750750750750751 0 0.000578703703703704 0 0 0.00181190073322053 0.000423011844331641 0.000958994708994709 0.00291652974038778 0.0018645422071818 0.000360750360750361 0.00076103500761035 0 0.000888561192562554 0 0.00037037037037037 0.00037037037037037 0.00119845831052728 0.00154427008887756 0.000919043590363387 0.000239463601532567 0.00424567597099713 0 0.00329799554274607 0 0.00463636500483051 0.00108294406830071 0.00913307848324477 0.00592683755541049 0.0173432138484331 0.00600761199570932 0.0175866983894505 0.0134975557145939 0.0365924262422285 0.136941137038523 0.219642228681354 0.501416257504146 0 0 0 0 0 0 0 0 0.00119047619047619 0.00157232704402516 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0 0 0 0.000778816199376947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0 0 0.000499001996007984 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00172449219208642 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0 0.00122549019607843 0.000778816199376947 0 0.00119047619047619 0 0.00279781724010359 0 0 0 0 0 0 0 0.000778816199376947 0 0.00303540115233085 0 0.00398843337958236 0 0.00149106548807148 0 0.00122549019607843 0.000499001996007984 0.00438525877640776 0.00122549019607843 0.00554058101227912 0.00177087969144044 0 0 0 0.00535359357987603 0.000793650793650794 0.00854303134875306 0.00180991095625242 0.013937094639053 0.0144691660858482 0.00792556378730101 0.0246649205803404 0.0546560876791112 0.141110319655526 0.237069186720178 0.445233697745282
9 311.75 251.416666666667 25.3333333333333 31 1.58333333333333 2.08333333333333 0.333333333333333 0.412016982517941 0.0744071068081162 0.0705461567659504 0.0112542420404632 0.00793497645863933 0.221191177999797 0.035676647206659 0.166972710202434 0 0 0.000551876379690949 0 0 0 0 0 0.000925925925925926 0 0.000925925925925926 0.000925925925925926 0 0 0 0 0.000551876379690949 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400641025641026 0 0.000952517405331975 0 0.000925925925925926 0.000925925925925926 0 0.00114155251141553 0 0.00120192307692308 0 0.00172240686885473 0.000400641025641026 0 0 0.00192031388152078 0 0.00646595448571432 0.00178644428092552 0.00247722726663051 0.00448438527076154 0.0101805636216931 0.0115770730651546 0.0198082776383421 0.0680825613031125 0.0422922952912093 0.0958061636289265 0.14285980731121 0.58070586865198 0 0 0 0 0 0.00203252032520325 0.00203252032520325 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0.00117370892018779 0.00117370892018779 0.00213675213675214 0 0.00302556077203965 0.00185185185185185 0 0 0 0 0.00308641975308642 0.00203252032520325 0 0 0.00577459179609717 0.00523281853485296 0.0264958339656852 0.00945553605960492 0.145725437064795 0.0820350686179493 0.0902295575744438 0.135280840980303 0.473973376532495
10 486.25 385.666666666667 48.8333333333333 43.0833333333333 3.66666666666667 3.08333333333333 1.91666666666667 0.371091553652456 0.0510007006496263 0.0617413975848857 0.0131189766524264 0.00771529917818793 0.285715702799691 0.0381944645806915 0.171421904902035 0 0.000946969696969697 0 0 0 0 0 0.000215889464594128 0.000672043010752688 0 0 0.000353107344632768 0 0.00099108326304374 0.000387596899224806 0 0.000685871056241427 0 0 0.000462962962962963 0 0 0.000524109014675052 0 0 0 0 0.000911705913899859 0.000353107344632768 0.000586854460093897 0 0.0010713505841249 0.00073053242734552 0 0 0.000647668393782383 0.000647668393782383 0.000740704243857574 0 0.000685871056241427 0.00259538227538611 0.00073053242734552 0.00073053242734552 0.00198120784380619 0 0.00498989403835706 0 0.00411127661135611 0.00178948378430244 0.0127300713507552 0.0135840664003012 0.0152998625214317 0.0113071329533933 0.0187058257368592 0.0265779022821329 0.0369493774069437 0.111669954584862 0.212030715376171 0.512601686448393 0 0 0 0 0.00231481481481481 0 0 0 0.00148809523809524 0.00146198830409357 0 0 0 0.00104166666666667 0 0 0 0 0.000825082508250825 0 0 0 0 0 0.00104166666666667 0 0 0 0.000359195402298851 0 0 0 0.00181159420289855 0 0.000359195402298851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00329968944099379 0 0 0 0 0 0 0 0 0.00106837606837607 0 0 0.000359195402298851 0.000359195402298851 0.000718390804597701 0.00620894909688013 0.000359195402298851 0.00179597701149425 0 0 0 0 0 0.000359195402298851 0 0 0 0 0 0 0.000359195402298851 0.000359195402298851 0.000359195402298851 0.000359195402298851 0 0.000359195402298851 0.00107758620689655 0.000359195402298851 0.00146198830409357 0 0 0 0 0 0 0 0 0.000718390804597701 0.00154347331284853 0 0.00666038067072139 0 0.00221913871831208 0 0.00329968944099379 0 0.00296273621780794 0.00292487684729064 0.00885521531152337 0.00107758620689655 0 0.0021551724137931 0 0.00107758620689655 0.00543924466338259 0.00436165845648604 0.00441207184628237 0.008583703197906 0.00805763545914852 0.0183680765080724 0.0565348713051517 0.0671109924245464 0.117493597424888 0.215630787701874 0.430586904698176
