"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oo_Proportion" "Transition_go_Proportion" "Transition_jh_Proportion" "Transition_ec_Proportion" "Transition_oc_Proportion" "Transition_eo_Proportion" "Transition_io_Proportion" "Transition_jj_Proportion" "Transition_jc_Proportion" "Transition_hh_Proportion" "Transition_ce_Proportion" "Transition_ij_Proportion" "Transition_eg_Proportion" "Transition_he_Proportion" "Transition_oi_Proportion" "Transition_ee_Proportion" "Transition_co_Proportion" "Transition_oj_Proportion" "Transition_eh_Proportion" "Transition_ic_Proportion" "Transition_se_Proportion" "Transition_gj_Proportion" "Transition_ge_Proportion" "Transition_ei_Proportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_jg_Proportion" "Transition_hg_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_cg_Proportion" "Transition_hc_Proportion" "Transition_jo_Proportion" "Transition_cc_Proportion" "Transition_gh_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_sj_Proportion" "Transition_hi_Proportion" "Transition_es_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_os_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_isc_Proportion" "Transition_soo_Proportion" "Transition_csi_Proportion" "Transition_gos_Proportion" "Transition_jso_Proportion" "Transition_ois_Proportion" "Transition_shh_Proportion" "Transition_ecs_Proportion" "Transition_shs_Proportion" "Transition_ssh_Proportion" "Transition_eee_Proportion" "Transition_ocs_Proportion" "Transition_oci_Proportion" "Transition_ici_Proportion" "Transition_ccs_Proportion" "Transition_ogs_Proportion" "Transition_ios_Proportion" "Transition_osg_Proportion" "Transition_eig_Proportion" "Transition_shi_Proportion" "Transition_esh_Proportion" "Transition_ees_Proportion" "Transition_egi_Proportion" "Transition_sih_Proportion" "Transition_sge_Proportion" "Transition_gsh_Proportion" "Transition_seg_Proportion" "Transition_egs_Proportion" "Transition_ghs_Proportion" "Transition_iee_Proportion" "Transition_gei_Proportion" "Transition_ges_Proportion" "Transition_see_Proportion" "Transition_esi_Proportion" "Transition_sse_Proportion" "Transition_ghh_Proportion" "Transition_gie_Proportion" "Transition_iij_Proportion" "Transition_ghe_Proportion" "Transition_hie_Proportion" "Transition_iie_Proportion" "Transition_his_Proportion" "Transition_eih_Proportion" "Transition_hei_Proportion" "Transition_ieh_Proportion" "Transition_eeh_Proportion" "Transition_ehs_Proportion" "Transition_hes_Proportion" "Transition_ies_Proportion" "Transition_jsi_Proportion" "Transition_sjs_Proportion" "Transition_hgs_Proportion" "Transition_esg_Proportion" "Transition_eis_Proportion" "Transition_hsg_Proportion" "Transition_hsi_Proportion" "Transition_ieg_Proportion" "Transition_sie_Proportion" "Transition_eie_Proportion" "Transition_iei_Proportion" "Transition_sgh_Proportion" "Transition_ehg_Proportion" "Transition_iih_Proportion" "Transition_sei_Proportion" "Transition_ssc_Proportion" "Transition_cgs_Proportion" "Transition_ise_Proportion" "Transition_isj_Proportion" "Transition_ihs_Proportion" "Transition_gse_Proportion" "Transition_jis_Proportion" "Transition_ose_Proportion" "Transition_ses_Proportion" "Transition_iso_Proportion" "Transition_osi_Proportion" "Transition_sos_Proportion" "Transition_hii_Proportion" "Transition_gih_Proportion" "Transition_ihi_Proportion" "Transition_eii_Proportion" "Transition_gii_Proportion" "Transition_igi_Proportion" "Transition_cis_Proportion" "Transition_iig_Proportion" "Transition_igs_Proportion" "Transition_igg_Proportion" "Transition_iis_Proportion" "Transition_ess_Proportion" "Transition_ggi_Proportion" "Transition_gig_Proportion" "Transition_isg_Proportion" "Transition_scc_Proportion" "Transition_osc_Proportion" "Transition_ssg_Proportion" "Transition_sig_Proportion" "Transition_ssi_Proportion" "Transition_gsi_Proportion" "Transition_iii_Proportion" "Transition_sis_Proportion" "Transition_sgi_Proportion" "Transition_scs_Proportion" "Transition_sii_Proportion" "Transition_isi_Proportion" "Transition_ggs_Proportion" "Transition_ggg_Proportion" "Transition_oss_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_sgs_Proportion" "Transition_gsg_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 490.25 400.416666666667 45.9166666666667 34.3333333333333 4.91666666666667 2.91666666666667 1.75 0.319135526962931 0.0547307741630999 0.0604901808477429 0.00836058398383156 0.00745731268120768 0.316068996498366 0.0363185565658632 0.197438068296958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000211505922165821 0.000211505922165821 0.000211505922165821 0.000211505922165821 0.000211505922165821 0.000357653791130186 0.000357653791130186 0.000398724082934609 0.000398724082934609 0.000398724082934609 0.000502008032128514 0.000502008032128514 0.000502008032128514 0.000502008032128514 0.000687696398356297 0.000926813504426193 0.00124605565117613 0.00140198211264201 0.00187919445680714 0.00228306392578992 0.00311314176792887 0.00430290297937357 0.00508251319735093 0.00535694624648852 0.00569348416023824 0.0104662859452385 0.0112617797126553 0.0166395366022384 0.0243764814521037 0.025919115108612 0.0477712251816853 0.142730270981826 0.18705533317496 0.496829135869695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000408496732026144 0.000793650793650794 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.000816993464052288 0.00120214752567694 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00126262626262626 0.00167112299465241 0.00174291938997821 0.00189659197012138 0.00199579831932773 0.00204248366013072 0.00204248366013072 0.00204248366013072 0.00248366013071895 0.00279641096204564 0.00281279178338002 0.00353057889822596 0.00471132897603486 0.00538243075007781 0.0054673721340388 0.00563725490196079 0.00586056644880174 0.00918162719633308 0.01119825708061 0.0276584028592907 0.0445810591050249 0.0912662347104511 0.153490288296089 0.174399194779307 0.422229317718504
2 479.25 371.083333333333 49.8333333333333 43.0833333333333 6 5.83333333333333 3.41666666666667 0.359016266789884 0.0561137788501054 0.0459859593616131 0.00832707753555114 0.0130144872441902 0.303691250257509 0.0348158994358181 0.179035280525328 0 0 0 0 0 0 0 0 0 0 0.000185185185185185 0.000185185185185185 0.000185185185185185 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.000443262411347518 0.000489321438226548 0.000555555555555556 0.000675381263616558 0.00232168011269049 0 0.000740740740740741 0.000925925925925926 0.000925925925925926 0.00127711376715361 0 0.000555555555555556 0 0.000530785562632696 0.000834921815674059 0 0 0.000326797385620915 0.00037037037037037 0 0.00148809523809524 0.00267458443231307 0.00037037037037037 0.00624415568466025 0.00391759113838322 0.0010239651416122 0.00214605963609948 0.0070168797639935 0.00425442862235836 0.00533461675725134 0.00873995004291547 0.0105442217443599 0.0179446725953856 0.0267661727407108 0.0231829084768339 0.0192220112632678 0.115144580650515 0.201843643062905 0.529501088140267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.000750750750750751 0.000757575757575758 0.000757575757575758 0.00100806451612903 0.00100806451612903 0.00100806451612903 0.00141242937853107 0.00520833333333333 0.00520833333333333 0 0 0 0 0.000336021505376344 0.000336021505376344 0.000336021505376344 0.00134408602150538 0.00163648368232409 0 0.000672043010752688 0.00100806451612903 0.00100806451612903 0.00264454819845312 0.00802799205236092 0.00134408602150538 0.00134408602150538 0.00302247860609491 0.000750750750750751 0 0.00795437278380215 0.000964440671571402 0.00235043559534222 0.00297885476153727 0.00398691927766631 0.00681177803472845 0.00210166177908113 0 0.00423569309392739 0.00222127900396152 0.00360044892090732 0.00171519142232215 0.0051670487048246 0.00434141214064813 0.00335850011147125 0.0116011599089424 0.00588445248449743 0.0224711175405523 0.0542647958450589 0.0319745783926859 0.0842916020812735 0.177002295444938 0.509711377065843
3 474.166666666667 388.25 44.0833333333333 30.0833333333333 5.58333333333333 2.91666666666667 3.25 0.392590643952114 0.0415721724977815 0.0388752853071907 0.00895086887854505 0.00726264005465061 0.350646053715754 0.0208901769403489 0.139212158653615 0 0 0 0 0 0 0 0 0.000148809523809524 0.000957871012482663 0 0 0.000297619047619048 0 0 0.000595238095238095 0 0 0 0 0.00119047619047619 0.000809061488673139 0.000595238095238095 0.00140429958391123 0.00221336107258437 0.000446428571428571 0 0 0 0 0 0 0 0 0.000957871012482663 0 0 0.00105829704886309 0.000297619047619048 0.00358857803401247 0.0060238236106297 0.00138321554388467 0.000297619047619048 0.00588125187181791 0.00657432655750765 0.0102823198194768 0.015414073107746 0.0102103568232295 0.0254989865040186 0.0116214662430622 0.0125522487537005 0.0270262806445368 0.0883122754039727 0.230206847822133 0.534154140422227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000488758553274682 0.000488758553274682 0.000488758553274682 0.000733137829912024 0.000733137829912024 0.00231481481481481 0.0028035733680895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.000244379276637341 0.00231481481481481 0.00231481481481481 0.00231481481481481 0 0.000244379276637341 0.000488758553274682 0 0 0.000244379276637341 0 0.000244379276637341 0.000488758553274682 0 0 0.000244379276637341 0 0 0 0.000244379276637341 0 0.000244379276637341 0.000488758553274682 0.00122189638318671 0.000977517106549365 0 0.000488758553274682 0.00229027245156277 0.00276565815511528 0.00268817204301075 0.00317693059628544 0.000733137829912024 0.00412384298104204 0.00366568914956012 0 0 0.00541973411723868 0.00122189638318671 0.00351216883474948 0.00171065493646139 0.00171065493646139 0.00658100859713763 0.00411632871310291 0 0.00219941348973607 0.00244379276637341 0.00819876512207614 0.00484946654301493 0.0131460093798688 0.00975224449813616 0.00122189638318671 0.0148685932313443 0.0173028882706302 0.00929737824899115 0.0257719116509092 0.0514031752538709 0.0480849507305491 0.183951767302736 0.539021042391259
4 356.666666666667 287.583333333333 37.3333333333333 24.5833333333333 4 2.5 0.666666666666667 0.317616758798329 0.0519824929029451 0.0643570146146855 0.0177876196826841 0.0150849256520021 0.297544444843681 0.0381263511554999 0.197500392350173 0 0 0 0 0 0 0.000316856780735108 0.00111111111111111 0 0 0 0 0 0 0.000445632798573975 0 0 0 0 0 0.00133689839572193 0 0 0 0 0.000445632798573975 0 0.000757575757575758 0.00117596330994473 0 0 0 0 0 0 0.000633713561470215 0.00117370892018779 0.00170212765957447 0 0.00574564399396987 0.00089126559714795 0.000612745098039216 0.00197048988598112 0.00120812237788306 0.00133689839572193 0.0110183947297638 0.00162766589550069 0.00602624906401392 0.0134559751800931 0.0258140685412865 0.0181500388996478 0.0436872634031454 0.111728602925389 0.212615846948029 0.535011507970918 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000868055555555556 0.000868055555555556 0.00105485232067511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00210970464135021 0 0 0 0 0 0.00105485232067511 0 0 0.000868055555555556 0 0 0 0 0 0 0 0 0.00105485232067511 0 0.00105485232067511 0.0139055352294975 0 0 0.00105485232067511 0 0 0.00193798449612403 0 0.00271990740740741 0.00210970464135021 0.00105485232067511 0.00607126113455227 0 0 0.000868055555555556 0 0.00105485232067511 0 0.00780737224566339 0 0.00210970464135021 0.00817648051190515 0.00132275132275132 0.0160218253968254 0.0396286510265757 0.0657209814650678 0.112744004911682 0.199245321750815 0.507512620710135
5 161 128.583333333333 14.25 14.8333333333333 1.5 1.16666666666667 0.666666666666667 0.396824961633275 0.0512925373923973 0.0838258551227617 0.0150130905616528 0.0162703498732466 0.2118022135893 0.0368968628716666 0.1880741289557 0 0 0 0 0.00227775320654578 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00280112044817927 0 0 0 0.000700280112044818 0.00216226841613838 0 0 0 0.00140056022408964 0.00208333333333333 0 0 0.00208333333333333 0 0 0 0 0.00140056022408964 0 0 0.00210084033613445 0 0 0.00823535554572706 0.000700280112044818 0.00439964447317389 0 0.00272734511864947 0.00278361344537815 0.0106054398817557 0.000700280112044818 0.00633174659877446 0.00935928088303913 0.0316660992273457 0.0276610972969837 0.0671028717771213 0.12946666579558 0.104317782825153 0.574154669495563 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00245098039215686 0 0 0.00122549019607843 0 0.00122549019607843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0.00122549019607843 0 0 0 0.00416666666666667 0 0 0 0.00157232704402516 0 0 0 0 0.00416666666666667 0 0 0 0 0.00367647058823529 0 0 0 0 0.00955882352941177 0 0 0 0.00122549019607843 0.00416666666666667 0 0 0.00122549019607843 0 0 0 0 0.0063034188034188 0 0 0 0 0.0130742521367521 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00490196078431373 0.0400180157533099 0.056314940506117 0.0991696814792681 0.151269911992373 0.0813767337889841 0.499430130260458
6 273.916666666667 215.5 27.5 25 3.5 2.16666666666667 0.25 0.403380165678275 0.0589964684972044 0.0524474890871235 0.0075651811138032 0.0109214253540946 0.230021638746707 0.0341665826749697 0.202501048847823 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0 0.00138175723862502 0.000365497076023392 0.000886524822695035 0.000980392156862745 0.012837186436139 0.0021818616102598 0.00237469581724828 0.00295763730597177 0.000863557858376511 0.00191841017905162 0.0110644085564196 0.00215889464594128 0.0139008551394396 0.0119001801587176 0.0116772575663194 0.039229718281484 0.0217315917854552 0.127070298593669 0.147098631091363 0.585517858694642 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0.00087719298245614 0 0.000946969696969697 0 0 0.00728715728715729 0 0 0.000946969696969697 0 0 0.00297619047619048 0 0 0.000946969696969697 0.000946969696969697 0.00759963076139547 0 0 0 0 0 0.00189393939393939 0.00508255933952528 0.00189393939393939 0.00277777777777778 0.000946969696969697 0 0.0105528322440087 0.0829962173782234 0.0379439793112794 0.148770858459793 0.142372459900751 0.535968903501198
7 427.416666666667 358.75 36.5 26.75 3.16666666666667 1.5 0.75 0.382666630337043 0.0376504136970011 0.0442146798431518 0.0136033682879999 0.00422062247680678 0.331018656520511 0.0248911684671243 0.161734460370362 0 0 0 0.000354609929078014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0 0 0 0 0 0.00108225108225108 0 0 0 0 0 0 0 0 0 0.00100060476111936 0 0.00392922101072227 0.000837520938023451 0.00114339815017115 0.00072463768115942 0.00100060476111936 0.00238426173420293 0.0112629296724497 0.0049380225540029 0.00559397538774079 0.0184904972473864 0.014589078765398 0.0112101735114471 0.0257721403925735 0.102815745777981 0.2426934398582 0.549758126315962 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.00213675213675214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000801282051282051 0.00595998297147722 0.00132275132275132 0 0.000801282051282051 0 0 0.00452787952787953 0 0.00308641975308642 0 0 0.00440917107583774 0 0 0 0 0.000801282051282051 0 0.00733448650115317 0.00372659747659748 0.000801282051282051 0.0147855616605617 0.00212403337403337 0.00703503563173374 0.0175212315345963 0.0350751854032053 0.1086459807121 0.254243271076659 0.520480189756106
8 246.5 202 21.25 19.8333333333333 2.16666666666667 1.08333333333333 0.166666666666667 0.312945621952434 0.0530451906082788 0.0729305203803978 0.0184798939613373 0.0117789342941692 0.270374425207344 0.0472720517753211 0.213173361820718 0 0 0.000651041666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000460405156537753 0 0 0.000460405156537753 0 0 0.000651041666666667 0 0 0.00136612021857923 0 0 0 0 0 0.00177304964539007 0 0.00184929404542664 0 0.00184929404542664 0 0.00300023429530478 0 0 0.000651041666666667 0.00980989921503013 0 0.00630248299716712 0.00739143291041472 0.0320758622052852 0.028856812601989 0.0561643101346379 0.160142496335956 0.154911800138281 0.531632975898037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0069327731092437 0 0 0 0 0 0 0 0 0 0 0.00797339914986974 0 0 0 0 0 0 0.0207070707070707 0 0 0.00617621442007187 0 0.0229020979020979 0.0540587269310674 0.117444752237421 0.14583976480426 0.181300955221481 0.436664245517417
9 101.166666666667 83.8333333333333 6.66666666666667 8.75 0.833333333333333 0.916666666666667 0.166666666666667 0.500352072824377 0.0508259775840971 0.0418939004455421 0.00689062371812571 0.00622687419367433 0.203580752274333 0.0319654755905361 0.158264323369315 0 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00157232704402516 0 0 0 0.00260416666666667 0 0 0.00536020583190394 0 0 0.00536020583190394 0 0.0119047619047619 0.00701058201058201 0.0206451827945125 0.0442889962363026 0.0274072347045907 0.102664795505535 0.105326725816113 0.659462770198557 0 0 0 0 0 0 0.00347222222222222 0.00555555555555556 0.0104166666666667 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0.00520833333333333 0 0.0160130718954248 0.0971955128205128 0.0490384615384615 0.0882745726495727 0.123952273216979 0.586984441212382
10 250.833333333333 204.083333333333 20 21.8333333333333 2.5 2.33333333333333 0.0833333333333333 0.486391933852956 0.0519646895893237 0.0386063089669713 0.0108687153318431 0.00481184684259907 0.183965603612826 0.0299885042012935 0.193402397602187 0 0.000375375375375375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000915750915750916 0 0 0 0 0 0.000375375375375375 0 0 0.000957854406130268 0 0.00317233300642912 0 0.000992063492063492 0.000957854406130268 0 0 0 0 0.0149477026369373 0 0.00136743886743887 0.00523204843857018 0.0105212477953739 0.040096130765888 0.0201570905569636 0.11539270330108 0.169579125575169 0.614959905085324 0 0 0 0 0 0.000833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00170068027210884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00938311688311688 0 0 0.00462121212121212 0.00166666666666667 0.00890655683282411 0.0984012682697963 0.0420564573925918 0.106705820860063 0.165658983246405 0.557377732078871
