"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_ic_Proportion" "Transition_go_Proportion" "Transition_hg_Proportion" "Transition_gj_Proportion" "Transition_ci_Proportion" "Transition_je_Proportion" "Transition_sh_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_eg_Proportion" "Transition_cc_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_oj_Proportion" "Transition_ii_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_io_Proportion" "Transition_oi_Proportion" "Transition_sj_Proportion" "Transition_gg_Proportion" "Transition_so_Proportion" "Transition_si_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_hi_Proportion" "Transition_gc_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_hs_Proportion" "Transition_sg_Proportion" "Transition_jg_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gsi_Proportion" "Transition_isi_Proportion" "Transition_scs_Proportion" "Transition_iis_Proportion" "Transition_ics_Proportion" "Transition_ggg_Proportion" "Transition_ios_Proportion" "Transition_jsg_Proportion" "Transition_sgo_Proportion" "Transition_gos_Proportion" "Transition_egs_Proportion" "Transition_gsg_Proportion" "Transition_ssi_Proportion" "Transition_ssg_Proportion" "Transition_hsc_Proportion" "Transition_see_Proportion" "Transition_ise_Proportion" "Transition_ggs_Proportion" "Transition_jgs_Proportion" "Transition_osg_Proportion" "Transition_jjs_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_jsj_Proportion" "Transition_csi_Proportion" "Transition_sii_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_jis_Proportion" "Transition_sgg_Proportion" "Transition_gis_Proportion" "Transition_ess_Proportion" "Transition_ois_Proportion" "Transition_hso_Proportion" "Transition_sos_Proportion" "Transition_sis_Proportion" "Transition_his_Proportion" "Transition_igs_Proportion" "Transition_hss_Proportion" "Transition_isg_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 114.916666666667 94 7.25 11.9166666666667 0.416666666666667 1 0.333333333333333 0.459460729176425 0.0978744685139369 0.0328097782195786 0.0115293562717973 0.0100985161052715 0.25972087371623 0.0142761182073462 0.114230159789415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00141242937853107 0.00148809523809524 0.00166666666666667 0.00173611111111111 0.00203252032520325 0.00245098039215686 0.00245098039215686 0.00268817204301075 0.00410060142154183 0.00555555555555556 0.00585375816993464 0.00640655101092387 0.00682943909271026 0.00986786950975032 0.0136982176775905 0.0951095977368988 0.0963845041004112 0.146927036739658 0.590889933045936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00277777777777778 0.00297619047619048 0.00297619047619048 0.0036231884057971 0.00462962962962963 0.00462962962962963 0.00462962962962963 0.00490196078431373 0.0247943722943723 0.0276300085251492 0.119932746045278 0.171151413937374 0.201665546778432 0.423681715610237
2 116.916666666667 93.8333333333333 8.25 12.3333333333333 1.08333333333333 1.08333333333333 0.333333333333333 0.543004628498992 0.0970107534174928 0.040872378780516 0.00892302183750711 0.0101008013810753 0.178503915630258 0.0160109301398866 0.105573570314272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00168504901960784 0.00173611111111111 0.00189393939393939 0.00225225225225225 0.00395247113997114 0 0 0.00390140904846787 0.00402212166918049 0 0.00590887870299635 0.00320512820512821 0 0 0 0.008526626173685 0 0.00225225225225225 0.00900724071679954 0.00119047619047619 0.00879158627320392 0.0247803870965636 0.0778810360611831 0.0406922860966979 0.159201093024622 0.639119655571862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00268817204301075 0.00268817204301075 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00320512820512821 0.00333333333333333 0.00490196078431373 0.00833333333333333 0.00833333333333333 0.0116978609625668 0 0 0 0.00268817204301075 0 0 0.00490196078431373 0.00833333333333333 0.0161205729754117 0.0306635031635032 0.0478161323180299 0.123158311222827 0.141984679878418 0.56755252864361
3 285 235.75 15 29.0833333333333 2.16666666666667 2.75 0.25 0.449874879054825 0.0402290543081275 0.0203152669780719 0.016865215322533 0.00531466986025587 0.358410871696127 0.0125579729219201 0.0964320698581396 0 0 0 0 0 0 0 0 0 0 0 0 0.000672043010752688 0.00132275132275132 0 0 0 0 0 0 0 0.00560199825068963 0.000645994832041344 0.00132275132275132 0.000936329588014981 0.00178754734345687 0 0.00132275132275132 0 0.00396825396825397 0 0.0039182796904763 0.00783332267693495 0.000645994832041344 0.0164914988085306 0.0225660313376083 0.0251044504689773 0.0437919957166024 0.202581101054222 0.659486904453143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0.000992063492063492 0.0014367816091954 0 0 0.00138888888888889 0 0 0 0 0 0 0 0.00753501400560224 0 0.0255987797417818 0.0482720683244141 0.0647716371620149 0.299312637790078 0.0434729958529278 0.505782351523838
4 93.75 69.75 7.5 12.5 1.16666666666667 2.33333333333333 0.416666666666667 0.442471601588512 0.0298572667742167 0.0262790716745304 0.00900731639156457 0.0375751739506261 0.257399976904537 0.0135179374408686 0.100558321941811 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0 0 0 0 0 0 0 0 0 0 0.00325801052128168 0 0.00203252032520325 0 0 0 0 0 0 0.00708406671695583 0.0190751643859588 0.0027981277981278 0.00645536212546522 0.00402361799420623 0.025772743028212 0.0636970153523041 0.204929005485796 0.576583178527025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00462962962962963 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0 0 0.00333333333333333 0 0 0.00531746031746032 0 0.00443510737628385 0.00585511982570806 0.0424158035307146 0.188837307113641 0.0520222533457828 0.511249223622685
5 85.4166666666667 66 6.58333333333333 10.5833333333333 1.08333333333333 1.08333333333333 0.0833333333333333 0.53107097909594 0.0550078891393085 0.0406794243831814 0.0260496296099359 0.00481208775955606 0.214684491382017 0.0256477526631818 0.102047745966879 0 0 0 0 0 0 0 0 0.00166666666666667 0.00189393939393939 0.00189393939393939 0 0 0 0.00925925925925926 0 0 0.0231481481481482 0.00072463768115942 0 0 0 0 0 0 0 0.00189393939393939 0 0 0.00252525252525253 0 0.0028921568627451 0.00658683104335278 0.00154320987654321 0.0109425437727811 0.0251582114327212 0.0292192221794681 0.0692662041124149 0.158263615241226 0.653122223016444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00416666666666667 0 0 0 0.00157232704402516 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.00462962962962963 0 0 0 0 0 0.00416666666666667 0.0028735632183908 0 0.0254273504273504 0.0277777777777778 0.115142600959127 0.185670749585844 0.0616749337796833 0.555786623133728
6 98.25 78.5833333333333 7.91666666666667 10.3333333333333 1 0.25 0.166666666666667 0.52724351684729 0.05261092929898 0.0848614059931032 0.0123386006530164 0.0199340391894012 0.192240171356113 0.0096101366154106 0.101161200046686 0 0 0 0 0 0 0.000793650793650794 0.0014367816091954 0 0 0 0 0 0 0 0 0.000793650793650794 0.000793650793650794 0 0 0.0036231884057971 0.00109649122807018 0.00308641975308642 0 0.00570265462506842 0 0.000793650793650794 0 0 0.00310344827586207 0.00325396825396825 0.00740347244923904 0.00971326993145031 0.00347222222222222 0.00868928787485956 0.0164582367622295 0.0404720209102557 0.0510598955952266 0.100209334508336 0.571378037753863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0.00833333333333333 0.00925925925925926 0 0 0 0 0 0 0 0 0.00378787878787879 0 0 0 0 0.00757575757575758 0 0 0.0036231884057971 0 0.00193798449612403 0.00471576227390181 0 0.0159130060292851 0.037214919671947 0.0211352657004831 0.139148733713951 0.0703044942175377 0.508445765371953
7 260.833333333333 211.666666666667 19.25 25.25 1.91666666666667 2 0.75 0.439686232290223 0.0389304470716126 0.0292807279124066 0.0183359732911935 0.0123518198692513 0.329752836276448 0.0139703742526885 0.117691589036177 0 0 0 0 0 0.00100401606425703 0 0 0.000925925925925926 0 0 0 0 0.00293607026143791 0 0 0 0 0 0 0 0.00252849002849003 0.00290464743589744 0.00100401606425703 0.00305250811966443 0 0 0 0 0.00977658351467365 0.00130208333333333 0.00836802911997436 0.013819511747663 0.00331011546184739 0.0295158211505714 0.0148388878011298 0.0212051101471853 0.0901371518324107 0.189643776088707 0.603727255902575 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0.0055171277997365 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0.0043859649122807 0.0115196417058119 0 0.0036231884057971 0 0.0129964422727581 0 0 0.00225225225225225 0 0 0 0.00397727272727273 0 0.0187261254712202 0.0219432233481725 0.0405726031739348 0.200076678045242 0.108712942265574 0.561360952034362
8 105.75 81.25 7.33333333333333 12.8333333333333 1.66666666666667 1.91666666666667 0.75 0.507531454965717 0.0474220090951636 0.0314203641506179 0.0117878746351898 0.00901504885043046 0.273148356605514 0.0127842487387852 0.106890642958582 0 0 0 0.00154320987654321 0.00154320987654321 0.000694444444444444 0 0 0 0 0 0.00163398692810458 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.00232843137254902 0 0.00813751426496524 0 0 0 0 0.00173611111111111 0 0.00396241830065359 0.0148263967144968 0.00173611111111111 0.0142883079157589 0.025344304388422 0.0155313051146384 0.0434416486901274 0.211317810761324 0.565129233573651 0 0 0 0 0 0 0 0.00120772946859903 0.00260416666666667 0.00260416666666667 0.00347222222222222 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.00757575757575758 0.00120772946859903 0 0.00378787878787879 0 0 0 0 0 0 0.00467995169082126 0.00260416666666667 0.0224356335090031 0.0920945777111444 0.0436978480456741 0.149301360548081 0.0306204615495283 0.455023016089358
9 73.4166666666667 58.25 5.83333333333333 8.08333333333333 0.416666666666667 0.75 0.0833333333333333 0.492850842878369 0.034274614766118 0.0337432168349822 0.0277558031225355 0.0261435909980431 0.163225459833686 0.0932648141910156 0.128741657375251 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0.000778816199376947 0 0.00441576086956522 0.00219298245614035 0 0.00333333333333333 0 0.00148809523809524 0 0 0.00155763239875389 0 0 0 0 0 0 0 0.000778816199376947 0 0.0471929824561403 0.0125903763497529 0.0198648464925011 0.0385417054929074 0.102245034760306 0.586448189182322 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0.00185185185185185 0.00490196078431373 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0.0909090909090909 0.0202819511643041 0.0297423165070224 0.141358478123184 0.0401926504867681 0.489610444022209
10 125.25 101.416666666667 11.3333333333333 9.66666666666667 1.08333333333333 1.66666666666667 0.0833333333333333 0.564198340295604 0.0554004980628485 0.0566980678071447 0.0430677239408786 0.0133627930275205 0.150174264836243 0.00902679916543111 0.10807151286433 0 0 0.000462962962962963 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0 0.00173611111111111 0 0 0.0104166666666667 0.00231481481481481 0.000462962962962963 0.0102785477785478 0 0 0 0 0.0061960561960562 0 0.0178947741447741 0.00932134057134057 0.00112612612612613 0.00823539886039886 0.0289260851760852 0.0460608116858117 0.0383321258321258 0.0758324102074102 0.657943345443346 0 0 0 0 0.00108225108225108 0.00216450216450216 0 0 0 0 0 0 0.00503806538289297 0 0 0 0 0.00108225108225108 0 0 0 0 0 0 0 0.0028735632183908 0.0208333333333333 0.00216450216450216 0 0 0 0 0 0 0 0.0116619612271786 0 0 0.00620689655172414 0 0.0178656126482213 0.0590106732348112 0.0295651200373839 0.0520286826283828 0.0826574861919689 0.539098432385539
