"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_je_Proportion" "Transition_jo_Proportion" "Transition_oi_Proportion" "Transition_hg_Proportion" "Transition_gj_Proportion" "Transition_gi_Proportion" "Transition_co_Proportion" "Transition_ii_Proportion" "Transition_ei_Proportion" "Transition_cc_Proportion" "Transition_jc_Proportion" "Transition_oo_Proportion" "Transition_jh_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_ic_Proportion" "Transition_so_Proportion" "Transition_oj_Proportion" "Transition_sh_Proportion" "Transition_og_Proportion" "Transition_cg_Proportion" "Transition_sc_Proportion" "Transition_ji_Proportion" "Transition_jj_Proportion" "Transition_gg_Proportion" "Transition_eg_Proportion" "Transition_se_Proportion" "Transition_he_Proportion" "Transition_ge_Proportion" "Transition_go_Proportion" "Transition_si_Proportion" "Transition_jg_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_es_Proportion" "Transition_sj_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jos_Proportion" "Transition_ois_Proportion" "Transition_eis_Proportion" "Transition_ssg_Proportion" "Transition_jhs_Proportion" "Transition_gsi_Proportion" "Transition_osg_Proportion" "Transition_ccs_Proportion" "Transition_jse_Proportion" "Transition_jcs_Proportion" "Transition_esg_Proportion" "Transition_gso_Proportion" "Transition_soo_Proportion" "Transition_igs_Proportion" "Transition_cis_Proportion" "Transition_sgs_Proportion" "Transition_jsg_Proportion" "Transition_sgg_Proportion" "Transition_sis_Proportion" "Transition_jgs_Proportion" "Transition_scs_Proportion" "Transition_jsj_Proportion" "Transition_osi_Proportion" "Transition_gsg_Proportion" "Transition_sjs_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 121.583333333333 97.8333333333333 10.25 11.1666666666667 0.916666666666667 1.41666666666667 0 0.501871400902506 0.0750334413223333 0.0596543593804545 0.0288902628011257 0.018702556943939 0.198927659428965 0.0132457661704049 0.103674553050271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0.00173611111111111 0.00198412698412698 0.00312901155327343 0.00520833333333333 0.00660123377549565 0.00911190131917777 0.00971371329558464 0.0206897451963241 0.0248401215800075 0.0296740597829373 0.0580682560162296 0.0842371745684288 0.112449882879083 0.630820217493775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.00416666666666667 0.00684181718664477 0.00704022988505747 0.0233071864968417 0.0454645953965373 0.110512756728728 0.117450664950665 0.119024282903593 0.560444673348485
2 121.083333333333 95.0833333333333 10.5 12.4166666666667 1.75 0.916666666666667 0.416666666666667 0.484042407430164 0.096322505797565 0.076120330473009 0.00798936287381665 0.0255073227339105 0.157144873585633 0.0175950347334646 0.135278162372438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0.00347222222222222 0 0 0 0.00320512820512821 0.0129419191919192 0.0185202556474786 0.00837493256097907 0.0187773079633545 0.00187148502811977 0.00751504567673604 0.0344394699387859 0.0968772411328766 0.0629974277613009 0.120895139460089 0.609466430378968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0.00378787878787879 0.0028735632183908 0.0211398637737923 0.0313655353445726 0.00836212227837844 0.0625401939053149 0.0647922485357562 0.191901810379402 0.0348737867746221 0.575489433783501
3 284.416666666667 231.333333333333 24.1666666666667 23.5 2.33333333333333 2.75 0.333333333333333 0.43071887862004 0.0478977003055264 0.0429511049065887 0.0298812286638808 0.0113877239609735 0.297599133932988 0.0142520035452953 0.125312226064708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000683060109289617 0.00133259137769447 0.00161444815226795 0.00171821305841924 0.00193798449612403 0.00193798449612403 0.00293803418803419 0 0 0 0 0 0 0.000683060109289617 0.0052607395512222 0.00229750826155757 0.0050787526971332 0.00200803212851406 0.0220485731510482 0.0253580326670445 0.0279336750679025 0.0581759233536482 0.195606506894997 0.642913395391205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00181159420289855 0 0 0 0.00238095238095238 0.00157232704402516 0.0139995421245421 0.0290430524061476 0.0290555034516387 0.162133903933283 0.0508636656968867 0.0603721867528022 0.647224062130281
4 78.5833333333333 53.9166666666667 8.58333333333333 10.8333333333333 1.91666666666667 2.25 1 0.562916778945576 0.0192946370292355 0.0285709982950569 0.0049007122211196 0.00863173847718076 0.189317728722786 0.00631269076327202 0.0967213822124393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00397050482132728 0 0.00595238095238095 0 0 0 0.0031905124066141 0.00630998523440384 0.00404084397986837 0.00282485875706215 0.00339721254355401 0 0.00696864111498258 0.00614475706533976 0.0137729388486476 0.0435849095086047 0.102073873807821 0.71443524762606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.00208333333333333 0.00208333333333333 0.00566402960019981 0.000886524822695035 0 0 0 0 0 0 0.00555555555555556 0.01875 0.0102525450351537 0.0470390466574555 0.0229004201830289 0.0435097557611434 0.757055597562073
5 65.5833333333333 52.1666666666667 3.91666666666667 7.75 0.833333333333333 0.666666666666667 0.25 0.526674725023348 0.0795086872343739 0.0491068328520494 0.0211990991688448 0.0076767454240157 0.193595323533376 0.010414131365128 0.111824455398865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01500814000814 0.00189393939393939 0.00347222222222222 0 0 0.0143016705516706 0.0128635983899142 0.0382405293119579 0.175146897797274 0.0887005329674502 0.650372469357432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0.0271241830065359 0.0229331498681344 0.12170294003818 0.0835646444199076 0.137851678964211 0.515156737036364
6 60.75 48.5833333333333 5.41666666666667 5.5 0.5 0.5 0.25 0.530539527504983 0.0768801564328541 0.0338731280496486 0.0263786198064875 0.0169309191886768 0.17979616633204 0.0076622007385958 0.127939281946714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00320512820512821 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0.0145402298850575 0.0028735632183908 0 0.00531746031746032 0.00198412698412698 0 0.0127453580901857 0.00908045977011494 0.0605223907469824 0.0669496986091814 0.123462206023458 0.692909121739657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0.0108543417366947 0 0.0284090909090909 0.015625 0.0960873617123617 0.124197595704949 0.0737872421695951 0.640622701100642
7 247.833333333333 199.583333333333 21.0833333333333 22.6666666666667 1.83333333333333 2.16666666666667 0.5 0.41077274947726 0.0575431374362857 0.035616576846324 0.0328213634754731 0.0157868886857118 0.287593990827094 0.0162200665787137 0.143645226673138 0 0 0 0 0 0 0 0 0 0.000656167979002625 0.000656167979002625 0.00105485232067511 0.00146198830409357 0.00163398692810458 0.00246776218190118 0 0.00463495716660274 0 0 0.000656167979002625 0 0 0 0 0.00236718827868035 0 0.000656167979002625 0 0 0 0.00612581406166933 0.00347222222222222 0.00911303617727005 0.0152977773760677 0.00322420634920635 0.00224562198067633 0.0254316622899242 0.0142802665366009 0.0140100873608595 0.0943972474385197 0.193186875738124 0.602969775372792 0 0 0 0 0 0.000859106529209622 0.000859106529209622 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00268817204301075 0.0028735632183908 0.0028735632183908 0.00416666666666667 0.00462962962962963 0.00616039426523297 0 0 0.00148809523809524 0 0 0 0 0 0 0.0145121082621083 0.00543478260869565 0.0298822505719057 0.0226969350069688 0.183863294123708 0.0254178728977116 0.101456492365025 0.584929633492708
8 62 43.5833333333333 6.66666666666667 7.66666666666667 1.5 2 0.583333333333333 0.521471100659408 0.0769920451017214 0.0504076722881552 0.0100111548706046 0.0341301616471194 0.185414492778802 0.0164852080921595 0.105088164562029 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0 0 0 0.00284223278352437 0 0.00576147012187705 0.0228422327835244 0.0521637426900585 0.00170068027210884 0.0133346672002134 0.00471776496858285 0.0541978600369132 0.0869232563564974 0.0918200934050463 0.607346793032447 0 0 0 0.00198412698412698 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0.0043859649122807 0 0 0 0 0 0 0.00694444444444444 0.05 0.0281954887218045 0.00671296296296296 0.0906452553798289 0.101895543456342 0.0258110554163186 0.556441030737764
9 50.4166666666667 40.5 3.83333333333333 5.25 0.583333333333333 0.166666666666667 0.0833333333333333 0.577546430227268 0.0324747892805536 0.0445392648446138 0.0135210250699381 0.0186552590424873 0.182429499713995 0.00924612575427793 0.121587606066867 0 0 0 0 0 0 0.00462962962962963 0.00925925925925926 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0.00855263157894737 0.0101799242424242 0.0036231884057971 0.0128824476650564 0.013182261208577 0.0157075137338295 0.0575268079344166 0.0610452349582784 0.113002185277643 0.672134062304972 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0350529100529101 0.0104166666666667 0.106563180827887 0.056712962962963 0.0494281045751634 0.697381730469966
10 85.3333333333333 66.5 7.58333333333333 8.91666666666667 1.08333333333333 1.08333333333333 0.166666666666667 0.704297321420425 0.0562439499871936 0.0164335462520472 0.0138691528672793 0.0149238450958592 0.104921933351782 0.0116436541093596 0.0776665969160541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320855614973262 0.0143557422969188 0.0034992784992785 0.00409090909090909 0.0266176470588235 0.00245098039215686 0.00245098039215686 0.0189594356261023 0.019598175970725 0.054237588845432 0.0886415028326793 0.756680869511752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00520833333333333 0 0 0 0 0 0 0 0 0.0043859649122807 0.00146198830409357 0.0416666666666667 0.0043859649122807 0.037037037037037 0.046587586390218 0.0415631091617934 0.042781432748538 0.774921916533759
