"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ic_Proportion" "Transition_ji_Proportion" "Transition_hc_Proportion" "Transition_ee_Proportion" "Transition_jo_Proportion" "Transition_he_Proportion" "Transition_hg_Proportion" "Transition_je_Proportion" "Transition_eg_Proportion" "Transition_ij_Proportion" "Transition_gc_Proportion" "Transition_cj_Proportion" "Transition_jc_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_oe_Proportion" "Transition_jh_Proportion" "Transition_go_Proportion" "Transition_eo_Proportion" "Transition_hi_Proportion" "Transition_ie_Proportion" "Transition_ci_Proportion" "Transition_sj_Proportion" "Transition_cg_Proportion" "Transition_io_Proportion" "Transition_ch_Proportion" "Transition_hh_Proportion" "Transition_oh_Proportion" "Transition_og_Proportion" "Transition_ce_Proportion" "Transition_eh_Proportion" "Transition_ge_Proportion" "Transition_oc_Proportion" "Transition_co_Proportion" "Transition_jg_Proportion" "Transition_oo_Proportion" "Transition_ig_Proportion" "Transition_gh_Proportion" "Transition_oi_Proportion" "Transition_gi_Proportion" "Transition_cc_Proportion" "Transition_gg_Proportion" "Transition_ii_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_sh_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_js_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_hgs_Proportion" "Transition_ise_Proportion" "Transition_jis_Proportion" "Transition_oeg_Proportion" "Transition_gsj_Proportion" "Transition_hsj_Proportion" "Transition_sjj_Proportion" "Transition_iso_Proportion" "Transition_scc_Proportion" "Transition_jgs_Proportion" "Transition_ees_Proportion" "Transition_oes_Proportion" "Transition_ose_Proportion" "Transition_ooe_Proportion" "Transition_eso_Proportion" "Transition_see_Proportion" "Transition_ogs_Proportion" "Transition_jsi_Proportion" "Transition_jjs_Proportion" "Transition_egs_Proportion" "Transition_geg_Proportion" "Transition_gge_Proportion" "Transition_csg_Proportion" "Transition_iig_Proportion" "Transition_sjs_Proportion" "Transition_igi_Proportion" "Transition_hii_Proportion" "Transition_oig_Proportion" "Transition_hsg_Proportion" "Transition_ggi_Proportion" "Transition_gig_Proportion" "Transition_cjj_Proportion" "Transition_scj_Proportion" "Transition_jcs_Proportion" "Transition_ssc_Proportion" "Transition_esh_Proportion" "Transition_jhi_Proportion" "Transition_chs_Proportion" "Transition_gsi_Proportion" "Transition_igg_Proportion" "Transition_sig_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_sgi_Proportion" "Transition_gii_Proportion" "Transition_isg_Proportion" "Transition_gos_Proportion" "Transition_ggg_Proportion" "Transition_hhh_Proportion" "Transition_cgs_Proportion" "Transition_osg_Proportion" "Transition_iii_Proportion" "Transition_oso_Proportion" "Transition_eos_Proportion" "Transition_gsg_Proportion" "Transition_cis_Proportion" "Transition_gsh_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssj_Proportion" "Transition_osi_Proportion" "Transition_shs_Proportion" "Transition_ies_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_sio_Proportion" "Transition_ios_Proportion" "Transition_esg_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_ccs_Proportion" "Transition_ohs_Proportion" "Transition_scs_Proportion" "Transition_cos_Proportion" "Transition_ois_Proportion" "Transition_ceh_Proportion" "Transition_cso_Proportion" "Transition_ghs_Proportion" "Transition_csi_Proportion" "Transition_ocs_Proportion" "Transition_sos_Proportion" "Transition_isi_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_ggs_Proportion" "Transition_sis_Proportion" "Transition_gis_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 389.833333333333 315.916666666667 34.75 32.5833333333333 4 2.33333333333333 0.25 0.320198813649117 0.0423040305451269 0.100876952826035 0.0243910860524725 0.0270233011544709 0.228299258612724 0.0572918411493791 0.199614716010674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000412541254125413 0.000412541254125413 0.000412541254125413 0.000468164794007491 0.000468164794007491 0.000651041666666667 0.000651041666666667 0.000651041666666667 0.000651041666666667 0.000700280112044818 0.000700280112044818 0.000816993464052288 0.00106358292079208 0.00111920646067416 0.00114413831360947 0.00156994866153282 0.00159266125235405 0.00177825490500258 0.001953125 0.00228502859477124 0.00231258321966178 0.0026742940814891 0.00432709216825896 0.00577399758112429 0.00955271508744538 0.0177024105202513 0.0223362676270703 0.0282573014029935 0.061933153870789 0.131422636444247 0.141909328761355 0.552296599421377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.000925925925925926 0.00108225108225108 0.00130208333333333 0.00130208333333333 0.00181159420289855 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00238095238095238 0.00238095238095238 0.00264616935483871 0.00267070073210817 0.00268817204301075 0.0074480642730127 0.00772235384516873 0.0265940493242993 0.0310748328733958 0.040719002751566 0.102885424800205 0.115896886928897 0.136419213823719 0.492841706937436
2 396.833333333333 315.166666666667 36.75 38.1666666666667 3.25 2.58333333333333 0.916666666666667 0.411261051453109 0.0429369731788647 0.0855703322113123 0.0115359485483897 0.0119186908611695 0.225891813639448 0.0425151943582189 0.168369995749488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000304136253041363 0.00037202380952381 0.000621890547263682 0.000801282051282051 0.000882525535933689 0.000926026800305044 0.00117330586080586 0 0 0.000744047619047619 0 0.00037202380952381 0 0 0 0.00037202380952381 0 0.000676160062565172 0.00037202380952381 0.00110541830432341 0.000502008032128514 0 0.00117330586080586 0.000752541313328985 0.00702384291994081 0.00104818387208898 0.00037202380952381 0.000608272506082725 0.00212008749282846 0.00932008246144482 0.0140244513018173 0.00591671854996782 0.0304247031663078 0.0151708559305864 0.0240520732841253 0.0506864901237862 0.128213072754791 0.141125142760601 0.558743255587182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0006265664160401 0.0006265664160401 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000936329588014981 0.000936329588014981 0.000946969696969697 0.00122549019607843 0.00122549019607843 0.00147690655209452 0.00147690655209452 0.00151515151515152 0.00207583033213285 0.00216181978409341 0.00225225225225225 0.00836561709249046 0.0100856232767824 0 0 0 0.000850340136054422 0.000850340136054422 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0.000936329588014981 0 0.00122549019607843 0 0.00524350512206388 0.00926932753567458 0.00795654197919155 0.0371582350909386 0.0692057187829728 0.0713454255203022 0.170711028628252 0.122611334569818 0.462354203019067
3 465.5 360.166666666667 47.0833333333333 44 7.16666666666667 4.75 2.33333333333333 0.37098314160762 0.036959641041236 0.0604874929329084 0.018941423267917 0.0169939701030255 0.323074736714871 0.0280239264871533 0.144535667845269 0 0 0 0 0 0 0 0 0.000149075730471079 0.000525762355415352 0.000574712643678161 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000756345482978467 0.00134408602150538 0.00211792252022137 0 0 0.000968886413364926 0 0.000149075730471079 0.000149075730471079 0 0 0.000574712643678161 0 0.000149075730471079 0 0 0 0.000149075730471079 0 0 0.00134408602150538 0 0.0041876690977189 0 0.000837593821385837 0.00393299820239934 0 0.0155067423363923 0.00512366759185018 0.000149075730471079 0.00193469187729615 0.00346200854172675 0.00895828822407668 0.017082589972501 0.0124313070409992 0.0187058053739181 0.0146872655237801 0.0204883655724699 0.0350950295562052 0.0930915690248502 0.204448918633257 0.529188410012888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000247279920870425 0.000247279920870425 0.000247279920870425 0.000247279920870425 0.000247279920870425 0.000247279920870425 0.000494559841740851 0.000563063063063063 0.000608272506082725 0.000608272506082725 0.000608272506082725 0.00110283234782358 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00157232704402516 0.00157232704402516 0.00157232704402516 0.00159739218956443 0.00171083201067329 0.00195811193154372 0.00209195203130528 0.00216045525262749 0.00267515939184873 0.00267515939184873 0.00488082408749588 0 0.00798147755123653 0 0 0.000247279920870425 0.00157726475414474 0 0 0.00441105654806129 0 0 0.00231910451675602 0.00339516638397213 0 0.00168406153006583 0.00320512820512821 0 0.00514795860055299 0.00440611883794171 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0.00268036994520133 0 0 0.00398006221752307 0.00420721470297381 0.00242787947097831 0.0111540719189783 0.0206872980182714 0.0115758635541206 0.0210728193746701 0.0262058022220413 0.0609748554509797 0.21676227753198 0.0714301092791942 0.4753470317033
4 300.75 232.666666666667 33.3333333333333 27.25 4 2.66666666666667 0.833333333333333 0.321293959243011 0.0381285275442486 0.0787423975028916 0.0196490191439544 0.017800349183783 0.29921221038221 0.0295655142869689 0.195608022712932 0 0 0 0 0.00045045045045045 0.000468164794007491 0.0006265664160401 0.00157232704402516 0 0 0 0 0.00328674948240166 0.0072445394949584 0 0 0.00157232704402516 0 0 0 0 0.000726388640295925 0.00408612551971111 0 0 0 0 0 0.000726388640295925 0 0.00045045045045045 0 0 0 0.00282545987610536 0 0.00117844279573105 0 0 0.000551876379690949 0 0.0053446630005205 0.00198865798888635 0.000468164794007491 0.00490196078431373 0.00117683909074638 0.00539522580831697 0.012575505317583 0.00673143293127645 0.0290441311439112 0.0182855201775491 0.0137178562013495 0.0562598059942206 0.0871441816651611 0.269824466372314 0.461375331701654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00333333333333333 0.00333333333333333 0 0 0 0 0.000544662309368192 0.00134408602150538 0 0 0 0 0.000544662309368192 0 0 0 0 0 0 0 0 0.00108932461873638 0.000544662309368192 0.000544662309368192 0.000544662309368192 0 0 0 0.000544662309368192 0 0.00322607675548852 0 0 0 0 0 0 0.00443789713480641 0 0 0.00108932461873638 0.00442265795206972 0 0 0 0 0.00106837606837607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.000544662309368192 0 0 0 0.00108932461873638 0.000544662309368192 0.00761657908362955 0.0105366031801242 0.0321689307738206 0.0172340278151876 0.0524220898059061 0.096434063563137 0.183398967831136 0.0881026359875315 0.39742318019147
5 114.916666666667 89.25 8 15.25 1.08333333333333 1.16666666666667 0.166666666666667 0.414461021649826 0.0356415860654653 0.0782165270432331 0.0434839469691495 0.0346889560969235 0.176315563686875 0.0585533686247601 0.158639029863767 0 0 0.000551876379690949 0.0036231884057971 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0 0 0 0 0.000651041666666667 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0.00291603821015586 0.0036231884057971 0 0 0 0 0.000551876379690949 0.00152086862775296 0.0011037527593819 0.0036231884057971 0.000551876379690949 0.000651041666666667 0.00972806723646844 0.00120291804635762 0.0172248861916827 0.0770928342475888 0.0303060157270671 0.0255249470532891 0.0378067637229907 0.167310238750075 0.0678039293691982 0.534479845868752 0 0 0 0 0 0 0 0 0.00119047619047619 0.00260416666666667 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.00555555555555556 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0.00119047619047619 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0.00364145658263305 0.00555555555555556 0 0 0.00919701213818861 0.0307208738758661 0.0337949653545629 0.154957553196717 0.0524326287532557 0.0758183755958524 0.13563066674038 0.364867975699052
6 163 126.416666666667 13.25 19.1666666666667 1.66666666666667 2.16666666666667 0.25 0.535432880542917 0.0446004838097819 0.0437733210171626 0.0218573726378049 0.0132042674406912 0.140806411310908 0.0232558804330991 0.0937360494743019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00138888888888889 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0.000460405156537753 0 0 0 0.000460405156537753 0 0.0033920489780972 0 0.000460405156537753 0 0 0.000460405156537753 0.00087719298245614 0.00109653747205938 0.00087719298245614 0.00302655190207381 0.00322461082283173 0 0.00296097476237052 0.00414897007236661 0.0045363282635922 0.0214234959388643 0.0160431642846999 0.0205178288706733 0.0408034339226433 0.0378227088913052 0.0998783145821346 0.633957596073796 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0.00101626016260163 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00498511904761905 0 0 0 0 0 0 0.00101626016260163 0 0 0 0 0 0.0014367816091954 0.00101626016260163 0 0.00498511904761905 0.0165588037499833 0.013671256279355 0.0472566264030142 0.0541872829170917 0.131707874136478 0.0379830389192403 0.59425047230134
7 337 264.333333333333 32.5 33.75 3.58333333333333 2.16666666666667 0.666666666666667 0.435662593935302 0.0363913482487175 0.0702036860795448 0.0313996145678007 0.0131256362989966 0.234102619669886 0.0293078563619095 0.149806644837843 0.000418760469011725 0.00231481481481481 0 0 0.00126262626262626 0 0 0 0.000273224043715847 0 0 0 0.00434239852556684 0.00113122171945701 0.000530785562632696 0.000273224043715847 0.000273224043715847 0 0 0 0 0 0.00178151966965853 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000273224043715847 0 0.000273224043715847 0.00109289617486339 0 0.00217980340095254 0 0.00206663586897481 0.00137153059568252 0.00161303664488378 0.00577251241964991 0.00669575616829761 0.00690612364045181 0.0233967008556581 0.0343502602240293 0.0149571981197435 0.0501620144855242 0.106045469176303 0.143492801908256 0.586749013074382 0 0 0 0.000574712643678161 0.000850340136054422 0.000850340136054422 0.00255102040816327 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0 0.000574712643678161 0 0 0 0 0 0 0 0 0 0 0 0 0.000574712643678161 0 0.000574712643678161 0 0 0 0 0.000574712643678161 0 0 0 0 0 0 0 0 0 0 0 0.00142505277973258 0 0.00170068027210884 0 0 0 0.000574712643678161 0.00114942528735632 0 0 0 0 0 0 0 0.00114942528735632 0 0 0 0 0 0 0 0.00141242937853107 0 0 0 0.00152168234064786 0.00114942528735632 0.00114942528735632 0.00416023348101498 0.0113571943929087 0.0439975467473898 0.0125090705909671 0.0532687609348236 0.0704049415981921 0.1708988031496 0.112424521466373 0.418713359198932
8 160.25 124.333333333333 15.5833333333333 15.4166666666667 2.08333333333333 2.58333333333333 0.25 0.482962247918491 0.0367985446149098 0.0598265386481931 0.0324185633915956 0.0179356410352669 0.203857557036852 0.0264706907561215 0.13973021659857 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0.000434027777777778 0 0 0 0 0 0 0 0 0 0 0 0 0.00312306087565621 0 0 0 0 0 0 0.00504712301587302 0.00130208333333333 0.00177285420340976 0.000744047619047619 0.00148809523809524 0.00504432283666155 0.00785383173009727 0.0207899487385374 0.025546241312833 0.013921869916191 0.0140608970381051 0.0373927903801956 0.0683842000344832 0.170932610463287 0.620673900248321 0 0 0 0 0 0 0 0 0 0.00432215897111533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0 0 0.000925925925925926 0 0 0.000925925925925926 0.000925925925925926 0 0 0 0 0.000925925925925926 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0.00198412698412698 0.00694444444444444 0 0.00198412698412698 0.0155009920634921 0.0166704316135056 0.00516407952069717 0.0559494474313023 0.0601583128771222 0.18483141171412 0.0820903469948773 0.555098191744302
9 56.0833333333333 42.9166666666667 4.08333333333333 7.16666666666667 0.416666666666667 1.25 0.25 0.677575550954757 0.0316134780260263 0.0498584339122142 0.029922124212382 0.00761682008510804 0.128854683736177 0.0153160996002483 0.0592428094730869 0 0.00416666666666667 0 0 0 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0.00757575757575758 0.00225225225225225 0 0 0.00225225225225225 0 0 0 0 0 0.00154320987654321 0.00648148148148148 0.0250850488169329 0.0225853323679411 0.00501543209876543 0.0208252863370617 0.0408729381555468 0.0576602897654688 0.716555256891201 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0391729797979798 0 0.0464709595959596 0.0354692760942761 0.0715587653087653 0.0432735088985089 0.664517473267473
10 122.166666666667 92.4166666666667 10.8333333333333 15.25 1.33333333333333 2 0.333333333333333 0.6381422666604 0.027708421617446 0.0478500245286517 0.0433295172738066 0.0225862806036764 0.105644069640385 0.0258962830458023 0.0888431366298327 0 0 0 0.00148809523809524 0 0 0.000603864734299517 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0.000603864734299517 0 0 0.000487329434697856 0 0 0 0.000487329434697856 0 0.00747117161590846 0 0 0 0 0 0 0.000841750841750842 0.000603864734299517 0 0.0036280039140451 0 0.00477038005642125 0.00257928940709261 0.00780635573490521 0.0225008873677715 0.0126383013968826 0.00657041703952459 0.030941587484673 0.0332006883065235 0.0981444841521603 0.679810905800523 0.00136612021857923 0.00333333333333333 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0.00333333333333333 0.00102880658436214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00239492680294137 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326005961251863 0 0 0 0 0 0.00136612021857923 0 0 0.00102880658436214 0 0 0 0.00239492680294137 0 0.00102880658436214 0.00277777777777778 0.0167631460322717 0.0112006333830104 0.0440419526166339 0.0564907747079878 0.0978493840959688 0.0233114386119851 0.6404362597532
