"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oj_Proportion" "Transition_gj_Proportion" "Transition_ij_Proportion" "Transition_oh_Proportion" "Transition_ce_Proportion" "Transition_jo_Proportion" "Transition_oe_Proportion" "Transition_oo_Proportion" "Transition_ji_Proportion" "Transition_go_Proportion" "Transition_cj_Proportion" "Transition_ge_Proportion" "Transition_gh_Proportion" "Transition_io_Proportion" "Transition_jc_Proportion" "Transition_jh_Proportion" "Transition_co_Proportion" "Transition_so_Proportion" "Transition_eo_Proportion" "Transition_hh_Proportion" "Transition_ch_Proportion" "Transition_gc_Proportion" "Transition_cg_Proportion" "Transition_ho_Proportion" "Transition_ei_Proportion" "Transition_ie_Proportion" "Transition_hc_Proportion" "Transition_og_Proportion" "Transition_ec_Proportion" "Transition_hi_Proportion" "Transition_ci_Proportion" "Transition_oi_Proportion" "Transition_hg_Proportion" "Transition_eg_Proportion" "Transition_ee_Proportion" "Transition_se_Proportion" "Transition_eh_Proportion" "Transition_ic_Proportion" "Transition_cc_Proportion" "Transition_sh_Proportion" "Transition_oc_Proportion" "Transition_ii_Proportion" "Transition_ig_Proportion" "Transition_jj_Proportion" "Transition_gi_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_jg_Proportion" "Transition_sc_Proportion" "Transition_sj_Proportion" "Transition_os_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_esg_Proportion" "Transition_gse_Proportion" "Transition_ecj_Proportion" "Transition_eec_Proportion" "Transition_ecs_Proportion" "Transition_hsc_Proportion" "Transition_gjs_Proportion" "Transition_jjj_Proportion" "Transition_jsg_Proportion" "Transition_osj_Proportion" "Transition_ese_Proportion" "Transition_esc_Proportion" "Transition_csi_Proportion" "Transition_scg_Proportion" "Transition_cgs_Proportion" "Transition_esh_Proportion" "Transition_sgh_Proportion" "Transition_gcc_Proportion" "Transition_esj_Proportion" "Transition_ohh_Proportion" "Transition_soh_Proportion" "Transition_cge_Proportion" "Transition_sge_Proportion" "Transition_eoi_Proportion" "Transition_sgc_Proportion" "Transition_ece_Proportion" "Transition_esi_Proportion" "Transition_cgi_Proportion" "Transition_ccg_Proportion" "Transition_gis_Proportion" "Transition_gsc_Proportion" "Transition_egs_Proportion" "Transition_jcs_Proportion" "Transition_ees_Proportion" "Transition_seg_Proportion" "Transition_ccc_Proportion" "Transition_ios_Proportion" "Transition_osg_Proportion" "Transition_oso_Proportion" "Transition_soo_Proportion" "Transition_cgg_Proportion" "Transition_gsj_Proportion" "Transition_gsh_Proportion" "Transition_hsi_Proportion" "Transition_iso_Proportion" "Transition_sei_Proportion" "Transition_ghs_Proportion" "Transition_ggi_Proportion" "Transition_sig_Proportion" "Transition_eee_Proportion" "Transition_osi_Proportion" "Transition_ish_Proportion" "Transition_oci_Proportion" "Transition_iig_Proportion" "Transition_egg_Proportion" "Transition_gsi_Proportion" "Transition_cso_Proportion" "Transition_isi_Proportion" "Transition_ioi_Proportion" "Transition_jsh_Proportion" "Transition_ssh_Proportion" "Transition_sci_Proportion" "Transition_ges_Proportion" "Transition_ois_Proportion" "Transition_iii_Proportion" "Transition_gso_Proportion" "Transition_iei_Proportion" "Transition_gig_Proportion" "Transition_eig_Proportion" "Transition_chs_Proportion" "Transition_ics_Proportion" "Transition_ise_Proportion" "Transition_ccs_Proportion" "Transition_sos_Proportion" "Transition_ies_Proportion" "Transition_gie_Proportion" "Transition_csh_Proportion" "Transition_hcs_Proportion" "Transition_ieg_Proportion" "Transition_eoc_Proportion" "Transition_ogs_Proportion" "Transition_gcs_Proportion" "Transition_igg_Proportion" "Transition_shh_Proportion" "Transition_sis_Proportion" "Transition_hos_Proportion" "Transition_sii_Proportion" "Transition_eis_Proportion" "Transition_ses_Proportion" "Transition_cse_Proportion" "Transition_jgs_Proportion" "Transition_shs_Proportion" "Transition_his_Proportion" "Transition_csc_Proportion" "Transition_hgs_Proportion" "Transition_cis_Proportion" "Transition_iis_Proportion" "Transition_isg_Proportion" "Transition_ggg_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_ssg_Proportion" "Transition_gii_Proportion" "Transition_sgi_Proportion" "Transition_isc_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_ggs_Proportion" "Transition_igs_Proportion" "Transition_sjs_Proportion" "Transition_csg_Proportion" "Transition_scs_Proportion" "Transition_sgg_Proportion" "Transition_ssi_Proportion" "Transition_gsg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_ess_Proportion" "Transition_sgs_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_gss_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 291.333333333333 226.833333333333 30.5 27.5 3.41666666666667 2.25 0.75 0.324211547823213 0.0455943390053597 0.06603435019555 0.0121913566050531 0.0214448562565154 0.219745391259128 0.0421439668616895 0.185300858660159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000269687162891046 0.000269687162891046 0.000269687162891046 0.000269687162891046 0.000269687162891046 0.000269687162891046 0.000530785562632696 0.000530785562632696 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000537634408602151 0.000700280112044818 0.00131807106920904 0.00150075283756856 0.00208333333333333 0.00274621718982903 0.00321273005541582 0.0039082618679313 0.00397037842114258 0.00416377988687295 0.00472874983136633 0.00872183702129698 0.0106965631830096 0.0113629075022443 0.0204684883546047 0.0292309361788136 0.0343610709684169 0.136787984851587 0.157255798252835 0.474618294012124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.000617283950617284 0.00117370892018779 0.00117370892018779 0.00123456790123457 0.00126262626262626 0.00126262626262626 0.00126262626262626 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00185185185185185 0.00189393939393939 0.00208333333333333 0.0027507215007215 0.00336800545133878 0.00367090308404862 0.00386679292929293 0.00457451499118166 0.00462962962962963 0.00462962962962963 0.00849694124342012 0.00858786275452942 0.0158990877080666 0.0241467428307217 0.048829350259808 0.0859099603231059 0.145147741810007 0.171526433432243 0.357523747987363
2 306.416666666667 221.083333333333 38.25 36.6666666666667 5.16666666666667 4.33333333333333 0.916666666666667 0.373491569888796 0.0474940087402669 0.0798457595076682 0.0202422308874939 0.0309946618742316 0.222649607937381 0.0427783514206247 0.182503809743538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000300842358604091 0.000308641975308642 0.000308641975308642 0.000308641975308642 0.000308641975308642 0.000308641975308642 0.000414593698175788 0.000499001996007984 0.000631639391329314 0.000918126309221375 0.00102407803208852 0 0.000308641975308642 0.000308641975308642 0.000308641975308642 0.000499001996007984 0.00075190438665616 0.000656167979002625 0.00177245392562789 0 0.000322997416020672 0.000910326692516825 0.00229149507703184 0.000308641975308642 0.00135487506481374 0.00200324342711182 0.00140479909745726 0.00072323567348443 0.00685910230510439 0.00395953660244352 0.0036231884057971 0.00241546359503087 0.00314100665512397 0.0215437323742561 0.022172026568886 0.0116573691537591 0.0312210617744985 0.0482748079096635 0.0193791109980705 0.130812718261443 0.16312434359996 0.512559971497027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0.00068870523415978 0.000764525993883792 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000778816199376947 0.000957854406130268 0.000957854406130268 0.00112612612612613 0.00112612612612613 0.00148809523809524 0.00231481481481481 0.00382748230910707 0 0 0 0 0.000778816199376947 0.00145323122804357 0.00146752143353673 0 0 0.00467171347258067 0 0 0.000764525993883792 0.00112612612612613 0.00148809523809524 0.00554064063717478 0.000764525993883792 0 0.000764525993883792 0.00152905198776758 0.0045816025073635 0.00321010665838252 0.00467289719626168 0.00112612612612613 0.00633445945945946 0.02286486007731 0.00510913436454702 0.03814403380111 0.0360604489065335 0.0884119881405449 0.0407125358778183 0.150669616766095 0.134905632221002 0.421119331710591
3 322.666666666667 237 39.0833333333333 32 6.83333333333333 4.75 3 0.329897895257604 0.0305890478176241 0.0984201276868892 0.0390508714220995 0.0465104987225759 0.241449116294586 0.0481589697450791 0.165923473053542 0 0 0 0 0 0 0 0 0 0.000321750321750322 0.000321750321750322 0.000321750321750322 0.000420875420875421 0.000532188032188032 0.000532188032188032 0.000946969696969697 0.00105485232067511 0.00179005242296382 0 0.000643500643500643 0.000888176521087913 0.000891535923383057 0.00109861423152562 0 0.000741223273070407 0.000530785562632696 0.00021043771043771 0 0.000527426160337553 0 0.00142091767091767 0.00300992236476107 0.00124892688183827 0.001004251004251 0.000420875420875421 0.00310904746388617 0 0.000891535923383057 0 0.001004251004251 0.000360750360750361 0.00454601832786546 0.00633041468835122 0 0.00205503708688422 0.0100483377594338 0.0108122451380032 0 0.00422237480575901 0.000416666666666667 0.0299502397357332 0.0301313879291083 0.0181689324315195 0.0270299481347688 0.0457368115616159 0.0084425929733456 0.1133565704817 0.150206568397069 0.514301298870175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.00037037037037037 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000661375661375661 0.000740740740740741 0.000740740740740741 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.000771604938271605 0.00103174603174603 0.00120772946859903 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.0018691051299747 0.00196345899470899 0.0052723311546841 0 0.000740740740740741 0 0 0 0 0 0 0 0 0.000771604938271605 0.00154320987654321 0.00429591049382716 0 0.0033655753968254 0 0.00490196078431373 0 0 0.000661375661375661 0 0 0.000661375661375661 0.00154320987654321 0.00185185185185185 0.00375182117935741 0.00185185185185185 0 0.00114197530864198 0.00590487453032743 0.0014021164021164 0.00143298059964727 0 0 0.00037037037037037 0.00498787477954145 0.00384617504409171 0.00104166666666667 0.00130208333333333 0.00324476650563607 0.00859546334636914 0.00233382936507937 0.00941633597883598 0 0 0.0383783859786897 0.00796406525573192 0.0574416411612703 0.0368014388726505 0.0842727259808195 0.0154801084080975 0.121213419433528 0.11006323613887 0.429792405066142
4 106.833333333333 84.3333333333333 8.83333333333333 11.25 0.833333333333333 0.916666666666667 0.666666666666667 0.557450003775604 0.0237192257229493 0.0641040848858983 0.026630738589589 0.0541791022212665 0.121817347731051 0.0324289749009778 0.119670522172664 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0.00173611111111111 0 0 0.00382972455442628 0 0 0 0 0.00136612021857923 0 0 0 0 0 0 0 0 0 0 0.00409836065573771 0.00157232704402516 0.00271387955544068 0 0 0 0.00136612021857923 0 0 0 0 0 0.015560085897148 0.00268817204301075 0 0.00300480769230769 0.00136612021857923 0.0106805501383521 0.0412350503222136 0.0214109773781624 0.0351842871957959 0.0532840988783819 0.00136612021857923 0.0865134533034349 0.0955890347210633 0.605017931968405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.00812807881773399 0 0 0.0191434044882321 0 0 0 0 0 0 0 0 0.00203252032520325 0.0036231884057971 0.0183023615950445 0 0 0 0 0.0451534731498431 0.00887770400514029 0.0182165296732654 0.0483309941582464 0.109150054630599 0.0028735632183908 0.121218848645256 0.117291521467274 0.467008670198879
5 51.6666666666667 37.1666666666667 5.75 5.41666666666667 1.41666666666667 1.08333333333333 0.833333333333333 0.579006056181058 0.0211429054327679 0.0766195028309138 0.0535298992057691 0.0705438762745681 0.108672259996324 0.0165514437660047 0.0739340563125944 0 0 0 0 0 0 0 0.0040650406504065 0 0 0 0 0 0.00208333333333333 0.00189393939393939 0 0 0.00818089430894309 0 0 0 0 0.0103658536585366 0 0.00181159420289855 0 0 0 0 0.0036231884057971 0.00203252032520325 0 0 0.00203252032520325 0.0016025641025641 0.00927889713679745 0 0.00833333333333333 0.0040650406504065 0.00181159420289855 0 0.0036231884057971 0.0038441145281018 0 0 0.0119565217391304 0.00775093808630394 0 0.00609756097560976 0 0.0394258806992989 0.0636042335052586 0.0952805900225483 0.0177281744257448 0.0464594486068505 0 0.0576305998089054 0.0550365330897321 0.530381902076457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00333333333333333 0.00347222222222222 0.00347222222222222 0.00416666666666667 0.00595238095238095 0.00694444444444444 0.00694444444444444 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0.00855263157894737 0 0 0 0.0151515151515152 0 0 0.00347222222222222 0 0 0 0.00347222222222222 0 0.00333333333333333 0.00347222222222222 0.00347222222222222 0.00347222222222222 0.00347222222222222 0 0 0.00347222222222222 0.0151515151515152 0 0 0.00347222222222222 0 0 0.00347222222222222 0.00347222222222222 0 0 0 0 0.0724855772882089 0.00928571428571429 0.047622662425294 0.0107051282051282 0.0763488047040679 0 0.0226388888888889 0.0400020885547201 0.481289777473988
6 56 42.25 5.25 6.33333333333333 0.833333333333333 0.916666666666667 0.416666666666667 0.754882074069097 0.0112031019373953 0.0490517003061841 0.0352109190407708 0.0360097399833926 0.0568750785067035 0.011168937355834 0.0455984488006229 0 0 0 0 0 0.00219298245614035 0.00985429002670382 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0.0014367816091954 0 0.0028735632183908 0 0 0 0 0 0 0.0014367816091954 0 0.0014367816091954 0 0.0040045766590389 0 0 0 0 0.00431034482758621 0 0 0 0.00219298245614035 0 0.0014367816091954 0.0123792270531401 0 0 0.00324837581209395 0 0.0171927924926426 0.0173902449360115 0.0248905194199817 0.0028735632183908 0.0331525159801811 0.0014367816091954 0.0252054661133017 0.0326289934345693 0.713655538907181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00347222222222222 0.00837418300653595 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.00268817204301075 0.00268817204301075 0.0305555555555556 0 0 0 0 0 0 0 0 0 0 0.0201388888888889 0 0.00347222222222222 0 0 0.0118464052287582 0 0.0227374551971326 0.00268817204301075 0.0651394159814463 0.00268817204301075 0.0382187184438008 0.0329749103942652 0.647953008311417
7 88.75 66.6666666666667 8.41666666666667 9.75 1.16666666666667 1.58333333333333 1.16666666666667 0.868251015225834 0.00697055731657808 0.0180808842573548 0.0108259352940204 0.0138222465003299 0.0577009586325882 0.00232938357938358 0.0220190191939115 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0.00203252032520325 0.00198412698412698 0 0 0.00203252032520325 0 0 0 0.00203252032520325 0.00401664730933024 0 0 0.00106837606837607 0 0.0114025873507298 0 0 0 0.00198412698412698 0 0.00463668699186992 0.00198412698412698 0 0.00260416666666667 0 0.0040650406504065 0 0 0 0.0149677757281774 0.00858154023269556 0.00653294551198125 0.00604916763453349 0.0117162445611663 0 0.0219824988153296 0.0222334413099338 0.866060418915609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0.00793650793650794 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0.00835421888053467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00632394940840473 0 0 0.00523088023088023 0.00632394940840473 0.0198412698412698 0.0119047619047619 0.0224519632414369 0 0.00413096695226438 0.0208394047133337 0.864882873144807
8 109.25 82 8.08333333333333 14.0833333333333 2 2.33333333333333 0.75 0.91937112293249 0.00346320346320346 0.00802540683408853 0.00592934643604416 0.008938459382192 0.0375072774274155 0.00189075630252101 0.0148744272220458 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146198830409357 0 0.00231481481481481 0.00136612021857923 0 0 0 0.000980392156862745 0 0 0 0 0 0 0 0 0 0.0110719262963845 0 0 0.0028281085226728 0 0.00273224043715847 0.00941729311345645 0.00753232050092966 0 0.00409836065573771 0 0.0123797654427508 0.00894249512670565 0.93341218610576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000980392156862745 0 0 0 0 0.00245098039215686 0 0.00462962962962963 0 0 0 0 0 0.0050990675990676 0 0 0 0.000980392156862745 0 0 0 0 0 0.00245098039215686 0.00189393939393939 0 0 0 0 0 0.00320512820512821 0.00490196078431373 0 0.00490196078431373 0 0.00320512820512821 0.0120663650075415 0.950028947087771
9 73.0833333333333 56.6666666666667 5.5 7.08333333333333 1.75 1.58333333333333 0.5 0.815444985637608 0.00672363900173173 0.0176132709353062 0.0154273649194338 0.027933306699393 0.0703690328438206 0.00588058444160607 0.0406078155211003 0 0 0 0 0 0 0 0 0 0 0 0.00289919714540589 0 0 0.000706214689265537 0 0 0.00136612021857923 0.00219298245614035 0 0 0.00219298245614035 0.00277854959711031 0 0.00136612021857923 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.000706214689265537 0 0 0.0081086689122547 0.00459587539748696 0.00141242937853107 0.00111111111111111 0.0036346516007533 0.00899401068197956 0 0.00136612021857923 0.00141242937853107 0.0242706036493785 0.0250231274985958 0.0272218791219683 0.00136612021857923 0.00866626311541566 0 0.0202345816224671 0.0299735585737545 0.816207205593987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00490196078431373 0.00490196078431373 0.00490196078431373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0.00353706847764573 0 0 0 0 0.00134408602150538 0 0.0043859649122807 0 0 0 0.00219298245614035 0 0 0 0 0.00219298245614035 0 0 0 0 0 0 0 0 0.00134408602150538 0 0.00635964912280702 0 0.00562040181097906 0 0 0 0 0 0 0 0 0 0 0.00134408602150538 0.00208333333333333 0 0 0.00134408602150538 0 0 0.00219298245614035 0 0 0.00134408602150538 0.00353706847764573 0 0 0 0.00134408602150538 0.00416666666666667 0.00685483870967742 0.00134408602150538 0.00134408602150538 0.0465686274509804 0.00954301075268817 0.0217086834733894 0 0.0142303932626513 0 0.0433453474768515 0.0138193265421619 0.778665033159191
10 76.3333333333333 55.25 7.91666666666667 8.25 2.58333333333333 1.41666666666667 0.916666666666667 0.73442615364363 0.0144812704692072 0.0123120187430383 0.0206506841234842 0.0400101564365301 0.122657360585825 0.00500705228079776 0.0504553037174878 0 0 0.00157232704402516 0.00245098039215686 0 0 0 0.0043859649122807 0 0 0 0.00245098039215686 0.000764525993883792 0 0.00157232704402516 0 0 0.00683694530443757 0.00694444444444444 0.00245098039215686 0 0.00501370440649378 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.00282407407407407 0.00243119266055046 0.00157232704402516 0.00518071484358943 0 0 0.000896057347670251 0.00681715757283116 0 0.00243119266055046 0.0102777777777778 0.00314465408805031 0.00413359788359788 0.0155775937786497 0.00670976683135701 0 0.000764525993883792 0.00612084456424079 0.0153739120998547 0.0162507478516958 0.0253760960983079 0.000764525993883792 0.00400351970457562 0.00166666666666667 0.0435542564677155 0.0619493341755598 0.726578876087423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0.00163398692810458 0.00308641975308642 0.00396825396825397 0.00396825396825397 0 0 0 0.00163398692810458 0 0 0 0 0.00886123680241327 0 0.00141242937853107 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0.00396825396825397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396825396825397 0.0138888888888889 0 0.00141242937853107 0 0 0.00245098039215686 0.00245098039215686 0 0 0.00141242937853107 0 0 0 0 0.00141242937853107 0 0 0 0 0.0164154801908208 0 0 0 0.00308641975308642 0.00308641975308642 0.0194262890341322 0 0 0 0.00141242937853107 0.00641923436041083 0.00141242937853107 0 0.00617283950617284 0.00308641975308642 0.0198210161943961 0.00386340977068794 0.0135816434836043 0 0.00141242937853107 0 0.0409620920172599 0.0290054575116057 0.737263664338689
