"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_go_Proportion" "Transition_oj_Proportion" "Transition_gc_Proportion" "Transition_oh_Proportion" "Transition_ej_Proportion" "Transition_oc_Proportion" "Transition_ee_Proportion" "Transition_jo_Proportion" "Transition_hj_Proportion" "Transition_ih_Proportion" "Transition_cj_Proportion" "Transition_ec_Proportion" "Transition_cg_Proportion" "Transition_jj_Proportion" "Transition_jh_Proportion" "Transition_gj_Proportion" "Transition_io_Proportion" "Transition_ei_Proportion" "Transition_ci_Proportion" "Transition_ge_Proportion" "Transition_jg_Proportion" "Transition_og_Proportion" "Transition_hh_Proportion" "Transition_gh_Proportion" "Transition_hi_Proportion" "Transition_eg_Proportion" "Transition_oi_Proportion" "Transition_hg_Proportion" "Transition_jc_Proportion" "Transition_ji_Proportion" "Transition_se_Proportion" "Transition_cc_Proportion" "Transition_sh_Proportion" "Transition_so_Proportion" "Transition_gi_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_ig_Proportion" "Transition_sc_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ogs_Proportion" "Transition_jhs_Proportion" "Transition_sse_Proportion" "Transition_jsc_Proportion" "Transition_ges_Proportion" "Transition_ecs_Proportion" "Transition_jsh_Proportion" "Transition_ohs_Proportion" "Transition_hsj_Proportion" "Transition_ees_Proportion" "Transition_ocg_Proportion" "Transition_gse_Proportion" "Transition_see_Proportion" "Transition_ssj_Proportion" "Transition_gsj_Proportion" "Transition_iso_Proportion" "Transition_jsg_Proportion" "Transition_sjj_Proportion" "Transition_gih_Proportion" "Transition_hsg_Proportion" "Transition_sjs_Proportion" "Transition_cis_Proportion" "Transition_ssh_Proportion" "Transition_shh_Proportion" "Transition_ios_Proportion" "Transition_ise_Proportion" "Transition_eis_Proportion" "Transition_sii_Proportion" "Transition_ses_Proportion" "Transition_sjg_Proportion" "Transition_jgs_Proportion" "Transition_sgi_Proportion" "Transition_jsi_Proportion" "Transition_shs_Proportion" "Transition_jcs_Proportion" "Transition_hgs_Proportion" "Transition_jis_Proportion" "Transition_igs_Proportion" "Transition_egs_Proportion" "Transition_sgh_Proportion" "Transition_hii_Proportion" "Transition_sig_Proportion" "Transition_gis_Proportion" "Transition_sos_Proportion" "Transition_isi_Proportion" "Transition_gii_Proportion" "Transition_ssg_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_sgg_Proportion" "Transition_ssi_Proportion" "Transition_isg_Proportion" "Transition_iis_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_gsi_Proportion" "Transition_ggg_Proportion" "Transition_scs_Proportion" "Transition_ggs_Proportion" "Transition_oss_Proportion" "Transition_ess_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 457.75 354.666666666667 50.3333333333333 43 5.16666666666667 3.16666666666667 1.41666666666667 0.361334054747106 0.0627036964320896 0.049758306952688 0.00770152104140267 0.00764716935668629 0.305171086020375 0.0255970017156599 0.180087163733993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00030750307503075 0.000322997416020672 0.000356125356125356 0.000356125356125356 0.000356125356125356 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000387596899224806 0.000429553264604811 0.000694444444444444 0.00108269687348036 0.0012931343069874 0.00183624842129997 0.00198812541141225 0.00206308903034311 0.00269021666507987 0.00386659229560809 0.00957237039943046 0.0121336224547623 0.012155148684834 0.0123903692299926 0.012564765047687 0.0216822061367586 0.0301785568959618 0.037346658381332 0.104182933132232 0.211659363699583 0.51694064106784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000737463126843658 0.000757575757575758 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000915750915750916 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000992063492063492 0.000992063492063492 0.00105485232067511 0.00167379271485864 0.00181159420289855 0.00181159420289855 0.0024514811031665 0.00252977857436242 0.00292751149670507 0.00357333944813881 0.00378787878787879 0.00529864887136037 0.00551682647540058 0.0057156929365719 0.00637555328566565 0.0072562358276644 0.00751916474227871 0.0126400960184133 0.0141382488930084 0.0185422651336376 0.0607975131936385 0.0623758280576023 0.0981901945552695 0.222337996878623 0.439850094807659
2 405.166666666667 314.75 44 37.25 4.5 4 0.666666666666667 0.36622470911852 0.0615276109055121 0.0530806503363353 0.00534896179818447 0.00944372667022184 0.308018069675242 0.0313216846526981 0.165034586843286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000286368843069874 0.000286368843069874 0.000322997416020672 0.000322997416020672 0.000572737686139748 0.000730994152046784 0.00205811138014528 0 0.000286368843069874 0 0 0.000322997416020672 0 0 0.000286368843069874 0.0028445827014242 0.000793807208864363 0.00103009390917479 0.00277088755752418 0 0.00244960153720832 0.00247343426657992 0.00296429057138971 0.00161498708010336 0.00127923976608187 0.00391114876833622 0.0098804217632679 0.00489521164494885 0.0134766540580857 0.00416936430769986 0.0274471883278141 0.0313901516520696 0.0368481771523174 0.0969512917530946 0.208979249235531 0.538353905899811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000651041666666667 0.000651041666666667 0.000651041666666667 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.00157232704402516 0.00157232704402516 0.00252525252525253 0 0.00303431534811872 0 0 0.000651041666666667 0.00168350168350168 0 0 0 0.000841750841750842 0.00325582872752684 0 0.000841750841750842 0 0.000651041666666667 0 0 0.00222336871069182 0.000841750841750842 0.000841750841750842 0.00168350168350168 0.00409757956927768 0.00575259805261466 0.00391688382047425 0.00317629419191919 0.00314465408805031 0.00213675213675214 0.00398640492980116 0.00590829062273631 0.00157232704402516 0.0264847100028176 0.0677545911259773 0.0708716848499058 0.0875790780198053 0.182139542661739 0.50309722020837
3 416.5 321.25 41.1666666666667 44.3333333333333 4.5 3.83333333333333 1.41666666666667 0.392925819656037 0.0435605699844414 0.0479911593136042 0.0168461150275341 0.0175043156148243 0.296240487144704 0.0289854433541481 0.155946089904706 0 0 0 0 0 0 0 0.000270562770562771 0.000281531531531532 0.000281531531531532 0.000281531531531532 0.000281531531531532 0.000566893424036281 0.000829846886893867 0 0 0 0 0.000886524822695035 0 0 0 0 0 0 0 0 0.000825082508250825 0 0.000825082508250825 0 0 0.000713310460719787 0.00195418551123249 0.00331642955964675 0.000541125541125541 0.00225831962995628 0.00182668032408965 0.000860235235235235 0.00480188245481825 0.00785742695778701 0.00534567716833927 0.0117855288495112 0.00801483091187525 0.0148333644933076 0.0200964112553308 0.0312655248478154 0.104829937613472 0.206369061461263 0.567999948677659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000563063063063063 0.000563063063063063 0.000563063063063063 0.000563063063063063 0.00068870523415978 0.00108225108225108 0.00170461557447859 0 0 0 0 0 0 0 0 0 0 0.00068870523415978 0 0.000915750915750916 0 0 0.00238095238095238 0.000563063063063063 0 0 0 0 0.00114155251141553 0.00108225108225108 0 0 0.00259585431872822 0 0 0.00315891738179128 0 0.00137741046831956 0.000563063063063063 0.000563063063063063 0.00760483605058385 0.00108225108225108 0.00068870523415978 0.00362966272057181 0 0.00666143683005853 0.0115072142469403 0.00814664419392656 0.0153111927413644 0.0367958325421267 0.0425662311142576 0.127097993351303 0.241627911000358 0.476521681266398
4 284.166666666667 224.25 26.9166666666667 26.1666666666667 2.91666666666667 3.25 0.666666666666667 0.514168084150089 0.0522115529859499 0.0505104111128744 0.012712296143534 0.017259691292763 0.184072040933221 0.0324319005877514 0.136634022793817 0 0 0 0 0 0 0.000487329434697856 0 0 0 0 0 0 0.00100401606425703 0 0 0 0 0 0 0.00144518384082812 0 0 0 0 0 0 0 0.000677506775067751 0.00226037908008793 0.00213949507916132 0 0 0.00105161889596603 0 0 0.00318696727135319 0 0.00180427851934313 0.00992737532967059 0.00144518384082812 0.0056598084896587 0.00672260595934788 0.00793148881386524 0.0133534523488849 0.0304160247428487 0.0434933139604294 0.104840042248943 0.154170226867323 0.607983702437439 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0.00119047619047619 0.00225225225225225 0 0 0 0.00225225225225225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0 0 0 0 0 0.00119047619047619 0.0073332531665865 0.00213675213675214 0 0 0.00148809523809524 0 0.0163554621887955 0.00993626743626744 0.0145553058053058 0.0611794790961458 0.0678860441360441 0.101059874809875 0.168461565961566 0.540341490758157
5 127.666666666667 96.9166666666667 14.9166666666667 13.4166666666667 1.08333333333333 1.25 0.0833333333333333 0.492971497440678 0.0597580540505022 0.0590731130615717 0.0162044334316917 0.0366636487433206 0.15014637043896 0.0349108724774225 0.150272010355853 0 0 0 0 0.00297619047619048 0.00320512820512821 0.00320512820512821 0 0 0 0 0 0.00320512820512821 0 0 0 0 0 0 0.00163398692810458 0.00297619047619048 0 0 0 0 0 0 0 0.00555555555555556 0 0 0.000980392156862745 0 0.000764525993883792 0 0 0 0 0.00163398692810458 0.018419290649132 0.00618131868131868 0.00229357798165138 0.008716621191836 0.0140705984228554 0.0233783666239538 0.0485037051488769 0.0520540230059656 0.094093071281042 0.117781719673271 0.58837149420982 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00641025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0 0.00641025641025641 0.00555555555555556 0 0 0 0 0.00694444444444444 0.030706885026738 0.0155800796425796 0.0292075163398693 0.0902000777000777 0.125656379976233 0.086138606083459 0.0871353523927053 0.497234077197313
6 172.5 134.833333333333 14.9166666666667 19 1.66666666666667 1.83333333333333 0.25 0.420812536083865 0.0599483332231539 0.0705904926011183 0.0363607105976534 0.0202150205766287 0.17449614075846 0.042874950732045 0.174701815427075 0 0 0 0.00141242937853107 0 0 0 0 0 0 0 0 0.000389408099688474 0.00512581547064306 0 0.000389408099688474 0 0.000389408099688474 0 0 0.0115239835740913 0 0 0 0 0 0 0 0 0 0.00277777777777778 0 0.00320512820512821 0 0.00157232704402516 0.000389408099688474 0.00315301229935376 0 0.00239282153539382 0.0152653139707788 0 0.00708644524598077 0.00136980025655122 0.0268747281751569 0.0258453364192265 0.0523392581323406 0.0402591680209351 0.0928853208192984 0.123436074798052 0.581917626477981 0 0 0 0 0 0 0 0.0036231884057971 0.00416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000841750841750842 0.000841750841750842 0.00520833333333333 0 0.00857843137254902 0 0.000841750841750842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0 0.0497963859456826 0.0106301990493167 0.0198466980116596 0.110961344353288 0.0744358816209839 0.105921910925108 0.141378769887402 0.459303749497164
7 359 287.25 35.0833333333333 28.8333333333333 3.75 2.91666666666667 1.16666666666667 0.412838414162633 0.0496517359288313 0.0488715006385468 0.0210439133532444 0.0184531672973918 0.262438416067429 0.0271767850740302 0.159526067477893 0 0.000534188034188034 0.000905797101449275 0 0 0 0 0 0 0 0 0.000636132315521628 0 0.000608272506082725 0 0 0 0 0 0.000534188034188034 0.00128205128205128 0 0.000816993464052288 0 0.000534188034188034 0 0.000816993464052288 0 0.000608272506082725 0 0.00153708298869589 0.000896057347670251 0.000816993464052288 0.00161652447238437 0 0.00217268032049054 0.00353786832997071 0.00193601688166906 0.00343010016187623 0.00861497824936426 0.00252158555729984 0.00907129993334458 0.0157569066094157 0.0168757686301766 0.0155010279761927 0.0139683845310844 0.029526544824843 0.1109083483368 0.193237624989219 0.560797129653594 0 0 0 0.00130208333333333 0.00148809523809524 0.00151515151515152 0.00193798449612403 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0.00148809523809524 0 0 0 0 0 0 0 0 0 0 0 0.00327630141973062 0.00114155251141553 0.00352061556329849 0 0.00466216807471401 0.0117662044731506 0.00683948347857662 0 0 0.00130208333333333 0 0.0306491284068654 0.00738217842596045 0.0187700304096724 0.0226518190542518 0.0568388017118705 0.0901284467558989 0.221957418208666 0.506956811666617
8 170.416666666667 130.083333333333 20 15.75 2.5 1.5 0.583333333333333 0.400397311146711 0.0869742172986885 0.0926088886472426 0.01589055694995 0.017445853281641 0.182190814738962 0.0303759428305557 0.174116415106249 0.00181159420289855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0117015294646874 0.00203252032520325 0 0 0 0.000757575757575758 0 0 0 0 0 0 0.000968992248062015 0.000445632798573975 0 0.000757575757575758 0.00397050482132728 0 0.000757575757575758 0.00906325087061641 0.0106050382366172 0.00895596651410605 0.0188596647333705 0.0111360587899503 0.0256849413219182 0.0120763524401295 0.0243793005489094 0.130674897784569 0.169607580981256 0.472420113311744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0.0170940170940171 0 0 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320512820512821 0.00203252032520325 0 0 0.00320512820512821 0.00834428064029582 0.00717167276037087 0 0 0 0.0157828282828283 0.027300216865771 0.0114408261597089 0.0131743034227111 0.0237722888956006 0.0580682426239497 0.0624006413369597 0.172795652176109 0.486158227304671
9 44.8333333333333 36.6666666666667 3.08333333333333 3.83333333333333 0.333333333333333 0.75 0.166666666666667 0.5967771033177 0.0442772687904314 0.0415568124728618 0.0125662641521515 0.0374738146234668 0.161854784072973 0.0171251595619623 0.0883687930084529 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0 0.0183600713012478 0 0.00427350427350427 0 0 0 0 0 0 0.009175465057818 0 0.00757575757575758 0.0168350168350168 0.0143002422414187 0.0255279034690799 0.00972222222222222 0.0366264454499749 0.105994005994006 0.134069742893272 0.51892851157557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0 0 0 0.0153186274509804 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0.0208333333333333 0 0 0 0.0349945533769063 0.0190631808278867 0.00925925925925926 0.00980392156862745 0.114161220043573 0.0748677248677249 0.161332866479925 0.422309757236228
10 68.8333333333333 51.8333333333333 7.66666666666667 7.08333333333333 0.833333333333333 1 0.416666666666667 0.562148410805585 0.0388237431802614 0.0374860521733198 0.0520010383549968 0.0275982835863837 0.125799966518726 0.0312765354065826 0.124865969974144 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00136612021857923 0 0 0 0 0 0.00987654320987654 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0.0166666666666667 0 0.000868055555555556 0.0122580828779599 0 0.000868055555555556 0.00947971781305115 0.0400886921720255 0.0162683067454022 0.0222825494683418 0.0333788220229477 0.0827782679646773 0.0974413204535605 0.635545465942467 0 0.00252525252525253 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0 0 0 0 0.0888397581254724 0.00592661306947021 0.0178313749742321 0.0555411255411255 0.0701917130488559 0.0440465883323026 0.0888919810348382 0.582838246409675
