"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_je_Proportion" "Transition_hc_Proportion" "Transition_jj_Proportion" "Transition_oo_Proportion" "Transition_cg_Proportion" "Transition_ic_Proportion" "Transition_gh_Proportion" "Transition_eg_Proportion" "Transition_se_Proportion" "Transition_ec_Proportion" "Transition_go_Proportion" "Transition_gj_Proportion" "Transition_jc_Proportion" "Transition_so_Proportion" "Transition_ci_Proportion" "Transition_og_Proportion" "Transition_jo_Proportion" "Transition_ji_Proportion" "Transition_jg_Proportion" "Transition_hi_Proportion" "Transition_ch_Proportion" "Transition_ij_Proportion" "Transition_ce_Proportion" "Transition_ge_Proportion" "Transition_ei_Proportion" "Transition_co_Proportion" "Transition_hh_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_eo_Proportion" "Transition_ih_Proportion" "Transition_cc_Proportion" "Transition_ii_Proportion" "Transition_jh_Proportion" "Transition_oj_Proportion" "Transition_oi_Proportion" "Transition_sh_Proportion" "Transition_sc_Proportion" "Transition_gi_Proportion" "Transition_ie_Proportion" "Transition_ee_Proportion" "Transition_es_Proportion" "Transition_gg_Proportion" "Transition_si_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_jes_Proportion" "Transition_csh_Proportion" "Transition_sse_Proportion" "Transition_see_Proportion" "Transition_jgs_Proportion" "Transition_soo_Proportion" "Transition_scs_Proportion" "Transition_ese_Proportion" "Transition_ees_Proportion" "Transition_oso_Proportion" "Transition_cgs_Proportion" "Transition_sos_Proportion" "Transition_igg_Proportion" "Transition_iig_Proportion" "Transition_ggi_Proportion" "Transition_isg_Proportion" "Transition_icc_Proportion" "Transition_sic_Proportion" "Transition_iis_Proportion" "Transition_iei_Proportion" "Transition_eig_Proportion" "Transition_hsg_Proportion" "Transition_igi_Proportion" "Transition_sgi_Proportion" "Transition_egs_Proportion" "Transition_ghs_Proportion" "Transition_ssh_Proportion" "Transition_ecs_Proportion" "Transition_gsi_Proportion" "Transition_gsh_Proportion" "Transition_gsg_Proportion" "Transition_gsj_Proportion" "Transition_jos_Proportion" "Transition_ogs_Proportion" "Transition_sgg_Proportion" "Transition_eij_Proportion" "Transition_geo_Proportion" "Transition_cee_Proportion" "Transition_gge_Proportion" "Transition_iii_Proportion" "Transition_isi_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_gig_Proportion" "Transition_igs_Proportion" "Transition_hie_Proportion" "Transition_chi_Proportion" "Transition_shs_Proportion" "Transition_gie_Proportion" "Transition_esh_Proportion" "Transition_shh_Proportion" "Transition_sii_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_ois_Proportion" "Transition_ies_Proportion" "Transition_ess_Proportion" "Transition_ggs_Proportion" "Transition_ssi_Proportion" "Transition_eee_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 334.25 262.333333333333 34.25 30.75 3.33333333333333 2.66666666666667 0.916666666666667 0.377358804442286 0.0508084276327398 0.0712379226094916 0.011156738118429 0.0110649255648762 0.24725518399328 0.0498945327164029 0.181223464922495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000322997416020672 0.000322997416020672 0.000434027777777778 0.000434027777777778 0.000443262411347518 0.000443262411347518 0.000443262411347518 0.000443262411347518 0.000661375661375661 0.000771604938271605 0.000799187892211148 0.000816094062963472 0.000886524822695035 0.00101626016260163 0.00113756613756614 0.00137962146963784 0.00148809523809524 0.00148809523809524 0.00150935680954443 0.00175779823215721 0.00193571305013962 0.00201405524183027 0.00209215753874442 0.00352968216443394 0.00530204251867819 0.00708381980232676 0.00711825511662449 0.00761494136603217 0.0101768230691504 0.026475321872483 0.026685514937884 0.0360746834693266 0.0948547534544076 0.180246105588241 0.571797450111496 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.00120772946859903 0.00120772946859903 0.00126262626262626 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00224301841948901 0.00234741784037559 0.00266180415828303 0.00277777777777778 0.00301932367149758 0.00381826808457243 0.00396569527994909 0.00424969230116289 0.00543478260869565 0.0055618211906485 0.00623832866479925 0.0174390408105197 0.0353425421764867 0.0462699824030033 0.057265010597749 0.0981751542194809 0.169844771749302 0.512911463996713
2 359 280.583333333333 37.3333333333333 33.3333333333333 3.83333333333333 2.91666666666667 1 0.450663058334337 0.041796564441353 0.0356218690973094 0.00862992528648181 0.0096782522387779 0.26668601739184 0.0273552476359224 0.159569065573978 0 0 0 0 0 0 0 0 0 0 0 0 0.000418760469011725 0.000418760469011725 0.000476190476190476 0.000879165625549479 0.00109649122807018 0 0.00360630403000254 0 0 0 0 0 0 0 0 0.00220374540485401 0.00164571672629892 0 0 0 0.000792410468622747 0 0 0 0.00349636783128622 0.000460405156537753 0.000332005312084993 0 0 0.00590936656542215 0.00308937685398692 0.00867735879422336 0.00704624268606406 0.00776099941660067 0.0158683624995864 0.0263045477632472 0.0279558287325913 0.0943456464086407 0.183311943087935 0.603904003994182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000925925925925926 0.00105485232067511 0.00225225225225225 0.00242097253925434 0.0036581663630844 0 0 0 0 0 0 0 0 0 0.00317817817817818 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.000925925925925926 0 0 0.00604771438104771 0 0.00518061173798879 0 0.00198077824660103 0.00229204614450516 0.0128180500513108 0.0159535966934632 0.0557393053316308 0.0564974730171521 0.0973312974916869 0.198153859258342 0.447523420370484
3 475.916666666667 370.833333333333 48.9166666666667 45.25 5 3.75 2.16666666666667 0.375660612304833 0.0410323585290142 0.0467652069750566 0.017630637531959 0.0169948566812191 0.335876585707252 0.0278431099470059 0.13819663232366 0 0 0 0 0 0.000345781466113416 0.000493096646942801 0.000544662309368192 0.000612745098039216 0.000672043010752688 0.000672043010752688 0.00139890862005179 0.000345781466113416 0.00132237724149489 0 0 0 0 0.00103734439834025 0 0 0 0 0.000544662309368192 0.000612745098039216 0 0 0.0044698490250797 0.00173673763984121 0 0 0.000345781466113416 0.00225998865642598 0 0.000345781466113416 0.000286368843069874 0.00384740082858184 0.00210854076350747 0.002319857984346 0.000612745098039216 0 0.00727603525465544 0.011077139531835 0.0091940342403885 0.0125716732984029 0.01560936572006 0.0161972889660237 0.012179060227228 0.0223918125718206 0.0980210341693585 0.22180332872597 0.546743984847762 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000801282051282051 0.000841750841750842 0.000841750841750842 0.000841750841750842 0.00117370892018779 0.00117370892018779 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00151515151515152 0.00170068027210884 0.00181159420289855 0.00214383417508418 0.00260416666666667 0.00374639827764828 0 0 0 0.00541306494431494 0 0 0 0 0 0.00252525252525253 0 0 0.00130208333333333 0.00370269198394198 0 0 0.00214383417508418 0 0 0 0.00330969955969956 0.00244431494431494 0 0 0 0.00908288848888971 0.0020855319362782 0.00250841750841751 0 0.0144900160053672 0.00214383417508418 0.0173486284129877 0.0107139878953983 0.0270711831346654 0.0395892772470101 0.0995877430364681 0.218201474306346 0.508770543615923
4 225.5 177.75 19.0833333333333 23.1666666666667 2.66666666666667 2.33333333333333 0.5 0.552700990910093 0.0380291499598211 0.0437939455504598 0.0104857005201112 0.0240702608071532 0.193113819418404 0.0238320693727708 0.113974063461187 0 0 0 0 0.00136612021857923 0 0 0.000896057347670251 0.00136612021857923 0 0 0 0 0.000304136253041363 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000484496124031008 0.00200103863487525 0 0 0 0 0 0 0 0.0119047619047619 0 0.000484496124031008 0 0 0.0159956669177901 0.000968992248062015 0.00857448797669261 0.0118502455425535 0.00829447303370028 0.021071921122685 0.00893831665941468 0.0217883312523321 0.0891205637454689 0.174532006140765 0.620057768534967 0 0 0 0 0 0 0 0 0 0.000578703703703704 0.0043859649122807 0.000578703703703704 0 0 0 0 0 0 0 0 0 0 0 0 0.00203252032520325 0 0 0 0 0 0.00102880658436214 0 0 0 0.00102880658436214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0235630998227276 0.00102880658436214 0 0 0.00946759259259259 0 0.0271784800189272 0.0147788065843621 0.020533634221054 0.0492889452251526 0.11157114924846 0.150273015797549 0.582682964091198
5 26.3333333333333 21.1666666666667 1.66666666666667 2.5 0.5 0.333333333333333 0.0833333333333333 0.586340408737758 0.0287583731668455 0.0728799832536663 0.0172795472528425 0.0185039392819186 0.112380734784967 0.0317493415276558 0.0487743386610121 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0.0166666666666667 0.0275925925925926 0 0 0.0601851851851852 0 0.00925925925925926 0.0244565217391304 0.0290686274509804 0.00666666666666667 0.0937169650468883 0.464054182059297 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0178571428571429 0 0 0 0 0 0.116666666666667 0 0.0416666666666667 0.0496031746031746 0.00793650793650794 0.154227716727717 0.306486568986569
6 53.9166666666667 40.9166666666667 5.5 5.91666666666667 0.333333333333333 1 0.25 0.616711933091573 0.0327832182067449 0.0832704630286595 0.0334058350678203 0.0181148093223933 0.102004259075999 0.0243449074763678 0.0893645747304413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.00235042735042735 0 0 0.0282993966817496 0.0219017094017094 0.00128205128205128 0.0102564102564103 0.0214646464646465 0.0648281457104987 0.0726370035193565 0.589480209333151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00555555555555556 0 0 0 0 0 0.0118055555555556 0.0028735632183908 0.0237068965517241 0.0479166666666667 0.0498802681992337 0.11573275862069 0.409195402298851
7 189.083333333333 145.5 21.8333333333333 15.75 3.16666666666667 2.16666666666667 0.666666666666667 0.539731621482324 0.0275029046110774 0.0325420148047434 0.0286488967887012 0.0212627185348111 0.203284745297336 0.0205763679092683 0.126450730571739 0 0 0.000841750841750842 0.00102880658436214 0 0 0 0.00917508417508417 0 0 0 0 0.000574712643678161 0.0016035192280403 0 0 0 0 0.000493096646942801 0 0 0 0 0 0.00102880658436214 0 0 0.00106780929062096 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0 0 0.0185787941279286 0.00453395142407602 0.00731714737738834 0.0261262995767538 0.0137250332800321 0.0248521651893674 0.00535856955674156 0.0314279732545122 0.0943653058812245 0.150779315409835 0.605064245758575 0 0 0 0 0.00111111111111111 0.00238095238095238 0.00238095238095238 0 0 0.00238095238095238 0 0.00128205128205128 0 0 0 0.00128205128205128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208333333333333 0 0 0.0108745421245421 0.00111111111111111 0 0 0.0047542735042735 0.0112713675213675 0.0435542208336326 0.0316259666259666 0.0115918803418803 0.0901149776149776 0.0671653917977447 0.0963730577701166 0.61657847326965
8 37.9166666666667 26.5 5.25 4.16666666666667 1.16666666666667 0.666666666666667 0.166666666666667 0.748885789047256 0.0137019571885472 0.0106781079003301 0.002133633359687 0.0111204382037715 0.1489567676794 0.010997197778807 0.0535261088422008 0 0.00757575757575758 0 0 0.00757575757575758 0 0 0 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0043859649122807 0.000886524822695035 0.0206349206349206 0 0.00177304964539007 0.00961668355285377 0.00772543059777102 0.00248908892525914 0.00683890577507599 0.0192080378250591 0.0745961625160953 0.665641084062137 0 0 0.00694444444444444 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0 0 0.00260416666666667 0.0138888888888889 0 0 0 0 0.00520833333333333 0 0.00607638888888889 0.0109375 0.021875 0.0659722222222222 0.667881944444444
9 23.5 18.3333333333333 2 2.16666666666667 0.416666666666667 0.25 0.25 0.787282950417008 0.0164405476905477 0.0111816361816362 0 0.0142045454545455 0.0576620180786847 0.00112612612612613 0.0287688427181181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0 0 0 0 0.0171243686868687 0.00757575757575758 0.0269623316498316 0.693707912457912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0194444444444444 0.0277777777777778 0.0148148148148148 0.687962962962963
10 35.6666666666667 27.5833333333333 2.5 4.08333333333333 0.75 0.5 0.25 0.713181983723142 0.0352839866625657 0.0274008114543639 0.0409839212646079 0.0253468552381596 0.0765509283536855 0.02430240351436 0.0569491097891151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0 0.0416666666666667 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0.00823529411764706 0 0.013986013986014 0.0398225957049486 0.00231481481481481 0.0168677727501257 0.0183150183150183 0.00490196078431373 0.038920026052379 0.088647382029735 0.71651853320971 0 0.00833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0 0 0 0 0.00641025641025641 0 0 0 0 0.0119047619047619 0.0604166666666667 0.0243055555555556 0.0555555555555556 0 0.0577380952380952 0.0730769230769231 0.68003663003663
11 83.5 63.3333333333333 8.41666666666667 9.58333333333333 0.916666666666667 0.916666666666667 0.333333333333333 0.723649929699501 0.0103367208052955 0.0262847179506889 0.0115895344427094 0.0084224203630988 0.14079410675456 0.0192546750403741 0.0596678949437724 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0 0.039258658008658 0 0.00163398692810458 0.0106389852537113 0.0129396808536615 0.0252209595959596 0.00438762626262626 0.0194279984721161 0.0400185375104795 0.108321807344773 0.73525514657918 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0115740740740741 0 0 0 0.0100341130604288 0.0043859649122807 0.0192933723196881 0.00450779727095517 0.00670077972709552 0.0383771929824561 0.0506286549707602 0.154917153996101 0.697266081871345
12 31.2727272727273 24.9090909090909 2.18181818181818 3 0.363636363636364 0.636363636363636 0.0909090909090909 0.810143644234553 0.00432900432900433 0.00505050505050505 0 0 0.065807424898334 0.00592286501377411 0.0178374655647383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.00925925925925926 0 0 0.0144675925925926 0.0111111111111111 0.789236111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.729166666666667
13 23.7142857142857 18.2857142857143 1.42857142857143 3 0.428571428571429 0.428571428571429 0.142857142857143 0.717205320825648 0.00793650793650794 0.020021035234017 0.0651459721819762 0.0384445444844605 0.0680992224475997 0.00420168067226891 0.0789457162175215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0152380952380952 0 0.00416666666666667 0.01 0.00333333333333333 0 0.0277777777777778 0.0311111111111111 0.01 0.0136111111111111 0.468095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0.0208333333333333 0 0 0.0902777777777778 0.0208333333333333 0.00694444444444444 0.427777777777778
