"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_ee_Proportion" "Transition_oe_Proportion" "Transition_ge_Proportion" "Transition_jh_Proportion" "Transition_ji_Proportion" "Transition_gi_Proportion" "Transition_ig_Proportion" "Transition_ei_Proportion" "Transition_jj_Proportion" "Transition_se_Proportion" "Transition_oi_Proportion" "Transition_jg_Proportion" "Transition_jc_Proportion" "Transition_ic_Proportion" "Transition_cg_Proportion" "Transition_co_Proportion" "Transition_so_Proportion" "Transition_gg_Proportion" "Transition_sh_Proportion" "Transition_ii_Proportion" "Transition_oc_Proportion" "Transition_jo_Proportion" "Transition_sj_Proportion" "Transition_es_Proportion" "Transition_sc_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_si_Proportion" "Transition_js_Proportion" "Transition_hs_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_cse_Proportion" "Transition_see_Proportion" "Transition_gsg_Proportion" "Transition_gis_Proportion" "Transition_jsc_Proportion" "Transition_ses_Proportion" "Transition_ggs_Proportion" "Transition_hsh_Proportion" "Transition_jcs_Proportion" "Transition_isi_Proportion" "Transition_sgg_Proportion" "Transition_ssg_Proportion" "Transition_jgs_Proportion" "Transition_hsc_Proportion" "Transition_iii_Proportion" "Transition_scs_Proportion" "Transition_sos_Proportion" "Transition_cos_Proportion" "Transition_cgs_Proportion" "Transition_gsc_Proportion" "Transition_sjs_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssj_Proportion" "Transition_shs_Proportion" "Transition_sgs_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_jss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 376.166666666667 306.583333333333 37.75 28.3333333333333 2.25 1 0.25 0.404854936294589 0.0430732103534222 0.0421963231454236 0.00717440855695892 0.00662726730198716 0.280029258889522 0.0307247209426157 0.185319874515482 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000578703703703704 0.000578703703703704 0.000578703703703704 0.000603864734299517 0.000700280112044818 0.000700280112044818 0.00132684652808492 0.0016025641025641 0.0016025641025641 0.00215192903633574 0.00463990633889744 0.00516125389971869 0.00927895362608617 0.0102306481103099 0.0116418114192882 0.0176727072506982 0.0217970792481794 0.0299425559599137 0.137653029426601 0.197028034202339 0.544529580678918 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.00154320987654321 0.00189393939393939 0.00189393939393939 0.00189393939393939 0.00219298245614035 0.00238095238095238 0.00665178571428571 0.00987654320987654 0.010549234253667 0.0154137392661983 0.0291485922297326 0.0417614266665173 0.0522110054919409 0.159248318945166 0.200761630827151 0.459846520062852
2 304.666666666667 251.333333333333 29.0833333333333 21.5 1.25 1.33333333333333 0.0833333333333333 0.357726497248694 0.0523899422415072 0.0418707104622344 0.00718023628151892 0.00761988855629679 0.246010099741556 0.0280161600091142 0.175853132125745 0 0 0 0 0 0 0 0 0 0 0 0.000730994152046784 0.00462962962962963 0 0 0 0.000706214689265537 0 0.00122549019607843 0.0021682029933591 0 0 0.000925925925925926 0.00321895760564345 0.00195648434812521 0.0026379195746095 0.00840338207914313 0.00840098039221676 0.0322713202756727 0.0260490299238071 0.025491159971636 0.150034054218066 0.157524888086459 0.490292032604982 0 0 0 0 0 0 0 0 0 0 0 0 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00181159420289855 0.00231481481481481 0 0 0 0 0.00412640901771337 0.00412640901771337 0 0 0 0.00396825396825397 0.00647428782833888 0.0145682316024297 0.0115872346170723 0.0712561951134162 0.0526245092508757 0.170861175555883 0.135855529978778 0.431657239089783
3 364.5 297 32.0833333333333 30.5833333333333 2.75 1.83333333333333 0.25 0.39139686219551 0.0333448283863891 0.0412138702821634 0.013094932659262 0.00870523868724794 0.35369883078351 0.0249236644631582 0.13362177254276 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000764525993883792 0.00102880658436214 0 0 0 0 0 0.00266802641802642 0 0.000555555555555556 0 0 0.00117744610281924 0.000582750582750583 0.00158265826582658 0.0100988312240711 0.0173721243594797 0.0068256725229265 0.0116479883344028 0.0151311312231343 0.0238916782043427 0.0868583091822805 0.23719894006286 0.581857979625702 0 0 0 0 0 0 0 0 0 0.00130208333333333 0.00185185185185185 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0.00130208333333333 0 0 0.00998000841750842 0.00198412698412698 0.00185185185185185 0.0216739568302068 0.0114038671023965 0.0256735333022098 0.0441711406784936 0.1015566643324 0.243220545794075 0.532176434336361
4 262.5 208.416666666667 26 24.3333333333333 2.41666666666667 1.08333333333333 0.25 0.375214367407112 0.0391480980364952 0.0457946532563775 0.0171027444456341 0.0206333830701107 0.281402304318341 0.0378646554650295 0.182839794000899 0 0 0 0 0 0 0 0 0 0 0 0.000905797101449275 0.000666666666666667 0 0 0 0.00105485232067511 0.000905797101449275 0.000473484848484848 0 0 0.00185185185185185 0.0023792780121894 0.00466648086213304 0 0.00905401844532279 0.0135461642660322 0.0129065183679933 0.00614927480640194 0.0227945615682957 0.0252375879970129 0.149644904782838 0.207761474695019 0.540001286306184 0 0 0 0 0 0 0 0.00105485232067511 0.0016025641025641 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00570872356098074 0.00917832167832168 0.00920974450386215 0.0144319411081606 0.0301238225661159 0.0114391042913615 0.0466831865947002 0.187411663885282 0.220359170465449 0.462796904922526
5 95.5833333333333 74.9166666666667 8.25 11.0833333333333 0.75 0.5 0.0833333333333333 0.46827572045917 0.0376767869825827 0.0478845845801514 0.0607831722698338 0.0545758690433334 0.135754877428238 0.0367958248025455 0.158253164434145 0 0 0 0 0 0 0 0 0 0 0 0.00392841553906591 0 0 0 0 0 0.000730994152046784 0 0 0 0 0 0.00215134354874528 0.00109649122807018 0 0.00489766081871345 0.00694444444444444 0.0262054366196624 0.014782326185835 0.0916676912425915 0.0911072588474436 0.0786417009066469 0.594512903133401 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00470323264440912 0 0.0181917211328976 0.0611375611375611 0.139405551170257 0.114284795167148 0.101438432320785 0.467320187908423
6 113.333333333333 90.9166666666667 9.58333333333333 11.25 0.75 0.666666666666667 0.166666666666667 0.536274612222425 0.0305785077203329 0.0449012579776178 0.0112696834870399 0.0453079526020495 0.150603113360417 0.0298784101449315 0.151186462485185 0 0 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0 0.00462962962962963 0 0 0 0 0.000706214689265537 0 0.000706214689265537 0 0 0 0 0.0473125564588979 0.000706214689265537 0.0168881338372864 0.0168852531643192 0 0.039626820760034 0.0204709656677146 0.0244860059504443 0.0897118252796105 0.113104818752304 0.536802383469 0 0 0 0 0.00198412698412698 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0.0833333333333333 0.0326216181479339 0.0225407268170426 0.0818753614806246 0.051329372382004 0.10630395433027 0.14514342869606 0.379990732951259
7 305 245.833333333333 26 29 2.08333333333333 1.91666666666667 0.166666666666667 0.399466882692042 0.0365956184885319 0.0382164689980673 0.0301947946833474 0.0124298204018394 0.288597727535384 0.0294991183921442 0.164999568808644 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0.00185185185185185 0 0 0 0.00189393939393939 0.000757575757575758 0 0 0 0 0 0.000656167979002625 0.00422267553193172 0 0.00855205719743555 0.0258555288706757 0.00654567990221617 0.00364766085664745 0.0242874570781939 0.0388633623928988 0.0934748368999693 0.2070665440652 0.580430722828523 0 0 0 0 0 0 0 0 0 0 0 0.00166666666666667 0 0 0 0 0.00170068027210884 0 0 0 0 0 0 0 0 0.00620098039215686 0.00898818695428865 0.00563973063973064 0.0240156120657474 0.0425254826095162 0.0053897021058038 0.0472428870291438 0.105760687086838 0.262755109954091 0.488114274223909
8 151.416666666667 120.916666666667 13.1666666666667 14.9166666666667 1.41666666666667 0.916666666666667 0.0833333333333333 0.389165804243983 0.0387289439617556 0.0653974869744256 0.0218406052214674 0.0408136903608008 0.221895909446681 0.0335389542906048 0.188618605500282 0 0 0 0 0 0 0.000859106529209622 0 0 0 0 0.00292207792207792 0 0 0 0 0 0 0.00193798449612403 0 0 0 0.0043859649122807 0.0113573258080602 0.0043859649122807 0.00511596078606388 0.00931870248880558 0.0070399627100658 0.0227627347455358 0.0264281972145794 0.0471011648227607 0.115473738101468 0.160275627845408 0.580635486705279 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00173611111111111 0 0.0171130952380952 0.0102265043948614 0.0149586116497881 0.0565226510586551 0.0912325982559248 0.174124270618946 0.224064260245802 0.408285786315705
9 94.9166666666667 77.0833333333333 6.83333333333333 9.83333333333333 0.5 0.5 0.0833333333333333 0.460964201646031 0.0506484297382836 0.0376493466249721 0.0261311227890065 0.0230536848242437 0.175484442762348 0.0194940102945513 0.12324142798723 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0 0.00170068027210884 0.00347222222222222 0 0 0 0 0.00347222222222222 0.00104166666666667 0.00447658402203857 0.00170068027210884 0.00333466720021342 0.00655031296265062 0.00896078128220985 0.0313126249122238 0.0740107303251879 0.0583021741754553 0.631525764575803 0 0 0 0.00925925925925926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00163398692810458 0 0.00925925925925926 0.0043859649122807 0 0.0169131980277491 0.0503427820403524 0.0624230368475893 0.0614502475284546 0.617665598530284
10 143.416666666667 118.416666666667 10.75 12.5 1 0.583333333333333 0.0833333333333333 0.447212281570108 0.0284948212546179 0.0497613238230974 0.0487221902172752 0.0438769173699437 0.147364770706258 0.0183160000190272 0.132918361706339 0 0 0 0 0.00378787878787879 0 0 0 0.00308641975308642 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0 0.00833604183277386 0.00109649122807018 0.0178213666883258 0.0273703919537253 0 0.030163846619815 0.0282199569372772 0.0401479444952097 0.0786656273627378 0.106779868260776 0.486761008185587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0.0147783251231527 0.0572751322751323 0.0407121614018166 0.0795064596429539 0.0748129178984064 0.0963302296096836 0.120596271943255 0.346717668772266
