"mean" "SD" "MIN" "MAX"
"NDMCHigh_25microM_DarkApoHigh" 4.66 1.07 2.82 6.66
"Haloperidol_3microM_DarkApoHigh" 4.71 1.17 2.95 7.49
"PCAP814_3microM_DarkApoHigh" 5.01 1.86 2.08 7.72
"Clozapine_10microM_DarkApoHigh" 5.06 1.59 3.26 7.73
"Aripiprazole_1microM_DarkApoHigh" 5.21 2.28 2 9.59
"NDMCHigh_50microM_DarkApoHigh" 5.34 0.68 4.15 6.31
"PCAP814_1microM_DarkApoHigh" 5.47 1.04 3.28 7.49
"Haloperidol_1microM_DarkApoHigh" 5.8 2 3.21 10.73
"PCAP1_3microM_DarkApoHigh" 6.25 2.01 3.84 10.51
"OSU6162_1microM_DarkApoHigh" 6.54 2.19 3.57 12.29
"NDMCHigh_100microM_DarkApoHigh" 6.61 0.69 5.41 7.66
"Aripiprazole_10microM_DarkApoHigh" 6.87 1.02 5.62 9.61
"PCAP2_10microM_DarkApoHigh" 7.02 1.79 4.04 9.98
"PCAP1_1microM_DarkApoHigh" 7.13 1.82 4.12 9.5
"CNO_3microM_DarkApoHigh" 7.17 2.45 4.33 13.29
"PCAP2_3microM_DarkApoHigh" 7.31 1.17 5.13 9.96
"Aripiprazole_3microM_DarkApoHigh" 7.31 2.56 3.06 11.34
"PCAP1_10microM_DarkApoHigh" 7.7 1.41 5.35 9.08
"CNO_1microM_DarkApoHigh" 7.76 2.48 2.64 12.02
"PCAP2_1microM_DarkApoHigh" 8.08 2.48 4.82 12.5
"PCAP814_10microM_DarkApoHigh" 8.1 2.03 5.42 12.01
"Clozapine_3microM_DarkApoHigh" 8.36 1.18 5.87 10.2
"Haloperidol_10microM_DarkApoHigh" 8.41 1.57 6.32 12.26
"NDMC_10microM_DarkApoHigh" 8.58 3.15 3.37 13.27
"Cariprazine_3microM_DarkApoHigh" 9.26 5.14 4.87 21.58
"CNO_10microM_DarkApoHigh" 9.34 4.29 5.7 21.56
"PCAP931_10microM_DarkApoHigh" 9.37 2.18 5.69 13.31
"OSU6162_10microM_DarkApoHigh" 9.42 4.21 4.17 18.64
"PCAP931_3microM_DarkApoHigh" 9.67 2.5 6.05 14.14
"OSU6162_3microM_DarkApoHigh" 9.94 3.94 4.37 17.76
"NDMC_1microM_DarkApoHigh" 10.09 3.72 5.86 18.21
"Cariprazine_1microM_DarkApoHigh" 10.87 9.43 5.18 40.14
"NDMC_3microM_DarkApoHigh" 11.23 2.35 8.66 15.37
"Clozapine_1microM_DarkApoHigh" 11.48 2.89 7.3 16.09
"PCAP931_1microM_DarkApoHigh" 12.21 4.93 4.98 19.87
"Cariprazine_10microM_DarkApoHigh" 15.66 12.58 4.84 46.94
