"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoLow" 11.36 2.84 8.16 16.36
"Cariprazine_10microM_DarkApoLow" 11.84 3.87 6.47 18.8
"Aripiprazole_10microM_DarkApoLow" 13.27 2.85 8.91 18.16
"Clozapine_10microM_DarkApoLow" 13.59 3.86 7.61 20.21
"Cariprazine_3microM_DarkApoLow" 14.28 3.38 8.99 20.03
"Aripiprazole_3microM_DarkApoLow" 14.61 3.08 10.78 20.45
"PCAP814_3microM_DarkApoLow" 14.79 3.6 9.89 21.18
"OSU6162_3microM_DarkApoLow" 14.85 4.13 8.96 23.57
"Haloperidol_1microM_DarkApoLow" 14.87 3.48 10.6 21.61
"OSU6162_10microM_DarkApoLow" 15.77 4.4 8.77 22.44
"PCAP931_10microM_DarkApoLow" 15.83 2.76 12.88 22.16
"PCAP931_3microM_DarkApoLow" 16.05 3.35 12.18 22.81
"Cariprazine_1microM_DarkApoLow" 16.18 3.06 12.48 23.66
"PCAP931_1microM_DarkApoLow" 16.29 4.09 11.11 23.91
"PCAP2_1microM_DarkApoLow" 16.52 2.96 13.44 21.37
"PCAP2_10microM_DarkApoLow" 16.6 2.23 13.91 21.25
"PCAP1_1microM_DarkApoLow" 16.8 3.79 11.2 22.51
"Aripiprazole_1microM_DarkApoLow" 16.98 3.49 13.58 23.85
"Clozapine_3microM_DarkApoLow" 17.03 3.12 13.24 23.14
"PCAP814_1microM_DarkApoLow" 17.29 4.62 12.45 25.45
"Clozapine_1microM_DarkApoLow" 17.44 2.98 14.09 23.06
"NDMC_3microM_DarkApoLow" 17.62 3.75 13.2 24.63
"PCAP1_10microM_DarkApoLow" 17.98 3.48 12.9 23.33
"OSU6162_1microM_DarkApoLow" 18.04 3.27 12.29 22.9
"CNO_10microM_DarkApoLow" 18.29 3.78 12.6 25.48
"NDMC_10microM_DarkApoLow" 18.37 3.28 15 24.33
"PCAP2_3microM_DarkApoLow" 18.6 3.35 14.59 24.69
"CNO_1microM_DarkApoLow" 19.44 3.75 15 27.02
"NDMCHigh_100microM_DarkApoLow" 19.48 3.82 14.52 27.52
"CNO_3microM_DarkApoLow" 20.03 4.39 14.69 29.34
"NDMC_1microM_DarkApoLow" 20.16 3.14 15.93 26.11
"NDMCHigh_50microM_DarkApoLow" 20.56 3.53 15.22 27.03
"NDMCHigh_25microM_DarkApoLow" 20.9 3.77 15.02 26.7
"PCAP1_3microM_DarkApoLow" 21.25 13.74 13.86 65.78
"Haloperidol_10microM_DarkApoLow" 22.45 7.49 15.94 45.15
"PCAP814_10microM_DarkApoLow" 26.68 10.07 12.68 45.35
