"mean" "SD" "MIN" "MAX"
"Aripiprazole_3microM_DarkPTZ" 8.06 1.67 4.54 10.13
"Cariprazine_1microM_DarkPTZ" 8.96 1.5 6.31 11.44
"NDMCHigh_50microM_DarkPTZ" 9.14 2.09 4.79 11.72
"PCAP931_1microM_DarkPTZ" 9.23 2.82 3.29 12.37
"PCAP931_3microM_DarkPTZ" 9.39 2.78 3.73 13.69
"Cariprazine_3microM_DarkPTZ" 9.53 1.85 5.46 11.81
"PCAP814_3microM_DarkPTZ" 9.59 1.66 6.63 11.96
"PCAP1_10microM_DarkPTZ" 9.62 2.03 4.99 11.91
"Clozapine_3microM_DarkPTZ" 9.73 2.67 2.99 14.3
"Clozapine_10microM_DarkPTZ" 9.78 1.49 6.59 12.41
"Haloperidol_1microM_DarkPTZ" 9.84 2.13 3.74 12.47
"PCAP931_10microM_DarkPTZ" 9.86 2.57 4.85 14
"Aripiprazole_1microM_DarkPTZ" 10.05 1.87 6.89 13.96
"Aripiprazole_10microM_DarkPTZ" 10.05 2.33 6.45 14.99
"Haloperidol_3microM_DarkPTZ" 10.1 1.37 6.5 11.8
"NDMCHigh_100microM_DarkPTZ" 10.14 3.15 4.87 15.78
"PCAP814_1microM_DarkPTZ" 10.37 1.37 6.33 11.67
"Cariprazine_10microM_DarkPTZ" 10.86 2.37 5.54 13.35
"NDMCHigh_25microM_DarkPTZ" 11.1 1.63 8.69 13.79
"Clozapine_1microM_DarkPTZ" 11.32 3.17 2.69 15.37
"PCAP814_10microM_DarkPTZ" 11.62 8.97 5.28 38.5
"PCAP1_1microM_DarkPTZ" 12.17 3.38 4.04 17.43
"PCAP1_3microM_DarkPTZ" 12.19 2.53 5.11 15.24
"PCAP2_10microM_DarkPTZ" 12.31 3.1 7.67 17.84
"PCAP2_3microM_DarkPTZ" 12.73 3.24 4.86 17.37
"Haloperidol_10microM_DarkPTZ" 12.92 1.37 10.27 14.62
"OSU6162_1microM_DarkPTZ" 12.98 2.85 5.19 15.89
"OSU6162_10microM_DarkPTZ" 13.23 2.94 4.98 16.68
"CNO_10microM_DarkPTZ" 13.81 3.51 5.76 18.9
"OSU6162_3microM_DarkPTZ" 14.02 2.48 6.72 16.75
"CNO_3microM_DarkPTZ" 15.73 3.56 6.52 22.32
"CNO_1microM_DarkPTZ" 15.84 3.32 6.7 20.4
"NDMC_3microM_DarkPTZ" 16.2 3.02 7.28 19.34
"NDMC_1microM_DarkPTZ" 16.57 3.51 6.58 22.6
"PCAP2_1microM_DarkPTZ" 17.26 9.49 8.16 46.9
"NDMC_10microM_DarkPTZ" 17.83 4.21 6.66 23.65
