"mean" "SD" "MIN" "MAX"
"PCAP2_1microM_Dark" 8.15 1.61 3.81 9.86
"Aripiprazole_1microM_Dark" 8.37 1.25 6 10.57
"Haloperidol_3microM_Dark" 8.51 1.78 5.51 11.94
"OSU6162_3microM_Dark" 8.56 1.11 7.31 11.28
"Clozapine_1microM_Dark" 8.66 1.78 5.79 11.91
"PCAP931_1microM_Dark" 8.7 1.09 7.21 10.82
"Haloperidol_1microM_Dark" 8.84 1.84 6.78 12.5
"CNO_10microM_Dark" 8.89 3.04 5.88 15.23
"NDMC_1microM_Dark" 9.54 1.49 6.55 11.74
"Aripiprazole_3microM_Dark" 9.74 1.85 5.77 11.93
"Cariprazine_10microM_Dark" 9.75 2.04 7.13 14.7
"OSU6162_1microM_Dark" 9.76 1.4 7.7 12.96
"CNO_3microM_Dark" 10.32 2.99 7.11 16.19
"NDMC_3microM_Dark" 10.33 1.6 7.35 13.14
"Aripiprazole_10microM_Dark" 10.37 1.61 6.86 12.27
"Cariprazine_3microM_Dark" 10.47 1.81 5.9 13.83
"CNO_1microM_Dark" 10.53 3.48 7.4 18.91
"PCAP931_3microM_Dark" 10.74 1.05 9.4 13.34
"Clozapine_3microM_Dark" 10.84 2.05 7.14 15.71
"PCAP931_10microM_Dark" 11.03 1.61 8.28 13.66
"PCAP814_1microM_Dark" 11.54 1.79 8.81 15.46
"PCAP814_3microM_Dark" 11.64 1.09 9.82 13.2
"NDMC_10microM_Dark" 11.79 1.67 9.46 15.22
"Cariprazine_1microM_Dark" 12.05 1.7 8.95 15.44
"PCAP1_1microM_Dark" 12.08 3.29 7.84 18.99
"PCAP1_3microM_Dark" 12.17 3.06 8.26 16.68
"Haloperidol_10microM_Dark" 12.46 2.28 10.47 16.86
"OSU6162_10microM_Dark" 12.5 1.16 11.03 15.45
"PCAP2_10microM_Dark" 12.72 1.98 9.14 15.98
"PCAP1_10microM_Dark" 12.77 2.6 8.92 17.92
"PCAP2_3microM_Dark" 12.95 2.06 10.31 15.96
"Clozapine_10microM_Dark" 13.39 2.47 10.7 18.23
"NDMCHigh_25microM_Dark" 13.7 1.53 9.86 15.61
"NDMCHigh_100microM_Dark" 13.75 1.95 9.05 17.47
"NDMCHigh_50microM_Dark" 13.78 1.79 9.55 16.43
"PCAP814_10microM_Dark" 15.05 2.63 10.24 18.86
