"mean" "SD" "MIN" "MAX"
"OSU6162_1microM_Dark" 1.2 0.47 0.46 1.83
"Clozapine_1microM_Dark" 1.44 0.5 0.83 2.77
"CNO_1microM_Dark" 1.6 0.59 0.6 2.67
"CNO_10microM_Dark" 1.63 0.6 0.9 2.87
"NDMC_3microM_Dark" 1.66 0.68 0.68 3.15
"Haloperidol_3microM_Dark" 1.68 0.48 0.92 2.45
"NDMC_1microM_Dark" 1.84 0.58 1.08 2.81
"PCAP931_1microM_Dark" 1.87 0.84 0.87 4.17
"OSU6162_3microM_Dark" 1.92 0.8 0.63 3.57
"PCAP2_1microM_Dark" 2.15 0.65 1.14 3.36
"PCAP1_1microM_Dark" 2.17 0.91 0.87 3.65
"Cariprazine_1microM_Dark" 2.18 0.56 1.14 3.02
"Aripiprazole_1microM_Dark" 2.21 1.84 0.73 7.34
"PCAP1_3microM_Dark" 2.22 0.5 1.34 3.07
"OSU6162_10microM_Dark" 2.23 0.7 0.83 3.51
"Haloperidol_1microM_Dark" 2.23 0.54 1.26 3.52
"Cariprazine_3microM_Dark" 2.4 0.96 1.23 4.12
"PCAP931_3microM_Dark" 2.47 1.34 0.77 6.23
"CNO_3microM_Dark" 2.48 0.83 1.13 3.63
"Aripiprazole_10microM_Dark" 2.66 1.05 1.69 4.93
"NDMC_10microM_Dark" 3.04 1.76 0.33 7.13
"Cariprazine_10microM_Dark" 3.14 1.21 1.74 5.07
"Clozapine_3microM_Dark" 3.44 1.1 0.54 4.98
"NDMCHigh_25microM_Dark" 3.5 0.76 1.65 4.64
"Aripiprazole_3microM_Dark" 3.52 2.02 1.42 8.36
"PCAP1_10microM_Dark" 3.58 0.73 2.03 4.59
"PCAP931_10microM_Dark" 3.6 0.99 1.62 5.29
"NDMCHigh_50microM_Dark" 3.66 0.82 1.87 4.88
"NDMCHigh_100microM_Dark" 4.14 0.58 2.85 4.95
"PCAP2_3microM_Dark" 4.49 1.71 1.17 7.39
"Clozapine_10microM_Dark" 4.86 2.18 0.62 10.86
"PCAP814_3microM_Dark" 5.09 2.42 0.72 7.74
"Haloperidol_10microM_Dark" 5.21 2.92 1.22 12.65
"PCAP814_10microM_Dark" 5.29 2.79 0.97 10.73
"PCAP814_1microM_Dark" 5.87 5.39 0.88 18.89
"PCAP2_10microM_Dark" 6.7 3.56 2.2 12.88
