"mean" "SD" "MIN" "MAX"
"Haloperidol_1microM_Dark" 1.38 0.28 0.86 1.86
"Haloperidol_3microM_Dark" 1.39 0.5 0.56 2.11
"Clozapine_1microM_Dark" 1.56 0.78 0.62 2.84
"NDMC_3microM_Dark" 1.63 1.07 0.48 3.74
"PCAP931_1microM_Dark" 1.63 0.6 0.62 2.53
"OSU6162_1microM_Dark" 1.69 1.41 0.42 5.86
"CNO_1microM_Dark" 1.76 0.79 0.42 3.24
"CNO_10microM_Dark" 1.79 0.78 0.83 3.08
"NDMC_1microM_Dark" 1.82 0.7 0.99 2.94
"PCAP2_1microM_Dark" 1.85 0.59 1.02 2.87
"Cariprazine_1microM_Dark" 2.08 0.74 1.22 3.37
"PCAP1_3microM_Dark" 2.19 0.7 1.12 3.48
"PCAP1_1microM_Dark" 2.21 0.84 0.84 3.39
"OSU6162_10microM_Dark" 2.22 0.9 0.58 3.56
"Aripiprazole_10microM_Dark" 2.31 0.83 1.47 3.69
"PCAP931_3microM_Dark" 2.32 0.69 1.38 3.61
"OSU6162_3microM_Dark" 2.32 1.03 0.57 4.02
"Aripiprazole_1microM_Dark" 2.45 1.03 1.4 4.54
"CNO_3microM_Dark" 2.94 1.1 1.58 5.41
"Cariprazine_3microM_Dark" 2.95 1.32 1.28 5.19
"NDMC_10microM_Dark" 3.02 1.15 1.17 5.24
"Cariprazine_10microM_Dark" 3.13 1.12 2.11 5.62
"Aripiprazole_3microM_Dark" 3.26 1.17 2.05 6.14
"PCAP814_1microM_Dark" 3.46 1.79 0.92 6.88
"NDMCHigh_25microM_Dark" 3.55 0.9 1.75 5.29
"NDMCHigh_50microM_Dark" 3.64 1.2 1.77 5.69
"PCAP931_10microM_Dark" 3.67 0.83 1.9 5.24
"Clozapine_3microM_Dark" 3.71 1.21 0.51 5.34
"NDMCHigh_100microM_Dark" 3.77 1.15 2.14 6.06
"PCAP1_10microM_Dark" 3.86 1 2.37 5.27
"PCAP814_3microM_Dark" 3.94 1.94 0.2 6.68
"Haloperidol_10microM_Dark" 3.98 2 0.38 7.81
"PCAP2_3microM_Dark" 4.79 2.2 0.7 7.78
"PCAP814_10microM_Dark" 4.8 1.97 0.78 7.25
"Clozapine_10microM_Dark" 4.99 1.56 0.68 7.1
"PCAP2_10microM_Dark" 5.18 2.36 0.98 8.45
